Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  74.05  74.23  73.28  73.82  615900  73.82
2014-02-27  72.48  74.19  72.48  74.07  1277900  74.07
2014-02-26  72.63  72.95  72.12  72.47  677300  72.47
2014-02-25  72.63  72.83  72.14  72.27  453300  72.27
2014-02-24  72.89  73.21  72.58  72.67  531600  72.67
2014-02-21  72.9  73.54  72.79  72.85  558100  72.85
2014-02-20  72.74  73.43  72.32  72.64  812700  72.64
2014-02-19  73.57  73.77  72.44  72.57  686900  72.57
2014-02-18  72.0  74.22  72.0  73.96  1314100  73.96
2014-02-14  71.69  72.12  71.65  72.0  531800  72.0
2014-02-13  71.26  71.74  70.8  71.69  570900  71.69
2014-02-12  71.56  72.23  71.15  71.57  581400  71.57
2014-02-11  70.79  71.5  70.63  71.3  715800  71.3
2014-02-10  70.7  71.11  70.51  71.07  737600  71.07
2014-02-07  69.08  70.98  68.86  70.92  864200  70.92
2014-02-06  68.05  68.94  68.04  68.91  377100  68.91
2014-02-05  67.17  68.18  66.34  67.97  904000  67.97
2014-02-04  67.46  67.6  66.39  67.33  1023600  67.33
2014-02-03  69.34  69.34  67.01  67.24  1220100  67.24
2014-01-31  69.03  69.88  68.89  69.34  980800  69.34
2014-01-30  69.0  69.92  68.72  69.77  898000  69.77
2014-01-29  70.17  70.79  69.92  70.48  992800  70.48
2014-01-28  72.25  72.33  69.62  70.44  1097500  70.44
2014-01-27  68.31  69.2  68.07  68.7  959500  68.7
2014-01-24  69.44  69.6  68.03  68.06  494800  68.06
2014-01-23  70.34  70.73  69.37  69.76  631000  69.76
2014-01-22  70.5  70.91  69.93  70.84  397100  70.84
2014-01-21  71.0  71.4  70.2  70.5  689100  70.5
2014-01-17  70.65  70.85  70.08  70.54  568200  70.54
2014-01-16  69.76  70.7  69.45  70.59  1320300  70.59
2014-01-15  69.25  70.14  69.06  70.04  507700  70.04
2014-01-14  67.81  69.3  67.81  69.29  470800  69.29
2014-01-13  68.63  69.28  67.83  67.95  509100  67.95
2014-01-10  68.64  68.98  68.39  68.96  433400  68.96
2014-01-09  68.26  68.59  67.81  68.37  717000  68.37
2014-01-08  68.73  68.91  67.01  67.91  2199500  67.91
2014-01-07  68.75  69.39  67.65  69.01  1118500  69.01
2014-01-06  69.13  69.75  68.7  68.8  690400  68.8
2014-01-03  68.61  69.5  68.4  69.3  502200  69.3
2014-01-02  69.63  69.65  68.08  68.48  601700  68.48
2013-12-31  70.0  70.45  69.53  69.81  322300  69.81
2013-12-30  70.21  70.53  69.5  69.79  353900  69.79
2013-12-27  70.73  70.73  69.81  70.16  304400  70.16
2013-12-26  68.92  69.82  68.82  69.67  422900  69.67
2013-12-24  69.22  69.47  68.77  68.97  264100  68.97
2013-12-23  69.14  69.46  68.74  69.07  641300  69.07
2013-12-20  67.9  68.81  67.69  68.74  1042000  68.74
2013-12-19  67.36  68.34  67.16  67.96  716500  67.96
2013-12-18  66.61  67.58  65.95  67.52  766900  67.52
2013-12-17  66.31  66.75  66.08  66.51  631300  66.51
2013-12-16  65.68  66.52  65.44  66.4  448600  66.4
2013-12-13  65.59  65.77  65.3  65.55  390100  65.55
2013-12-12  65.46  65.96  65.17  65.32  436300  65.32
2013-12-11  65.63  66.3  65.33  65.52  894600  65.52
2013-12-10  66.28  66.41  65.27  65.61  577400  65.61
2013-12-09  66.37  67.38  65.94  66.63  1135600  66.63
2013-12-06  65.02  66.88  65.02  66.42  945200  66.42
2013-12-05  64.56  64.86  64.12  64.81  612100  64.81
2013-12-04  64.07  64.98  63.87  64.72  669600  64.72
2013-12-03  64.05  64.64  63.65  64.21  573100  64.21
2013-12-02  64.62  64.73  63.93  64.04  550000  64.04
2013-11-29  64.75  64.96  64.38  64.51  204100  64.51
2013-11-27  64.8  64.95  64.1  64.81  372600  64.81
2013-11-26  64.38  64.85  64.26  64.51  460600  64.51
2013-11-25  65.29  65.33  64.24  64.44  500300  64.44
2013-11-22  64.65  65.87  64.37  65.49  828200  65.49
2013-11-21  64.01  64.87  63.75  64.76  685100  64.76
2013-11-20  63.7  64.08  63.48  63.59  325600  63.59
2013-11-19  63.77  63.94  63.4  63.63  527400  63.63
2013-11-18  64.21  64.57  63.64  63.77  491300  63.77
2013-11-15  63.73  64.38  63.6  64.0  729100  64.0
2013-11-14  63.42  63.99  63.15  63.93  451900  63.93
2013-11-13  62.65  63.44  62.51  63.44  431600  63.44
2013-11-12  63.1  63.1  62.6  62.93  583000  62.93
2013-11-11  63.19  63.19  62.5  63.14  457600  63.14
2013-11-08  62.08  63.24  62.07  63.2  750600  63.2
2013-11-07  62.52  62.59  61.91  62.04  734600  62.04
2013-11-06  61.91  62.8  61.85  62.33  815800  62.33
2013-11-05  61.49  61.86  61.01  61.76  840800  61.76
2013-11-04  61.5  61.73  61.18  61.7  528500  61.7
2013-11-01  61.6  61.77  60.88  61.32  483500  61.32
2013-10-31  61.59  61.9  60.93  61.55  726400  61.55
2013-10-30  62.27  62.27  61.39  61.73  792400  61.73
2013-10-29  59.45  62.4  59.41  62.35  1395100  62.35
2013-10-28  59.31  59.36  58.44  59.01  1111400  59.01
2013-10-25  59.67  59.83  58.89  59.22  467000  59.22
2013-10-24  60.45  60.74  59.54  59.67  582900  59.67
2013-10-23  60.46  60.67  59.95  60.56  740400  60.56
2013-10-22  59.27  60.69  59.08  60.68  767300  60.68
2013-10-21  59.31  59.92  59.05  59.22  504500  59.22
2013-10-18  59.1  59.31  58.35  59.11  493300  59.11
2013-10-17  58.27  58.72  58.1  58.72  636300  58.72
2013-10-16  58.97  59.09  57.66  58.39  814100  58.39
2013-10-15  59.09  59.48  58.38  58.58  425700  58.58
2013-10-14  58.42  59.52  58.03  59.34  422000  59.34
2013-10-11  59.08  59.13  58.71  58.91  445200  58.91
2013-10-10  58.35  59.21  58.16  59.21  405500  59.21
2013-10-09  57.62  58.14  56.84  57.71  580600  57.71
2013-10-08  58.16  58.93  57.59  57.62  553100  57.62
2013-10-07  58.61  58.68  58.09  58.09  369300  58.09
2013-10-04  58.24  59.56  58.05  59.2  549600  59.2
2013-10-03  58.34  58.39  57.74  58.0  818200  58.0
2013-10-02  58.89  59.08  58.29  58.54  630300  58.54
2013-10-01  58.65  59.39  58.59  59.38  676600  59.38
2013-09-30  58.35  58.97  57.96  58.91  740900  58.91
2013-09-27  58.4  59.24  58.03  58.84  532400  58.84
2013-09-26  58.97  59.36  58.62  58.78  397400  58.78
2013-09-25  58.01  59.33  57.82  59.07  830400  59.07
2013-09-24  57.62  58.14  57.27  57.64  724100  57.64
2013-09-23  57.62  57.8  56.13  57.59  436800  57.59
2013-09-20  57.61  58.24  57.51  57.77  1088000  57.77
2013-09-19  58.22  58.32  57.37  57.6  757800  57.6
