Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  19.57  19.8  19.54  19.67  6827700  19.67
2014-02-27  19.67  19.81  19.42  19.58  5846800  19.58
2014-02-26  19.64  19.87  19.59  19.67  5152100  19.67
2014-02-25  19.59  19.84  19.57  19.62  5801000  19.62
2014-02-24  19.56  19.85  19.55  19.62  6459400  19.62
2014-02-21  19.45  19.69  19.32  19.54  5919800  19.54
2014-02-20  19.34  19.51  19.31  19.45  6250600  19.45
2014-02-19  18.9  19.64  18.69  19.25  11267600  19.25
2014-02-18  18.98  19.01  18.79  18.86  7994900  18.86
2014-02-14  18.83  19.08  18.74  18.99  7710000  18.99
2014-02-13  18.59  18.9  18.52  18.86  6894800  18.86
2014-02-12  18.7  18.74  18.53  18.74  5991300  18.74
2014-02-11  18.35  18.77  18.3  18.73  8821200  18.73
2014-02-10  18.47  18.52  18.24  18.35  10489400  18.35
2014-02-07  18.39  18.56  18.13  18.42  10081200  18.42
2014-02-06  18.05  18.38  18.03  18.33  6475400  18.33
2014-02-05  18.2  18.21  17.95  18.05  7235100  18.05
2014-02-04  18.12  18.42  18.0  18.24  9206500  18.24
2014-02-03  18.29  18.39  17.86  18.0  13724600  18.0
2014-01-31  18.03  18.46  18.0  18.39  9168100  18.39
2014-01-30  18.36  18.45  18.19  18.33  7687400  18.33
2014-01-29  18.3  18.51  18.11  18.21  7609500  18.21
2014-01-28  18.44  18.62  18.41  18.51  5555700  18.51
2014-01-27  18.79  18.84  18.29  18.43  7772700  18.43
2014-01-24  19.24  19.28  18.75  18.79  6273300  18.79
2014-01-23  19.39  19.55  19.27  19.37  5359900  19.37
2014-01-22  19.57  19.71  19.45  19.57  6188800  19.57
2014-01-21  19.49  19.71  19.45  19.48  10749600  19.48
2014-01-17  19.44  19.49  19.3  19.42  5828300  19.42
2014-01-16  19.34  19.5  19.33  19.41  3644900  19.41
2014-01-15  19.32  19.55  19.29  19.45  6816100  19.45
2014-01-14  19.11  19.36  19.04  19.34  7357900  19.34
2014-01-13  19.09  19.22  18.99  19.08  5242100  19.08
2014-01-10  19.4  19.49  19.07  19.18  6258300  19.18
2014-01-09  19.3  19.35  18.98  19.3  7228000  19.3
2014-01-08  19.05  19.26  18.88  19.24  10107900  19.24
2014-01-07  19.14  19.39  19.01  19.05  8137800  19.05
2014-01-06  19.0  19.21  18.88  19.05  5427600  19.05
2014-01-03  19.29  19.35  19.04  19.13  6957400  19.13
2014-01-02  19.41  19.42  19.08  19.26  4973200  19.26
2013-12-31  19.33  19.53  19.28  19.44  5478600  19.44
2013-12-30  19.32  19.41  19.21  19.32  3238400  19.32
2013-12-27  19.25  19.37  19.04  19.35  4258900  19.35
2013-12-26  19.32  19.44  19.16  19.29  3856700  19.29
2013-12-24  19.22  19.31  19.12  19.29  2837700  19.29
2013-12-23  19.01  19.22  18.97  19.16  5463600  19.16
2013-12-20  18.86  19.0  18.81  18.94  8645400  18.94
2013-12-19  18.68  18.85  18.43  18.74  5656800  18.74
2013-12-18  18.27  18.78  18.03  18.73  7587300  18.73
2013-12-17  18.21  18.43  18.03  18.29  5388200  18.29
2013-12-16  18.2  18.28  18.06  18.11  9345700  18.11
2013-12-13  17.79  18.07  17.78  17.95  4716400  17.95
2013-12-12  17.97  18.02  17.73  17.73  7290500  17.73
2013-12-11  18.41  18.42  17.94  17.99  4797900  17.99
2013-12-10  18.37  18.64  18.37  18.42  4305300  18.42
2013-12-09  18.38  18.48  18.21  18.43  3622900  18.43
2013-12-06  18.28  18.45  18.26  18.35  3811500  18.35
2013-12-05  18.01  18.18  17.87  18.08  5767400  18.08
2013-12-04  17.74  18.17  17.72  18.03  6802500  18.03
2013-12-03  17.97  18.05  17.79  17.87  7139100  17.87
2013-12-02  18.26  18.4  18.0  18.07  5808800  18.07
2013-11-29  18.46  18.55  18.27  18.29  2500300  18.29
2013-11-27  18.33  18.47  18.23  18.44  3306300  18.44
2013-11-26  18.36  18.49  18.3  18.31  4134100  18.31
2013-11-25  18.48  18.56  18.32  18.36  4022000  18.36
2013-11-22  18.6  18.64  18.33  18.46  4004200  18.46
2013-11-21  18.41  18.61  18.32  18.6  3899900  18.6
2013-11-20  18.44  18.8  18.24  18.31  4184200  18.31
2013-11-19  18.72  18.81  18.35  18.45  4601800  18.45
2013-11-18  18.88  18.94  18.64  18.72  5708700  18.72
2013-11-15  18.7  18.91  18.66  18.88  6441100  18.88
2013-11-14  18.64  18.8  18.53  18.68  3610100  18.68
2013-11-13  18.25  18.61  18.13  18.58  4666700  18.58
2013-11-12  18.38  18.46  18.17  18.33  3698200  18.33
2013-11-11  18.35  18.5  18.3  18.41  3948500  18.41
2013-11-08  18.31  18.48  18.0  18.48  6317200  18.48
2013-11-07  18.78  18.8  18.33  18.36  7008800  18.36
2013-11-06  19.13  19.13  18.66  18.78  6011300  18.78
2013-11-05  17.9  18.97  17.84  18.73  11094400  18.73
2013-11-04  18.7  19.01  18.6  18.93  7052900  18.93
2013-11-01  18.51  18.72  18.39  18.68  5675300  18.68
2013-10-31  18.42  18.58  18.23  18.43  9717200  18.43
2013-10-30  18.5  18.58  18.25  18.4  7038600  18.4
2013-10-29  18.52  18.52  18.28  18.51  4087600  18.51
2013-10-28  18.54  18.54  18.24  18.5  5676800  18.5
2013-10-25  18.54  18.71  18.41  18.65  5959400  18.65
2013-10-24  18.34  18.63  18.26  18.54  6585300  18.54
2013-10-23  18.37  18.4  18.19  18.24  5348600  18.24
2013-10-22  18.52  18.64  18.3  18.43  12742500  18.43
2013-10-21  18.43  18.53  18.4  18.52  4704700  18.52
2013-10-18  18.46  18.63  18.35  18.46  6623300  18.46
2013-10-17  17.89  18.39  17.79  18.34  6233700  18.34
2013-10-16  17.73  17.99  17.66  17.97  5687700  17.97
2013-10-15  17.73  17.87  17.49  17.54  6548500  17.54
2013-10-14  17.66  17.85  17.5  17.81  5628100  17.81
2013-10-11  17.43  17.86  17.42  17.79  4177000  17.79
2013-10-10  17.24  17.51  17.19  17.5  5855200  17.5
2013-10-09  17.22  17.31  16.88  16.98  9029800  16.98
2013-10-08  17.49  17.56  17.18  17.19  4667900  17.19
2013-10-07  17.44  17.6  17.32  17.47  4761100  17.47
2013-10-04  17.47  17.77  17.47  17.66  4684500  17.66
2013-10-03  17.9  17.99  17.45  17.53  7276900  17.53
2013-10-02  17.7  18.04  17.7  17.99  5441400  17.99
2013-10-01  17.52  18.0  17.51  17.78  6343100  17.78
2013-09-30  17.51  17.77  17.48  17.55  6002000  17.55
2013-09-27  17.81  17.87  17.54  17.7  5119500  17.7
2013-09-26  17.83  17.87  17.71  17.87  3046200  17.87
2013-09-25  17.7  17.82  17.62  17.76  4689600  17.76
2013-09-24  17.78  17.87  17.65  17.68  5894300  17.68
2013-09-23  17.95  18.01  17.79  17.83  5285700  17.83
2013-09-20  18.44  18.44  17.95  17.98  12161700  17.98
2013-09-19  18.54  18.77  18.38  18.38  7280600  18.38
2013-09-18  18.09  18.65  17.94  18.45  10379500  18.45
2013-09-17  17.88  18.11  17.87  18.06  7496100  18.06
2013-09-16  18.21  18.32  17.84  17.88  4924500  17.88
2013-09-13  17.75  17.85  17.66  17.82  3096600  17.82
2013-09-12  18.18  18.18  17.75  17.79  5221800  17.79
2013-09-11  17.75  18.01  17.67  17.99  5812100  17.99
2013-09-10  17.67  17.8  17.62  17.79  7196400  17.79
2013-09-09  17.11  17.56  17.08  17.56  5331900  17.56
2013-09-06  17.05  17.29  16.93  17.06  5900800  17.06
2013-09-05  17.11  17.16  16.86  16.87  3906200  16.87
2013-09-04  16.83  17.19  16.78  17.11  4704300  17.11
2013-09-03  17.0  17.11  16.66  16.81  5091200  16.81
2013-08-30  17.04  17.11  16.71  16.8  6664900  16.8
2013-08-29  16.87  17.03  16.76  17.01  4255700  17.01
2013-08-28  16.82  16.97  16.72  16.9  6159100  16.9
2013-08-27  16.87  16.99  16.78  16.84  7824800  16.84
2013-08-26  17.2  17.28  17.09  17.09  4812600  17.09
2013-08-23  17.08  17.2  16.92  17.19  5450100  17.19
2013-08-22  16.69  17.02  16.59  17.02  5699000  17.02
2013-08-21  16.63  16.9  16.41  16.68  7476600  16.68
2013-08-20  16.25  16.79  16.22  16.7  8991500  16.7
2013-08-19  16.33  16.48  16.18  16.19  10210200  16.19
2013-08-16  16.67  16.78  16.3  16.3  9836100  16.3
2013-08-15  16.96  16.99  16.65  16.78  9964700  16.78
2013-08-14  17.2  17.35  17.14  17.16  7110700  17.16
2013-08-13  17.48  17.48  17.22  17.26  5659800  17.26
2013-08-12  17.39  17.53  17.29  17.47  4632500  17.47
2013-08-09  17.47  17.63  17.43  17.46  6996000  17.46
2013-08-08  17.55  17.58  17.28  17.49  5332600  17.49
2013-08-07  17.46  17.53  17.35  17.43  5407200  17.43
2013-08-06  17.72  17.88  17.47  17.49  5132400  17.49
2013-08-05  18.23  18.28  17.79  17.83  5195300  17.83
2013-08-02  17.52  18.48  17.29  18.25  10744200  18.25
2013-08-01  17.73  17.93  17.55  17.92  10584700  17.92
2013-07-31  17.81  17.94  17.55  17.62  12208700  17.62
2013-07-30  17.86  18.06  17.68  17.78  6665300  17.78
2013-07-29  17.83  17.92  17.65  17.72  3529700  17.72
2013-07-26  17.98  18.0  17.72  17.88  6167300  17.88
2013-07-25  17.75  18.14  17.73  18.06  4343900  18.06
2013-07-24  18.13  18.17  17.64  17.8  6704800  17.8
2013-07-23  18.46  18.48  18.11  18.11  6485900  18.11
2013-07-22  18.28  18.48  18.18  18.43  4540900  18.43
2013-07-19  18.07  18.3  18.04  18.3  5417100  18.3
2013-07-18  17.88  18.21  17.87  18.11  5180100  18.11
2013-07-17  17.89  17.95  17.76  17.78  5136600  17.78
2013-07-16  17.81  17.93  17.73  17.83  5796400  17.83
2013-07-15  17.78  17.87  17.67  17.8  4781800  17.8
2013-07-12  17.92  17.94  17.69  17.75  4665000  17.75
2013-07-11  17.78  17.94  17.6  17.9  6325700  17.9
2013-07-10  17.46  17.65  17.37  17.55  4697200  17.55
2013-07-09  17.44  17.62  17.31  17.53  5539100  17.53
2013-07-08  17.34  17.49  17.32  17.35  6049200  17.35
2013-07-05  16.87  17.32  16.81  17.32  8037500  17.32
2013-07-03  16.73  16.85  16.65  16.76  3431800  16.76
2013-07-02  16.69  17.04  16.69  16.9  6380400  16.9
2013-07-01  16.82  16.88  16.65  16.69  5574800  16.69
2013-06-28  16.62  16.83  16.45  16.65  7021000  16.65
2013-06-27  16.39  16.66  16.31  16.65  5751400  16.65
2013-06-26  16.41  16.48  16.22  16.27  7976300  16.27
2013-06-25  15.87  16.25  15.87  16.17  9164600  16.17
2013-06-24  15.62  16.07  15.29  15.74  11120300  15.74
2013-06-21  15.82  15.98  15.62  15.86  12392900  15.86
2013-06-20  16.17  16.19  15.59  15.7  12763500  15.7
2013-06-19  16.92  16.99  16.29  16.3  7605500  16.3
2013-06-18  16.87  17.08  16.82  16.88  5498200  16.88
2013-06-17  16.99  17.16  16.75  16.83  5887900  16.83
2013-06-14  16.62  17.12  16.62  16.88  10122300  16.88
2013-06-13  16.09  16.73  16.02  16.68  9182600  16.68
2013-06-12  16.69  16.69  16.08  16.09  7520000  16.09
2013-06-11  16.73  16.77  16.51  16.52  6599400  16.52
2013-06-10  17.15  17.18  16.9  16.93  5527500  16.93
2013-06-07  17.1  17.13  16.83  17.07  6458000  17.07
2013-06-06  16.64  17.03  16.54  17.02  6239200  17.02
2013-06-05  16.89  16.99  16.59  16.66  7253900  16.66
2013-06-04  17.32  17.38  16.94  16.97  9109400  16.97
2013-06-03  17.58  17.61  17.2  17.36  8782500  17.36
2013-05-31  17.56  17.77  17.44  17.44  10000500  17.44
2013-05-30  17.69  17.74  17.46  17.61  9650400  17.61
2013-05-29  17.76  17.81  17.51  17.62  9150400  17.62
2013-05-28  17.97  18.15  17.84  17.94  7139500  17.94
2013-05-24  17.51  17.82  17.41  17.77  6753500  17.77
2013-05-23  17.72  17.73  17.37  17.58  9587600  17.58
2013-05-22  18.2  18.5  17.76  17.89  6330100  17.89
2013-05-21  18.25  18.33  18.09  18.14  5686100  18.14
2013-05-20  18.4  18.42  18.09  18.17  5789900  18.17
2013-05-17  18.36  18.45  18.25  18.4  4843300  18.4
2013-05-16  18.28  18.39  18.16  18.33  7591700  18.33
2013-05-15  18.1  18.34  18.06  18.31  6330400  18.31
2013-05-14  18.03  18.14  17.93  18.11  7258100  18.11
2013-05-13  18.09  18.15  17.97  18.11  5407300  18.11
2013-05-10  18.02  18.2  17.95  18.2  6027900  18.2
2013-05-09  18.11  18.15  17.86  17.98  6241300  17.98
2013-05-08  18.17  18.35  18.01  18.08  6145500  18.08
2013-05-07  18.04  18.24  18.01  18.2  6062300  18.2
2013-05-06  18.02  18.15  17.94  18.07  5777400  18.07
2013-05-03  18.32  18.41  17.87  17.98  10910500  17.98
2013-05-02  17.88  18.08  17.78  18.04  10107500  18.04
2013-05-01  17.89  17.98  17.78  17.87  8519400  17.87
