Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  105.81  106.59  105.2  105.82  1131400  105.82
2014-02-27  105.19  105.97  104.63  105.77  1291300  105.77
2014-02-26  106.6  107.21  105.56  105.64  2285000  105.64
2014-02-25  107.7  108.17  106.54  106.77  2007600  106.77
2014-02-24  107.42  108.69  107.17  108.07  1412400  108.07
2014-02-21  107.1  108.06  106.21  107.7  1257300  107.7
2014-02-20  105.75  107.98  105.69  107.22  1491000  107.22
2014-02-19  105.27  106.67  104.73  105.87  1565700  105.87
2014-02-18  104.37  105.52  104.14  105.48  1091800  105.48
2014-02-14  103.54  104.99  103.37  104.81  1016000  104.81
2014-02-13  102.12  103.63  102.05  103.54  756700  103.54
2014-02-12  103.25  104.21  102.17  102.47  1157500  102.47
2014-02-11  101.36  103.38  101.12  103.28  1179300  103.28
2014-02-10  99.95  101.64  99.58  101.51  1110300  101.51
2014-02-07  100.48  100.85  99.85  99.93  1237600  99.93
2014-02-06  100.34  100.98  99.42  100.15  972700  100.15
2014-02-05  98.98  100.89  98.5  100.26  1937600  100.26
2014-02-04  97.81  99.77  97.7  99.55  2087500  99.55
2014-02-03  98.53  98.9  97.22  97.51  2078900  97.51
2014-01-31  97.69  99.37  97.45  98.95  1154700  98.95
2014-01-30  97.27  99.02  96.33  98.8  1051100  98.8
2014-01-29  97.54  97.64  96.06  96.28  1680500  96.28
2014-01-28  96.84  98.81  96.81  98.34  1082300  98.34
2014-01-27  97.73  97.96  96.59  97.02  1137700  97.02
2014-01-24  98.28  98.83  97.62  97.68  1012000  97.68
2014-01-23  98.74  99.22  98.32  98.88  791500  98.88
2014-01-22  98.3  99.53  98.3  99.38  633300  99.38
2014-01-21  98.71  98.96  97.37  98.31  558700  98.31
2014-01-17  99.16  99.16  97.95  98.14  731000  98.14
2014-01-16  97.76  99.1  97.39  99.05  814200  99.05
2014-01-15  98.43  98.43  97.46  97.76  938700  97.76
2014-01-14  97.41  98.27  97.31  98.23  859800  98.23
2014-01-13  97.18  98.28  96.92  97.41  876500  97.41
2014-01-10  97.23  98.05  97.17  97.42  865200  97.42
2014-01-09  97.35  97.59  96.77  97.2  829500  97.2
2014-01-08  97.39  98.45  96.62  97.3  1493700  97.3
2014-01-07  95.37  97.05  95.37  96.56  1212100  96.56
2014-01-06  95.4  95.79  94.75  95.11  738800  95.11
2014-01-03  95.48  95.76  95.05  95.38  785800  95.38
2014-01-02  96.74  96.74  95.47  95.5  753500  95.5
2013-12-31  97.22  97.41  96.41  96.79  381700  96.79
2013-12-30  95.95  97.26  95.87  97.12  513900  97.12
2013-12-27  96.07  96.54  95.76  95.85  314700  95.85
2013-12-26  95.76  96.03  95.45  96.03  260400  96.03
2013-12-24  95.12  95.79  94.96  95.52  174300  95.52
2013-12-23  96.16  96.38  94.62  95.13  564900  95.13
2013-12-20  95.95  96.39  95.49  95.87  675700  95.87
2013-12-19  95.39  95.96  94.61  95.83  693700  95.83
2013-12-18  93.72  95.37  93.08  95.37  868600  95.37
2013-12-17  94.55  94.83  92.73  93.69  751000  93.69
2013-12-16  94.82  95.46  94.07  94.38  560400  94.38
2013-12-13  94.77  95.23  94.22  94.41  655400  94.41
2013-12-12  95.0  95.42  94.4  94.53  525300  94.53
2013-12-11  95.38  95.93  94.95  95.34  959700  95.34
2013-12-10  96.29  96.29  95.04  95.13  553200  95.13
2013-12-09  96.71  97.41  96.13  96.53  453100  96.53
2013-12-06  96.16  96.83  95.98  96.72  816300  96.72
2013-12-05  96.13  96.31  95.26  95.36  706800  95.36
2013-12-04  96.14  96.45  95.45  96.3  475800  96.3
2013-12-03  95.85  96.85  95.85  96.61  636300  96.61
2013-12-02  96.31  96.63  95.65  96.06  524800  96.06
2013-11-29  97.23  97.71  96.13  96.45  323700  96.45
2013-11-27  96.56  97.41  96.13  97.28  686800  97.28
2013-11-26  95.9  96.83  95.42  96.48  967300  96.48
2013-11-25  96.07  96.49  95.48  95.56  395700  95.56
2013-11-22  95.48  95.87  94.63  95.86  771100  95.86
2013-11-21  94.13  95.67  94.09  95.33  668700  95.33
2013-11-20  95.46  95.82  94.0  94.06  1342900  94.06
2013-11-19  96.23  96.25  95.48  95.51  866700  95.51
2013-11-18  97.69  97.91  96.22  96.57  620900  96.57
2013-11-15  97.88  98.02  96.78  97.62  553600  97.62
2013-11-14  96.96  97.73  96.59  97.7  448300  97.7
2013-11-13  95.3  96.89  95.21  96.88  590500  96.88
2013-11-12  95.43  96.01  95.12  95.95  521300  95.95
2013-11-11  96.61  96.88  95.7  95.88  466000  95.88
2013-11-08  95.74  96.64  95.3  96.61  604700  96.61
2013-11-07  98.36  98.56  95.66  95.77  1056500  95.77
2013-11-06  98.7  99.03  98.25  98.48  582100  98.48
2013-11-05  97.81  99.02  97.58  98.56  721400  98.56
2013-11-04  98.42  98.92  97.46  97.9  529800  97.9
2013-11-01  98.4  99.03  97.69  98.26  573100  98.26
2013-10-31  99.04  99.28  97.98  98.29  569400  98.29
2013-10-30  100.09  100.4  98.73  98.98  660500  98.98
2013-10-29  99.13  100.03  98.81  99.93  695000  99.93
2013-10-28  96.07  99.3  95.94  99.18  1577300  99.18
2013-10-25  95.79  96.28  95.1  96.18  544200  96.18
2013-10-24  95.58  95.72  93.68  95.49  1107400  95.49
2013-10-23  95.92  96.61  95.51  95.92  771100  95.92
2013-10-22  94.67  96.5  94.59  96.09  825500  96.09
2013-10-21  95.17  95.39  93.92  94.59  731300  94.59
2013-10-18  94.19  95.15  93.24  95.11  998500  95.11
2013-10-17  93.66  94.62  93.52  94.32  604400  94.32
2013-10-16  92.67  93.86  92.57  93.86  787200  93.86
2013-10-15  92.36  92.86  92.02  92.34  570100  92.34
2013-10-14  92.58  92.76  91.95  92.62  374400  92.62
2013-10-11  92.56  93.06  92.24  93.05  359800  93.05
2013-10-10  91.41  92.87  91.34  92.86  717000  92.86
2013-10-09  91.21  91.5  90.43  90.77  476900  90.77
2013-10-08  90.7  92.38  90.44  91.14  846600  91.14
2013-10-07  90.61  91.08  90.24  90.69  497000  90.69
2013-10-04  90.03  91.03  89.68  90.89  602700  90.89
2013-10-03  90.81  91.06  89.83  90.17  573400  90.17
2013-10-02  91.7  91.7  90.17  91.14  634300  91.14
2013-10-01  91.38  91.81  90.97  91.69  438900  91.69
2013-09-30  91.71  91.91  91.16  91.61  582000  91.61
2013-09-27  91.78  92.23  91.39  92.11  527200  92.11
2013-09-26  91.53  92.24  91.35  92.22  632500  92.22
2013-09-25  92.11  92.2  91.24  91.3  645100  91.3
2013-09-24  92.22  92.68  91.68  91.94  659500  91.94
2013-09-23  92.43  92.56  91.43  92.27  599600  92.27
2013-09-20  92.88  93.05  92.52  92.7  756500  92.7
2013-09-19  93.35  93.41  92.05  92.89  606300  92.89
2013-09-18  92.6  93.34  91.7  93.32  546100  93.32
2013-09-17  91.95  92.9  91.87  92.68  653300  92.68
2013-09-16  91.74  92.2  91.38  91.82  623600  91.82
2013-09-13  90.75  91.1  90.51  90.7  549700  90.7
2013-09-12  90.74  91.01  90.24  90.34  644200  90.34
2013-09-11  90.63  90.85  89.92  90.74  708900  90.74
2013-09-10  90.61  91.09  90.32  90.61  724300  90.61
2013-09-09  89.55  90.36  89.46  90.33  816200  90.33
2013-09-06  89.43  90.36  88.42  89.87  939600  89.87
2013-09-05  89.97  90.24  89.15  89.33  881900  89.33
2013-09-04  90.14  90.23  89.4  90.12  915100  90.12
2013-09-03  91.89  92.05  89.78  90.17  579800  90.17
2013-08-30  90.73  91.26  90.22  91.07  644800  91.07
2013-08-29  89.91  90.98  89.37  90.55  973700  90.55
2013-08-28  91.05  91.23  90.13  90.21  1038500  90.21
2013-08-27  91.92  92.17  91.25  91.27  586700  91.27
