Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  185.38  186.12  183.65  185.17  4667900  185.17
2014-02-27  183.83  185.95  183.81  185.27  3827800  185.27
2014-02-26  183.94  185.28  183.56  184.06  3740700  184.06
2014-02-25  183.52  184.6  182.88  183.23  3902300  183.23
2014-02-24  182.82  185.16  182.82  183.45  4595300  183.45
2014-02-21  184.25  185.71  182.62  182.79  5699300  182.79
2014-02-20  182.96  184.86  182.79  184.26  4968200  184.26
2014-02-19  182.74  185.65  182.41  182.95  4671500  182.95
2014-02-18  183.18  184.0  182.32  183.19  4435200  183.19
2014-02-14  181.26  184.43  180.99  183.69  4659900  183.69
2014-02-13  178.22  182.36  177.86  181.84  4482000  181.84
2014-02-12  179.52  181.25  179.26  180.24  3983000  180.24
2014-02-11  176.81  180.39  176.8  179.7  4647300  179.7
2014-02-10  176.97  177.65  176.25  177.14  3540400  177.14
2014-02-07  175.64  177.56  175.07  177.25  4692900  177.25
2014-02-06  173.97  174.85  173.79  174.67  4292200  174.67
2014-02-05  171.25  174.02  171.25  173.29  4712300  173.29
2014-02-04  172.59  172.81  171.42  171.9  4349800  171.9
2014-02-03  175.06  175.06  171.78  171.96  7186800  171.96
2014-01-31  175.15  176.87  174.39  175.72  5193400  175.72
2014-01-30  176.2  176.89  175.4  176.39  4853700  176.39
2014-01-29  175.02  177.56  174.93  175.44  4970900  175.44
2014-01-28  177.08  177.48  175.2  175.89  5333300  175.89
2014-01-27  178.63  178.67  176.69  176.93  5208600  176.93
2014-01-24  180.26  181.81  178.66  178.66  6890600  178.66
2014-01-23  180.44  182.71  179.72  181.73  6973900  181.73
2014-01-22  180.3  182.5  178.69  181.26  13796100  181.26
2014-01-21  189.19  189.35  185.77  187.4  11076300  187.4
2014-01-17  187.01  189.77  186.83  189.05  7644600  189.05
2014-01-16  186.51  187.96  185.78  187.73  4770300  187.73
2014-01-15  184.81  187.63  184.48  186.72  4816500  186.72
2014-01-14  184.05  185.42  182.88  184.91  4619200  184.91
2014-01-13  185.25  185.93  182.86  183.16  5784700  183.16
2014-01-10  187.28  187.54  185.27  186.24  4022400  186.24
2014-01-09  187.99  188.47  185.53  186.36  4321300  186.36
2014-01-08  188.3  188.39  186.24  186.95  4603700  186.95
2014-01-07  185.38  189.32  185.37  188.68  5932300  188.68
2014-01-06  186.13  186.34  184.29  184.99  4067800  184.99
2014-01-03  184.81  186.33  184.29  185.62  4063200  185.62
2014-01-02  186.19  186.38  184.19  184.52  4546500  184.52
2013-12-31  185.48  186.77  185.29  186.55  3619700  186.55
2013-12-30  184.31  185.68  183.66  185.39  3018600  185.39
2013-12-27  184.83  185.48  183.55  184.07  3381600  184.07
2013-12-26  182.56  184.55  182.51  184.34  3325700  184.34
2013-12-24  180.97  182.5  180.92  182.22  1613600  182.22
2013-12-23  180.07  181.94  179.63  181.24  4079900  181.24
2013-12-20  179.14  181.01  179.04  179.04  7653500  179.04
2013-12-19  176.91  179.56  176.91  179.24  5927000  179.24
2013-12-18  175.49  177.77  173.9  177.73  5697700  177.73
2013-12-17  176.39  176.52  174.16  174.8  5471900  174.8
2013-12-16  172.28  177.38  171.79  176.88  7517000  176.88
2013-12-13  172.58  173.43  171.79  171.86  4184400  171.86
2013-12-12  174.1  174.84  172.35  172.42  5671600  172.42
2013-12-11  176.03  176.79  174.14  174.24  4090400  174.24
2013-12-10  175.93  176.7  175.1  176.15  4127800  176.15
2013-12-09  177.02  177.18  175.86  176.49  3796600  176.49
2013-12-06  175.74  177.03  175.05  176.7  4739800  176.7
2013-12-05  175.19  175.9  174.32  175.12  4384900  175.12
2013-12-04  174.41  176.53  174.2  174.78  5267400  174.78
2013-12-03  176.03  177.26  174.68  175.12  5864000  175.12
2013-12-02  178.48  178.61  176.15  176.51  4560000  176.51
2013-11-29  178.23  179.77  178.02  178.7  2870500  178.7
2013-11-27  176.86  179.19  176.85  177.99  4596500  177.99
2013-11-26  177.69  177.96  176.34  176.34  5756000  176.34
2013-11-25  179.26  179.76  176.85  177.96  7161900  177.96
2013-11-22  182.5  183.98  178.94  180.31  7610200  180.31
2013-11-21  184.53  184.74  182.41  183.13  4459500  183.13
2013-11-20  184.21  185.22  183.64  184.18  3645800  184.18
2013-11-19  183.62  185.18  183.15  184.24  4577000  184.24
2013-11-18  182.52  183.98  182.27  183.46  5344900  183.46
2013-11-15  181.38  182.28  180.17  182.19  5176100  182.19
2013-11-14  179.5  182.2  178.68  181.22  6321500  181.22
2013-11-13  181.28  182.55  180.6  182.55  4704400  182.55
2013-11-12  181.53  183.04  181.26  182.07  4258500  182.07
2013-11-11  179.2  182.39  179.06  181.88  5222300  181.88
2013-11-08  177.86  179.1  176.38  179.01  6275000  179.01
2013-11-07  178.62  180.4  178.62  179.02  5219500  179.02
2013-11-06  176.94  178.77  176.81  178.21  4560700  178.21
2013-11-05  177.61  177.87  175.8  175.94  6096800  175.94
2013-11-04  177.96  178.85  177.41  178.33  3483300  178.33
2013-11-01  177.87  178.4  176.95  177.3  3644500  177.3
2013-10-31  177.72  179.71  177.11  177.28  4318100  177.28
2013-10-30  179.73  180.22  177.92  178.21  5273700  178.21
2013-10-29  175.71  180.36  175.59  180.16  8904600  180.16
2013-10-28  175.13  175.97  174.3  175.44  3712700  175.44
2013-10-25  176.51  177.18  174.37  174.95  4842800  174.95
2013-10-24  174.53  175.98  174.36  175.89  5533300  175.89
2013-10-23  173.21  174.1  172.52  173.88  5409400  173.88
2013-10-22  171.49  173.68  171.09  173.09  6977300  173.09
2013-10-21  172.54  172.87  170.77  171.0  7098700  171.0
2013-10-18  172.92  173.12  171.39  171.91  10548000  171.91
2013-10-17  171.97  175.1  170.71  172.95  22368900  172.95
2013-10-16  183.42  184.72  183.0  184.72  6718000  184.72
2013-10-15  183.74  183.94  182.23  182.67  3365100  182.67
2013-10-14  183.42  184.98  182.44  184.96  2663100  184.96
2013-10-11  183.26  184.23  182.14  184.16  3232600  184.16
2013-10-10  181.2  182.78  180.4  182.78  3658900  182.78
2013-10-09  177.44  179.72  177.17  179.37  4423500  179.37
2013-10-08  179.94  180.03  176.79  176.8  5578300  176.8
2013-10-07  179.89  181.34  179.89  180.05  3966400  180.05
2013-10-04  182.19  183.14  181.61  182.12  2863600  182.12
2013-10-03  182.71  182.97  181.03  181.88  3211800  181.88
2013-10-02  183.54  184.31  182.43  182.97  3617100  182.97
2013-10-01  183.34  184.64  182.66  184.37  2681200  184.37
2013-09-30  183.57  184.73  182.36  183.19  3978200  183.19
2013-09-27  186.84  186.91  184.45  184.91  3905500  184.91
2013-09-26  188.05  189.69  187.42  188.17  2093600  188.17
2013-09-25  188.09  188.57  186.47  187.43  2654500  187.43
2013-09-24  188.88  189.5  187.62  187.93  3085300  187.93
2013-09-23  188.01  190.33  187.29  188.93  3340800  188.93
2013-09-20  191.87  192.33  187.97  187.97  8525900  187.97
2013-09-19  192.09  192.79  191.14  191.31  3178100  191.31
2013-09-18  190.53  192.79  189.94  192.33  3841800  192.33
2013-09-17  191.34  192.06  189.76  190.09  2930900  190.09
2013-09-16  191.61  192.71  190.54  191.07  3902400  191.07
2013-09-13  189.15  191.02  188.94  190.1  3710400  190.1
2013-09-12  188.91  189.26  187.81  188.68  3354800  188.68
2013-09-11  184.82  188.82  184.81  188.65  4962900  188.65
2013-09-10  185.18  185.63  184.36  184.59  3149600  184.59
2013-09-09  181.7  183.49  181.34  182.99  3017200  182.99
2013-09-06  182.66  183.0  180.68  181.06  2903500  181.06
2013-09-05  181.38  183.01  181.1  182.17  2867600  182.17
2013-09-04  181.61  182.21  180.35  181.16  2597900  181.16
2013-09-03  181.65  182.34  180.55  181.98  3487200  181.98
2013-08-30  180.78  181.02  179.56  180.31  2731000  180.31
2013-08-29  180.0  181.72  179.48  180.67  2980900  180.67
2013-08-28  180.71  181.5  179.15  180.2  3979200  180.2
2013-08-27  181.65  182.51  180.6  180.77  3190700  180.77
2013-08-26  183.27  184.99  182.69  182.75  2170400  182.75
2013-08-23  183.34  183.74  182.58  183.42  2292700  183.42
2013-08-22  183.66  184.25  182.27  183.2  2354300  183.2
2013-08-21  182.68  184.56  182.3  182.87  3551000  182.87
2013-08-20  182.38  183.63  181.19  182.57  3117800  182.57
2013-08-19  183.31  184.5  182.0  182.25  3248900  182.25
2013-08-16  183.54  184.45  183.34  183.34  3426400  183.34
2013-08-15  184.23  184.99  183.45  183.79  3692400  183.79
2013-08-14  186.55  186.89  185.28  185.51  2892300  185.51
2013-08-13  187.5  187.94  185.54  186.39  3542900  186.39
2013-08-12  184.95  187.51  184.87  187.05  3026500  187.05
2013-08-09  185.98  187.13  184.99  185.8  3249600  185.8
2013-08-08  187.41  187.83  184.78  185.91  4547600  185.91
2013-08-07  187.56  187.89  186.03  186.53  3901700  186.53
2013-08-06  189.24  189.49  187.28  187.99  5938500  187.99
2013-08-05  192.1  192.8  191.3  192.43  2490900  192.43
2013-08-02  192.43  192.43  190.19  192.1  3874000  192.1
2013-08-01  193.57  194.08  192.35  192.74  2877700  192.74
2013-07-31  191.44  193.82  191.44  191.98  3810000  191.98
2013-07-30  193.9  194.73  192.74  192.94  2663200  192.94
