Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  209.27  211.72  207.69  208.84  748000  208.84
2014-02-27  213.46  213.46  206.25  209.08  875100  209.08
2014-02-26  215.23  215.27  208.67  208.89  1066700  208.89
2014-02-25  214.65  217.21  213.29  214.23  692100  214.23
2014-02-24  212.67  216.4  212.27  215.32  686000  215.32
2014-02-21  211.37  213.93  210.08  212.91  952000  212.91
2014-02-20  212.41  213.33  209.65  210.25  667100  210.25
2014-02-19  215.47  216.38  211.58  211.78  837000  211.78
2014-02-18  214.88  218.45  214.85  216.95  810000  216.95
2014-02-14  216.25  217.0  213.22  214.85  689500  214.85
2014-02-13  216.46  219.83  215.74  216.91  711700  216.91
2014-02-12  216.55  218.75  213.47  217.41  1171600  217.41
2014-02-11  213.4  216.99  212.11  216.48  1279800  216.48
2014-02-10  215.6  216.9  211.27  212.11  1437000  212.11
2014-02-07  210.18  216.3  210.18  215.53  1216800  215.53
2014-02-06  208.11  210.58  207.38  210.42  816400  210.42
2014-02-05  208.68  210.51  205.0  207.56  711800  207.56
2014-02-04  203.12  209.0  202.9  208.87  1045100  208.87
2014-02-03  208.18  208.58  203.0  203.45  1191300  203.45
2014-01-31  205.6  210.25  205.6  208.79  828400  208.79
2014-01-30  201.01  209.55  201.01  209.3  581800  209.3
2014-01-29  203.04  207.63  203.04  204.78  836900  204.78
2014-01-28  209.0  209.0  204.0  206.9  801100  206.9
2014-01-27  208.23  208.23  202.61  203.16  1426300  203.16
2014-01-24  206.0  207.02  204.34  204.36  1312400  204.36
2014-01-23  208.15  208.99  205.98  206.89  1036400  206.89
2014-01-22  209.16  210.98  207.37  209.98  1162800  209.98
2014-01-21  208.38  212.33  207.62  208.0  1548600  208.0
2014-01-17  209.02  210.31  206.03  206.87  1713600  206.87
2014-01-16  208.8  212.66  208.1  209.33  1396100  209.33
2014-01-15  219.71  219.99  208.32  210.88  3625200  210.88
2014-01-14  221.06  221.33  218.28  219.8  984400  219.8
2014-01-13  225.0  225.56  220.01  220.51  620900  220.51
2014-01-10  226.45  227.38  224.05  225.33  601500  225.33
2014-01-09  227.94  228.86  227.0  227.53  543000  227.53
2014-01-08  227.17  228.21  224.99  227.01  647900  227.01
2014-01-07  228.84  229.5  226.05  227.82  856600  227.82
2014-01-06  226.9  228.82  226.01  226.46  671700  226.46
2014-01-03  224.6  226.96  224.47  225.88  972800  225.88
2014-01-02  224.16  225.49  222.15  224.6  766700  224.6
2013-12-31  223.5  225.89  222.45  224.92  442200  224.92
2013-12-30  225.38  225.7  221.89  223.52  343600  223.52
2013-12-27  224.68  225.63  223.62  224.74  437200  224.74
2013-12-26  226.23  227.07  224.08  224.86  349200  224.86
2013-12-24  226.01  226.08  223.77  226.01  280800  226.01
2013-12-23  226.57  226.66  223.91  226.06  774000  226.06
2013-12-20  223.0  225.74  222.11  224.46  2514700  224.46
2013-12-19  225.0  225.88  222.06  222.63  846200  222.63
2013-12-18  221.58  225.7  219.77  225.15  1468600  225.15
2013-12-17  222.29  223.16  219.79  222.22  1167400  222.22
2013-12-16  221.0  222.39  220.11  221.84  1019100  221.84
2013-12-13  218.83  221.25  218.57  220.44  931600  220.44
2013-12-12  216.86  219.49  215.77  217.83  1396100  217.83
2013-12-11  217.61  219.42  216.05  217.85  1069800  217.85
2013-12-10  216.65  217.45  215.3  216.13  526400  216.13
2013-12-09  215.59  218.37  215.07  216.72  746800  216.72
2013-12-06  213.74  217.85  212.86  217.55  974200  217.55
2013-12-05  211.14  212.75  210.33  212.02  1202400  212.02
2013-12-04  210.41  213.05  209.75  211.67  602200  211.67
2013-12-03  213.52  213.78  211.5  212.08  844100  212.08
2013-12-02  213.19  215.32  212.03  214.25  888500  214.25
2013-11-29  214.36  214.65  212.49  212.66  204700  212.66
2013-11-27  213.3  214.99  212.08  213.78  458600  213.78
2013-11-26  215.36  215.99  212.65  212.65  1276000  212.65
2013-11-25  217.24  217.4  214.96  215.68  656600  215.68
2013-11-22  215.07  217.48  214.24  216.76  924700  216.76
2013-11-21  214.56  215.4  212.44  215.07  1440600  215.07
2013-11-20  206.34  212.6  205.39  212.44  1678300  212.44
2013-11-19  202.99  207.23  202.99  205.81  1796300  205.81
2013-11-18  203.73  203.92  200.68  202.57  939900  202.57
2013-11-15  198.41  202.84  198.41  201.76  799800  201.76
2013-11-14  199.91  199.98  196.17  198.57  850100  198.57
2013-11-13  197.6  200.83  197.22  199.25  762600  199.25
2013-11-12  201.81  202.57  197.21  197.21  1884900  197.21
2013-11-11  203.6  205.19  201.69  202.12  352500  202.12
2013-11-08  199.69  204.64  199.69  203.59  679800  203.59
2013-11-07  199.2  201.83  198.34  199.73  1301200  199.73
2013-11-06  198.22  199.37  196.42  199.21  772900  199.21
2013-11-05  198.18  200.27  194.88  197.38  1005500  197.38
2013-11-04  194.93  195.47  191.63  193.26  698700  193.26
