Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  24.79  24.85  24.57  24.76  23482700  24.76
2014-02-27  24.8  24.8  24.51  24.76  20863900  24.76
2014-02-26  24.74  24.98  24.61  24.8  19820200  24.8
2014-02-25  24.67  24.71  24.46  24.62  21539100  24.62
2014-02-24  24.51  24.88  24.41  24.63  24145500  24.63
2014-02-21  24.95  24.96  24.35  24.42  30579800  24.42
2014-02-20  24.54  24.85  24.5  24.74  20193800  24.74
2014-02-19  24.65  24.72  24.42  24.5  25686000  24.5
2014-02-18  24.67  24.78  24.55  24.76  17738100  24.76
2014-02-14  24.58  24.76  24.41  24.76  20539700  24.76
2014-02-13  24.43  24.74  24.31  24.7  22922000  24.7
2014-02-12  24.51  24.69  24.37  24.55  25874100  24.55
2014-02-11  24.35  24.52  24.33  24.47  17911700  24.47
2014-02-10  24.11  24.37  24.06  24.29  24571300  24.29
2014-02-07  24.2  24.26  23.77  24.21  30808400  24.21
2014-02-06  23.6  24.08  23.55  23.99  28008400  23.99
2014-02-05  23.7  23.76  23.5  23.52  32476200  23.52
2014-02-04  23.76  23.81  23.35  23.59  50816300  23.59
2014-02-03  24.26  24.27  23.66  23.72  52868200  23.72
2014-01-31  24.22  24.42  24.17  24.31  28623300  24.31
2014-01-30  24.52  24.66  24.31  24.51  24610100  24.51
2014-01-29  24.52  24.73  24.4  24.45  27145700  24.45
2014-01-28  24.47  24.81  24.33  24.66  32453800  24.66
2014-01-27  24.54  24.76  24.43  24.49  32564900  24.49
2014-01-24  24.65  24.96  24.56  24.58  34838700  24.58
2014-01-23  24.93  25.01  24.66  24.89  40241000  24.89
2014-01-22  25.15  25.3  24.91  25.07  48749900  25.07
2014-01-21  25.55  25.56  25.03  25.35  42286400  25.35
2014-01-17  25.12  25.62  25.02  25.61  111758900  25.61
2014-01-16  26.39  26.49  26.08  26.29  48960800  26.29
2014-01-15  26.47  26.87  26.36  26.42  58277700  26.42
2014-01-14  25.76  26.3  25.66  26.26  74142900  26.26
2014-01-13  25.39  25.75  25.18  25.26  40274500  25.26
2014-01-10  25.26  25.61  25.26  25.29  30588800  25.29
2014-01-09  25.18  25.31  25.01  25.07  20878000  25.07
2014-01-08  25.4  25.47  25.06  25.19  29680500  25.19
2014-01-07  25.3  25.49  25.23  25.35  19665100  25.35
2014-01-06  25.53  25.55  25.21  25.22  28682300  25.22
2014-01-03  25.62  25.66  25.36  25.54  27796700  25.54
2014-01-02  25.54  25.58  25.23  25.55  31833300  25.55
2013-12-31  25.56  25.79  25.52  25.71  22808100  25.71
2013-12-30  25.43  25.61  25.36  25.61  19787200  25.61
2013-12-27  25.51  25.56  25.24  25.36  12970600  25.36
2013-12-26  25.19  25.46  25.19  25.46  16957000  25.46
2013-12-24  25.14  25.38  25.11  25.19  12157900  25.19
2013-12-23  25.03  25.19  24.94  25.08  28120800  25.08
2013-12-20  24.87  25.11  24.8  24.82  55380100  24.82
2013-12-19  24.88  25.0  24.65  24.9  31880600  24.9
2013-12-18  24.47  24.96  24.3  24.91  42680500  24.91
2013-12-17  24.19  24.54  24.15  24.43  28158500  24.43
2013-12-16  24.1  24.48  24.1  24.22  25061100  24.22
2013-12-13  23.98  24.26  23.93  24.06  20631200  24.06
2013-12-12  24.49  24.66  24.19  24.24  21917800  24.24
2013-12-11  24.51  24.65  24.17  24.19  24682400  24.19
2013-12-10  24.66  24.74  24.43  24.59  18203700  24.59
2013-12-09  24.6  24.84  24.44  24.69  29614700  24.69
2013-12-06  24.74  25.02  24.52  24.59  53871400  24.59
2013-12-05  23.59  24.12  23.52  24.03  45399100  24.03
2013-12-04  23.3  23.63  23.3  23.52  43466600  23.52
2013-12-03  23.47  23.51  23.18  23.33  35066400  23.33
2013-12-02  23.78  23.78  23.43  23.48  25685300  23.48
2013-11-29  23.67  23.76  23.53  23.61  13802900  23.61
2013-11-27  23.41  23.69  23.29  23.67  28419200  23.67
2013-11-26  23.57  23.62  23.3  23.43  30600800  23.43
2013-11-25  23.8  23.8  23.28  23.53  43389300  23.53
2013-11-22  24.26  24.27  23.61  23.64  77908100  23.64
2013-11-21  24.38  25.05  24.29  24.99  44050600  24.99
2013-11-20  24.47  24.59  24.23  24.33  20288600  24.33
2013-11-19  24.51  24.64  24.38  24.47  24870200  24.47
2013-11-18  24.38  24.47  24.25  24.37  24712500  24.37
2013-11-15  24.17  24.32  24.02  24.29  22866500  24.29
2013-11-14  24.2  24.27  24.12  24.16  20198900  24.16
2013-11-13  24.02  24.39  23.97  24.37  22990300  24.37
2013-11-12  23.76  24.27  23.75  24.2  37813500  24.2
2013-11-11  23.81  24.06  23.7  23.94  19236500  23.94
2013-11-08  23.8  23.89  23.61  23.86  31502900  23.86
2013-11-07  24.14  24.15  23.77  23.83  25631100  23.83
2013-11-06  23.83  24.08  23.66  24.02  25525700  24.02
2013-11-05  23.69  23.88  23.54  23.8  22849900  23.8
2013-11-04  23.87  23.95  23.7  23.81  26639800  23.81
2013-11-01  24.06  24.19  23.77  23.88  28302100  23.88
2013-10-31  24.06  24.27  23.97  24.01  30901400  24.01
2013-10-30  24.07  24.22  23.94  24.04  24091800  24.04
2013-10-29  23.94  24.21  23.89  24.06  29961700  24.06
2013-10-28  23.73  24.04  23.72  23.91  65581600  23.91
2013-10-25  23.66  23.79  23.57  23.79  59634700  23.79
2013-10-24  23.42  23.53  23.34  23.34  47590200  23.34
2013-10-23  23.49  23.6  23.12  23.3  31651100  23.3
2013-10-22  23.72  23.75  23.56  23.62  29010800  23.62
2013-10-21  23.49  23.72  23.38  23.69  35297600  23.69
2013-10-18  23.42  23.54  23.24  23.44  29579100  23.44
2013-10-17  23.14  23.49  23.05  23.47  28694900  23.47
2013-10-16  22.83  23.3  22.79  23.26  47723400  23.26
2013-10-15  22.96  23.15  22.88  22.95  42957700  22.95
2013-10-14  22.66  23.05  22.6  23.01  27176700  23.01
2013-10-11  22.41  22.83  22.4  22.83  24550600  22.83
2013-10-10  22.56  22.79  22.49  22.67  39189400  22.67
2013-10-09  22.09  22.53  22.06  22.17  40435400  22.17
2013-10-08  22.44  22.45  22.06  22.06  36111200  22.06
2013-10-07  22.28  22.57  22.14  22.4  21321300  22.4
2013-10-04  22.17  22.42  22.17  22.38  22550000  22.38
2013-10-03  22.4  22.42  22.08  22.18  34888500  22.18
2013-10-02  22.28  22.47  22.24  22.46  23205400  22.46
2013-10-01  22.51  22.61  22.27  22.4  25888800  22.4
2013-09-30  22.29  22.74  22.18  22.49  32489600  22.49
2013-09-27  22.78  22.95  22.45  22.55  28924100  22.55
2013-09-26  23.3  23.35  22.76  22.97  32003300  22.97
2013-09-25  23.34  23.37  23.14  23.26  19879900  23.26
2013-09-24  23.14  23.41  23.14  23.26  24410100  23.26
2013-09-23  23.26  23.41  23.17  23.18  22437100  23.18
2013-09-20  23.5  23.52  23.13  23.33  47069000  23.33
2013-09-19  23.51  23.64  23.39  23.46  28261400  23.46
2013-09-18  23.4  23.47  23.12  23.45  31975400  23.45
2013-09-17  23.25  23.45  23.23  23.3  37540700  23.3
2013-09-16  23.19  23.26  22.91  22.95  30088500  22.95
2013-09-13  22.62  23.02  22.61  23.0  61134800  23.0
2013-09-12  22.36  22.42  22.18  22.21  29517900  22.21
2013-09-11  22.48  22.55  22.28  22.38  45815300  22.38
2013-09-10  22.64  22.7  22.5  22.55  31705400  22.55
2013-09-09  22.29  22.6  22.27  22.48  27770600  22.48
