Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  77.39  78.3  77.27  78.15  2318100  78.15
2014-02-27  77.67  78.16  77.09  78.1  1289500  78.1
2014-02-26  81.21  81.21  77.23  77.7  1233100  77.7
2014-02-25  77.55  77.66  76.65  77.33  1527300  77.33
2014-02-24  76.67  78.18  76.41  77.41  2680200  77.41
2014-02-21  75.47  78.74  74.2  77.24  5414300  77.24
2014-02-20  73.67  74.19  73.04  73.85  1894000  73.85
2014-02-19  73.19  73.9  72.86  73.42  2359700  73.42
2014-02-18  71.9  73.26  71.68  73.05  2489500  73.05
2014-02-14  70.55  71.87  70.32  71.69  2490600  71.69
2014-02-13  69.49  70.76  69.12  70.72  3164900  70.72
2014-02-12  71.5  72.72  69.02  69.72  5066600  69.72
2014-02-11  71.4  73.0  71.4  72.72  1853900  72.72
2014-02-10  71.54  71.57  70.99  71.45  1774800  71.45
2014-02-07  71.29  71.73  71.01  71.45  2112100  71.45
2014-02-06  70.73  71.36  70.73  71.03  1590600  71.03
2014-02-05  70.54  71.01  70.36  70.75  1462700  70.75
2014-02-04  70.96  71.17  70.7  70.91  1732300  70.91
2014-02-03  73.49  73.79  70.71  70.81  2489300  70.81
2014-01-31  73.26  73.55  72.66  73.25  2103800  73.25
2014-01-30  73.47  74.56  73.2  74.19  1140800  74.19
2014-01-29  73.28  73.99  72.89  73.18  1618500  73.18
2014-01-28  73.35  74.12  73.18  73.48  1776500  73.48
2014-01-27  73.18  73.49  72.83  73.06  1670700  73.06
2014-01-24  75.11  75.43  73.17  73.24  1749800  73.24
2014-01-23  75.06  75.74  74.85  75.32  1339300  75.32
2014-01-22  76.01  76.16  75.17  75.57  2855300  75.57
2014-01-21  77.73  77.78  76.11  76.18  1229300  76.18
2014-01-17  76.06  77.58  76.06  76.99  1764500  76.99
2014-01-16  76.46  77.15  76.36  76.79  1470500  76.79
2014-01-15  76.23  77.22  75.95  76.78  1285600  76.78
2014-01-14  75.34  76.08  75.15  76.06  1113700  76.06
2014-01-13  75.98  76.22  74.82  75.01  1109000  75.01
2014-01-10  76.9  76.96  75.83  76.24  1165200  76.24
2014-01-09  76.8  77.0  76.32  76.63  1130000  76.63
2014-01-08  76.89  77.05  76.01  76.44  2437600  76.44
2014-01-07  75.69  77.16  75.55  76.87  1551000  76.87
2014-01-06  75.61  75.81  75.28  75.55  1268700  75.55
2014-01-03  75.56  76.19  75.34  75.61  998800  75.61
2014-01-02  75.92  75.97  75.21  75.75  1355700  75.75
2013-12-31  76.36  76.57  75.89  76.13  1040800  76.13
2013-12-30  76.44  76.65  76.05  76.38  838100  76.38
2013-12-27  76.17  76.7  75.8  75.9  698400  75.9
2013-12-26  76.02  76.52  75.79  76.16  581300  76.16
2013-12-24  76.31  76.38  76.03  76.23  393500  76.23
2013-12-23  75.46  76.46  75.31  76.13  1362000  76.13
2013-12-20  75.79  76.14  75.06  75.09  6408300  75.09
2013-12-19  75.78  76.02  75.33  75.5  1879200  75.5
2013-12-18  74.21  75.63  73.83  75.62  2327400  75.62
2013-12-17  74.8  74.87  74.35  74.51  1652700  74.51
2013-12-16  74.8  75.29  74.43  74.68  2071200  74.68
2013-12-13  74.44  75.07  74.4  74.84  1698100  74.84
2013-12-12  74.19  74.43  73.54  74.05  1639200  74.05
2013-12-11  75.07  75.42  74.28  74.35  1747400  74.35
2013-12-10  75.33  75.44  74.07  74.82  2112100  74.82
2013-12-09  74.69  74.73  73.94  74.22  1631900  74.22
