Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  48.89  49.22  48.59  48.89  3141900  48.89
2014-02-27  48.92  49.12  48.53  48.85  3615500  48.85
2014-02-26  49.13  49.33  48.73  49.04  2538500  49.04
2014-02-25  48.92  49.45  48.73  49.08  2868900  49.08
2014-02-24  48.93  49.37  48.88  48.89  2384100  48.89
2014-02-21  49.14  49.39  48.66  49.16  4445700  49.16
2014-02-20  48.75  49.38  48.47  49.37  4065500  49.37
2014-02-19  48.98  49.71  48.67  48.71  3365900  48.71
2014-02-18  49.09  49.35  49.01  49.21  2513600  49.21
2014-02-14  49.0  49.35  48.86  49.18  3015700  49.18
2014-02-13  48.29  49.21  48.27  49.1  2839200  49.1
2014-02-12  48.36  48.83  48.02  48.77  4026200  48.77
2014-02-11  47.66  48.33  47.47  48.09  3546000  48.09
2014-02-10  47.06  48.03  46.97  47.7  5259900  47.7
2014-02-07  46.87  47.3  46.51  47.08  2498700  47.08
2014-02-06  46.61  46.73  46.22  46.65  2499100  46.65
2014-02-05  45.37  46.73  45.1  46.5  6461100  46.5
2014-02-04  45.22  46.15  44.35  45.49  5814800  45.49
2014-02-03  47.3  47.63  45.47  45.73  5449900  45.73
2014-01-31  46.18  47.97  46.15  47.4  5682600  47.4
2014-01-30  46.76  47.18  46.16  46.77  2632200  46.77
2014-01-29  45.39  47.19  45.23  46.57  6449700  46.57
2014-01-28  46.24  46.34  45.29  45.8  4024600  45.8
2014-01-27  45.41  45.76  44.99  45.41  3726700  45.41
2014-01-24  46.85  46.97  45.22  45.23  5793500  45.23
2014-01-23  47.11  47.48  46.92  47.15  4357000  47.15
2014-01-22  47.84  48.09  47.38  47.4  4160900  47.4
2014-01-21  48.45  48.45  47.7  47.83  2314400  47.83
2014-01-17  48.62  48.66  47.87  47.99  2364500  47.99
2014-01-16  48.45  48.68  48.32  48.51  1838400  48.51
2014-01-15  48.53  48.65  48.17  48.49  2327900  48.49
2014-01-14  47.89  48.43  47.76  48.36  2496200  48.36
2014-01-13  48.41  48.7  47.67  47.78  3364800  47.78
2014-01-10  48.85  49.0  48.15  48.58  3412700  48.58
2014-01-09  48.67  49.0  47.88  48.84  3620800  48.84
2014-01-08  48.55  48.67  48.18  48.66  2399900  48.66
2014-01-07  48.18  48.83  48.18  48.61  2806800  48.61
2014-01-06  48.55  48.8  48.12  48.14  2275500  48.14
2014-01-03  48.45  48.59  48.12  48.27  2326300  48.27
2014-01-02  48.23  48.8  48.19  48.45  2152700  48.45
2013-12-31  48.64  49.06  48.48  48.68  1699800  48.68
2013-12-30  48.64  48.79  48.33  48.65  1361800  48.65
2013-12-27  49.11  49.11  48.55  48.69  1382000  48.69
2013-12-26  48.87  49.0  48.65  48.88  1448900  48.88
2013-12-24  48.5  49.05  48.41  48.77  1190400  48.77
2013-12-23  48.21  49.07  48.13  48.53  2698500  48.53
2013-12-20  48.69  48.84  47.95  48.0  5829900  48.0
2013-12-19  48.88  48.97  48.14  48.5  4452200  48.5
2013-12-18  48.34  49.16  47.91  49.13  6179500  49.13
2013-12-17  47.87  48.24  47.41  48.01  5333100  48.01
2013-12-16  47.73  48.4  47.13  48.03  7539200  48.03
2013-12-13  46.06  47.89  45.93  47.48  7677500  47.48
2013-12-12  45.77  46.12  45.48  45.85  2100000  45.85
2013-12-11  46.66  46.91  45.76  45.9  2722900  45.9
2013-12-10  46.42  46.83  46.21  46.53  3912700  46.53
2013-12-09  46.2  46.63  46.11  46.48  2639300  46.48
2013-12-06  46.11  46.2  45.79  46.1  4774200  46.1
2013-12-05  45.57  45.86  45.43  45.74  2870400  45.74
2013-12-04  45.81  46.05  45.05  45.68  3928500  45.68
2013-12-03  46.33  46.59  45.43  45.94  3682600  45.94
2013-12-02  46.29  46.99  46.26  46.45  3709300  46.45
2013-11-29  46.46  46.7  46.22  46.31  1326200  46.31
2013-11-27  46.85  46.93  46.17  46.39  2350900  46.39
2013-11-26  46.59  46.91  46.14  46.58  3193800  46.58
2013-11-25  46.55  46.88  46.11  46.56  4070000  46.56
2013-11-22  46.4  46.65  45.81  46.55  3715900  46.55
2013-11-21  44.95  46.66  44.95  46.37  6611400  46.37
2013-11-20  44.82  45.23  44.71  44.89  2821800  44.89
2013-11-19  44.98  45.36  44.8  44.87  4017900  44.87
2013-11-18  45.43  45.56  44.87  44.95  3088100  44.95
2013-11-15  45.06  45.41  44.8  45.2  3541400  45.2
2013-11-14  44.29  44.88  44.08  44.77  4367100  44.77
2013-11-13  43.57  44.28  43.48  44.23  3415700  44.23
2013-11-12  43.78  44.01  43.47  43.76  3320200  43.76
2013-11-11  43.5  44.17  43.47  43.84  4150000  43.84
2013-11-08  42.46  43.32  42.4  43.3  3547800  43.3
2013-11-07  42.99  43.16  42.42  42.45  3848900  42.45
2013-11-06  43.11  43.22  42.65  42.78  4001100  42.78
2013-11-05  44.26  44.3  42.89  42.91  7088100  42.91
2013-11-04  44.4  44.68  44.13  44.66  3151400  44.66
2013-11-01  44.13  44.35  43.95  44.28  2755600  44.28
2013-10-31  43.81  44.31  43.72  43.94  3628200  43.94
2013-10-30  43.87  44.07  43.55  43.79  4250800  43.79
2013-10-29  44.42  44.69  43.63  43.83  3447900  43.83
2013-10-28  44.81  44.84  44.28  44.38  3312800  44.38
2013-10-25  44.72  44.91  44.39  44.88  4049400  44.88
2013-10-24  44.09  45.28  43.78  44.3  5912200  44.3
2013-10-23  43.75  44.07  43.2  43.72  3211800  43.72
2013-10-22  44.06  44.08  43.57  43.87  4032900  43.87
2013-10-21  44.67  44.67  43.61  43.79  4472300  43.79
2013-10-18  44.87  45.05  44.33  44.79  2632000  44.79
2013-10-17  44.18  44.78  44.18  44.6  3854500  44.6
2013-10-16  44.11  44.42  43.83  44.29  2890500  44.29
2013-10-15  44.73  45.08  43.79  43.91  4863600  43.91
2013-10-14  43.78  44.94  43.73  44.66  5045300  44.66
2013-10-11  43.54  44.41  43.23  44.21  4755600  44.21
2013-10-10  43.27  43.68  42.79  43.61  4822200  43.61
2013-10-09  42.56  42.84  42.27  42.52  3245000  42.52
2013-10-08  43.07  43.14  42.47  42.51  6118800  42.51
2013-10-07  42.7  43.29  42.4  43.03  5327600  43.03
2013-10-04  43.36  43.36  42.6  43.04  5726500  43.04
2013-10-03  43.97  43.97  43.01  43.2  6014200  43.2
2013-10-02  44.15  44.45  43.65  43.93  5258800  43.93
2013-10-01  44.11  44.85  43.95  44.6  4032300  44.6
2013-09-30  43.75  44.43  43.29  44.13  7045600  44.13
2013-09-27  45.37  45.37  44.54  44.76  7278900  44.76
2013-09-26  46.01  46.87  46.01  46.58  2140800  46.58
2013-09-25  46.37  46.47  45.94  46.0  2893200  46.0
2013-09-24  46.21  46.89  46.15  46.33  2963300  46.33
2013-09-23  47.01  47.01  46.2  46.38  3293900  46.38
2013-09-20  47.34  47.52  46.92  47.07  3418200  47.07
2013-09-19  47.44  47.89  47.08  47.1  4530500  47.1
2013-09-18  47.49  47.71  46.63  47.38  5444400  47.38
2013-09-17  48.65  48.66  47.2  47.39  4917600  47.39
2013-09-16  49.13  49.18  48.52  48.67  3952300  48.67
2013-09-13  47.45  47.98  47.31  47.94  2249800  47.94
2013-09-12  48.37  48.37  47.28  47.41  4345400  47.41
2013-09-11  48.99  49.0  47.68  48.62  4164300  48.62
2013-09-10  48.61  49.21  48.38  48.53  3618600  48.53
2013-09-09  47.24  48.55  47.24  48.41  2882500  48.41
2013-09-06  47.05  47.4  46.27  47.14  1638900  47.14
2013-09-05  47.0  47.42  46.88  46.93  1313200  46.93
2013-09-04  46.73  47.45  46.53  47.08  2035900  47.08
2013-09-03  47.09  47.48  46.32  46.76  1583700  46.76
2013-08-30  47.06  47.16  46.25  46.5  2302400  46.5
2013-08-29  46.14  47.65  45.99  46.98  3793400  46.98
2013-08-28  45.76  46.32  45.51  46.29  2829500  46.29
2013-08-27  46.2  46.38  45.59  45.8  2646400  45.8
2013-08-26  46.22  46.98  45.98  46.49  3375500  46.49
2013-08-23  45.96  46.22  45.3  46.15  2431600  46.15
2013-08-22  45.99  46.05  45.53  45.79  3005000  45.79
2013-08-21  46.19  46.42  45.64  45.84  3090200  45.84
2013-08-20  46.3  46.72  46.04  46.49  2625800  46.49
2013-08-19  47.28  47.28  46.26  46.28  2468700  46.28
2013-08-16  46.6  47.47  46.34  47.25  3496400  47.25
2013-08-15  47.62  47.62  46.63  46.63  3991200  46.63
2013-08-14  47.28  48.74  47.26  48.16  3955500  48.16
2013-08-13  47.34  47.54  46.82  47.4  2191900  47.4
2013-08-12  46.87  47.35  46.62  47.2  2112400  47.2
2013-08-09  46.89  47.33  46.61  47.0  2466200  47.0
2013-08-08  47.23  47.56  46.9  46.96  2668700  46.96
2013-08-07  47.1  47.56  46.65  46.95  2216900  46.95
2013-08-06  47.51  47.77  47.06  47.23  2117500  47.23
2013-08-05  48.32  48.45  47.51  47.61  2523000  47.61
2013-08-02  48.31  48.44  47.97  48.35  1761500  48.35
2013-08-01  47.76  48.68  47.76  48.44  3283700  48.44
2013-07-31  47.72  48.16  47.23  47.29  2086100  47.29
2013-07-30  47.83  48.27  47.52  47.74  1905000  47.74
2013-07-29  47.97  48.01  47.43  47.76  1650300  47.76
2013-07-26  48.76  49.04  47.57  48.07  4019600  48.07
2013-07-25  46.01  49.27  45.77  49.13  9128200  49.13
2013-07-24  46.06  46.63  46.06  46.21  4384700  46.21
2013-07-23  46.47  46.65  45.86  45.89  3520600  45.89
2013-07-22  46.68  47.09  46.36  46.4  2887100  46.4
2013-07-19  46.99  47.1  46.32  46.71  3358400  46.71
2013-07-18  46.79  47.31  46.73  46.86  2785200  46.86
2013-07-17  47.75  47.91  46.5  46.75  3659300  46.75
2013-07-16  47.12  47.47  46.89  47.37  3308400  47.37
2013-07-15  46.93  47.21  46.58  47.09  2693800  47.09
2013-07-12  46.33  47.23  46.19  47.11  4313600  47.11
2013-07-11  46.1  46.63  45.92  46.55  4023700  46.55
2013-07-10  45.74  45.78  45.21  45.46  3330500  45.46
2013-07-09  45.88  46.06  45.66  45.9  2937200  45.9
2013-07-08  45.56  45.85  45.45  45.58  2615100  45.58
2013-07-05  45.19  45.4  44.86  45.34  1525800  45.34
2013-07-03  44.43  44.88  44.33  44.8  1989300  44.8
2013-07-02  44.15  44.86  44.09  44.78  4884900  44.78
2013-07-01  43.6  44.25  43.6  44.17  4085400  44.17
2013-06-28  42.72  43.59  42.22  43.37  9660300  43.37
2013-06-27  43.42  43.68  42.94  42.97  3259900  42.97
2013-06-26  42.78  43.28  42.36  43.2  3485500  43.2
2013-06-25  42.42  42.66  41.97  42.39  3730700  42.39
2013-06-24  41.95  42.29  41.46  41.98  4927300  41.98
2013-06-21  43.95  43.95  41.6  42.68  5942000  42.68
2013-06-20  44.13  44.41  43.15  43.32  3177200  43.32
2013-06-19  44.95  45.56  44.8  44.8  2800000  44.8
2013-06-18  45.32  45.51  44.68  45.0  2709800  45.0
2013-06-17  44.81  45.71  44.78  45.28  2805000  45.28
2013-06-14  44.65  44.87  44.29  44.39  2100900  44.39
2013-06-13  43.65  44.73  43.13  44.64  3655600  44.64
2013-06-12  44.82  44.93  43.09  43.1  3147200  43.1
2013-06-11  44.06  44.61  43.88  44.35  2191100  44.35
2013-06-10  44.66  44.91  44.27  44.6  3339000  44.6
2013-06-07  44.37  44.72  44.21  44.65  4184200  44.65
2013-06-06  43.37  44.07  43.35  44.07  3370000  44.07
2013-06-05  44.39  44.52  43.37  43.38  4586400  43.38
2013-06-04  45.07  45.38  44.17  44.55  3619500  44.55
2013-06-03  45.24  45.3  44.02  44.96  3413700  44.96
2013-05-31  45.55  46.21  45.17  45.17  2394900  45.17
2013-05-30  45.89  46.27  45.62  45.84  2184500  45.84
2013-05-29  46.43  46.52  45.58  45.87  3617900  45.87
2013-05-28  46.73  47.43  46.66  46.83  2781800  46.83
2013-05-24  45.99  46.29  45.61  46.05  2160600  46.05
2013-05-23  44.8  46.41  44.74  46.18  4161500  46.18
2013-05-22  46.54  46.97  45.29  45.52  3499600  45.52
2013-05-21  46.3  46.7  45.97  46.45  2658700  46.45
2013-05-20  46.74  47.18  46.12  46.21  3114500  46.21
2013-05-17  46.4  46.95  46.35  46.86  3057900  46.86
2013-05-16  47.26  47.57  45.93  46.12  4602800  46.12
2013-05-15  46.74  47.6  46.49  47.35  3443900  47.35
2013-05-14  46.33  47.03  46.3  46.95  3749300  46.95
2013-05-13  45.17  46.32  45.14  46.23  4142100  46.23
2013-05-10  45.56  45.69  44.82  45.23  2925000  45.23
2013-05-09  45.64  45.9  45.35  45.64  2295400  45.64
2013-05-08  45.13  45.81  45.01  45.63  2686700  45.63
2013-05-07  44.64  45.32  44.6  45.25  3564400  45.25
2013-05-06  44.37  44.85  44.07  44.64  2896800  44.64
2013-05-03  43.78  44.84  43.6  44.37  4477200  44.37
2013-05-02  42.67  43.53  42.01  43.06  11165100  43.06
2013-05-01  45.49  45.6  44.42  44.64  5005900  44.64
2013-04-30  45.97  46.01  45.48  45.7  3258100  45.7
2013-04-29  45.63  46.13  45.58  45.91  2701500  45.91
2013-04-26  46.31  46.54  45.04  45.14  4535700  45.14
2013-04-25  47.23  47.42  46.18  46.28  3942600  46.28
2013-04-24  46.52  47.37  46.52  47.17  3522600  47.17
2013-04-23  46.05  46.44  45.37  46.39  3280100  46.39
2013-04-22  45.4  46.02  45.04  45.86  6430000  45.86
2013-04-19  44.11  45.04  43.92  44.42  3516600  44.42
2013-04-18  44.96  44.99  43.5  43.72  3327400  43.72
2013-04-17  45.47  45.47  44.11  44.75  4059600  44.75
2013-04-16  45.35  46.42  45.19  46.17  4420600  46.17
2013-04-15  46.46  46.5  43.93  44.1  6304400  44.1
2013-04-12  46.7  47.49  46.25  46.88  3030300  46.88
2013-04-11  46.69  47.76  46.64  46.91  4976100  46.91
2013-04-10  46.06  46.56  46.0  46.43  3244900  46.43
2013-04-09  46.1  46.24  45.82  46.03  2892000  46.03
2013-04-08  44.91  45.91  44.84  45.86  3408000  45.86
2013-04-05  44.5  45.01  44.16  44.89  3758600  44.89
2013-04-04  45.19  45.67  45.14  45.43  3272900  45.43
2013-04-03  46.75  46.77  44.93  45.03  7470400  45.03
2013-04-02  45.4  47.26  45.28  46.75  8192400  46.75
2013-04-01  45.24  45.39  44.88  45.04  3495800  45.04
2013-03-28  44.36  45.46  44.28  45.31  5165900  45.31
