Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  17.5  17.83  17.5  17.72  4856200  17.72
2014-02-27  17.06  17.49  16.98  17.49  5977200  17.49
2014-02-26  17.1  17.14  16.95  17.02  3657100  17.02
2014-02-25  17.04  17.1  16.88  17.09  4005900  17.09
2014-02-24  16.79  17.19  16.75  17.07  3741600  17.07
2014-02-21  16.96  16.99  16.74  16.75  2709700  16.75
2014-02-20  16.68  16.96  16.63  16.93  3963300  16.93
2014-02-19  16.34  16.86  16.31  16.61  5617100  16.61
2014-02-18  16.45  16.47  16.2  16.33  7921600  16.33
2014-02-14  16.91  16.96  16.27  16.39  9602000  16.39
2014-02-13  16.79  17.04  16.72  17.03  3569300  17.03
2014-02-12  16.46  16.88  16.44  16.87  3212600  16.87
2014-02-11  16.6  16.63  16.4  16.46  5358300  16.46
2014-02-10  16.47  16.64  16.31  16.51  3746800  16.51
2014-02-07  16.65  16.72  16.42  16.51  3535400  16.51
2014-02-06  16.27  16.61  16.23  16.61  5406500  16.61
2014-02-05  16.19  16.28  16.03  16.18  4887900  16.18
2014-02-04  15.99  16.44  15.99  16.28  5824900  16.28
2014-02-03  16.25  16.32  15.81  15.96  5977800  15.96
2014-01-31  16.2  16.4  16.12  16.23  3920900  16.23
2014-01-30  16.51  16.61  16.4  16.48  2757000  16.48
2014-01-29  16.54  16.59  16.34  16.35  3526200  16.35
2014-01-28  16.47  16.7  16.46  16.69  3355400  16.69
2014-01-27  16.68  16.73  16.23  16.38  5045900  16.38
2014-01-24  16.96  16.99  16.58  16.7  4154300  16.7
2014-01-23  17.32  17.32  17.08  17.11  2734300  17.11
2014-01-22  17.43  17.5  17.31  17.46  2548400  17.46
2014-01-21  17.46  17.63  17.35  17.43  2716300  17.43
2014-01-17  17.45  17.51  17.31  17.36  1582900  17.36
2014-01-16  17.57  17.6  17.39  17.44  3146500  17.44
2014-01-15  17.62  17.75  17.56  17.62  2567400  17.62
2014-01-14  17.34  17.65  17.28  17.64  3866800  17.64
2014-01-13  17.46  17.51  17.27  17.31  4878800  17.31
2014-01-10  17.35  17.54  17.28  17.53  3907300  17.53
2014-01-09  17.43  17.48  17.16  17.3  5339600  17.3
2014-01-08  17.36  17.44  17.2  17.42  4618000  17.42
2014-01-07  17.35  17.47  17.28  17.4  3100900  17.4
2014-01-06  17.61  17.61  17.21  17.27  3587500  17.27
2014-01-03  17.56  17.6  17.5  17.52  2434600  17.52
2014-01-02  17.5  17.57  17.37  17.5  3238000  17.5
2013-12-31  17.5  17.71  17.46  17.6  3670800  17.6
2013-12-30  17.28  17.51  17.27  17.47  2531600  17.47
2013-12-27  17.34  17.39  17.22  17.32  1772500  17.32
2013-12-26  17.06  17.25  17.05  17.23  2314600  17.23
2013-12-24  16.86  17.09  16.86  17.09  855900  17.09
2013-12-23  16.94  16.96  16.71  16.91  3850700  16.91
2013-12-20  16.76  16.88  16.68  16.81  5970200  16.81
2013-12-19  16.74  16.9  16.64  16.69  3179000  16.69
2013-12-18  16.33  16.75  16.21  16.73  3959300  16.73
2013-12-17  16.34  16.49  16.22  16.28  3870700  16.28
2013-12-16  16.46  16.58  16.34  16.34  4055800  16.34
2013-12-13  16.61  16.72  16.4  16.41  3619700  16.41
2013-12-12  16.61  16.79  16.58  16.59  2955000  16.59
2013-12-11  16.97  16.99  16.65  16.67  3183300  16.67
2013-12-10  16.99  17.22  16.94  16.97  3628100  16.97
2013-12-09  16.85  17.03  16.79  17.02  3540500  17.02
2013-12-06  16.78  16.88  16.69  16.79  3685400  16.79
2013-12-05  16.89  16.9  16.65  16.68  4453100  16.68
2013-12-04  16.76  17.06  16.63  16.9  5499900  16.9
2013-12-03  17.19  17.19  16.83  16.87  4366500  16.87
2013-12-02  17.31  17.36  17.1  17.13  3201100  17.13
2013-11-29  17.23  17.42  17.19  17.3  1460900  17.3
2013-11-27  17.19  17.38  17.14  17.28  3760900  17.28
2013-11-26  16.92  17.19  16.89  17.11  4092700  17.11
2013-11-25  17.18  17.22  16.89  16.91  4215400  16.91
2013-11-22  17.17  17.37  17.13  17.17  4262700  17.17
2013-11-21  16.87  17.13  16.8  17.13  3259000  17.13
2013-11-20  16.87  17.0  16.76  16.79  3006900  16.79
2013-11-19  16.84  17.09  16.82  16.86  4402700  16.86
2013-11-18  16.86  17.08  16.81  16.88  4069000  16.88
