Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  28.85  29.09  27.12  27.2  3234600  27.2
2014-02-27  28.51  28.92  28.29  28.41  2092000  28.41
2014-02-26  28.92  29.0  28.43  28.53  982100  28.53
2014-02-25  28.59  28.9  28.49  28.8  1274000  28.8
2014-02-24  28.65  29.19  28.53  28.62  1516900  28.62
2014-02-21  28.35  28.73  28.16  28.61  1457700  28.61
2014-02-20  28.31  28.41  28.1  28.3  1164900  28.3
2014-02-19  28.13  28.58  28.13  28.31  1087300  28.31
2014-02-18  28.02  28.35  27.87  28.26  1240100  28.26
2014-02-14  27.58  28.09  27.49  28.01  990200  28.01
2014-02-13  27.06  27.63  27.0  27.61  954300  27.61
2014-02-12  27.17  27.27  26.94  27.18  1179500  27.18
2014-02-11  26.98  27.34  26.97  27.12  1479800  27.12
2014-02-10  26.86  27.41  26.77  26.98  3019200  26.98
2014-02-07  27.2  27.47  26.64  26.74  2587200  26.74
2014-02-06  26.48  27.18  26.46  27.01  2013200  27.01
2014-02-05  26.2  26.52  26.17  26.45  1619100  26.45
2014-02-04  26.09  26.52  26.0  26.39  1965900  26.39
2014-02-03  26.48  26.57  25.75  25.9  3231300  25.9
2014-01-31  26.44  26.67  26.31  26.41  2541700  26.41
2014-01-30  26.89  27.03  26.64  26.73  1064700  26.73
2014-01-29  27.07  27.31  26.72  26.74  1665800  26.74
2014-01-28  27.16  27.54  27.11  27.24  1783300  27.24
2014-01-27  27.4  27.82  27.15  27.2  2440400  27.2
2014-01-24  27.64  27.77  27.19  27.41  3826100  27.41
2014-01-23  27.73  27.9  27.39  27.88  1742800  27.88
2014-01-22  27.61  28.08  27.6  27.87  1663300  27.87
2014-01-21  27.56  27.65  26.56  27.49  2571700  27.49
2014-01-17  27.53  27.93  27.44  27.51  2700900  27.51
2014-01-16  27.49  27.67  26.96  27.44  3517800  27.44
2014-01-15  27.46  27.76  27.31  27.49  7404200  27.49
2014-01-14  27.79  27.89  27.48  27.49  2239400  27.49
2014-01-13  27.78  27.89  27.03  27.69  4228200  27.69
2014-01-10  28.01  28.04  27.56  27.86  2413400  27.86
2014-01-09  28.22  28.3  27.49  28.0  2333400  28.0
2014-01-08  28.89  29.19  27.82  28.21  4142500  28.21
2014-01-07  29.34  29.45  28.27  28.77  3511700  28.77
2014-01-06  29.54  29.88  29.06  29.28  1202100  29.28
2014-01-03  29.59  29.76  29.26  29.43  1073600  29.43
2014-01-02  30.26  30.48  29.22  29.49  1886400  29.49
2013-12-31  30.6  30.71  30.13  30.35  775100  30.35
2013-12-30  30.45  30.73  30.4  30.49  796600  30.49
2013-12-27  30.72  30.72  30.32  30.55  491400  30.55
2013-12-26  30.6  30.8  30.26  30.59  1024900  30.59
2013-12-24  29.77  30.59  29.58  30.55  1011900  30.55
2013-12-23  29.61  30.12  29.52  29.83  1598300  29.83
2013-12-20  29.05  29.56  28.98  29.54  2260300  29.54
2013-12-19  29.09  29.35  28.81  28.97  1179400  28.97
2013-12-18  28.58  29.29  28.4  29.09  1842500  29.09
2013-12-17  29.03  29.21  28.47  28.61  1547100  28.61
2013-12-16  29.25  29.53  28.99  29.26  1581600  29.26
2013-12-13  28.86  29.36  28.82  29.23  1230900  29.23
2013-12-12  28.79  28.96  28.44  28.79  1897800  28.79
2013-12-11  28.29  29.18  28.22  28.91  2517400  28.91
