Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  34.08  34.52  33.98  34.3  4578000  34.3
2014-02-27  33.07  34.12  33.05  34.12  3675100  34.12
2014-02-26  33.38  33.57  33.03  33.11  3992500  33.11
2014-02-25  33.83  33.95  33.25  33.34  2558500  33.34
2014-02-24  33.53  34.06  33.45  33.83  2660300  33.83
2014-02-21  33.68  33.74  33.31  33.54  4027700  33.54
2014-02-20  33.78  33.98  33.39  33.69  2995000  33.69
2014-02-19  33.99  34.62  33.78  33.82  2843500  33.82
2014-02-18  34.29  34.48  33.95  34.14  2644600  34.14
2014-02-14  34.19  34.35  33.91  34.14  2435400  34.14
2014-02-13  33.84  34.32  33.69  34.3  2932400  34.3
2014-02-12  34.22  34.62  34.02  34.13  3561600  34.13
2014-02-11  34.0  34.34  33.73  34.13  5226000  34.13
2014-02-10  33.2  34.23  33.19  33.88  8796000  33.88
2014-02-07  32.73  33.17  32.23  32.66  4645500  32.66
2014-02-06  31.69  32.59  31.61  32.54  5530200  32.54
2014-02-05  32.08  32.24  31.52  31.56  5066300  31.56
2014-02-04  31.96  32.52  31.65  32.25  3929500  32.25
2014-02-03  32.84  32.9  31.6  31.68  4662100  31.68
2014-01-31  34.2  34.2  32.66  33.03  3903200  33.03
2014-01-30  33.46  34.04  33.23  33.28  4303400  33.28
2014-01-29  32.58  33.1  32.47  32.83  6463500  32.83
2014-01-28  32.99  33.52  32.99  33.21  5133800  33.21
2014-01-27  33.3  33.52  32.51  32.86  3250600  32.86
2014-01-24  34.46  34.6  33.25  33.26  3782500  33.26
2014-01-23  35.35  35.42  34.7  34.76  3690700  34.76
2014-01-22  34.99  35.66  34.85  35.62  3207200  35.62
2014-01-21  34.96  35.14  34.66  34.81  2487300  34.81
2014-01-17  34.97  35.07  34.68  34.78  2653600  34.78
2014-01-16  35.23  35.3  34.93  34.97  2395800  34.97
2014-01-15  35.02  35.26  34.81  35.23  3024300  35.23
2014-01-14  34.99  35.18  34.61  34.99  3651700  34.99
2014-01-13  35.56  35.74  34.73  34.82  3299600  34.82
2014-01-10  36.05  36.15  35.42  35.62  3813400  35.62
2014-01-09  36.47  36.48  35.72  35.8  3090400  35.8
2014-01-08  36.49  36.49  36.14  36.29  2391900  36.29
2014-01-07  36.46  36.64  36.32  36.45  2293800  36.45
2014-01-06  36.35  36.49  36.01  36.13  3758500  36.13
2014-01-03  35.78  36.04  35.74  35.88  2036600  35.88
2014-01-02  36.03  36.17  35.44  35.64  1866200  35.64
2013-12-31  36.16  36.45  36.09  36.16  1593900  36.16
2013-12-30  36.2  36.55  36.06  36.11  1477900  36.11
2013-12-27  36.28  36.46  36.12  36.25  1324800  36.25
2013-12-26  36.2  36.49  36.16  36.31  1712800  36.31
2013-12-24  36.01  36.27  35.97  36.19  1197300  36.19
2013-12-23  35.76  36.08  35.64  36.01  2536300  36.01
2013-12-20  35.05  35.66  35.05  35.6  3999700  35.6
2013-12-19  35.11  35.31  34.86  35.02  2539200  35.02
2013-12-18  34.33  35.14  33.72  35.13  4845000  35.13
2013-12-17  34.87  34.98  34.23  34.24  4234400  34.24
2013-12-16  34.59  35.01  34.54  34.84  2792800  34.84
2013-12-13  34.39  34.6  34.16  34.35  2947100  34.35
2013-12-12  34.43  34.54  34.05  34.16  3086900  34.16
2013-12-11  35.24  35.26  34.34  34.41  3780900  34.41
2013-12-10  35.28  35.43  35.0  35.15  2435000  35.15
2013-12-09  35.3  35.63  35.11  35.44  2683300  35.44
2013-12-06  34.71  35.47  34.71  35.23  4503300  35.23
2013-12-05  34.4  34.62  34.12  34.16  4365900  34.16
2013-12-04  34.5  34.98  34.32  34.69  4479300  34.69
2013-12-03  34.68  34.8  34.5  34.76  3861700  34.76
2013-12-02  34.63  35.25  34.58  34.91  3833400  34.91
2013-11-29  34.87  35.03  34.57  34.62  1569700  34.62
2013-11-27  34.36  35.0  34.26  34.8  4264800  34.8
2013-11-26  34.14  34.42  33.98  34.29  4263700  34.29
2013-11-25  33.8  34.17  33.58  34.04  2982200  34.04
2013-11-22  33.62  33.83  33.33  33.68  3271200  33.68
2013-11-21  33.33  33.63  33.14  33.56  3163900  33.56
2013-11-20  33.53  33.72  33.16  33.26  3539900  33.26
2013-11-19  33.51  33.62  33.25  33.38  3909700  33.38
2013-11-18  33.63  33.83  33.39  33.49  2625200  33.49
2013-11-15  33.55  33.85  33.41  33.62  2881800  33.62
2013-11-14  33.73  33.87  33.32  33.62  4619100  33.62
2013-11-13  32.5  32.97  32.3  32.84  4955200  32.84
2013-11-12  33.12  33.23  32.62  32.77  3528700  32.77
2013-11-11  33.22  33.45  32.89  33.13  2544700  33.13
2013-11-08  31.82  32.88  31.82  32.88  4124500  32.88
2013-11-07  32.75  32.89  31.92  31.95  4543400  31.95
2013-11-06  32.62  32.95  32.32  32.63  3293000  32.63
2013-11-05  32.82  32.9  32.3  32.48  4654000  32.48
2013-11-04  33.58  33.58  32.89  32.92  4525800  32.92
2013-11-01  33.47  33.72  33.24  33.4  4096200  33.4
2013-10-31  33.21  33.8  32.89  33.31  8799300  33.31
2013-10-30  33.03  33.08  32.4  32.48  3296100  32.48
2013-10-29  32.37  32.93  32.35  32.92  4672300  32.92
2013-10-28  32.36  32.43  31.99  32.32  2659200  32.32
2013-10-25  32.3  32.5  32.19  32.44  2567200  32.44
2013-10-24  32.16  32.26  31.98  32.22  3464500  32.22
2013-10-23  31.99  32.1  31.68  32.03  3765600  32.03
2013-10-22  32.32  32.4  31.82  32.07  4121700  32.07
2013-10-21  32.47  32.48  32.07  32.1  3073200  32.1
2013-10-18  32.21  32.5  32.03  32.34  5755400  32.34
2013-10-17  31.45  32.35  31.45  32.03  9351100  32.03
2013-10-16  31.75  31.9  31.09  31.65  15398100  31.65
2013-10-15  34.09  34.18  31.66  32.0  22098900  32.0
2013-10-14  33.57  34.28  33.49  34.2  3070200  34.2
2013-10-11  33.46  34.19  33.34  33.9  3749600  33.9
2013-10-10  32.5  33.49  32.5  33.48  6236400  33.48
2013-10-09  31.29  31.94  31.13  31.74  4228100  31.74
2013-10-08  31.6  31.86  31.09  31.09  3565200  31.09
2013-10-07  31.65  31.88  31.5  31.5  1931400  31.5
2013-10-04  31.62  32.04  31.59  31.96  1506500  31.96
2013-10-03  31.87  31.93  31.22  31.62  2973500  31.62
2013-10-02  31.51  31.94  31.39  31.94  3136800  31.94
2013-10-01  31.59  31.9  31.36  31.8  3407200  31.8
2013-09-30  31.29  31.58  31.17  31.48  2806400  31.48
2013-09-27  31.56  31.72  31.36  31.67  2493200  31.67
2013-09-26  31.6  31.82  31.5  31.81  2188200  31.81
2013-09-25  31.78  31.95  31.58  31.64  1547900  31.64
2013-09-24  32.05  32.11  31.75  31.78  2284000  31.78
2013-09-23  31.97  32.16  31.73  32.05  3585100  32.05
2013-09-20  32.27  32.46  32.08  32.2  5100100  32.2
2013-09-19  32.38  32.58  32.13  32.2  4705300  32.2
2013-09-18  31.24  32.3  31.07  32.12  4833400  32.12
2013-09-17  31.23  31.41  31.07  31.25  1709100  31.25
2013-09-16  31.26  31.42  30.94  31.2  4129000  31.2
2013-09-13  30.62  31.12  30.36  30.65  2391000  30.65
2013-09-12  30.83  31.04  30.56  30.64  3397900  30.64
2013-09-11  30.92  31.12  30.69  30.82  2149700  30.82
2013-09-10  30.79  31.26  30.79  30.96  2855900  30.96
2013-09-09  30.2  30.58  30.2  30.43  2927900  30.43
2013-09-06  30.44  30.61  29.69  30.05  4876300  30.05
2013-09-05  30.71  30.93  30.32  30.36  2862500  30.36
2013-09-04  30.18  30.82  30.1  30.58  2957300  30.58
2013-09-03  30.52  30.77  29.92  30.19  2517900  30.19
2013-08-30  30.51  30.55  29.83  29.96  2417300  29.96
2013-08-29  29.98  30.71  29.91  30.46  2322400  30.46
2013-08-28  29.84  30.31  29.74  30.09  3253200  30.09
2013-08-27  30.32  30.39  29.83  29.92  3433200  29.92
2013-08-26  31.17  31.31  30.8  30.82  2260700  30.82
2013-08-23  31.23  31.35  31.04  31.16  1516300  31.16
2013-08-22  30.76  31.32  30.76  31.19  1760800  31.19
2013-08-21  30.88  31.06  30.38  30.68  2756400  30.68
2013-08-20  30.79  31.16  30.53  31.05  3570200  31.05
2013-08-19  31.28  31.47  30.79  30.79  2760800  30.79
2013-08-16  31.42  31.78  31.35  31.4  3634600  31.4
2013-08-15  31.77  31.86  31.32  31.47  2715800  31.47
2013-08-14  32.45  32.69  32.2  32.22  2087100  32.22
2013-08-13  31.75  32.66  31.75  32.46  4116300  32.46
