Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  14.09  14.14  13.71  13.78  3209500  13.78
2014-02-27  13.77  14.09  13.77  14.06  4993600  14.06
2014-02-26  13.59  13.99  13.5  13.82  5482100  13.82
2014-02-25  13.34  13.6  13.31  13.52  3111200  13.52
2014-02-24  13.44  13.61  13.28  13.4  3394000  13.4
2014-02-21  13.7  13.77  13.42  13.42  3992600  13.42
2014-02-20  13.41  13.69  13.28  13.68  3392900  13.68
2014-02-19  13.53  13.66  13.3  13.38  3749100  13.38
2014-02-18  13.66  13.73  13.4  13.57  2342400  13.57
2014-02-14  13.51  13.72  13.47  13.69  2823000  13.69
2014-02-13  13.22  13.5  13.2  13.49  3190300  13.49
2014-02-12  13.39  13.55  13.32  13.37  2812500  13.37
2014-02-11  13.39  13.5  13.31  13.4  3200300  13.4
2014-02-10  13.28  13.59  13.2  13.39  7399400  13.39
2014-02-07  13.14  13.33  12.97  13.27  4433200  13.27
2014-02-06  12.77  13.26  12.77  13.1  5360700  13.1
2014-02-05  12.81  12.81  12.51  12.68  3599800  12.68
2014-02-04  12.81  12.93  12.65  12.79  3751100  12.79
2014-02-03  13.25  13.34  12.62  12.77  7582100  12.77
2014-01-31  13.57  13.86  13.26  13.29  17449800  13.29
2014-01-30  12.25  12.78  12.05  12.72  10643900  12.72
2014-01-29  11.84  12.07  11.8  12.05  6038900  12.05
2014-01-28  11.93  12.16  11.83  11.89  4257700  11.89
2014-01-27  11.8  12.06  11.68  11.94  3546500  11.94
2014-01-24  12.17  12.23  11.68  11.78  6654600  11.78
2014-01-23  12.49  12.49  12.21  12.24  3785100  12.24
2014-01-22  12.15  12.52  12.14  12.49  3285900  12.49
2014-01-21  12.15  12.22  12.01  12.12  4844200  12.12
2014-01-17  12.1  12.14  12.01  12.04  2515200  12.04
2014-01-16  12.08  12.17  12.06  12.12  3102200  12.12
2014-01-15  12.08  12.24  12.04  12.06  5547900  12.06
2014-01-14  12.09  12.18  12.01  12.08  3028600  12.08
2014-01-13  12.25  12.27  11.93  12.0  5079200  12.0
2014-01-10  12.5  12.5  12.19  12.25  4922100  12.25
2014-01-09  13.07  13.18  12.33  12.41  8561800  12.41
2014-01-08  13.04  13.37  12.93  13.16  4576600  13.16
2014-01-07  12.98  13.05  12.79  13.01  3160100  13.01
2014-01-06  13.07  13.13  12.88  12.89  2909400  12.89
2014-01-03  12.85  13.07  12.85  13.03  2820600  13.03
2014-01-02  12.87  13.09  12.8  12.8  4105800  12.8
2013-12-31  13.03  13.07  12.93  12.99  2497200  12.99
2013-12-30  13.0  13.14  12.99  13.03  2863200  13.03
2013-12-27  12.76  13.05  12.76  13.03  3463700  13.03
2013-12-26  13.0  13.06  12.77  12.77  3066400  12.77
2013-12-24  12.56  12.98  12.56  12.98  1978600  12.98
2013-12-23  12.59  12.69  12.43  12.61  3906200  12.61
2013-12-20  12.35  12.66  12.34  12.56  49718100  12.56
2013-12-19  12.37  12.51  12.28  12.36  3464200  12.36
2013-12-18  12.31  12.4  11.99  12.39  4591100  12.39
2013-12-17  12.2  12.37  12.08  12.32  3507700  12.32
2013-12-16  11.82  12.23  11.82  12.19  5057900  12.19
2013-12-13  11.85  11.89  11.72  11.82  3431100  11.82
2013-12-12  11.99  12.11  11.7  11.8  6917400  11.8
2013-12-11  12.39  12.44  12.11  12.18  3372500  12.18
2013-12-10  12.58  12.6  12.19  12.32  4921100  12.32
2013-12-09  12.69  12.77  12.57  12.64  3132500  12.64
2013-12-06  12.57  12.69  12.4  12.65  6390100  12.65
2013-12-05  12.27  12.36  12.07  12.32  3790200  12.32
2013-12-04  11.88  12.31  11.86  12.25  4239700  12.25
2013-12-03  12.06  12.06  11.86  11.92  2869200  11.92
2013-12-02  12.13  12.18  11.98  12.1  3161500  12.1
2013-11-29  12.15  12.21  12.08  12.14  1017100  12.14
2013-11-27  12.16  12.17  12.0  12.14  2454500  12.14
2013-11-26  11.99  12.19  11.99  12.14  2929200  12.14
2013-11-25  11.97  12.08  11.93  12.02  3380400  12.02
2013-11-22  12.32  12.34  11.92  11.94  5172900  11.94
2013-11-21  12.08  12.36  11.97  12.32  3988500  12.32
2013-11-20  12.06  12.2  11.94  12.0  3288800  12.0
2013-11-19  12.25  12.3  11.83  12.02  6349000  12.02
2013-11-18  12.44  12.45  12.24  12.26  3562500  12.26
2013-11-15  12.21  12.45  12.18  12.4  3441800  12.4
2013-11-14  12.36  12.39  12.08  12.19  4787100  12.19
2013-11-13  12.32  12.57  12.32  12.49  3175500  12.49
2013-11-12  12.44  12.6  12.38  12.45  4582300  12.45
2013-11-11  12.49  12.51  12.28  12.45  3173100  12.45
2013-11-08  12.35  12.54  12.12  12.46  6153000  12.46
2013-11-07  12.8  12.85  12.32  12.37  8310800  12.37
2013-11-06  13.15  13.18  12.79  12.85  5742800  12.85
2013-11-05  13.05  13.29  12.99  13.07  4970600  13.07
2013-11-04  13.05  13.25  12.95  13.1  5013400  13.1
2013-11-01  13.16  13.29  12.85  13.0  7261300  13.0
2013-10-31  13.84  13.9  13.08  13.09  18885500  13.09
2013-10-30  15.14  15.2  14.57  14.75  7656900  14.75
2013-10-29  15.22  15.3  15.05  15.18  3942800  15.18
2013-10-28  15.35  15.4  15.01  15.19  2815900  15.19
2013-10-25  15.37  15.53  15.04  15.3  2844700  15.3
2013-10-24  15.82  15.82  15.09  15.29  6762500  15.29
2013-10-23  16.11  16.11  15.74  15.84  2808100  15.84
2013-10-22  16.36  16.61  15.9  16.21  5889700  16.21
2013-10-21  15.64  16.31  15.61  16.27  8731400  16.27
2013-10-18  15.22  15.6  15.21  15.55  3997400  15.55
2013-10-17  14.95  15.18  14.8  15.17  3066700  15.17
2013-10-16  14.91  15.09  14.85  15.06  3580600  15.06
2013-10-15  14.77  14.93  14.67  14.78  3846600  14.78
2013-10-14  14.56  14.81  14.44  14.78  2121600  14.78
2013-10-11  14.53  14.69  14.45  14.67  1781500  14.67
2013-10-10  14.43  14.6  14.39  14.58  3825900  14.58
2013-10-09  14.61  14.7  13.95  14.24  5834700  14.24
2013-10-08  15.03  15.1  14.46  14.56  3268800  14.56
2013-10-07  14.87  15.15  14.82  15.03  2220400  15.03
2013-10-04  14.73  15.17  14.63  15.08  2674800  15.08
2013-10-03  14.99  15.11  14.61  14.83  2966700  14.83
2013-10-02  14.71  15.08  14.71  15.06  3365300  15.06
2013-10-01  14.73  14.92  14.68  14.89  2534900  14.89
2013-09-30  14.4  14.81  14.31  14.71  3386200  14.71
2013-09-27  14.53  14.78  14.42  14.66  3108200  14.66
2013-09-26  14.67  14.95  14.56  14.65  2665900  14.65
2013-09-25  14.67  14.77  14.47  14.6  3598600  14.6
2013-09-24  14.64  14.82  14.38  14.69  3205100  14.69
2013-09-23  15.04  15.04  14.54  14.65  3873600  14.65
2013-09-20  15.24  15.3  14.95  14.98  4205100  14.98
2013-09-19  15.35  15.45  15.18  15.25  3208300  15.25
2013-09-18  15.24  15.33  15.08  15.22  4192900  15.22
2013-09-17  14.96  15.24  14.94  15.2  2692600  15.2
2013-09-16  15.22  15.35  14.95  14.98  3275900  14.98
2013-09-13  15.01  15.19  14.87  15.01  3881100  15.01
2013-09-12  15.05  15.19  14.95  14.99  4522400  14.99
2013-09-11  15.08  15.14  14.9  15.08  4793200  15.08
2013-09-10  15.02  15.19  14.92  15.13  7845000  15.13
2013-09-09  14.5  14.94  14.43  14.88  7432400  14.88
2013-09-06  14.4  14.8  14.31  14.4  9012300  14.4
2013-09-05  13.68  14.0  13.68  13.96  6001100  13.96
2013-09-04  13.14  13.72  13.13  13.7  8154300  13.7
2013-09-03  13.1  13.19  12.8  12.93  4889600  12.93
2013-08-30  13.16  13.18  12.76  12.83  3578600  12.83
2013-08-29  13.07  13.23  13.03  13.1  3740800  13.1
2013-08-28  13.1  13.22  13.02  13.06  5686400  13.06
2013-08-27  13.29  13.36  13.01  13.06  5044200  13.06
2013-08-26  13.51  13.67  13.48  13.49  3681900  13.49
2013-08-23  13.45  13.62  13.36  13.55  5651700  13.55
2013-08-22  13.23  13.57  13.2  13.43  4535400  13.43
2013-08-21  13.29  13.43  13.18  13.21  3582300  13.21
2013-08-20  13.45  13.52  13.35  13.4  4759100  13.4
2013-08-19  13.66  13.75  13.38  13.4  5547900  13.4
2013-08-16  13.66  13.94  13.61  13.66  28238500  13.66
2013-08-15  13.93  13.93  13.43  13.45  9124900  13.45
2013-08-14  14.62  15.0  14.18  14.23  14575700  14.23
2013-08-13  14.95  15.0  14.72  14.8  7966500  14.8
2013-08-12  14.53  14.94  14.52  14.8  2213300  14.8
2013-08-09  14.7  14.8  14.55  14.67  2308200  14.67
2013-08-08  14.9  14.92  14.66  14.76  2622600  14.76
2013-08-07  14.64  14.8  14.41  14.73  6197900  14.73
2013-08-06  14.72  14.75  14.24  14.28  5775700  14.28
2013-08-05  14.96  15.03  14.64  14.77  4194200  14.77
2013-08-02  14.98  15.14  14.83  15.09  1769900  15.09
2013-08-01  14.79  15.11  14.73  15.06  2674500  15.06
2013-07-31  14.62  14.82  14.57  14.67  3897500  14.67
2013-07-30  14.55  14.68  14.52  14.65  3017000  14.65
