Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  91.42  92.64  91.06  92.12  9643700  92.12
2014-02-27  91.16  91.42  90.75  91.36  7040300  91.36
2014-02-26  91.11  91.54  90.77  91.11  6334100  91.11
2014-02-25  91.59  91.87  90.66  91.11  6383400  91.11
2014-02-24  91.45  92.06  91.1  91.11  8406700  91.11
2014-02-21  91.86  92.25  91.45  91.52  7381500  91.52
2014-02-20  91.03  92.07  90.66  91.72  8160100  91.72
2014-02-19  91.5  92.09  90.92  90.99  7693400  90.99
2014-02-18  92.11  92.19  91.43  91.51  6926500  91.51
2014-02-14  91.94  92.29  91.38  92.1  5485100  92.1
2014-02-13  91.34  91.96  91.06  91.9  5926000  91.9
2014-02-12  92.29  92.33  91.29  91.76  7696100  91.76
2014-02-11  90.44  92.31  90.3  92.31  11556300  92.31
2014-02-10  89.6  90.43  89.16  90.42  8080200  90.42
2014-02-07  88.29  89.4  87.98  89.4  9435100  89.4
2014-02-06  87.01  88.13  86.93  88.12  10037900  88.12
2014-02-05  85.88  87.05  85.87  86.66  10667300  86.66
2014-02-04  86.31  86.66  85.47  86.0  11436400  86.0
2014-02-03  88.12  88.15  85.99  86.16  13944600  86.16
2014-01-31  88.38  88.7  87.52  87.84  12193800  87.84
2014-01-30  88.98  89.14  88.37  88.86  6874900  88.86
2014-01-29  88.83  89.06  87.89  88.26  11160100  88.26
2014-01-28  89.94  89.96  89.15  89.46  8254400  89.46
2014-01-27  89.66  90.11  89.21  89.3  8685200  89.3
2014-01-24  91.46  91.95  89.96  89.96  10604200  89.96
2014-01-23  93.07  93.13  91.75  92.08  9322300  92.08
2014-01-22  93.32  93.88  92.88  93.65  8875500  93.65
2014-01-21  94.25  94.42  91.96  93.36  16368400  93.36
2014-01-17  94.04  94.49  93.7  94.38  13714400  94.38
2014-01-16  93.92  94.41  93.55  93.96  8401100  93.96
2014-01-15  93.97  94.59  93.83  94.12  7390700  94.12
2014-01-14  93.92  94.22  93.64  94.04  7567300  94.04
2014-01-13  93.69  94.31  93.38  93.82  9589200  93.82
2014-01-10  93.96  94.3  93.46  94.06  6697400  94.06
2014-01-09  94.26  94.7  93.41  94.05  7944700  94.05
2014-01-08  93.5  93.93  93.21  93.49  9096700  93.49
2014-01-07  92.38  93.95  92.33  93.62  11063300  93.62
2014-01-06  91.27  92.09  91.21  91.67  7443500  91.67
2014-01-03  90.63  91.56  90.6  91.19  5637600  91.19
2014-01-02  90.49  91.08  90.36  90.38  5919600  90.38
2013-12-31  91.52  91.57  90.5  90.94  6348200  90.94
2013-12-30  91.5  91.64  91.07  91.64  4370100  91.64
2013-12-27  92.11  92.3  91.52  91.69  3511300  91.69
2013-12-26  91.33  91.88  91.12  91.88  3459100  91.88
2013-12-24  91.52  91.73  91.19  91.4  3147300  91.4
2013-12-23  91.9  92.02  91.1  91.37  5312200  91.37
2013-12-20  91.29  92.09  91.29  91.43  11265000  91.43
2013-12-19  91.74  91.74  90.76  91.32  7341000  91.32
2013-12-18  90.3  92.0  89.13  91.98  9691100  91.98
2013-12-17  90.65  90.68  89.85  90.01  8794000  90.01
2013-12-16  90.77  91.66  90.51  90.72  6623000  90.72
2013-12-13  90.81  91.21  90.43  90.7  7909000  90.7
2013-12-12  92.18  92.2  90.42  90.51  12285700  90.51
2013-12-11  93.72  93.77  92.36  92.44  9424300  92.44
2013-12-10  93.91  94.12  93.29  93.47  7576600  93.47
2013-12-09  93.63  93.81  93.04  93.77  6974500  93.77
2013-12-06  92.94  93.81  92.76  93.77  7280400  93.77
2013-12-05  92.76  92.97  92.0  92.31  8666200  92.31
2013-12-04  93.09  93.58  92.46  92.96  6201800  92.96
