Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  26.99  27.15  26.28  26.74  15813600  26.74
2014-02-27  26.87  27.1  26.77  27.01  5623500  27.01
2014-02-26  26.72  27.11  26.7  26.89  6603000  26.89
2014-02-25  27.62  27.83  27.03  27.09  6697300  27.09
2014-02-24  27.54  28.04  26.62  27.58  10857400  27.58
2014-02-21  28.01  28.14  27.6  27.95  17581700  27.95
2014-02-20  27.48  28.39  27.18  27.41  18045100  27.41
2014-02-19  27.39  27.5  27.08  27.2  6197400  27.2
2014-02-18  27.33  27.79  27.15  27.46  5832000  27.46
2014-02-14  27.51  27.67  27.32  27.42  5299300  27.42
2014-02-13  26.85  27.48  26.82  27.47  8817900  27.47
2014-02-12  27.51  27.85  26.97  27.1  8012200  27.1
2014-02-11  27.67  27.8  27.38  27.66  5553200  27.66
2014-02-10  27.16  27.77  27.14  27.73  7966100  27.73
2014-02-07  26.98  27.27  26.79  27.25  7409500  27.25
2014-02-06  26.92  27.52  26.88  27.01  6092600  27.01
2014-02-05  26.7  26.93  26.18  26.78  7458200  26.78
2014-02-04  26.48  26.96  26.37  26.76  8717100  26.76
2014-02-03  26.39  26.98  26.23  26.35  11248200  26.35
2014-01-31  27.37  27.59  26.56  26.61  16100200  26.61
2014-01-30  28.03  28.03  27.48  27.87  6548100  27.87
2014-01-29  27.32  28.0  27.3  27.73  9525300  27.73
2014-01-28  27.37  27.59  27.11  27.51  10868800  27.51
2014-01-27  27.8  28.04  27.47  27.92  13621000  27.92
2014-01-24  27.64  28.75  27.55  27.72  38419000  27.72
2014-01-23  25.93  26.36  25.69  26.01  12223800  26.01
2014-01-22  26.16  26.25  25.78  26.18  5579900  26.18
2014-01-21  26.11  26.52  25.87  26.03  5969800  26.03
2014-01-17  25.85  26.03  25.66  26.0  6603600  26.0
2014-01-16  25.8  25.96  25.71  25.79  3798600  25.79
2014-01-15  25.37  25.96  25.37  25.88  6847800  25.88
2014-01-14  25.64  25.69  25.07  25.42  12088900  25.42
2014-01-13  25.07  25.96  24.8  25.32  36753200  25.32
2014-01-10  22.92  23.93  22.54  23.54  20688700  23.54
2014-01-09  22.94  22.95  22.52  22.83  12526500  22.83
2014-01-08  22.7  22.98  22.65  22.92  12018700  22.92
2014-01-07  22.69  22.79  22.41  22.66  10464500  22.66
2014-01-06  22.77  22.9  22.61  22.62  8412800  22.62
2014-01-03  22.55  22.82  22.4  22.77  4879800  22.77
2014-01-02  22.57  22.65  22.28  22.48  5653500  22.48
2013-12-31  22.58  22.71  22.46  22.57  3299500  22.57
2013-12-30  22.2  22.69  22.13  22.53  5465600  22.53
2013-12-27  21.94  22.3  21.91  22.22  3647100  22.22
2013-12-26  21.86  22.0  21.81  21.91  2942800  21.91
2013-12-24  21.47  21.89  21.47  21.81  2733000  21.81
2013-12-23  21.84  21.92  21.63  21.68  6009000  21.68
2013-12-20  21.29  21.81  21.24  21.77  11847300  21.77
2013-12-19  21.23  21.42  21.18  21.2  6896000  21.2
2013-12-18  20.92  21.3  20.71  21.29  8556400  21.29
2013-12-17  21.01  21.32  20.95  20.96  5566600  20.96
2013-12-16  20.81  21.14  20.76  21.04  6579100  21.04
2013-12-13  20.79  20.87  20.58  20.67  6037000  20.67
2013-12-12  21.31  21.31  20.57  20.64  10518400  20.64
2013-12-11  21.54  21.81  21.28  21.32  7338000  21.32
2013-12-10  21.59  21.91  21.38  21.59  7698400  21.59
2013-12-09  21.68  22.02  21.62  21.68  11273500  21.68
2013-12-06  21.5  21.77  21.26  21.67  16086200  21.67
2013-12-05  20.88  21.47  20.79  21.35  12171400  21.35
2013-12-04  20.23  20.89  20.2  20.84  10695100  20.84
2013-12-03  20.23  20.54  20.16  20.37  10438900  20.37
2013-12-02  20.27  20.41  20.11  20.31  4954200  20.31
2013-11-29  20.34  20.45  20.27  20.27  2611100  20.27
2013-11-27  20.3  20.46  20.25  20.34  8596300  20.34
2013-11-26  20.49  20.54  20.18  20.19  10249900  20.19
2013-11-25  20.61  20.61  20.18  20.49  8021400  20.49
2013-11-22  20.16  20.72  20.1  20.56  10905700  20.56
2013-11-21  19.95  20.16  19.78  20.13  10160700  20.13
2013-11-20  19.49  20.01  19.46  19.9  12241900  19.9
2013-11-19  19.56  19.58  19.22  19.4  14186100  19.4
2013-11-18  19.86  19.89  19.56  19.59  5329200  19.59
2013-11-15  19.44  20.11  19.4  19.84  15241900  19.84
2013-11-14  18.62  19.41  18.6  19.4  14097700  19.4
2013-11-13  19.46  19.56  19.16  19.29  8011300  19.29
2013-11-12  19.06  19.66  19.03  19.6  5713800  19.6
2013-11-11  19.27  19.3  18.85  19.07  5479900  19.07
2013-11-08  18.69  19.27  18.64  19.27  5699900  19.27
2013-11-07  18.72  18.84  18.6  18.68  6694900  18.68
2013-11-06  18.58  18.76  18.51  18.71  3974200  18.71
2013-11-05  18.42  18.7  18.39  18.56  3592600  18.56
2013-11-04  18.57  18.73  18.42  18.47  4590700  18.47
2013-11-01  18.68  18.73  18.36  18.48  4476000  18.48
2013-10-31  18.66  18.76  18.56  18.64  4589800  18.64
2013-10-30  19.04  19.15  18.58  18.68  5169800  18.68
2013-10-29  18.98  19.12  18.9  19.0  4165800  19.0
2013-10-28  18.71  18.92  18.62  18.85  6864200  18.85
2013-10-25  18.75  18.92  18.55  18.7  8565100  18.7
2013-10-24  19.03  19.18  18.52  18.59  13353400  18.59
2013-10-23  20.1  20.14  19.0  19.05  18849700  19.05
2013-10-22  20.34  21.4  20.26  20.36  12302200  20.36
2013-10-21  20.78  20.92  20.69  20.85  3342900  20.85
2013-10-18  20.94  20.95  20.65  20.82  4333200  20.82
2013-10-17  20.87  20.9  20.54  20.68  4724900  20.68
