Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  56.57  57.45  56.39  56.82  18599000  56.82
2014-02-27  56.78  56.89  56.14  56.69  16277500  56.69
2014-02-26  57.37  57.38  56.22  56.75  23661700  56.75
2014-02-25  57.9  57.98  56.92  57.03  17991800  57.03
2014-02-24  57.62  58.23  57.58  58.03  16151400  58.03
2014-02-21  57.59  57.84  57.37  57.61  16790100  57.61
2014-02-20  57.53  57.97  57.27  57.58  12457000  57.58
2014-02-19  58.36  58.54  57.22  57.26  18669900  57.26
2014-02-18  58.02  58.65  57.9  58.49  14983800  58.49
2014-02-14  57.89  58.23  57.75  58.15  13067300  58.15
2014-02-13  57.07  58.1  56.96  58.03  16605500  58.03
2014-02-12  57.34  57.71  57.16  57.52  13437900  57.52
2014-02-11  56.61  57.57  56.58  57.43  18774100  57.43
2014-02-10  56.77  56.92  56.39  56.74  14715200  56.74
2014-02-07  56.65  56.93  56.26  56.62  23388500  56.62
2014-02-06  55.35  56.55  55.2  56.48  20881600  56.48
2014-02-05  55.1  55.45  54.58  55.21  19491600  55.21
2014-02-04  54.72  55.35  54.6  54.95  20709300  54.95
2014-02-03  55.5  55.92  54.2  54.31  28549900  54.31
2014-01-31  55.5  56.11  55.18  55.36  18174000  55.36
2014-01-30  56.07  56.39  55.63  56.0  17031100  56.0
2014-01-29  54.96  55.87  54.85  55.53  25459000  55.53
2014-01-28  55.39  56.34  55.24  55.74  18041000  55.74
2014-01-27  55.08  55.8  54.69  55.09  23935000  55.09
2014-01-24  56.0  56.36  55.09  55.09  26833100  55.09
2014-01-23  57.09  57.1  56.21  56.47  26234600  56.47
2014-01-22  58.33  58.33  57.42  57.59  15433500  57.59
2014-01-21  58.09  58.44  57.58  58.17  19548300  58.17
2014-01-17  59.21  59.23  58.03  58.11  20997900  58.11
2014-01-16  58.79  59.82  58.74  58.99  21689400  58.99
2014-01-15  57.73  59.65  57.73  59.49  35186600  59.49
2014-01-14  58.3  58.58  57.56  57.74  30272400  57.74
2014-01-13  58.51  58.67  57.53  57.7  20711600  57.7
2014-01-10  58.67  58.76  58.18  58.49  12694900  58.49
2014-01-09  58.98  59.0  58.33  58.76  13242500  58.76
2014-01-08  58.54  58.91  58.3  58.87  14687400  58.87
2014-01-07  59.29  59.43  58.11  58.32  17851200  58.32
2014-01-06  59.16  59.47  58.83  59.0  17550700  59.0
2014-01-03  58.29  58.95  58.21  58.66  14214100  58.66
2014-01-02  58.31  58.5  57.97  58.21  15627600  58.21
2013-12-31  57.82  58.17  57.67  58.1  11017400  58.1
2013-12-30  57.76  57.89  57.33  57.57  8815800  57.57
2013-12-27  57.79  57.97  57.68  57.76  8943700  57.76
2013-12-26  57.97  58.08  57.54  57.82  6677000  57.82
2013-12-24  57.69  57.91  57.66  57.87  4532600  57.87
2013-12-23  57.59  58.01  57.42  57.86  13990600  57.86
2013-12-20  56.84  57.63  56.83  57.33  22001700  57.33
2013-12-19  56.73  57.17  56.45  56.86  16790000  56.86
2013-12-18  55.48  56.9  55.04  56.87  27685900  56.87
2013-12-17  56.29  56.29  55.3  55.36  18338500  55.36
2013-12-16  55.97  56.57  55.96  56.05  26379200  56.05
2013-12-13  56.01  56.2  55.68  55.81  11461300  55.81
2013-12-12  55.68  56.23  55.54  55.94  15325300  55.94
2013-12-11  56.18  56.41  55.6  55.71  17836100  55.71
2013-12-10  56.12  56.7  55.98  56.33  14543700  56.33
