Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  61.3  61.67  61.05  61.48  1878600  61.48
2014-02-27  60.83  61.45  60.69  61.37  1786800  61.37
2014-02-26  59.47  61.25  59.33  60.92  2240700  60.92
2014-02-25  58.67  59.49  58.61  59.23  2406700  59.23
2014-02-24  59.49  59.84  58.6  58.61  2854000  58.61
2014-02-21  58.44  59.97  58.26  59.24  4675700  59.24
2014-02-20  58.88  59.68  58.87  59.44  2680300  59.44
2014-02-19  58.47  59.41  57.75  58.88  1532200  58.88
2014-02-18  58.85  59.41  58.64  58.92  1751300  58.92
2014-02-14  58.36  58.96  58.2  58.47  873400  58.47
2014-02-13  57.86  58.68  57.3  58.56  1280200  58.56
2014-02-12  59.03  59.33  58.09  58.26  1610200  58.26
2014-02-11  58.66  59.16  58.11  58.92  1623900  58.92
2014-02-10  58.57  58.65  57.95  58.55  1953400  58.55
2014-02-07  58.83  59.36  58.37  58.79  1348900  58.79
2014-02-06  57.36  59.03  57.31  58.7  1918800  58.7
2014-02-05  55.3  57.36  54.9  57.1  3223800  57.1
2014-02-04  55.97  56.32  55.31  55.38  2180900  55.38
2014-02-03  57.33  57.34  55.48  55.71  1885100  55.71
2014-01-31  56.79  57.72  56.57  57.45  1646200  57.45
2014-01-30  57.12  57.88  57.0  57.33  1237200  57.33
2014-01-29  57.93  58.34  56.62  56.7  2124100  56.7
2014-01-28  57.87  58.75  57.85  58.23  1739800  58.23
2014-01-27  58.19  58.65  57.73  57.82  1413400  57.82
2014-01-24  58.66  58.9  58.16  58.16  1204900  58.16
2014-01-23  59.0  59.1  58.4  59.06  1086800  59.06
2014-01-22  60.0  60.03  59.22  59.4  1098500  59.4
2014-01-21  60.21  60.34  59.26  59.66  1301800  59.66
2014-01-17  59.92  60.55  59.65  59.93  1932800  59.93
2014-01-16  60.64  60.72  59.88  60.11  1285300  60.11
2014-01-15  59.68  60.9  59.68  60.87  1488400  60.87
2014-01-14  59.48  60.27  59.48  59.75  1575400  59.75
2014-01-13  60.85  61.14  59.33  59.49  1488000  59.49
2014-01-10  61.26  61.56  60.59  61.11  1181800  61.11
2014-01-09  60.71  61.61  60.39  61.49  2069800  61.49
2014-01-08  60.75  60.75  59.68  60.49  1922900  60.49
2014-01-07  61.48  61.92  60.29  60.76  1911200  60.76
2014-01-06  62.25  62.31  61.25  61.41  1693200  61.41
2014-01-03  61.95  62.56  61.73  62.17  807000  62.17
2014-01-02  61.67  62.2  61.34  61.95  1177800  61.95
2013-12-31  61.89  62.14  61.67  61.8  692300  61.8
2013-12-30  61.43  62.09  61.43  61.85  650700  61.85
2013-12-27  61.05  61.75  61.05  61.42  527400  61.42
2013-12-26  61.72  62.0  61.58  61.61  609600  61.61
2013-12-24  61.48  61.81  61.07  61.6  576600  61.6
2013-12-23  61.34  61.87  61.24  61.54  1124800  61.54
2013-12-20  60.41  61.61  60.36  61.19  2002600  61.19
2013-12-19  60.32  60.59  60.0  60.24  841000  60.24
2013-12-18  59.83  60.36  59.31  60.34  1614600  60.34
2013-12-17  60.94  60.95  59.79  59.83  1427500  59.83
2013-12-16  60.26  60.77  60.23  60.55  826400  60.55
2013-12-13  60.32  60.85  60.07  60.09  1046400  60.09
2013-12-12  60.79  61.14  60.19  60.37  1146000  60.37
2013-12-11  61.22  61.58  60.65  60.79  1544500  60.79
2013-12-10  60.64  61.31  60.53  61.27  1374400  61.27
2013-12-09  60.54  60.98  60.42  60.7  1230600  60.7
2013-12-06  61.39  61.5  60.18  60.36  1730100  60.36
2013-12-05  61.31  61.33  60.78  61.05  855800  61.05
2013-12-04  61.34  61.69  60.93  61.35  1203000  61.35
2013-12-03  61.66  62.33  61.12  61.87  1018000  61.87
2013-12-02  62.09  62.56  61.75  61.79  1147800  61.79
2013-11-29  62.93  62.95  62.09  62.21  586200  62.21
2013-11-27  62.75  63.17  62.43  62.71  1181900  62.71
2013-11-26  62.49  63.1  62.27  62.6  1335700  62.6
2013-11-25  61.97  62.49  61.74  62.25  1104000  62.25
2013-11-22  61.63  61.95  61.51  61.8  1180900  61.8
2013-11-21  61.33  61.97  61.33  61.84  927700  61.84
2013-11-20  61.84  62.24  61.35  61.47  1249000  61.47
2013-11-19  61.98  62.6  61.52  61.57  2123000  61.57
2013-11-18  62.72  62.74  61.94  62.18  1954700  62.18
2013-11-15  62.11  63.05  61.83  62.5  3027600  62.5
2013-11-14  62.89  63.42  62.14  63.13  3057900  63.13
2013-11-13  62.48  63.3  62.47  63.08  3679500  63.08
2013-11-12  61.67  62.32  61.22  61.53  2601600  61.53
2013-11-11  60.53  61.77  60.36  61.55  1661700  61.55
2013-11-08  59.93  61.14  59.85  60.73  1331100  60.73
2013-11-07  60.47  61.1  59.88  60.03  1226000  60.03
2013-11-06  60.19  60.63  59.87  60.22  1120000  60.22
2013-11-05  60.15  60.38  59.54  60.05  705900  60.05
2013-11-04  59.79  60.28  59.72  60.17  1196800  60.17
2013-11-01  60.23  60.41  59.47  59.68  1012100  59.68
2013-10-31  59.98  60.41  59.62  60.18  993100  60.18
2013-10-30  60.28  60.95  59.78  60.09  1072300  60.09
2013-10-29  60.02  60.56  59.56  60.17  1158300  60.17
2013-10-28  58.85  60.19  58.63  59.86  1512700  59.86
2013-10-25  58.93  59.21  58.7  58.99  833000  58.99
2013-10-24  58.63  59.02  58.47  58.8  1212400  58.8
2013-10-23  58.59  58.94  58.21  58.59  620300  58.59
