Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  109.0  110.88  108.85  110.35  1960200  110.35
2014-02-27  108.44  109.39  108.03  108.9  1791900  108.9
2014-02-26  110.2  110.5  108.53  108.56  1731700  108.56
2014-02-25  110.27  110.74  109.88  109.99  1328200  109.99
2014-02-24  110.38  111.24  110.03  110.16  1834100  110.16
2014-02-21  110.34  111.29  109.76  109.85  1646000  109.85
2014-02-20  109.12  110.68  109.0  109.97  1776600  109.97
2014-02-19  109.43  110.0  108.67  108.78  1634000  108.78
2014-02-18  109.99  110.13  108.83  109.73  1552800  109.73
2014-02-14  108.73  110.44  108.3  110.24  1483600  110.24
2014-02-13  107.64  108.85  107.43  108.75  1442900  108.75
2014-02-12  108.67  108.82  107.09  107.96  1779000  107.96
2014-02-11  107.61  108.93  107.15  108.59  1705000  108.59
2014-02-10  106.9  107.64  106.48  107.61  1819100  107.61
2014-02-07  106.53  107.25  106.49  106.9  1547200  106.9
2014-02-06  106.07  106.36  105.56  106.35  1717600  106.35
2014-02-05  105.2  106.06  104.96  105.6  1763400  105.6
2014-02-04  106.14  106.5  104.93  105.56  2491300  105.56
2014-02-03  109.0  109.56  105.3  105.49  2673800  105.49
2014-01-31  107.26  109.76  106.54  109.37  3158500  109.37
2014-01-30  107.59  108.77  107.48  108.4  2297400  108.4
2014-01-29  107.42  107.82  106.05  107.01  2743700  107.01
2014-01-28  107.45  108.77  107.24  108.65  1876200  108.65
2014-01-27  107.83  108.19  106.86  107.45  2011200  107.45
2014-01-24  108.12  110.42  106.75  107.4  3349000  107.4
2014-01-23  105.52  106.22  105.13  105.42  2283600  105.42
2014-01-22  106.35  106.82  105.92  106.01  1632600  106.01
2014-01-21  105.86  106.85  105.34  106.43  1973200  106.43
2014-01-17  106.47  106.49  105.44  105.46  2745000  105.46
2014-01-16  105.18  106.07  104.53  106.05  1294700  106.05
2014-01-15  105.46  105.69  104.7  105.38  1462900  105.38
2014-01-14  104.74  105.69  104.43  105.43  1971600  105.43
2014-01-13  104.39  105.58  104.21  104.73  1875800  104.73
2014-01-10  104.05  104.87  103.9  104.86  1682800  104.86
2014-01-09  103.5  104.1  103.31  103.73  1451300  103.73
2014-01-08  103.88  103.89  103.06  103.28  1854000  103.28
2014-01-07  103.36  104.86  102.81  103.98  1683000  103.98
2014-01-06  104.78  105.31  104.09  104.36  1579500  104.36
2014-01-03  104.31  104.92  103.95  104.35  1344200  104.35
2014-01-02  104.32  104.62  103.52  103.84  1432900  103.84
2013-12-31  105.73  105.74  104.16  104.46  1321000  104.46
2013-12-30  105.1  105.97  104.95  105.93  1006400  105.93
2013-12-27  105.22  105.8  105.0  105.1  669300  105.1
2013-12-26  104.8  105.13  104.41  104.99  643000  104.99
2013-12-24  104.7  105.18  104.45  104.79  386800  104.79
2013-12-23  105.29  105.39  104.43  104.54  1078500  104.54
2013-12-20  104.67  105.61  104.17  105.18  2019700  105.18
2013-12-19  104.33  105.08  104.04  104.38  1552600  104.38
2013-12-18  103.25  105.18  102.71  105.14  1779300  105.14
2013-12-17  103.78  103.99  102.53  102.75  1769900  102.75
2013-12-16  104.39  104.89  103.85  104.03  1443300  104.03
2013-12-13  104.02  104.34  103.36  103.92  989300  103.92
2013-12-12  105.12  105.26  103.74  103.83  1550300  103.83
2013-12-11  105.16  106.17  104.97  105.38  1650300  105.38
2013-12-10  105.42  105.5  104.58  104.91  1620500  104.91
2013-12-09  105.85  106.23  105.38  105.83  1289800  105.83
2013-12-06  104.75  105.6  104.73  105.58  1850700  105.58
2013-12-05  104.03  104.3  103.42  103.9  2074900  103.9
2013-12-04  105.0  105.13  104.04  104.2  2694000  104.2
2013-12-03  105.78  105.93  104.71  105.67  3001300  105.67
2013-12-02  108.03  108.56  106.22  106.33  2323200  106.33
2013-11-29  107.43  108.71  107.32  108.33  1481500  108.33
2013-11-27  107.4  107.57  106.7  107.4  1210200  107.4
2013-11-26  107.62  108.06  107.31  107.31  1697100  107.31
2013-11-25  108.17  108.54  107.34  107.54  1031100  107.54
2013-11-22  106.92  108.46  106.92  108.17  6458800  108.17
2013-11-21  107.23  107.71  106.89  107.1  4700500  107.1
2013-11-20  107.02  108.04  106.75  107.0  1259800  107.0
2013-11-19  106.92  107.33  106.57  107.06  1971000  107.06
2013-11-18  108.17  108.61  106.77  107.18  2535900  107.18
2013-11-15  110.69  110.83  107.46  108.43  3320000  108.43
2013-11-14  108.27  109.08  108.03  108.88  1285200  108.88
2013-11-13  106.92  108.02  106.75  108.01  1172800  108.01
2013-11-12  107.07  107.58  106.66  107.39  1218000  107.39
2013-11-11  107.21  107.92  107.01  107.14  913200  107.14
2013-11-08  107.06  107.28  105.91  107.21  1661200  107.21
2013-11-07  108.83  108.85  106.91  107.06  1580200  107.06
2013-11-06  108.14  108.89  107.52  108.8  1237300  108.8
2013-11-05  107.71  108.21  107.23  107.98  996900  107.98
2013-11-04  107.23  108.05  106.72  108.02  1239000  108.02
2013-11-01  107.05  107.47  106.46  107.19  1528400  107.19
2013-10-31  107.07  107.57  106.34  107.18  1377600  107.18
2013-10-30  107.51  107.73  106.2  107.08  1688200  107.08
2013-10-29  106.61  107.39  106.2  107.35  2199700  107.35
2013-10-28  104.7  107.02  104.47  106.49  2419200  106.49
2013-10-25  103.21  104.76  102.83  104.71  1455000  104.71
2013-10-24  103.93  104.25  103.38  103.42  1776800  103.42
2013-10-23  101.44  104.52  101.41  104.16  2895500  104.16
2013-10-22  101.65  102.7  100.07  102.19  3609500  102.19
2013-10-21  98.08  98.13  97.26  98.08  1912600  98.08
2013-10-18  98.88  98.88  97.75  98.43  1794700  98.43
2013-10-17  96.91  98.49  96.8  98.29  1453600  98.29
2013-10-16  96.29  97.65  96.12  97.25  1532900  97.25
2013-10-15  96.18  96.24  95.61  95.82  1302800  95.82
2013-10-14  95.71  96.23  95.49  96.22  1484600  96.22
2013-10-11  95.12  96.27  94.57  96.21  1186600  96.21
2013-10-10  94.27  95.21  93.85  95.2  1246300  95.2
2013-10-09  92.84  94.27  92.49  93.56  2058700  93.56
2013-10-08  92.8  93.4  92.41  92.48  2014000  92.48
2013-10-07  93.1  93.93  92.84  93.15  984900  93.15
2013-10-04  93.66  94.07  93.31  93.54  1182600  93.54
2013-10-03  93.54  94.01  92.6  93.72  1768300  93.72
2013-10-02  93.51  93.55  92.49  93.54  1456400  93.54
2013-10-01  92.78  93.9  92.71  93.66  1366100  93.66
2013-09-30  93.68  94.16  93.06  93.5  1775600  93.5
2013-09-27  94.45  94.62  93.38  94.07  989000  94.07
2013-09-26  94.18  94.8  94.03  94.73  916700  94.73
2013-09-25  94.94  95.37  93.88  93.97  1664800  93.97
2013-09-24  95.02  95.28  94.57  94.64  1259200  94.64
2013-09-23  95.43  95.55  94.53  95.06  1198500  95.06
2013-09-20  96.35  96.46  95.46  95.47  1675600  95.47
