Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  48.63  48.75  48.1  48.43  919900  48.43
2014-02-27  47.99  48.69  47.86  48.68  1300700  48.68
2014-02-26  48.26  48.58  47.9  48.29  1549600  48.29
2014-02-25  47.9  48.41  47.79  48.18  1022800  48.18
2014-02-24  47.05  48.08  47.05  47.89  1481500  47.89
2014-02-21  47.24  47.37  46.89  47.05  1993600  47.05
2014-02-20  47.39  47.71  46.9  47.33  1632300  47.33
2014-02-19  47.38  48.0  47.34  47.37  1279800  47.37
2014-02-18  47.29  47.64  47.08  47.23  1203300  47.23
2014-02-14  47.22  47.61  47.17  47.29  917900  47.29
2014-02-13  46.79  47.44  46.43  47.36  1189400  47.36
2014-02-12  47.52  47.72  46.9  47.02  958200  47.02
2014-02-11  47.04  47.65  47.02  47.52  1313000  47.52
2014-02-10  47.42  47.54  46.91  47.22  1419800  47.22
2014-02-07  47.22  47.55  47.07  47.54  1763100  47.54
2014-02-06  46.09  47.23  45.93  47.15  2010700  47.15
2014-02-05  45.38  46.32  45.1  46.2  1903000  46.2
2014-02-04  45.83  46.1  45.43  45.7  1943300  45.7
2014-02-03  45.37  46.9  45.29  45.76  5083600  45.76
2014-01-31  44.51  45.36  44.5  45.11  1896900  45.11
2014-01-30  44.97  45.19  44.77  45.05  1998900  45.05
2014-01-29  44.76  45.12  44.68  44.73  3499900  44.73
2014-01-28  44.72  45.06  44.66  44.95  1921300  44.95
2014-01-27  44.58  44.97  44.38  44.81  2505200  44.81
2014-01-24  44.44  44.76  44.33  44.57  2866100  44.57
2014-01-23  44.75  45.01  44.57  44.77  3030700  44.77
2014-01-22  45.03  45.2  44.65  44.93  1668000  44.93
2014-01-21  45.25  45.47  44.82  45.03  1445200  45.03
2014-01-17  44.78  45.31  44.68  45.19  2448600  45.19
2014-01-16  44.74  44.94  43.9  44.66  3553300  44.66
2014-01-15  45.7  45.77  44.77  44.86  2185800  44.86
2014-01-14  45.46  46.05  45.39  45.67  1579000  45.67
2014-01-13  45.7  45.97  45.12  45.22  2312100  45.22
2014-01-10  45.1  46.1  44.63  45.97  4279700  45.97
2014-01-09  45.35  45.7  44.97  45.1  2434300  45.1
2014-01-08  45.22  45.39  44.7  45.25  2674600  45.25
2014-01-07  46.44  46.45  44.63  45.34  4122700  45.34
2014-01-06  46.55  46.63  45.56  45.81  2399400  45.81
2014-01-03  46.84  46.91  46.11  46.44  1457800  46.44
2014-01-02  47.02  47.25  46.57  46.9  1325100  46.9
2013-12-31  47.1  47.24  46.68  47.02  1165000  47.02
2013-12-30  46.92  47.27  46.61  47.1  1318000  47.1
2013-12-27  47.49  47.49  46.8  46.93  1286000  46.93
2013-12-26  47.79  48.15  47.37  47.47  1270900  47.47
2013-12-24  47.71  47.82  46.9  47.6  1222800  47.6
2013-12-23  48.46  48.66  47.28  47.44  3418700  47.44
2013-12-20  50.25  50.67  47.52  48.08  8382200  48.08
2013-12-19  52.51  53.08  52.21  53.05  1628400  53.05
2013-12-18  51.73  52.63  51.28  52.52  1788900  52.52
2013-12-17  51.93  51.93  51.32  51.75  894800  51.75
