Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  40.19  41.96  40.14  41.94  8020600  41.94
2014-02-27  40.03  40.35  39.96  40.14  1977600  40.14
2014-02-26  39.81  40.3  39.65  40.03  4471200  40.03
2014-02-25  39.72  39.96  39.47  39.65  3488800  39.65
2014-02-24  39.62  40.11  39.6  39.78  4043200  39.78
2014-02-21  39.23  39.64  38.94  39.6  4816900  39.6
2014-02-20  38.77  39.57  38.73  39.28  5917500  39.28
2014-02-19  37.55  38.89  37.41  38.77  5622600  38.77
2014-02-18  37.63  37.64  37.24  37.6  2858100  37.6
2014-02-14  37.05  37.59  37.01  37.38  2640800  37.38
2014-02-13  36.56  37.17  36.37  37.09  2404800  37.09
2014-02-12  36.96  37.17  36.8  36.93  2618900  36.93
2014-02-11  35.92  36.92  35.82  36.92  5215400  36.92
2014-02-10  36.07  36.25  35.95  36.03  2835400  36.03
2014-02-07  36.67  36.71  36.0  36.12  4020200  36.12
2014-02-06  35.41  36.65  35.38  36.6  5228400  36.6
2014-02-05  35.11  35.45  34.97  35.29  3475300  35.29
2014-02-04  35.17  35.44  35.07  35.31  3526300  35.31
2014-02-03  35.94  35.96  35.08  35.22  5352200  35.22
2014-01-31  35.89  36.09  35.64  35.94  5823500  35.94
2014-01-30  36.57  36.62  36.21  36.26  3397100  36.26
2014-01-29  36.32  36.61  35.91  36.37  7695000  36.37
2014-01-28  35.58  36.7  35.55  36.49  6216500  36.49
2014-01-27  35.85  36.02  35.56  35.62  4885900  35.62
2014-01-24  36.06  36.27  35.89  35.92  4446400  35.92
2014-01-23  36.14  36.35  35.86  36.24  4964500  36.24
2014-01-22  36.47  36.61  36.25  36.27  3114300  36.27
2014-01-21  36.9  36.91  36.26  36.43  4824300  36.43
2014-01-17  37.3  37.34  36.4  36.63  6874800  36.63
2014-01-16  37.89  39.08  36.99  37.18  7638700  37.18
2014-01-15  38.93  39.46  38.73  39.09  3690700  39.09
2014-01-14  38.44  38.9  38.41  38.83  3022400  38.83
2014-01-13  39.22  39.34  38.37  38.44  3843500  38.44
2014-01-10  39.31  39.48  39.06  39.28  2929300  39.28
2014-01-09  38.88  39.29  38.79  39.18  3756800  39.18
2014-01-08  38.76  39.12  38.64  38.78  3091400  38.78
2014-01-07  38.7  39.05  38.5  38.83  2770300  38.83
2014-01-06  39.07  39.18  38.56  38.59  4022100  38.59
2014-01-03  39.23  39.23  38.88  38.93  2835700  38.93
2014-01-02  39.09  39.37  39.04  39.11  3194600  39.11
2013-12-31  39.55  39.56  39.09  39.35  2496000  39.35
2013-12-30  39.42  39.65  39.36  39.47  1958900  39.47
2013-12-27  39.64  39.67  39.32  39.36  2014900  39.36
2013-12-26  39.7  39.93  39.52  39.67  1109900  39.67
2013-12-24  39.64  39.79  39.49  39.71  868400  39.71
2013-12-23  39.77  40.14  39.58  39.71  2419000  39.71
2013-12-20  39.38  39.6  39.31  39.52  5710000  39.52
2013-12-19  39.76  40.27  39.12  39.49  3357300  39.49
2013-12-18  39.75  39.91  38.69  39.9  4879200  39.9
2013-12-17  39.89  39.92  39.44  39.65  3071100  39.65
2013-12-16  39.82  40.05  39.36  39.88  3776300  39.88
2013-12-13  39.78  39.94  39.3  39.74  3877300  39.74
2013-12-12  40.07  40.09  39.57  39.81  4209900  39.81
2013-12-11  40.21  40.5  40.07  40.18  3238100  40.18
2013-12-10  40.12  40.26  39.84  40.17  2835500  40.17
2013-12-09  40.45  40.54  40.02  40.24  3685300  40.24
2013-12-06  40.31  40.66  39.88  40.26  5720400  40.26
2013-12-05  41.36  41.47  39.38  39.88  11319300  39.88
2013-12-04  41.74  42.07  41.34  41.34  4813700  41.34
2013-12-03  41.58  41.92  41.33  41.91  3520200  41.91
2013-12-02  41.54  41.88  41.34  41.6  3077300  41.6
2013-11-29  41.71  41.81  41.45  41.56  1319000  41.56
2013-11-27  41.91  41.93  41.68  41.69  2723700  41.69
2013-11-26  42.23  42.35  41.57  41.76  3812400  41.76
2013-11-25  42.33  42.53  42.27  42.37  2880600  42.37
2013-11-22  41.81  42.23  41.55  42.2  2736600  42.2
2013-11-21  41.5  41.87  41.33  41.81  3311200  41.81
2013-11-20  41.71  41.78  41.29  41.46  3281500  41.46
2013-11-19  41.18  41.85  41.17  41.66  4352700  41.66
2013-11-18  42.41  42.51  41.07  41.19  5021400  41.19
2013-11-15  42.47  42.52  42.17  42.41  2844500  42.41
2013-11-14  42.01  42.54  42.0  42.49  2644400  42.49
2013-11-13  41.45  41.94  41.36  41.94  2502300  41.94
2013-11-12  41.0  41.64  40.87  41.56  3338900  41.56
2013-11-11  41.61  41.77  41.01  41.18  4262000  41.18
2013-11-08  41.41  41.63  41.06  41.61  4660000  41.61
2013-11-07  42.45  42.49  41.2  41.3  4630700  41.3
2013-11-06  42.58  42.67  42.24  42.4  2626000  42.4
2013-11-05  42.02  42.41  41.82  42.29  2536100  42.29
2013-11-04  42.52  42.64  42.09  42.15  2489600  42.15
2013-11-01  42.48  42.74  42.22  42.34  2415900  42.34
2013-10-31  42.56  42.91  42.3  42.48  4180800  42.48
2013-10-30  42.94  43.0  42.3  42.53  2368300  42.53
2013-10-29  42.86  43.05  42.75  42.94  2869200  42.94
2013-10-28  43.2  43.48  42.75  42.8  4385300  42.8
2013-10-25  42.56  43.08  42.55  43.06  2536900  43.06
2013-10-24  42.52  42.7  42.42  42.65  2178800  42.65
2013-10-23  42.28  42.84  42.26  42.56  2742800  42.56
2013-10-22  41.97  42.45  41.94  42.35  3115300  42.35
2013-10-21  42.08  42.15  41.73  41.9  1552400  41.9
2013-10-18  42.08  42.17  41.93  42.03  2314600  42.03
2013-10-17  41.43  41.87  41.15  41.86  2881100  41.86
2013-10-16  40.68  41.59  40.68  41.52  2826900  41.52
2013-10-15  41.12  41.28  40.65  40.67  4245400  40.67
2013-10-14  41.14  41.3  40.86  41.27  2718500  41.27
2013-10-11  40.45  41.37  40.38  41.36  3236300  41.36
2013-10-10  40.08  40.41  40.06  40.35  3150700  40.35
2013-10-09  39.44  40.06  39.42  39.81  3520200  39.81
2013-10-08  39.57  39.93  39.39  39.42  3023900  39.42
2013-10-07  39.86  40.01  39.55  39.57  2456700  39.57
2013-10-04  39.69  40.34  39.43  40.22  2095200  40.22
2013-10-03  40.23  40.23  39.7  39.75  2394500  39.75
2013-10-02  40.09  40.25  39.79  40.24  2977700  40.24
2013-10-01  40.01  40.36  40.01  40.31  2624300  40.31
2013-09-30  40.03  40.3  39.9  40.0  2993200  40.0
2013-09-27  40.46  40.61  40.1  40.35  2582400  40.35
2013-09-26  40.6  41.08  40.44  40.62  2766000  40.62
2013-09-25  40.64  40.75  40.27  40.33  3572700  40.33
2013-09-24  40.18  40.66  39.97  40.51  4334400  40.51
2013-09-23  40.21  40.46  40.07  40.14  3444200  40.14
2013-09-20  40.62  40.8  40.38  40.42  4331500  40.42
2013-09-19  40.26  40.69  40.16  40.65  4364800  40.65
2013-09-18  39.97  40.26  39.62  40.22  5412400  40.22
2013-09-17  39.46  40.4  39.46  40.21  8767400  40.21
2013-09-16  39.04  39.62  39.04  39.35  4743800  39.35
2013-09-13  38.51  38.89  38.49  38.7  4980500  38.7
2013-09-12  37.71  38.68  37.5  38.3  6872200  38.3
2013-09-11  37.27  37.5  36.95  37.35  6384100  37.35
2013-09-10  37.69  37.88  36.99  37.23  5587000  37.23
2013-09-09  37.15  37.45  37.12  37.37  2469700  37.37
2013-09-06  37.15  37.42  36.81  37.09  3812200  37.09
2013-09-05  36.99  37.04  36.69  37.04  2922100  37.04
2013-09-04  36.59  37.39  36.53  37.03  5145000  37.03
2013-09-03  36.66  36.8  36.4  36.51  2590100  36.51
2013-08-30  36.57  36.57  36.15  36.29  2469900  36.29
2013-08-29  36.02  36.6  35.88  36.47  2428000  36.47
2013-08-28  36.02  36.2  35.61  36.1  4395200  36.1
2013-08-27  36.28  36.38  36.06  36.1  3505100  36.1
2013-08-26  37.29  37.3  36.54  36.55  3195000  36.55
2013-08-23  36.9  37.26  36.79  37.22  3228400  37.22
2013-08-22  37.25  37.32  36.85  36.91  4018000  36.91
2013-08-21  37.38  37.44  37.08  37.16  3358500  37.16
2013-08-20  37.56  37.78  37.45  37.46  2586700  37.46
2013-08-19  37.84  37.91  37.22  37.62  3157200  37.62
2013-08-16  37.75  38.08  37.65  37.93  3831300  37.93
2013-08-15  38.28  38.28  37.55  37.69  4145300  37.69
2013-08-14  38.69  38.8  38.44  38.5  2204200  38.5
2013-08-13  38.55  38.87  38.35  38.81  2577100  38.81
2013-08-12  38.27  38.51  38.07  38.49  2594300  38.49
2013-08-09  38.98  38.99  38.19  38.41  3514300  38.41
2013-08-08  38.76  39.23  38.58  39.12  2743100  39.12
2013-08-07  38.76  38.86  38.49  38.51  3133000  38.51
2013-08-06  38.64  38.82  38.2  38.81  3331700  38.81
2013-08-05  38.7  38.99  38.56  38.68  2747600  38.68
2013-08-02  39.11  39.11  38.24  38.7  4889000  38.7
2013-08-01  39.02  39.28  38.93  39.17  2185800  39.17
2013-07-31  39.06  39.28  38.72  38.79  5305000  38.79
2013-07-30  39.42  39.5  39.09  39.12  3765700  39.12
2013-07-29  39.05  39.38  38.93  39.36  2486600  39.36
2013-07-26  39.02  39.18  38.77  39.17  3617400  39.17
2013-07-25  38.5  39.2  38.43  39.2  4447100  39.2
2013-07-24  38.58  38.66  38.33  38.65  4262100  38.65
2013-07-23  38.61  38.85  38.29  38.46  3432400  38.46
2013-07-22  38.46  38.57  38.32  38.57  3309700  38.57
2013-07-19  38.26  38.38  38.05  38.34  4150300  38.34
2013-07-18  38.02  38.52  37.92  38.02  4705100  38.02
2013-07-17  37.74  38.05  37.57  37.97  3318800  37.97
2013-07-16  37.32  37.69  37.15  37.67  4692800  37.67
2013-07-15  36.83  37.54  36.8  37.3  3854500  37.3
2013-07-12  36.62  37.29  36.62  37.17  4476400  37.17
2013-07-11  37.43  37.74  37.03  37.33  4329800  37.33
2013-07-10  36.83  37.17  36.83  36.88  3797500  36.88
2013-07-09  36.11  36.87  36.11  36.7  7279700  36.7
2013-07-08  35.68  35.76  35.46  35.75  2683800  35.75
2013-07-05  35.44  35.64  35.21  35.63  2722400  35.63
2013-07-03  35.35  35.47  35.17  35.17  1975900  35.17
2013-07-02  34.27  35.85  34.27  35.48  7758200  35.48
2013-07-01  34.27  34.48  34.17  34.25  2682200  34.25
2013-06-28  34.18  34.46  34.08  34.12  3944200  34.12
2013-06-27  34.1  34.52  34.06  34.29  3226800  34.29
2013-06-26  34.34  34.48  33.93  34.06  3925000  34.06
2013-06-25  33.76  34.26  33.7  34.09  4541900  34.09
2013-06-24  33.12  33.83  32.84  33.58  4803300  33.58
2013-06-21  32.91  33.56  32.82  33.36  5588800  33.36
2013-06-20  34.39  34.39  32.43  32.58  8450200  32.58
2013-06-19  35.02  35.2  34.67  34.7  3448200  34.7
2013-06-18  34.86  35.13  34.68  35.09  4668200  35.09
2013-06-17  34.57  35.02  34.49  34.75  3316100  34.75
2013-06-14  34.59  34.82  34.25  34.37  2457300  34.37
