Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  55.28  55.59  54.96  55.27  2930500  55.27
2014-02-27  54.76  55.18  54.53  55.17  4120200  55.17
2014-02-26  55.69  55.7  54.54  54.88  3626300  54.88
2014-02-25  55.04  55.75  55.04  55.49  2619600  55.49
2014-02-24  55.0  55.63  55.0  55.12  2891800  55.12
2014-02-21  54.97  55.57  54.75  55.09  3584200  55.09
2014-02-20  54.53  55.6  54.53  55.2  4253900  55.2
2014-02-19  54.0  54.69  53.99  54.56  3309500  54.56
2014-02-18  53.89  54.47  53.7  54.33  3582500  54.33
2014-02-14  54.85  55.0  52.56  53.76  8027200  53.76
2014-02-13  53.07  53.75  53.07  53.61  3388800  53.61
2014-02-12  53.45  53.62  53.08  53.42  3279800  53.42
2014-02-11  53.1  53.4  52.91  53.17  3885100  53.17
2014-02-10  52.35  53.29  52.11  53.19  3443500  53.19
2014-02-07  52.11  52.42  51.91  52.3  3058800  52.3
2014-02-06  51.38  51.71  51.25  51.65  2764700  51.65
2014-02-05  51.0  51.32  50.54  51.12  3396300  51.12
2014-02-04  51.24  51.46  50.59  51.06  3743100  51.06
2014-02-03  52.86  52.91  51.07  51.12  4699600  51.12
2014-01-31  52.01  52.6  51.99  52.35  3247600  52.35
2014-01-30  52.59  52.81  52.21  52.68  2982700  52.68
2014-01-29  52.55  52.88  52.06  52.19  2954000  52.19
2014-01-28  52.96  53.1  52.58  52.88  2216300  52.88
2014-01-27  53.04  53.21  52.73  52.84  3082900  52.84
2014-01-24  53.17  53.56  52.67  52.89  3286800  52.89
2014-01-23  54.14  54.25  53.31  53.49  3474100  53.49
2014-01-22  54.43  54.52  54.04  54.4  2794700  54.4
2014-01-21  55.2  55.2  54.05  54.24  3443400  54.24
2014-01-17  54.53  55.11  54.4  54.76  4169400  54.76
2014-01-16  54.34  54.85  54.11  54.69  2365500  54.69
2014-01-15  54.48  54.68  54.0  54.51  2612400  54.51
2014-01-14  53.66  54.71  53.51  54.42  4294500  54.42
2014-01-13  53.65  54.06  53.21  53.49  3619200  53.49
2014-01-10  53.41  53.82  53.12  53.8  2429200  53.8
2014-01-09  53.47  53.72  52.87  53.32  3363100  53.32
2014-01-08  54.32  54.48  52.81  53.25  5406700  53.25
2014-01-07  53.37  54.16  53.32  53.93  3334100  53.93
2014-01-06  53.94  53.94  53.11  53.43  2386600  53.43
2014-01-03  53.7  53.99  53.38  53.45  2055900  53.45
2014-01-02  53.8  53.89  53.43  53.73  1770300  53.73
2013-12-31  53.91  54.21  53.72  53.91  1720000  53.91
2013-12-30  53.67  54.12  53.6  53.94  1629100  53.94
2013-12-27  53.79  53.94  53.56  53.71  1490400  53.71
2013-12-26  53.34  53.71  53.22  53.63  1399800  53.63
2013-12-24  53.33  53.49  53.06  53.32  1103100  53.32
2013-12-23  53.13  53.48  52.99  53.43  2257000  53.43
2013-12-20  52.77  53.52  52.68  53.47  5544200  53.47
2013-12-19  52.9  52.98  52.39  52.66  4173500  52.66
2013-12-18  52.7  52.9  51.9  52.82  4538600  52.82
2013-12-17  52.19  52.24  51.79  51.93  2791800  51.93
2013-12-16  52.21  52.79  52.09  52.33  2000100  52.33
2013-12-13  52.73  52.75  51.96  52.1  3145200  52.1
2013-12-12  53.1  53.16  52.15  52.41  3206200  52.41
2013-12-11  53.34  53.62  53.11  53.21  2138500  53.21
2013-12-10  54.18  54.24  53.14  53.53  3160200  53.53
