Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  55.85  56.72  55.64  56.19  2979100  56.19
2014-02-27  54.89  57.33  53.35  55.74  6703800  55.74
2014-02-26  53.42  54.94  53.33  54.44  4639600  54.44
2014-02-25  51.96  53.55  51.94  53.21  2271600  53.21
2014-02-24  51.91  52.4  51.88  51.95  2486600  51.95
2014-02-21  51.77  52.09  51.65  51.89  1898700  51.89
2014-02-20  51.38  51.95  51.21  51.87  1915500  51.87
2014-02-19  51.6  51.6  50.71  51.16  2545000  51.16
2014-02-18  51.58  52.02  50.84  51.66  2260600  51.66
2014-02-14  51.1  51.86  50.81  51.27  2104100  51.27
2014-02-13  51.1  51.32  50.52  51.13  2306700  51.13
2014-02-12  51.65  52.0  50.93  51.25  1588600  51.25
2014-02-11  50.98  51.8  50.77  51.58  2902900  51.58
2014-02-10  51.04  51.34  50.63  51.07  2430000  51.07
2014-02-07  51.78  52.36  51.01  51.19  3280300  51.19
2014-02-06  51.97  53.1  50.48  51.55  7688100  51.55
2014-02-05  48.91  50.14  48.68  49.83  2607700  49.83
2014-02-04  49.53  49.75  48.94  49.09  2749100  49.09
2014-02-03  50.63  51.09  49.3  49.45  2932500  49.45
2014-01-31  50.03  50.92  49.82  50.63  2914400  50.63
2014-01-30  50.18  51.25  50.15  50.85  1953300  50.85
2014-01-29  50.83  51.13  49.93  49.97  2894300  49.97
2014-01-28  50.19  51.27  50.11  51.08  3667900  51.08
2014-01-27  50.28  50.52  49.8  50.11  2848400  50.11
2014-01-24  50.7  50.81  49.98  50.22  2836700  50.22
2014-01-23  51.19  51.48  51.01  51.1  2112500  51.1
2014-01-22  52.56  52.63  50.71  51.37  4886000  51.37
2014-01-21  53.05  53.17  52.26  52.59  2253700  52.59
2014-01-17  53.27  53.27  52.5  52.93  3069200  52.93
2014-01-16  53.48  53.57  52.55  52.83  6046700  52.83
2014-01-15  54.31  54.5  53.46  53.66  3320000  53.66
2014-01-14  53.36  54.24  53.01  54.22  3134100  54.22
2014-01-13  56.58  56.58  53.22  53.46  6554000  53.46
2014-01-10  55.56  57.33  55.33  56.99  3326500  56.99
2014-01-09  55.22  55.73  54.89  55.56  2298100  55.56
2014-01-08  56.02  56.02  54.68  55.18  3505200  55.18
2014-01-07  56.03  56.24  55.31  56.1  3154200  56.1
2014-01-06  56.91  56.99  55.95  56.04  2412800  56.04
2014-01-03  56.91  57.14  56.64  56.86  1760100  56.86
2014-01-02  56.76  57.53  56.74  56.99  3130000  56.99
2013-12-31  56.45  56.89  56.24  56.75  1482500  56.75
2013-12-30  55.82  56.55  55.82  56.44  1196000  56.44
2013-12-27  55.86  56.08  55.65  55.94  1178800  55.94
2013-12-26  56.12  56.19  55.65  55.69  1048200  55.69
2013-12-24  55.5  56.13  55.5  55.82  900500  55.82
2013-12-23  54.37  55.85  54.37  55.55  1731800  55.55
2013-12-20  54.71  55.37  54.64  54.95  3049300  54.95
2013-12-19  54.76  54.9  54.26  54.62  1549500  54.62
2013-12-18  54.51  55.18  54.18  54.76  2460700  54.76
2013-12-17  54.24  54.99  54.0  54.6  2265600  54.6
2013-12-16  54.26  54.44  53.99  54.34  2651400  54.34
2013-12-13  54.97  55.19  54.0  54.08  2166600  54.08
2013-12-12  55.4  55.45  54.94  54.97  1650200  54.97
2013-12-11  55.0  55.75  54.79  55.4  2684800  55.4
2013-12-10  54.8  55.09  54.26  54.97  2136500  54.97
2013-12-09  54.28  55.09  54.04  54.99  2163200  54.99
2013-12-06  54.81  55.33  54.18  54.35  2879000  54.35
2013-12-05  55.07  55.45  54.37  54.69  4491600  54.69
2013-12-04  54.82  54.88  53.27  54.03  4225300  54.03
2013-12-03  54.77  55.21  54.65  54.9  2155100  54.9
2013-12-02  54.76  55.35  54.35  54.85  2986200  54.85
2013-11-29  55.81  55.85  54.88  54.93  1435300  54.93
2013-11-27  55.46  56.26  55.29  55.56  2277200  55.56
2013-11-26  55.49  55.92  55.23  55.53  2205400  55.53
2013-11-25  55.04  55.8  55.04  55.49  2428900  55.49
2013-11-22  54.42  54.94  54.33  54.8  1539800  54.8
2013-11-21  54.09  54.79  53.85  54.45  2916000  54.45
