Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  32.06  32.25  31.78  32.05  773800  32.05
2014-02-27  31.9  32.04  31.74  32.03  578400  32.03
2014-02-26  31.36  32.02  31.17  31.91  1037800  31.91
2014-02-25  31.4  31.46  31.18  31.24  781400  31.24
2014-02-24  31.5  31.85  31.36  31.36  925900  31.36
2014-02-21  31.48  31.52  31.33  31.39  629700  31.39
2014-02-20  31.2  31.42  31.1  31.38  691300  31.38
2014-02-19  30.89  31.35  30.8  31.23  1124700  31.23
2014-02-18  31.15  31.28  30.81  30.99  668800  30.99
2014-02-14  30.79  31.11  30.65  31.09  599100  31.09
2014-02-13  30.31  30.88  30.19  30.81  793800  30.81
2014-02-12  30.52  30.76  30.38  30.54  938000  30.54
2014-02-11  30.29  30.8  30.24  30.51  960800  30.51
2014-02-10  30.26  30.56  30.06  30.32  1310500  30.32
2014-02-07  29.93  30.39  29.92  30.36  768000  30.36
2014-02-06  29.4  30.02  29.4  29.93  796600  29.93
2014-02-05  29.3  29.56  29.19  29.35  993000  29.35
2014-02-04  29.17  29.55  28.9  29.44  1175600  29.44
2014-02-03  30.02  30.06  28.96  29.06  1489500  29.06
2014-01-31  29.43  30.27  29.38  30.02  1220200  30.02
2014-01-30  29.76  29.96  29.62  29.87  1138600  29.87
2014-01-29  29.47  29.75  29.31  29.55  1619700  29.55
2014-01-28  29.56  29.87  29.44  29.71  1841200  29.71
2014-01-27  29.78  29.87  29.35  29.49  1997600  29.49
2014-01-24  30.56  30.56  29.64  29.78  2619800  29.78
2014-01-23  30.16  30.71  30.16  30.69  1584300  30.69
2014-01-22  30.45  30.52  30.05  30.3  874400  30.3
2014-01-21  30.15  30.46  29.93  30.42  1361300  30.42
2014-01-17  30.12  30.12  29.6  29.75  1084800  29.75
2014-01-16  30.17  30.21  29.81  30.1  659900  30.1
2014-01-15  30.11  30.3  29.91  30.23  745900  30.23
2014-01-14  29.91  30.2  29.77  30.03  851600  30.03
2014-01-13  30.24  30.36  29.69  29.79  1060400  29.79
2014-01-10  30.32  30.72  30.3  30.38  764600  30.38
2014-01-09  30.37  30.58  30.12  30.27  670500  30.27
2014-01-08  30.46  30.64  30.13  30.37  1275200  30.37
2014-01-07  30.36  30.6  30.35  30.44  714700  30.44
2014-01-06  30.65  30.7  30.17  30.31  1113200  30.31
2014-01-03  30.76  30.94  30.66  30.71  535500  30.71
2014-01-02  30.87  30.92  30.54  30.66  713200  30.66
2013-12-31  31.15  31.2  30.87  30.94  642400  30.94
2013-12-30  31.04  31.22  30.98  31.08  563100  31.08
2013-12-27  31.0  31.33  30.95  31.06  725000  31.06
2013-12-26  31.02  31.22  30.99  31.0  761000  31.0
2013-12-24  30.93  31.18  30.85  30.97  266300  30.97
2013-12-23  30.74  31.1  30.55  30.99  1668900  30.99
2013-12-20  30.34  30.74  30.28  30.55  2510700  30.55
2013-12-19  30.28  30.42  30.13  30.26  1065400  30.26
2013-12-18  29.47  30.49  29.37  30.36  2380300  30.36
2013-12-17  29.49  29.56  29.27  29.37  1584100  29.37
2013-12-16  29.21  29.55  29.2  29.48  602100  29.48
2013-12-13  29.11  29.24  29.05  29.15  569900  29.15
2013-12-12  28.87  29.2  28.8  29.1  1146800  29.1
2013-12-11  29.3  29.43  28.79  28.94  1107500  28.94
2013-12-10  29.56  29.73  29.3  29.34  588000  29.34
2013-12-09  29.43  29.74  29.36  29.56  848100  29.56
2013-12-06  29.1  29.46  29.07  29.36  609800  29.36
2013-12-05  28.93  29.11  28.81  28.91  993200  28.91
2013-12-04  29.14  29.45  28.91  29.05  1341100  29.05
2013-12-03  29.21  29.35  28.99  29.32  1264500  29.32
2013-12-02  29.85  29.88  29.29  29.34  1049600  29.34
2013-11-29  29.82  29.98  29.75  29.9  411900  29.9
2013-11-27  30.17  30.25  29.71  29.78  836500  29.78
2013-11-26  29.78  30.23  29.78  30.09  947000  30.09
2013-11-25  29.88  30.02  29.67  29.75  1046700  29.75
2013-11-22  29.64  29.8  29.49  29.77  559200  29.77
2013-11-21  29.32  29.65  29.23  29.63  536300  29.63
2013-11-20  29.63  29.84  29.24  29.32  948300  29.32
