Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  44.37  44.38  43.41  43.88  4690100  43.88
2014-02-27  43.57  44.4  43.22  44.33  4281100  44.33
2014-02-26  42.3  44.36  41.91  43.78  7661000  43.78
2014-02-25  41.76  42.75  41.47  42.26  3431700  42.26
2014-02-24  41.76  42.66  41.63  41.82  4627100  41.82
2014-02-21  41.38  42.43  41.25  41.85  3799000  41.85
2014-02-20  41.01  41.37  40.58  41.29  2721200  41.29
2014-02-19  41.02  41.76  40.67  40.94  2838300  40.94
2014-02-18  41.47  41.98  40.54  41.14  2837800  41.14
2014-02-14  40.81  41.5  40.57  41.48  3085300  41.48
2014-02-13  39.9  41.11  39.55  41.0  4427900  41.0
2014-02-12  40.73  40.95  39.94  40.13  4893400  40.13
2014-02-11  40.68  40.92  40.16  40.59  4718400  40.59
2014-02-10  41.9  41.93  40.22  40.89  5156900  40.89
2014-02-07  41.86  42.25  41.24  41.77  5456400  41.77
2014-02-06  40.94  41.88  40.67  41.71  6876900  41.71
2014-02-05  39.51  39.94  39.12  39.58  6525300  39.58
2014-02-04  39.35  39.96  38.74  39.85  4778700  39.85
2014-02-03  40.0  40.14  38.9  39.22  6865100  39.22
2014-01-31  38.37  40.84  38.25  40.16  6701500  40.16
2014-01-30  39.62  39.81  38.55  38.85  4602300  38.85
2014-01-29  37.83  39.06  37.7  39.0  5584500  39.0
2014-01-28  37.44  39.16  37.24  38.52  8084500  38.52
2014-01-27  37.29  37.91  36.37  36.87  6809700  36.87
2014-01-24  38.22  38.29  36.85  36.99  5161300  36.99
2014-01-23  37.59  38.2  37.4  38.16  4115900  38.16
2014-01-22  37.26  38.14  37.02  37.77  3730900  37.77
2014-01-21  37.56  37.7  36.76  37.23  3703700  37.23
2014-01-17  38.31  38.33  37.4  37.44  4197800  37.44
2014-01-16  38.03  38.51  37.51  38.39  3150000  38.39
2014-01-15  38.13  38.33  37.74  38.04  2264400  38.04
2014-01-14  38.36  38.59  37.79  38.19  2630400  38.19
2014-01-13  38.92  39.02  37.96  38.14  4495900  38.14
2014-01-10  38.76  39.81  38.58  39.15  5768500  39.15
2014-01-09  38.65  38.89  37.87  38.38  2937600  38.38
2014-01-08  38.21  38.98  37.83  38.57  3626500  38.57
2014-01-07  38.42  38.82  38.13  38.32  3147000  38.32
2014-01-06  39.03  39.41  38.04  38.15  4861500  38.15
2014-01-03  39.44  39.9  38.8  38.81  3139300  38.81
2014-01-02  39.12  39.53  38.74  39.38  2446800  39.38
2013-12-31  39.7  39.76  39.3  39.52  2742900  39.52
2013-12-30  39.52  39.87  39.26  39.71  3071000  39.71
2013-12-27  39.2  39.7  38.96  39.51  2619100  39.51
2013-12-26  38.87  39.54  38.86  39.22  3228700  39.22
2013-12-24  38.6  39.46  38.2  38.93  2792500  38.93
2013-12-23  37.71  38.96  37.63  38.71  6650000  38.71
2013-12-20  36.95  37.69  36.92  37.34  6001000  37.34
2013-12-19  37.12  37.31  36.58  37.0  4311000  37.0
