Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  113.42  115.9  113.42  115.4  777200  115.4
2014-02-27  112.41  113.87  112.41  113.82  653600  113.82
2014-02-26  113.4  113.81  112.61  113.38  715200  113.38
2014-02-25  114.92  115.39  113.03  113.24  1450800  113.24
2014-02-24  114.64  116.85  114.6  115.69  1016300  115.69
2014-02-21  115.09  115.88  114.27  114.97  760200  114.97
2014-02-20  113.24  115.29  112.74  115.04  581300  115.04
2014-02-19  113.4  114.58  112.8  113.07  1279100  113.07
2014-02-18  113.18  114.35  112.64  114.22  862900  114.22
2014-02-14  112.59  113.03  111.75  112.9  581100  112.9
2014-02-13  112.13  113.0  111.76  112.48  901900  112.48
2014-02-12  111.85  113.23  111.85  112.52  680700  112.52
2014-02-11  112.16  112.65  111.78  111.95  1475300  111.95
2014-02-10  112.24  112.45  111.08  111.81  697100  111.81
2014-02-07  111.25  113.36  110.16  112.43  1279700  112.43
2014-02-06  108.38  109.41  108.33  109.03  484700  109.03
2014-02-05  107.14  108.9  106.34  108.39  825500  108.39
2014-02-04  108.1  108.42  106.11  107.76  1085300  107.76
2014-02-03  109.67  111.3  107.76  108.05  1879600  108.05
2014-01-31  104.05  111.01  103.79  110.49  1910700  110.49
2014-01-30  103.96  104.88  102.88  104.86  1234100  104.86
2014-01-29  102.94  103.63  102.39  103.17  628800  103.17
2014-01-28  103.24  104.09  103.19  103.92  570800  103.92
2014-01-27  103.86  103.86  102.29  103.16  648200  103.16
2014-01-24  106.23  106.34  103.61  103.62  773500  103.62
2014-01-23  107.92  108.0  106.64  107.14  611700  107.14
2014-01-22  108.12  108.37  107.22  108.05  569200  108.05
2014-01-21  107.01  108.26  107.0  107.77  533700  107.77
2014-01-17  106.47  107.04  106.34  107.0  418200  107.0
2014-01-16  106.11  106.72  105.94  106.44  304800  106.44
2014-01-15  105.84  107.14  105.78  106.72  438600  106.72
2014-01-14  105.35  105.82  104.9  105.58  403300  105.58
2014-01-13  106.0  106.37  104.92  105.1  460300  105.1
2014-01-10  105.84  106.13  105.29  105.76  551800  105.76
2014-01-09  106.35  106.83  105.49  105.73  660900  105.73
2014-01-08  104.08  105.15  103.49  104.9  615300  104.9
2014-01-07  103.67  105.01  103.44  104.19  717200  104.19
2014-01-06  105.1  105.55  104.45  105.02  564400  105.02
2014-01-03  104.58  105.3  104.48  104.83  369000  104.83
2014-01-02  105.51  105.72  104.39  104.53  720100  104.53
2013-12-31  106.31  106.57  106.1  106.3  323400  106.3
2013-12-30  106.83  106.97  105.82  106.22  371300  106.22
2013-12-27  108.03  108.12  106.51  106.56  254000  106.56
2013-12-26  106.28  107.06  106.17  106.57  453200  106.57
2013-12-24  105.26  106.39  105.26  106.17  175100  106.17
2013-12-23  105.09  105.68  105.05  105.47  353200  105.47
2013-12-20  104.53  105.57  104.24  104.93  1014600  104.93
2013-12-19  104.0  104.35  103.25  104.02  633600  104.02
2013-12-18  101.88  104.35  101.63  104.23  830900  104.23
2013-12-17  102.73  102.91  101.51  101.85  469600  101.85
2013-12-16  101.65  102.86  101.49  102.48  909200  102.48
2013-12-13  101.07  101.81  100.62  101.69  436600  101.69
2013-12-12  100.08  100.97  100.08  100.77  511500  100.77
2013-12-11  101.93  102.21  100.14  100.35  568200  100.35
2013-12-10  101.18  101.92  100.72  101.84  722500  101.84
2013-12-09  101.44  101.69  101.18  101.41  655800  101.41
2013-12-06  100.93  101.42  100.85  101.26  582200  101.26
2013-12-05  101.05  101.14  100.05  100.28  582500  100.28
2013-12-04  101.87  102.11  100.1  101.05  764400  101.05
2013-12-03  102.36  102.99  101.73  102.14  487300  102.14
2013-12-02  102.92  103.23  102.44  102.65  695500  102.65
2013-11-29  102.96  103.31  102.68  102.92  276900  102.92
2013-11-27  102.73  103.33  102.23  102.94  441400  102.94
2013-11-26  101.96  102.91  101.72  102.47  576100  102.47
2013-11-25  101.91  101.91  101.32  101.83  603300  101.83
2013-11-22  101.33  101.91  101.32  101.8  741300  101.8
2013-11-21  101.24  101.71  100.64  101.32  545200  101.32
2013-11-20  101.25  102.01  100.56  100.83  568900  100.83
2013-11-19  102.09  102.37  101.01  101.24  668200  101.24
2013-11-18  101.77  102.87  101.77  102.32  465900  102.32
2013-11-15  101.4  101.5  100.57  101.41  391600  101.41
2013-11-14  100.99  101.68  100.26  101.42  348400  101.42
2013-11-13  99.95  100.85  99.51  100.79  349100  100.79
2013-11-12  100.33  100.66  99.92  100.16  401500  100.16
