Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  46.59  46.9  46.31  46.84  1916100  46.84
2014-02-27  47.2  47.52  46.34  46.63  2275400  46.63
2014-02-26  46.14  46.88  46.14  46.64  2068400  46.64
2014-02-25  46.25  46.35  45.9  46.18  1836600  46.18
2014-02-24  46.19  46.57  46.19  46.26  1361600  46.26
2014-02-21  46.21  46.45  46.07  46.14  1811800  46.14
2014-02-20  45.91  46.33  45.8  46.12  2501600  46.12
2014-02-19  45.92  46.31  45.6  46.04  3020300  46.04
2014-02-18  46.08  46.09  45.58  45.88  2589700  45.88
2014-02-14  45.6  46.21  45.37  45.99  3864500  45.99
2014-02-13  45.08  45.81  44.89  45.76  2886000  45.76
2014-02-12  44.54  45.02  44.46  44.99  1826600  44.99
2014-02-11  44.02  44.51  43.92  44.43  1528400  44.43
2014-02-10  43.77  44.17  43.76  44.05  1390300  44.05
2014-02-07  43.56  43.87  43.39  43.85  1957800  43.85
2014-02-06  43.44  43.56  43.18  43.44  1724600  43.44
2014-02-05  42.81  43.47  42.72  43.25  1732400  43.25
2014-02-04  43.26  43.51  42.74  43.1  3831100  43.1
2014-02-03  44.23  44.62  43.09  43.32  3126200  43.32
2014-01-31  44.39  44.67  44.09  44.27  3223800  44.27
2014-01-30  44.56  44.73  44.3  44.39  2161900  44.39
2014-01-29  44.42  44.95  44.2  44.31  2789000  44.31
2014-01-28  44.14  44.73  44.11  44.49  1580700  44.49
2014-01-27  44.56  44.74  44.12  44.23  2469300  44.23
2014-01-24  45.43  45.44  44.54  44.55  2404200  44.55
2014-01-23  45.97  46.16  45.35  45.51  2227100  45.51
2014-01-22  45.95  46.46  45.89  46.31  2423000  46.31
2014-01-21  45.87  46.22  45.75  46.01  2874800  46.01
2014-01-17  45.64  46.2  45.63  45.72  6037000  45.72
2014-01-16  46.08  46.19  45.65  46.01  2526200  46.01
2014-01-15  45.47  46.17  45.0  45.86  6013800  45.86
2014-01-14  44.78  45.17  44.45  44.92  4317100  44.92
2014-01-13  45.17  45.18  44.1  44.22  2753500  44.22
2014-01-10  44.96  45.21  44.59  45.16  1663000  45.16
2014-01-09  44.98  45.16  44.75  44.98  1635200  44.98
2014-01-08  44.7  45.08  44.58  44.91  2447300  44.91
2014-01-07  44.67  44.82  44.34  44.58  2147300  44.58
2014-01-06  44.84  44.92  44.47  44.5  1588000  44.5
2014-01-03  44.14  44.92  44.14  44.71  1645400  44.71
2014-01-02  45.21  45.21  44.29  44.61  1828700  44.61
2013-12-31  45.52  45.65  45.12  45.27  1172300  45.27
2013-12-30  45.11  45.4  44.9  45.23  1212900  45.23
2013-12-27  45.14  45.32  44.99  45.11  721000  45.11
2013-12-26  44.98  45.2  44.87  45.05  985500  45.05
2013-12-24  45.06  45.22  44.73  44.93  826200  44.93
2013-12-23  44.83  44.93  44.66  44.92  1100200  44.92
2013-12-20  44.29  44.73  44.06  44.53  2924300  44.53
2013-12-19  44.93  44.93  44.08  44.27  1850800  44.27
2013-12-18  44.39  44.86  43.79  44.84  2482600  44.84
2013-12-17  43.67  44.56  43.56  44.26  2459800  44.26
2013-12-16  43.43  43.72  43.32  43.68  1340900  43.68
2013-12-13  43.07  43.31  42.89  43.09  1199900  43.09
2013-12-12  43.33  43.46  43.02  43.08  1356700  43.08
2013-12-11  43.62  43.83  43.18  43.24  1833200  43.24
2013-12-10  43.61  43.94  43.55  43.65  1401100  43.65
2013-12-09  43.91  43.99  43.56  43.71  1681200  43.71
2013-12-06  43.64  43.86  43.47  43.66  1758300  43.66
2013-12-05  43.24  43.44  42.97  43.18  1890100  43.18
2013-12-04  42.84  43.62  42.74  43.26  3174800  43.26
2013-12-03  42.55  43.19  42.28  42.94  3816800  42.94
2013-12-02  42.25  42.45  42.11  42.2  1594900  42.2
2013-11-29  42.55  42.6  42.25  42.29  1392200  42.29
2013-11-27  42.09  42.37  41.53  42.3  1923100  42.3
2013-11-26  42.1  42.42  41.77  42.27  1549200  42.27
2013-11-25  42.06  42.27  41.82  42.16  1354900  42.16
2013-11-22  42.12  42.39  41.74  42.01  2105300  42.01
2013-11-21  41.71  42.01  41.61  41.99  1177200  41.99
2013-11-20  41.61  41.69  41.3  41.42  1703800  41.42
2013-11-19  41.79  41.89  41.35  41.45  2307700  41.45
2013-11-18  41.9  42.09  41.65  41.81  2369000  41.81
2013-11-15  43.1  43.1  40.73  41.96  4954100  41.96
2013-11-14  40.89  41.1  40.46  40.96  5248000  40.96
2013-11-13  40.06  40.8  40.06  40.8  1202000  40.8
2013-11-12  40.19  40.45  40.09  40.31  1130000  40.31
2013-11-11  40.39  40.46  40.08  40.35  1075900  40.35
2013-11-08  40.2  40.49  39.9  40.46  1100500  40.46
2013-11-07  40.92  40.94  40.04  40.14  1768900  40.14
2013-11-06  40.51  40.82  40.3  40.64  1367100  40.64
2013-11-05  40.03  40.59  39.76  40.43  2031100  40.43
2013-11-04  40.53  40.55  40.12  40.12  2432500  40.12
2013-11-01  40.76  40.76  40.13  40.31  1738400  40.31
2013-10-31  40.05  40.87  39.96  40.65  2755300  40.65
2013-10-30  40.22  40.78  39.98  40.05  2370900  40.05
2013-10-29  39.48  40.43  39.44  40.38  3413600  40.38
2013-10-28  38.66  39.35  38.6  39.28  1724700  39.28
2013-10-25  38.62  38.7  38.5  38.59  1086800  38.59
2013-10-24  38.32  38.61  38.19  38.47  1595200  38.47
2013-10-23  38.55  38.55  37.81  38.26  3136700  38.26
2013-10-22  39.09  39.09  38.51  38.93  2350400  38.93
2013-10-21  38.57  38.84  38.49  38.83  2140600  38.83
2013-10-18  38.8  38.87  38.41  38.78  1852300  38.78
2013-10-17  38.39  38.83  38.09  38.77  2411600  38.77
2013-10-16  38.04  38.99  37.84  38.63  5074400  38.63
2013-10-15  39.31  39.46  38.97  39.06  2030000  39.06
2013-10-14  38.96  39.85  38.85  39.51  2159200  39.51
2013-10-11  38.74  39.21  38.74  39.18  1585100  39.18
2013-10-10  38.47  39.01  38.36  38.86  1464600  38.86
2013-10-09  38.54  38.58  37.83  38.22  1786400  38.22
2013-10-08  39.16  39.16  38.2  38.32  2002500  38.32
2013-10-07  38.64  39.27  38.58  39.02  1187500  39.02
2013-10-04  39.0  39.21  38.83  39.08  1576500  39.08
2013-10-03  39.06  39.18  38.62  39.06  2163600  39.06
2013-10-02  38.99  39.34  38.93  39.11  1510000  39.11
2013-10-01  39.28  39.57  39.0  39.32  1349500  39.32
2013-09-30  38.85  39.2  38.69  39.17  1834700  39.17
2013-09-27  39.0  39.32  38.94  39.11  1254400  39.11
2013-09-26  39.46  39.64  39.13  39.3  1509100  39.3
2013-09-25  39.48  39.58  39.11  39.35  1384200  39.35
2013-09-24  39.74  39.82  39.43  39.51  1262400  39.51
2013-09-23  39.66  39.87  39.52  39.59  1739900  39.59
2013-09-20  40.02  40.07  39.59  39.6  2790000  39.6
2013-09-19  40.05  40.18  39.79  39.94  1353900  39.94
2013-09-18  39.96  40.1  39.56  40.03  1945300  40.03
2013-09-17  40.06  40.15  39.84  39.94  1045100  39.94
2013-09-16  40.13  40.19  39.68  39.83  1682100  39.83
2013-09-13  39.87  39.93  39.6  39.79  1267900  39.79
2013-09-12  39.56  39.88  39.49  39.69  1309500  39.69
2013-09-11  39.15  39.74  38.97  39.71  1911600  39.71
2013-09-10  38.89  39.33  38.73  39.33  1826600  39.33
2013-09-09  38.85  38.95  38.51  38.52  1860800  38.52
2013-09-06  39.17  39.17  38.52  38.64  1346400  38.64
2013-09-05  38.82  39.21  38.82  38.91  979100  38.91
2013-09-04  38.39  39.1  37.94  38.94  2159300  38.94
2013-09-03  38.29  38.93  38.19  38.4  2070800  38.4
2013-08-30  38.2  38.2  37.58  37.86  2198300  37.86
2013-08-29  38.02  38.26  37.87  38.01  1931700  38.01
2013-08-28  37.78  38.32  37.62  38.06  1288000  38.06
2013-08-27  37.96  38.26  37.75  37.79  2115900  37.79
2013-08-26  38.57  38.82  38.4  38.43  1198900  38.43
2013-08-23  38.72  38.73  38.32  38.64  1083500  38.64
2013-08-22  38.29  38.91  38.26  38.55  694100  38.55
2013-08-21  38.12  38.66  37.98  38.22  2163900  38.22
2013-08-20  38.61  40.29  38.59  38.8  1438100  38.8
2013-08-19  38.64  39.0  38.56  38.6  1423100  38.6
2013-08-16  39.04  39.44  38.62  38.66  2808000  38.66
2013-08-15  38.95  38.95  38.55  38.64  1584800  38.64
2013-08-14  39.47  39.51  39.07  39.15  1435300  39.15
2013-08-13  42.01  42.01  39.08  39.57  1026500  39.57
2013-08-12  38.98  39.58  38.96  39.43  986300  39.43
2013-08-09  39.28  39.53  39.01  39.16  991800  39.16
2013-08-08  39.67  39.73  39.2  39.39  1037100  39.39
2013-08-07  39.48  39.56  39.21  39.34  1161200  39.34
2013-08-06  39.69  39.74  39.33  39.44  1125100  39.44
2013-08-05  39.53  39.83  39.52  39.75  1175100  39.75
2013-08-02  39.06  39.81  39.0  39.79  2331200  39.79
2013-08-01  39.95  40.23  39.92  40.21  2403900  40.21
