Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  161.15  163.31  161.15  162.3  2232700  162.3
2014-02-27  160.4  161.67  159.51  161.44  3075100  161.44
2014-02-26  161.95  163.05  159.48  159.5  2691000  159.5
2014-02-25  165.21  166.05  161.75  162.26  2278400  162.26
2014-02-24  164.25  167.02  163.44  164.77  2534300  164.77
2014-02-21  163.63  164.07  162.02  162.97  2377600  162.97
2014-02-20  161.65  164.52  161.57  162.91  2112600  162.91
2014-02-19  161.25  163.34  160.67  161.3  1762400  161.3
2014-02-18  160.19  162.59  160.19  161.35  1985200  161.35
2014-02-14  158.48  161.89  157.99  161.54  2556400  161.54
2014-02-13  156.36  159.43  155.25  158.48  2461600  158.48
2014-02-12  157.4  158.14  156.67  157.61  1851100  157.61
2014-02-11  153.29  157.01  152.91  156.26  2242200  156.26
2014-02-10  153.47  154.13  152.24  152.71  2375000  152.71
2014-02-07  150.65  154.42  149.81  153.85  2072700  153.85
2014-02-06  148.5  151.38  148.27  150.49  2073800  150.49
2014-02-05  146.52  150.72  146.21  149.15  2728100  149.15
2014-02-04  146.56  147.73  143.49  146.95  2205000  146.95
2014-02-03  149.3  150.74  146.2  146.52  2307200  146.52
2014-01-31  145.85  150.73  144.73  149.66  2618200  149.66
2014-01-30  147.36  149.05  146.45  147.43  1931600  147.43
2014-01-29  145.92  147.01  145.29  146.13  2501000  146.13
2014-01-28  145.79  147.59  145.58  147.05  2676000  147.05
2014-01-27  146.89  147.85  143.92  145.8  2851400  145.8
2014-01-24  150.08  150.08  145.47  146.54  3496200  146.54
2014-01-23  155.82  157.12  149.06  149.25  3944100  149.25
2014-01-22  153.71  155.75  152.98  155.35  2646600  155.35
2014-01-21  152.73  155.25  152.52  152.83  2274600  152.83
2014-01-17  152.46  152.72  151.75  152.55  2016300  152.55
2014-01-16  151.73  152.25  151.36  152.22  1378700  152.22
2014-01-15  150.17  153.06  149.85  152.23  2294200  152.23
2014-01-14  149.88  150.68  147.96  150.17  2575800  150.17
2014-01-13  152.43  153.07  149.26  149.67  3449000  149.67
2014-01-10  147.75  148.45  146.33  148.21  1245800  148.21
2014-01-09  147.77  149.19  147.31  147.5  1646600  147.5
2014-01-08  147.16  147.87  146.49  147.27  1222700  147.27
2014-01-07  147.77  148.06  146.28  147.38  1684100  147.38
2014-01-06  146.08  146.87  144.89  145.07  1134800  145.07
2014-01-03  145.28  146.11  145.26  145.84  843400  145.84
2014-01-02  145.83  146.57  144.63  144.86  1115900  144.86
2013-12-31  146.09  147.63  146.09  147.43  693000  147.43
2013-12-30  146.81  147.54  144.8  145.76  835600  145.76
2013-12-27  148.03  148.75  146.31  146.91  711400  146.91
2013-12-26  145.13  147.98  144.97  147.61  1498600  147.61
2013-12-24  143.97  145.07  143.8  144.93  726700  144.93
2013-12-23  143.75  144.79  143.54  143.86  1806100  143.86
2013-12-20  142.21  143.73  141.72  143.02  1953600  143.02
2013-12-19  142.56  142.56  140.7  141.81  1530400  141.81
2013-12-18  139.76  142.8  138.84  142.54  2282800  142.54
2013-12-17  139.3  139.83  138.71  139.69  1161700  139.69
