Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  50.88  50.89  49.47  50.03  9573400  50.03
2014-02-27  50.58  51.02  50.39  50.82  7249300  50.82
2014-02-26  50.2  51.28  48.81  50.72  18638100  50.72
2014-02-25  47.84  48.37  47.76  48.11  10095100  48.11
2014-02-24  47.21  47.78  47.21  47.22  7786700  47.22
2014-02-21  46.66  47.3  46.66  47.06  7675200  47.06
2014-02-20  46.67  47.09  46.6  46.66  7724200  46.66
2014-02-19  46.81  47.17  46.51  46.54  5460600  46.54
2014-02-18  47.5  47.68  46.69  46.93  5454500  46.93
2014-02-14  46.6  47.39  46.46  47.28  3459900  47.28
2014-02-13  46.47  46.81  46.03  46.64  5051600  46.64
2014-02-12  46.78  47.09  46.56  46.68  6788200  46.68
2014-02-11  45.98  46.94  45.97  46.76  6922100  46.76
2014-02-10  46.11  46.42  45.91  46.12  7342900  46.12
2014-02-07  46.11  46.26  45.44  46.07  9641200  46.07
2014-02-06  45.67  46.64  45.6  46.58  6486400  46.58
2014-02-05  44.82  45.67  44.45  45.53  8036000  45.53
2014-02-04  45.55  45.73  44.78  44.9  8399200  44.9
2014-02-03  46.26  46.53  45.48  45.6  7755000  45.6
2014-01-31  46.01  46.8  45.62  46.29  6767300  46.29
2014-01-30  46.31  46.78  45.96  46.5  5772900  46.5
2014-01-29  46.57  46.89  45.78  45.97  9922000  45.97
2014-01-28  46.75  47.38  46.58  46.96  13364000  46.96
2014-01-27  47.78  48.32  47.34  48.0  8050300  48.0
2014-01-24  47.78  48.3  47.73  47.83  9086200  47.83
2014-01-23  47.55  48.22  47.25  48.15  6938800  48.15
2014-01-22  47.84  47.85  47.18  47.75  7916600  47.75
2014-01-21  47.59  47.86  47.26  47.82  7430100  47.82
2014-01-17  48.1  48.14  47.56  47.61  5764000  47.61
2014-01-16  47.93  48.1  47.59  48.0  4146200  48.0
2014-01-15  48.8  48.85  47.92  48.11  6224600  48.11
2014-01-14  48.43  48.75  48.19  48.72  5498900  48.72
2014-01-13  49.22  49.73  48.32  48.48  6403800  48.48
2014-01-10  48.73  49.59  48.69  49.49  5736400  49.49
2014-01-09  48.57  48.7  48.18  48.57  4941400  48.57
2014-01-08  48.1  48.57  48.07  48.37  4875800  48.37
2014-01-07  48.22  48.64  47.82  48.2  5541900  48.2
2014-01-06  48.79  48.92  47.86  48.08  4923000  48.08
2014-01-03  49.23  49.35  48.65  48.77  4257500  48.77
2014-01-02  49.37  49.68  48.97  49.26  5458300  49.26
2013-12-31  49.03  49.42  48.99  49.36  3457300  49.36
2013-12-30  48.8  49.25  48.73  49.07  3202800  49.07
2013-12-27  48.97  49.27  48.47  48.65  3828600  48.65
2013-12-26  48.65  49.05  48.55  48.85  3124500  48.85
2013-12-24  48.25  48.77  48.1  48.52  2281800  48.52
2013-12-23  47.78  48.61  47.78  48.22  4715100  48.22
2013-12-20  48.4  48.74  47.74  47.79  8169900  47.79
2013-12-19  47.88  48.74  47.57  48.21  7668100  48.21
2013-12-18  46.53  48.3  46.45  48.14  10359700  48.14
2013-12-17  46.99  47.06  46.27  46.48  5502000  46.48
2013-12-16  47.29  47.54  46.9  46.95  4228200  46.95
2013-12-13  46.72  47.2  46.72  46.93  3815800  46.93
2013-12-12  47.13  47.21  46.64  46.71  4552400  46.71
2013-12-11  47.16  47.62  47.04  47.13  5307800  47.13
2013-12-10  47.5  47.79  47.14  47.18  5477500  47.18
2013-12-09  47.71  48.0  47.51  47.58  6269600  47.58
2013-12-06  47.01  48.3  46.96  47.8  8217900  47.8
2013-12-05  46.53  46.91  46.38  46.44  5232900  46.44
2013-12-04  46.01  46.86  45.9  46.68  8019100  46.68
2013-12-03  45.65  46.38  45.58  46.33  11475200  46.33
2013-12-02  47.41  47.43  46.55  46.66  6834800  46.66
2013-11-29  47.71  47.79  47.27  47.3  3343900  47.3
2013-11-27  47.8  48.03  47.43  47.71  4561900  47.71
2013-11-26  47.68  48.14  47.66  47.83  6901400  47.83
2013-11-25  47.87  48.11  47.33  47.57  6472200  47.57
2013-11-22  48.04  48.06  47.5  47.72  6142600  47.72
2013-11-21  47.36  48.61  46.99  48.02  11977200  48.02
2013-11-20  48.32  48.71  46.98  47.15  26083700  47.15
2013-11-19  51.31  51.65  49.99  50.25  12070900  50.25
2013-11-18  51.55  51.58  50.58  50.7  8655100  50.7
2013-11-15  51.86  51.89  51.34  51.58  10833100  51.58
2013-11-14  51.25  51.84  51.19  51.76  9024800  51.76
2013-11-13  49.63  51.09  49.63  51.09  7433500  51.09
2013-11-12  49.18  50.2  49.18  49.93  10150000  49.93
2013-11-11  48.64  49.26  48.54  48.92  5530100  48.92
2013-11-08  48.83  49.08  48.3  48.54  8931200  48.54
2013-11-07  49.93  50.25  48.85  48.89  4694500  48.89
2013-11-06  50.23  50.31  49.63  49.78  4104400  49.78
2013-11-05  49.35  50.23  49.21  49.99  5153500  49.99
2013-11-04  49.3  49.63  49.29  49.58  5592500  49.58
2013-11-01  49.65  49.81  48.97  49.0  9961600  49.0
2013-10-31  50.06  50.15  49.47  49.59  7212200  49.59
2013-10-30  50.48  50.55  49.58  49.96  6991100  49.96
2013-10-29  50.1  50.52  50.0  50.42  8843200  50.42
2013-10-28  50.3  50.33  49.64  49.92  5916400  49.92
2013-10-25  50.06  50.44  49.74  50.4  6014300  50.4
2013-10-24  49.1  50.29  49.03  50.25  8420900  50.25
2013-10-23  47.99  49.13  47.94  49.07  9541700  49.07
2013-10-22  48.01  48.35  47.94  48.01  7711400  48.01
2013-10-21  47.41  47.85  47.22  47.84  6482500  47.84
2013-10-18  48.11  48.11  47.22  47.3  12981900  47.3
2013-10-17  47.96  48.75  47.95  48.65  6769800  48.65
2013-10-16  48.36  48.43  47.48  48.11  9179900  48.11
2013-10-15  48.48  48.48  47.59  48.09  7282700  48.09
2013-10-14  48.08  48.6  47.99  48.51  4959300  48.51
2013-10-11  47.6  48.44  47.57  48.43  6949900  48.43
2013-10-10  46.91  47.53  46.8  47.46  5738400  47.46
2013-10-09  46.18  46.72  45.75  46.25  6652000  46.25
2013-10-08  46.89  47.24  46.14  46.18  7306200  46.18
2013-10-07  47.19  47.47  46.91  46.91  6404200  46.91
2013-10-04  47.61  47.86  47.49  47.78  5518600  47.78
2013-10-03  48.18  48.43  47.19  47.57  7403300  47.57
2013-10-02  47.49  48.12  47.31  48.05  5951600  48.05
2013-10-01  47.28  48.02  47.15  47.83  6662500  47.83
2013-09-30  46.95  47.6  46.84  47.25  5846500  47.25
2013-09-27  47.43  47.66  47.27  47.41  4107600  47.41
2013-09-26  47.37  47.8  47.37  47.53  4354400  47.53
2013-09-25  47.66  47.66  46.98  47.18  5916600  47.18
2013-09-24  46.84  48.07  46.67  47.68  7195300  47.68
2013-09-23  47.31  47.39  46.84  46.92  7187300  46.92
2013-09-20  48.7  48.77  47.48  47.48  11704700  47.48
2013-09-19  47.64  48.8  47.64  48.61  11076500  48.61
2013-09-18  46.42  47.66  46.07  47.39  7535200  47.39
2013-09-17  46.41  46.7  46.25  46.5  5347900  46.5
2013-09-16  46.95  47.11  46.13  46.49  6485000  46.49
2013-09-13  46.8  46.94  46.24  46.51  6199800  46.51
2013-09-12  46.93  47.03  46.28  46.64  7086100  46.64
2013-09-11  46.93  47.22  46.6  47.01  4680700  47.01
2013-09-10  46.45  46.83  46.29  46.8  5887700  46.8
2013-09-09  45.48  46.45  45.46  46.28  5714200  46.28
2013-09-06  45.73  45.86  44.91  45.26  5596100  45.26
2013-09-05  45.54  45.88  45.44  45.52  4558000  45.52
2013-09-04  45.38  45.68  45.29  45.63  5468500  45.63
2013-09-03  45.91  46.14  44.83  45.27  7003400  45.27
2013-08-30  46.15  46.27  45.31  45.48  5610200  45.48
2013-08-29  45.93  46.42  45.65  46.07  4470600  46.07
2013-08-28  45.53  46.32  45.51  46.03  7153900  46.03
2013-08-27  46.05  46.35  45.61  45.66  7316000  45.66
2013-08-26  46.66  47.09  46.48  46.64  6085100  46.64
2013-08-23  46.89  47.15  46.22  46.63  8124400  46.63
2013-08-22  45.62  47.15  45.57  47.03  10274400  47.03
2013-08-21  45.27  46.9  45.18  45.47  30111000  45.47
2013-08-20  44.05  44.19  43.19  43.75  10291200  43.75
2013-08-19  43.74  43.86  43.22  43.34  6126100  43.34
2013-08-16  43.53  44.3  43.46  43.63  8342100  43.63
2013-08-15  44.13  44.22  43.43  43.52  8911900  43.52
2013-08-14  45.76  45.8  44.62  44.66  8957600  44.66
2013-08-13  45.43  45.88  45.02  45.78  5708400  45.78
2013-08-12  45.25  45.91  45.25  45.46  5075200  45.46
2013-08-09  45.69  45.7  45.19  45.34  6613800  45.34
2013-08-08  44.93  45.9  44.86  45.81  11217200  45.81
2013-08-07  44.42  44.48  43.84  43.97  6507900  43.97
2013-08-06  45.03  45.12  44.35  44.53  7986700  44.53
2013-08-05  44.47  45.15  44.44  45.13  4488300  45.13
2013-08-02  44.63  44.93  44.35  44.65  6763600  44.65
2013-08-01  44.6  44.85  44.42  44.7  5794500  44.7
2013-07-31  43.68  44.7  43.67  44.25  6857900  44.25
2013-07-30  43.46  43.98  43.46  43.71  7083400  43.71
2013-07-29  43.62  43.76  43.05  43.11  6020700  43.11
2013-07-26  43.54  43.71  43.28  43.64  5130800  43.64
2013-07-25  44.27  44.37  43.45  43.8  8425800  43.8
2013-07-24  44.92  44.96  44.25  44.41  5612800  44.41
2013-07-23  44.42  44.82  44.4  44.76  6578200  44.76
2013-07-22  43.81  44.38  43.62  44.34  5506600  44.34
2013-07-19  43.81  43.86  43.39  43.76  4335500  43.76
2013-07-18  43.76  44.04  43.56  43.78  5431500  43.78
2013-07-17  43.54  44.0  43.44  43.75  5563200  43.75
2013-07-16  43.14  43.58  42.99  43.28  4093700  43.28
2013-07-15  43.5  43.91  43.25  43.25  8203400  43.25
2013-07-12  42.89  43.35  42.85  43.32  4507900  43.32
2013-07-11  43.51  43.69  42.78  42.87  7224800  42.87
2013-07-10  43.24  43.32  42.67  42.89  5247600  42.89
2013-07-09  43.05  43.47  42.9  43.3  5482000  43.3
2013-07-08  42.39  43.05  42.38  43.0  5727200  43.0
2013-07-05  42.01  42.4  41.82  42.29  4048600  42.29
2013-07-03  41.61  42.01  41.45  41.83  4074000  41.83
2013-07-02  40.97  42.34  40.86  41.88  12271900  41.88
2013-07-01  40.72  40.96  40.48  40.59  5924500  40.59
2013-06-28  40.61  40.83  40.23  40.43  12195300  40.43
2013-06-27  40.28  40.91  40.23  40.68  7787200  40.68
2013-06-26  39.49  40.19  39.49  40.06  9528600  40.06
2013-06-25  39.34  39.46  39.02  39.05  9647300  39.05
2013-06-24  38.59  39.36  38.42  38.99  8683000  38.99
2013-06-21  39.77  39.8  38.81  39.09  16890200  39.09
2013-06-20  40.12  40.16  39.35  39.36  12013600  39.36
2013-06-19  41.11  41.17  40.52  40.56  7614100  40.56
2013-06-18  40.93  41.12  40.67  40.98  4486900  40.98
2013-06-17  40.9  41.31  40.6  40.89  5958300  40.89
2013-06-14  40.57  41.36  40.53  40.69  7450400  40.69
2013-06-13  40.14  40.88  40.06  40.71  5622400  40.71
2013-06-12  40.82  41.04  40.11  40.14  6525200  40.14
2013-06-11  40.17  40.87  40.13  40.42  4589200  40.42
2013-06-10  41.11  41.29  40.51  40.71  7370100  40.71
2013-06-07  40.54  41.19  40.42  41.12  10925100  41.12
2013-06-06  39.33  40.23  39.1  40.23  9583100  40.23
2013-06-05  40.36  40.38  39.13  39.14  12360700  39.14
2013-06-04  41.69  41.97  40.5  40.52  9221300  40.52
2013-06-03  41.63  41.87  41.14  41.87  6169800  41.87
2013-05-31  41.95  42.76  41.62  41.62  7494500  41.62
2013-05-30  42.74  42.99  42.14  42.17  6775400  42.17
2013-05-29  42.07  42.77  41.94  42.59  7309000  42.59
2013-05-28  42.63  42.92  42.22  42.37  6755800  42.37
2013-05-24  41.65  42.22  41.58  42.15  7603100  42.15
2013-05-23  41.95  42.3  41.67  42.2  8272600  42.2
2013-05-22  42.8  43.33  41.97  42.47  19588200  42.47
