Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  11.07  11.1  11.07  11.09  5685100  11.09
2014-02-27  11.08  11.09  11.06  11.07  5205200  11.07
2014-02-26  11.08  11.1  11.07  11.07  4875400  11.07
2014-02-25  11.09  11.1  11.08  11.08  2723300  11.08
2014-02-24  11.1  11.11  11.08  11.1  4531300  11.1
2014-02-21  11.1  11.1  11.07  11.08  3803100  11.08
2014-02-20  11.09  11.1  11.08  11.09  1691500  11.09
2014-02-19  11.09  11.1  11.07  11.1  4447300  11.1
2014-02-18  11.09  11.1  11.08  11.09  2622200  11.09
2014-02-14  11.09  11.1  11.08  11.09  1570000  11.09
2014-02-13  11.08  11.1  11.07  11.1  2547200  11.1
2014-02-12  11.07  11.09  11.07  11.08  4097100  11.08
2014-02-11  11.07  11.08  11.07  11.08  2502200  11.08
2014-02-10  11.06  11.08  11.06  11.07  5694500  11.07
2014-02-07  11.05  11.08  11.04  11.06  6260300  11.06
2014-02-06  11.03  11.05  11.02  11.05  5089600  11.05
2014-02-05  11.02  11.04  11.02  11.04  7537300  11.04
2014-02-04  11.02  11.04  11.01  11.03  6422600  11.03
2014-02-03  11.03  11.04  11.01  11.01  7155200  11.01
2014-01-31  11.02  11.04  11.02  11.03  6397300  11.03
2014-01-30  11.04  11.05  11.02  11.03  9172300  11.03
2014-01-29  11.02  11.05  11.02  11.03  10534600  11.03
2014-01-28  11.01  11.04  11.01  11.02  9903200  11.02
2014-01-27  11.01  11.03  11.01  11.02  9527900  11.02
2014-01-24  11.01  11.03  11.0  11.0  9337000  11.0
2014-01-23  11.01  11.03  11.0  11.03  7593500  11.03
2014-01-22  11.02  11.03  11.0  11.0  8333900  11.0
2014-01-21  11.0  11.03  11.0  11.01  4978500  11.01
2014-01-17  11.0  11.03  10.99  11.0  11346600  11.0
2014-01-16  11.01  11.03  11.0  11.02  6087100  11.02
2014-01-15  10.99  11.03  10.99  11.03  3827300  11.03
2014-01-14  10.99  11.02  10.98  10.99  10066400  10.99
2014-01-13  10.98  10.99  10.96  10.97  9261500  10.97
2014-01-10  10.98  11.01  10.97  10.97  5888500  10.97
2014-01-09  11.01  11.01  10.96  10.98  11245100  10.98
2014-01-08  11.01  11.03  10.98  10.99  11312500  10.99
2014-01-07  11.04  11.05  10.99  10.99  11286400  10.99
2014-01-06  11.02  11.05  11.01  11.05  19130600  11.05
2014-01-03  11.0  11.04  10.98  11.03  18932600  11.03
2014-01-02  11.01  11.03  10.96  10.99  13442600  10.99
2013-12-31  11.02  11.04  11.01  11.04  9741900  11.04
2013-12-30  11.02  11.04  11.0  11.02  8561900  11.02
2013-12-27  10.98  11.02  10.98  11.01  7652000  11.01
2013-12-26  11.0  11.02  10.97  10.98  4893700  10.98
2013-12-24  11.0  11.03  10.97  10.99  8243400  10.99
2013-12-23  10.95  11.02  10.94  11.01  28442500  11.01
2013-12-20  10.94  11.0  10.92  10.94  25858100  10.94
2013-12-19  10.94  10.95  10.92  10.93  26200700  10.93
2013-12-18  10.92  10.95  10.92  10.92  39919200  10.92
2013-12-17  10.96  10.97  10.91  10.92  56387900  10.92
2013-12-16  10.96  10.99  10.94  10.96  204388200  10.96
2013-12-13  7.98  8.0  7.83  7.91  3077900  7.91
2013-12-12  7.94  7.99  7.83  7.94  4559500  7.94
2013-12-11  8.12  8.15  7.94  7.99  4188100  7.99
2013-12-10  8.08  8.19  8.06  8.13  4488200  8.13
2013-12-09  8.12  8.22  8.03  8.1  2817300  8.1
