Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  28.15  28.21  27.8  27.94  2085300  27.94
2014-02-27  27.87  28.16  27.8  28.15  1538900  28.15
2014-02-26  28.0  28.05  27.84  27.99  1567400  27.99
2014-02-25  27.96  28.03  27.72  27.99  2423400  27.99
2014-02-24  27.96  28.28  27.93  27.97  1407900  27.97
2014-02-21  27.8  28.17  27.8  27.95  1262400  27.95
2014-02-20  27.69  27.86  27.5  27.8  1221700  27.8
2014-02-19  28.2  28.29  27.59  27.62  2339800  27.62
2014-02-18  28.2  28.38  27.99  28.21  1307800  28.21
2014-02-14  28.22  28.34  27.99  28.13  1173500  28.13
2014-02-13  27.92  28.41  27.78  28.29  961200  28.29
2014-02-12  28.22  28.31  28.04  28.18  1397000  28.18
2014-02-11  28.07  28.4  28.06  28.27  1912300  28.27
2014-02-10  27.72  28.15  27.51  28.14  1479200  28.14
2014-02-07  27.13  27.74  27.13  27.71  1415200  27.71
2014-02-06  26.66  27.03  26.62  27.0  1834400  27.0
2014-02-05  26.59  27.0  26.5  26.62  1331400  26.62
2014-02-04  26.43  26.72  26.22  26.67  1726000  26.67
2014-02-03  27.02  27.08  26.04  26.33  3791900  26.33
2014-01-31  27.0  27.44  26.94  27.33  1757800  27.33
2014-01-30  27.5  27.56  27.35  27.52  1071600  27.52
2014-01-29  27.55  27.67  27.26  27.34  1360400  27.34
2014-01-28  27.12  27.62  27.08  27.56  1548300  27.56
2014-01-27  27.39  27.51  26.82  27.03  2143200  27.03
2014-01-24  27.94  27.94  27.41  27.41  2389900  27.41
2014-01-23  28.48  28.57  27.94  28.11  2036500  28.11
2014-01-22  28.55  28.72  28.51  28.65  1895700  28.65
2014-01-21  28.1  28.58  27.86  28.46  7195100  28.46
2014-01-17  27.9  28.38  27.53  27.94  2324500  27.94
2014-01-16  27.83  28.4  27.71  27.85  1637700  27.85
2014-01-15  27.61  27.9  27.33  27.87  1637900  27.87
2014-01-14  27.42  27.7  27.4  27.61  1063700  27.61
2014-01-13  28.09  28.19  27.32  27.37  1512800  27.37
2014-01-10  27.95  28.3  27.94  28.18  952300  28.18
