Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  22.33  22.56  22.16  22.44  6993500  22.44
2014-02-27  22.37  22.62  22.3  22.46  5728200  22.46
2014-02-26  22.48  22.63  22.25  22.42  7267200  22.42
2014-02-25  22.18  22.55  22.15  22.3  8942200  22.3
2014-02-24  21.76  22.28  21.73  22.16  9630200  22.16
2014-02-21  21.7  21.92  21.61  21.76  8896900  21.76
2014-02-20  21.04  21.76  20.97  21.7  8849600  21.7
2014-02-19  21.01  21.17  20.88  20.95  7691400  20.95
2014-02-18  21.42  21.57  20.97  21.03  7443400  21.03
2014-02-14  21.16  21.43  21.09  21.3  5357900  21.3
2014-02-13  21.08  21.32  21.0  21.2  7051700  21.2
2014-02-12  21.34  21.38  20.96  21.21  7781400  21.21
2014-02-11  21.13  21.4  20.96  21.32  8624800  21.32
2014-02-10  21.42  21.53  20.94  21.02  8428600  21.02
2014-02-07  20.99  21.53  20.92  21.43  10395300  21.43
2014-02-06  20.6  21.1  20.56  20.96  7159300  20.96
2014-02-05  20.6  20.67  20.23  20.61  9161000  20.61
2014-02-04  20.63  20.76  20.29  20.65  7685500  20.65
2014-02-03  20.98  21.02  20.34  20.43  11373800  20.43
2014-01-31  20.97  21.26  20.88  20.95  9510000  20.95
2014-01-30  20.8  21.33  20.79  21.22  11463100  21.22
2014-01-29  21.08  21.57  20.51  20.61  12385000  20.61
2014-01-28  20.93  21.44  20.84  21.31  9879500  21.31
2014-01-27  20.84  20.99  20.22  20.61  8326500  20.61
2014-01-24  21.3  21.42  20.72  20.84  11234300  20.84
2014-01-23  21.97  22.1  20.82  21.24  15070700  21.24
2014-01-22  21.67  21.8  21.42  21.77  8148800  21.77
2014-01-21  21.67  21.84  21.25  21.3  8165800  21.3
2014-01-17  21.57  21.74  21.17  21.22  6087400  21.22
2014-01-16  21.18  21.49  21.14  21.46  8010200  21.46
2014-01-15  21.92  21.98  20.92  21.16  9842100  21.16
2014-01-14  20.8  21.45  20.8  21.43  11579500  21.43
2014-01-13  21.17  21.2  20.64  20.72  6694600  20.72
2014-01-10  20.77  21.15  20.6  21.03  6997000  21.03
2014-01-09  20.41  20.87  20.34  20.76  12104500  20.76
2014-01-08  19.54  20.21  19.41  20.18  11519400  20.18
2014-01-07  19.24  19.67  19.24  19.53  7228000  19.53
2014-01-06  19.48  19.63  19.07  19.15  8125400  19.15
2014-01-03  18.95  19.51  18.95  19.42  8708100  19.42
2014-01-02  18.85  19.09  18.78  18.88  4556500  18.88
2013-12-31  18.84  18.94  18.76  18.84  2872100  18.84
2013-12-30  18.8  18.92  18.74  18.83  2971800  18.83
2013-12-27  18.98  19.0  18.6  18.74  2870000  18.74
2013-12-26  18.94  18.97  18.8  18.93  2432500  18.93
2013-12-24  18.87  18.95  18.8  18.93  1475000  18.93
2013-12-23  18.95  18.98  18.72  18.89  4705700  18.89
2013-12-20  18.66  18.94  18.57  18.86  10329000  18.86
2013-12-19  18.72  18.78  18.36  18.62  4726700  18.62
2013-12-18  18.44  18.67  18.2  18.66  5979800  18.66
2013-12-17  18.73  18.73  18.32  18.32  5692200  18.32
2013-12-16  18.74  18.81  18.42  18.73  5305500  18.73
2013-12-13  18.88  18.93  18.41  18.63  6428300  18.63
2013-12-12  18.31  18.84  18.21  18.79  11460200  18.79
2013-12-11  18.57  18.63  17.95  17.97  9943700  17.97
2013-12-10  18.49  18.82  18.46  18.58  5794000  18.58
2013-12-09  18.27  18.55  18.26  18.46  5717300  18.46
