Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  57.7  58.13  57.5  57.86  3235000  57.86
2014-02-27  57.51  58.17  57.32  57.86  4064600  57.86
2014-02-26  55.88  58.66  55.72  57.96  8973500  57.96
2014-02-25  53.63  56.55  53.33  56.25  10908200  56.25
2014-02-24  53.87  54.1  53.03  53.06  5573500  53.06
2014-02-21  53.56  53.99  53.51  53.71  3102700  53.71
2014-02-20  53.27  53.8  53.21  53.46  3208100  53.46
2014-02-19  53.19  53.67  53.06  53.34  2886700  53.34
2014-02-18  53.67  53.75  52.9  53.15  2775400  53.15
2014-02-14  53.08  53.64  52.82  53.4  2160000  53.4
2014-02-13  52.56  53.44  52.54  53.14  2262500  53.14
2014-02-12  53.62  53.85  52.62  52.82  2523400  52.82
2014-02-11  53.0  53.68  52.71  53.57  2301100  53.57
2014-02-10  52.91  53.13  52.34  52.91  2268900  52.91
2014-02-07  52.87  53.71  52.59  53.09  2925500  53.09
2014-02-06  51.43  52.85  51.43  52.54  3908500  52.54
2014-02-05  50.69  51.65  50.05  51.35  5773500  51.35
2014-02-04  51.19  51.74  50.75  50.97  4429000  50.97
2014-02-03  53.12  53.19  50.71  50.91  7244300  50.91
2014-01-31  53.22  53.79  53.12  53.2  3597800  53.2
2014-01-30  54.0  54.34  53.62  53.91  2582700  53.91
2014-01-29  54.12  54.65  53.31  53.39  4437200  53.39
2014-01-28  54.52  55.14  54.41  54.47  2937900  54.47
2014-01-27  54.35  54.79  53.78  54.18  4051400  54.18
2014-01-24  54.7  54.91  54.08  54.42  3422500  54.42
2014-01-23  55.08  55.22  54.73  55.05  3864200  55.05
2014-01-22  55.56  55.83  55.12  55.38  2999500  55.38
2014-01-21  56.21  56.47  55.22  55.56  3807200  55.56
2014-01-17  56.07  56.41  55.73  56.23  4103300  56.23
2014-01-16  55.68  56.1  55.27  56.03  3546000  56.03
2014-01-15  55.7  55.92  55.42  55.8  2514100  55.8
2014-01-14  55.27  56.14  55.22  55.75  3828200  55.75
2014-01-13  56.11  56.65  55.25  55.26  7292700  55.26
2014-01-10  55.98  56.09  55.26  55.84  6051000  55.84
2014-01-09  55.15  56.25  54.79  55.8  14734800  55.8
2014-01-08  51.79  52.0  51.36  51.84  6097900  51.84
2014-01-07  53.54  53.54  51.68  52.18  6328700  52.18
2014-01-06  53.77  53.86  53.04  53.15  2887900  53.15
2014-01-03  53.36  54.0  53.32  53.54  2492200  53.54
2014-01-02  53.17  53.91  52.95  53.39  2969600  53.39
2013-12-31  53.63  53.73  53.04  53.4  2546700  53.4
2013-12-30  52.78  53.86  52.78  53.67  3054400  53.67
2013-12-27  53.01  53.14  52.65  52.7  1421900  52.7
2013-12-26  52.84  53.22  52.75  52.83  2280300  52.83
2013-12-24  52.64  53.0  52.31  52.71  1789000  52.71
2013-12-23  52.43  53.24  52.41  52.85  2823200  52.85
