Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  53.9  54.41  53.61  54.23  2271500  54.23
2014-02-27  53.22  53.88  53.22  53.86  2088800  53.86
2014-02-26  53.89  54.24  53.23  53.44  2618300  53.44
2014-02-25  53.14  53.75  53.14  53.69  1945400  53.69
2014-02-24  52.35  53.8  52.35  53.3  3118300  53.3
2014-02-21  51.74  52.55  51.41  52.34  3231300  52.34
2014-02-20  50.41  51.68  50.36  51.63  3579300  51.63
2014-02-19  50.43  51.82  50.42  51.38  3159200  51.38
2014-02-18  51.36  51.58  50.91  51.22  2559800  51.22
2014-02-14  49.75  51.42  49.75  51.36  3112500  51.36
2014-02-13  49.2  50.04  48.86  49.95  2135900  49.95
2014-02-12  49.72  50.01  49.39  49.49  1911700  49.49
2014-02-11  49.19  49.84  49.12  49.53  1948900  49.53
2014-02-10  48.91  49.45  48.91  49.2  1144200  49.2
2014-02-07  48.86  49.19  48.57  49.08  1695000  49.08
2014-02-06  47.45  48.81  47.45  48.61  2017600  48.61
2014-02-05  47.79  47.85  47.06  47.74  2099800  47.74
2014-02-04  47.35  48.02  47.2  47.83  2472400  47.83
2014-02-03  49.29  49.36  47.2  47.32  3840900  47.32
2014-01-31  48.35  49.53  48.35  49.14  2054300  49.14
2014-01-30  49.02  49.33  48.86  49.15  1424900  49.15
2014-01-29  49.32  49.5  48.64  48.71  2277900  48.71
2014-01-28  48.96  49.81  48.84  49.54  1837400  49.54
2014-01-27  49.6  50.53  48.77  48.9  3031400  48.9
2014-01-24  50.21  50.33  49.59  49.6  3320300  49.6
2014-01-23  50.45  51.0  50.16  50.42  2394000  50.42
2014-01-22  50.85  51.37  50.64  51.01  3421800  51.01
2014-01-21  51.28  51.34  50.6  50.63  3179000  50.63
2014-01-17  50.16  50.7  50.06  50.46  3094600  50.46
2014-01-16  49.73  50.44  49.37  50.41  4603200  50.41
2014-01-15  49.2  49.73  48.69  49.66  1942900  49.66
2014-01-14  48.62  49.27  48.41  49.18  1806500  49.18
2014-01-13  49.48  49.48  48.44  48.6  2818300  48.6
2014-01-10  48.98  49.13  48.58  49.12  924500  49.12
2014-01-09  48.98  49.06  48.66  48.84  1263900  48.84
2014-01-08  48.6  49.03  48.57  48.97  2036900  48.97
2014-01-07  48.5  48.98  48.33  48.51  1766300  48.51
2014-01-06  48.68  48.75  48.1  48.3  2163000  48.3
2014-01-03  48.85  49.02  48.49  48.5  1248200  48.5
2014-01-02  48.88  49.11  48.42  48.81  2127000  48.81
2013-12-31  48.84  49.28  48.84  49.19  1484100  49.19
2013-12-30  48.93  48.97  48.45  48.86  1200100  48.86
2013-12-27  48.84  48.87  48.53  48.63  875000  48.63
2013-12-26  49.56  49.69  48.44  48.76  1137800  48.76
2013-12-24  47.9  48.54  47.9  48.52  692500  48.52
2013-12-23  47.94  48.67  47.91  48.13  1088000  48.13
2013-12-20  47.82  48.17  47.72  48.0  3679100  48.0
2013-12-19  47.45  47.72  47.16  47.57  1550200  47.57
2013-12-18  46.73  47.75  46.37  47.72  1944700  47.72
2013-12-17  46.8  47.0  46.27  46.69  1782500  46.69
2013-12-16  46.58  47.3  46.46  46.94  2616600  46.94
2013-12-13  46.2  46.54  45.85  46.42  1956900  46.42
2013-12-12  45.77  46.19  45.68  45.87  1867700  45.87
2013-12-11  46.35  46.41  45.7  45.86  2470600  45.86
2013-12-10  46.45  46.58  46.3  46.42  1852700  46.42
2013-12-09  46.31  46.74  46.27  46.41  1537800  46.41
2013-12-06  46.49  46.55  45.81  46.08  1943200  46.08
2013-12-05  45.78  45.93  45.43  45.48  1914300  45.48
2013-12-04  45.3  46.04  45.11  45.77  2119800  45.77
2013-12-03  45.93  46.35  45.7  45.87  3432600  45.87
2013-12-02  46.85  46.87  46.22  46.35  2137600  46.35
2013-11-29  46.97  47.02  46.71  46.87  1346100  46.87
2013-11-27  47.05  47.15  46.73  46.78  1612000  46.78
2013-11-26  46.31  47.19  46.31  47.03  2135500  47.03
2013-11-25  46.68  46.9  46.38  46.48  1986000  46.48
2013-11-22  46.88  47.02  46.66  46.77  2379300  46.77
2013-11-21  46.34  46.98  46.12  46.76  1939800  46.76
2013-11-20  46.37  46.6  45.88  46.11  1947000  46.11
2013-11-19  46.69  46.74  45.87  46.18  2397900  46.18
2013-11-18  46.75  46.98  46.46  46.66  2949300  46.66
2013-11-15  46.63  47.26  46.63  46.7  15553500  46.7
2013-11-14  46.28  46.66  46.14  46.62  2266200  46.62
2013-11-13  45.97  46.39  45.85  46.36  2638000  46.36
2013-11-12  46.72  46.85  45.97  46.12  3261000  46.12
2013-11-11  45.66  46.18  45.36  45.79  2405900  45.79
2013-11-08  45.1  45.81  45.07  45.81  2028800  45.81
2013-11-07  46.1  46.1  45.08  45.12  2366200  45.12
2013-11-06  45.64  46.21  45.62  46.03  2871400  46.03
2013-11-05  45.26  45.66  45.13  45.54  2084100  45.54
2013-11-04  45.28  45.71  45.05  45.68  2560600  45.68
2013-11-01  44.91  45.46  44.82  45.4  2621600  45.4
2013-10-31  44.35  45.6  43.8  44.78  4457600  44.78
2013-10-30  44.29  44.42  43.71  43.9  1826800  43.9
2013-10-29  44.07  44.33  43.76  44.31  2246900  44.31
2013-10-28  43.75  44.07  43.47  43.8  2474400  43.8
2013-10-25  44.45  44.45  43.95  44.19  1388900  44.19
2013-10-24  43.75  44.38  43.62  44.31  2425800  44.31
2013-10-23  43.09  43.54  43.05  43.3  1855700  43.3
2013-10-22  43.81  43.93  43.14  43.59  2266500  43.59
2013-10-21  42.01  43.69  42.01  43.68  1417200  43.68
2013-10-18  43.21  43.62  42.99  43.21  2801500  43.21
2013-10-17  42.6  43.05  42.33  43.02  1637500  43.02
2013-10-16  42.3  42.74  42.26  42.68  2916800  42.68
2013-10-15  41.68  42.25  41.48  42.0  3091900  42.0
2013-10-14  41.72  41.83  41.48  41.76  1964500  41.76
2013-10-11  41.73  42.25  41.57  42.01  2032000  42.01
2013-10-10  41.48  41.84  41.11  41.7  2666500  41.7
2013-10-09  41.37  41.5  40.98  41.0  2861600  41.0
2013-10-08  41.72  41.79  41.14  41.25  2391400  41.25
2013-10-07  41.92  42.05  41.67  41.68  1353100  41.68
2013-10-04  41.98  42.38  41.78  42.31  1382300  42.31
2013-10-03  42.02  42.13  41.46  41.99  2337800  41.99
2013-10-02  42.01  42.2  41.53  42.18  1881900  42.18
2013-10-01  41.73  42.26  41.7  42.25  1974300  42.25
2013-09-30  41.68  41.88  41.39  41.78  2357300  41.78
2013-09-27  42.33  42.48  41.71  42.06  2404500  42.06
2013-09-26  42.49  42.82  42.11  42.62  2099000  42.62
2013-09-25  42.76  42.86  42.31  42.52  1785600  42.52
2013-09-24  42.71  43.12  42.56  42.77  2737300  42.77
2013-09-23  42.88  42.99  42.42  42.71  1807700  42.71
2013-09-20  43.19  43.22  42.74  42.88  3263900  42.88
2013-09-19  43.52  43.7  43.24  43.29  1811600  43.29
2013-09-18  42.97  43.64  42.59  43.52  1922300  43.52
2013-09-17  42.82  43.21  42.79  43.06  1696400  43.06
2013-09-16  43.02  43.23  42.73  42.83  1412600  42.83
2013-09-13  42.27  42.65  42.18  42.57  1497400  42.57
2013-09-12  42.7  42.82  42.03  42.3  1930100  42.3
2013-09-11  41.81  43.0  41.72  42.67  3687500  42.67
2013-09-10  40.96  41.41  40.96  41.33  1460700  41.33
2013-09-09  40.46  40.97  40.46  40.78  1592500  40.78
2013-09-06  40.52  40.66  40.01  40.35  1944600  40.35
2013-09-05  40.62  40.94  40.33  40.49  1908300  40.49
2013-09-04  39.94  40.88  39.9  40.65  1735500  40.65
2013-09-03  40.1  40.47  39.97  40.03  1860900  40.03
2013-08-30  39.97  40.18  39.61  39.72  1671500  39.72
2013-08-29  39.73  40.44  39.68  39.98  1638200  39.98
2013-08-28  40.08  40.1  39.58  39.88  2514900  39.88
2013-08-27  40.49  40.56  40.06  40.15  2372500  40.15
2013-08-26  40.88  41.33  40.67  40.95  1551600  40.95
2013-08-23  41.16  41.3  40.63  40.88  2936100  40.88
2013-08-22  39.69  41.33  39.53  41.04  2515600  41.04
2013-08-21  39.7  40.02  39.31  39.62  2182700  39.62
2013-08-20  39.89  40.1  39.7  39.78  2089000  39.78
2013-08-19  39.96  40.11  39.76  39.81  2239400  39.81
2013-08-16  40.38  40.4  39.92  39.96  2164900  39.96
2013-08-15  40.53  41.05  40.31  40.44  2947400  40.44
2013-08-14  40.01  41.23  39.9  40.63  3434000  40.63
2013-08-13  40.32  40.37  39.75  40.13  1370400  40.13
2013-08-12  40.16  40.55  40.06  40.28  1681500  40.28
2013-08-09  40.94  41.02  40.46  40.49  1511500  40.49
2013-08-08  40.74  41.21  40.46  41.04  1383200  41.04
2013-08-07  41.16  41.17  40.52  40.52  2323200  40.52
2013-08-06  41.69  41.91  41.17  41.22  1773900  41.22
2013-08-05  41.78  42.04  41.49  41.71  2662700  41.71
2013-08-02  41.1  42.53  40.96  41.96  5179400  41.96
2013-08-01  40.49  41.52  40.45  41.12  6797100  41.12
2013-07-31  41.02  41.55  40.79  41.11  2936700  41.11
2013-07-30  40.76  41.05  40.66  40.94  1422000  40.94
2013-07-29  40.63  41.04  40.42  40.51  1633200  40.51
2013-07-26  40.22  40.86  40.07  40.81  1236100  40.81
2013-07-25  39.93  40.6  39.86  40.41  2768400  40.41
2013-07-24  40.6  40.62  39.72  39.93  3310100  39.93
2013-07-23  41.09  41.18  40.44  40.5  1402500  40.5
2013-07-22  41.08  41.24  40.87  41.02  1163600  41.02
2013-07-19  41.49  41.54  40.63  41.16  1702700  41.16
2013-07-18  41.1  41.8  40.91  41.55  1540400  41.55
2013-07-17  41.2  41.25  40.59  40.89  1792500  40.89
2013-07-16  41.21  41.35  40.93  41.04  1655800  41.04
2013-07-15  41.28  41.5  41.1  41.12  1977400  41.12
2013-07-12  41.73  41.85  41.24  41.27  2183300  41.27
2013-07-11  42.06  42.22  41.66  41.72  1952300  41.72
2013-07-10  41.29  41.51  41.02  41.47  1299500  41.47
2013-07-09  41.5  41.58  40.99  41.28  2054300  41.28
2013-07-08  41.15  41.65  41.13  41.26  1807100  41.26
2013-07-05  40.28  40.98  40.14  40.95  1527300  40.95
2013-07-03  39.57  40.01  39.39  39.86  831700  39.86
2013-07-02  39.94  40.23  39.7  39.79  1953100  39.79
2013-07-01  40.23  40.41  39.85  39.88  1602300  39.88
2013-06-28  39.7  40.27  39.52  39.93  2708600  39.93
2013-06-27  39.3  39.97  39.2  39.81  2152600  39.81
2013-06-26  39.27  39.41  38.99  39.02  2481300  39.02
2013-06-25  38.85  38.99  38.47  38.92  2193900  38.92
2013-06-24  38.08  38.72  37.82  38.29  2635400  38.29
2013-06-21  38.92  39.1  37.75  38.5  4642400  38.5
2013-06-20  39.54  39.56  38.55  38.62  2795600  38.62
2013-06-19  40.34  40.62  39.97  39.98  2794200  39.98
2013-06-18  40.21  40.65  40.12  40.37  2055200  40.37
2013-06-17  40.57  40.66  40.08  40.21  2472600  40.21
2013-06-14  40.63  41.08  40.14  40.32  1352700  40.32
2013-06-13  40.1  40.73  39.82  40.64  1751000  40.64
2013-06-12  40.68  40.96  39.84  40.15  2219800  40.15
2013-06-11  40.56  40.78  40.14  40.39  1778700  40.39
2013-06-10  41.25  41.44  40.93  41.03  2003800  41.03
2013-06-07  40.78  41.24  40.65  41.2  2058800  41.2
2013-06-06  39.89  40.57  39.65  40.56  1936400  40.56
2013-06-05  39.8  40.43  39.65  39.95  3339900  39.95
2013-06-04  41.67  41.77  39.96  39.97  4192200  39.97
2013-06-03  41.89  41.93  41.09  41.74  2129300  41.74
2013-05-31  41.96  42.37  41.55  41.55  2352200  41.55
2013-05-30  42.01  42.44  41.91  42.05  1521300  42.05
2013-05-29  42.44  42.61  41.8  41.87  1546500  41.87
2013-05-28  42.78  43.08  42.61  42.76  1394300  42.76
2013-05-24  41.91  42.39  41.68  42.3  1442900  42.3
2013-05-23  41.88  42.68  41.85  42.11  1889000  42.11
2013-05-22  42.86  43.34  42.08  42.3  1622900  42.3
