Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  37.22  37.52  36.88  37.31  5193600  37.31
2014-02-27  36.94  37.16  36.75  37.15  5002700  37.15
2014-02-26  36.43  37.15  36.29  36.93  5720600  36.93
2014-02-25  36.05  36.4  35.98  36.38  4231200  36.38
2014-02-24  35.69  36.26  35.6  35.96  3476500  35.96
2014-02-21  35.6  35.78  35.31  35.55  4596000  35.55
2014-02-20  35.27  35.63  35.18  35.55  4617600  35.55
2014-02-19  35.5  35.59  34.98  35.24  9270900  35.24
2014-02-18  36.65  36.65  35.47  35.47  8184100  35.47
2014-02-14  36.24  36.43  36.13  36.27  4544800  36.27
2014-02-13  36.24  36.74  36.24  36.68  4114000  36.68
2014-02-12  36.89  37.08  36.34  36.41  3224400  36.41
2014-02-11  36.33  37.01  36.23  36.73  3972700  36.73
2014-02-10  36.8  36.96  36.08  36.4  4067100  36.4
2014-02-07  36.55  36.61  36.14  36.56  2797200  36.56
2014-02-06  36.29  36.53  35.96  36.35  4403600  36.35
2014-02-05  36.26  36.59  36.0  36.08  6477400  36.08
2014-02-04  36.01  36.68  35.89  36.37  7072500  36.37
2014-02-03  37.03  37.03  35.48  35.68  11242500  35.68
2014-01-31  38.1  39.04  36.81  37.45  20174600  37.45
2014-01-30  42.26  42.84  41.97  42.56  3492200  42.56
2014-01-29  41.78  42.54  41.69  41.92  4237800  41.92
2014-01-28  42.7  42.97  42.5  42.54  2821400  42.54
2014-01-27  42.59  42.98  42.35  42.59  3667600  42.59
2014-01-24  42.19  42.92  42.11  42.55  4037900  42.55
2014-01-23  42.99  43.19  42.08  42.51  4681200  42.51
2014-01-22  42.95  43.32  42.89  43.26  3993100  43.26
2014-01-21  43.77  43.92  42.91  42.95  3417900  42.95
2014-01-17  43.8  44.01  43.5  43.54  2497600  43.54
2014-01-16  43.78  43.96  43.45  43.89  2693700  43.89
2014-01-15  44.0  44.05  43.78  43.79  2950300  43.79
2014-01-14  44.2  44.35  43.93  43.94  3169700  43.94
2014-01-13  44.59  44.93  44.1  44.2  3170600  44.2
2014-01-10  44.99  45.62  44.58  44.79  2494400  44.79
2014-01-09  45.39  45.62  44.98  45.02  3631900  45.02
2014-01-08  45.62  45.62  44.93  45.22  3653300  45.22
2014-01-07  45.17  45.83  44.79  45.56  4120100  45.56
2014-01-06  46.31  46.59  46.03  46.14  3568000  46.14
2014-01-03  46.87  47.0  46.17  46.38  3743500  46.38
2014-01-02  47.08  47.23  46.45  46.9  2335700  46.9
2013-12-31  47.29  47.39  46.91  47.09  1894200  47.09
2013-12-30  46.47  47.44  46.39  47.32  3036200  47.32
2013-12-27  46.05  46.52  45.69  46.5  1984500  46.5
2013-12-26  45.45  45.99  45.26  45.85  1550900  45.85
2013-12-24  45.37  45.5  45.16  45.32  1205400  45.32
2013-12-23  45.49  45.59  45.01  45.49  1469800  45.49
2013-12-20  44.74  45.06  44.58  45.05  4073300  45.05
2013-12-19  44.7  44.88  44.38  44.6  1731500  44.6
2013-12-18  44.27  44.77  43.78  44.71  2396400  44.71
2013-12-17  44.69  44.76  44.1  44.24  2567300  44.24
2013-12-16  45.14  45.18  44.59  44.66  1781500  44.66
2013-12-13  45.05  45.3  44.65  44.9  1439200  44.9
2013-12-12  44.94  45.19  44.78  44.84  1900200  44.84
2013-12-11  45.67  45.77  44.82  44.96  1657400  44.96
2013-12-10  45.73  45.96  45.57  45.78  1334300  45.78
2013-12-09  45.72  46.0  45.55  45.68  1303200  45.68
2013-12-06  45.91  46.06  45.57  45.78  1651500  45.78
2013-12-05  45.03  45.64  45.0  45.32  2527700  45.32
2013-12-04  45.02  45.38  44.65  45.1  2823000  45.1
2013-12-03  45.2  45.52  45.08  45.35  1625700  45.35
2013-12-02  45.64  45.84  45.29  45.33  2103800  45.33
2013-11-29  45.89  46.02  45.72  45.79  844700  45.79
2013-11-27  45.67  45.98  45.47  45.81  1611400  45.81
2013-11-26  45.24  45.57  45.05  45.45  2655700  45.45
2013-11-25  45.03  45.13  44.87  45.07  2586200  45.07
2013-11-22  45.03  45.06  44.7  44.88  2053500  44.88
2013-11-21  44.78  45.14  44.76  44.98  1956400  44.98
2013-11-20  45.0  45.08  44.61  44.8  1867700  44.8
2013-11-19  45.02  45.17  44.88  44.98  1473600  44.98
2013-11-18  45.38  45.48  45.05  45.21  2209900  45.21
2013-11-15  44.99  45.34  44.54  45.34  2059900  45.34
2013-11-14  44.85  45.11  44.6  45.01  1632900  45.01
2013-11-13  43.63  44.76  43.54  44.72  1907800  44.72
2013-11-12  43.51  43.77  43.38  43.7  1682300  43.7
2013-11-11  43.23  43.66  43.09  43.53  1503100  43.53
2013-11-08  43.59  43.68  43.0  43.37  2521000  43.37
2013-11-07  44.32  44.4  43.31  43.4  1752100  43.4
2013-11-06  44.28  44.34  43.9  44.08  2181000  44.08
2013-11-05  44.16  44.6  44.0  44.22  2521200  44.22
2013-11-04  44.19  45.0  44.19  44.71  3640000  44.71
2013-11-01  43.84  44.16  43.49  44.0  2269500  44.0
2013-10-31  43.34  43.84  43.34  43.57  2200400  43.57
2013-10-30  44.27  44.36  43.69  43.85  1975400  43.85
2013-10-29  43.56  44.11  43.36  44.09  2683800  44.09
2013-10-28  43.14  43.59  43.1  43.32  2637500  43.32
2013-10-25  43.22  43.29  42.76  43.25  1937500  43.25
2013-10-24  42.34  43.27  42.34  43.11  3125100  43.11
2013-10-23  42.2  42.52  42.11  42.38  2699900  42.38
