Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  45.69  45.85  45.21  45.55  1062100  45.55
2014-02-27  45.46  45.72  44.01  45.61  1878800  45.61
2014-02-26  45.38  46.04  45.12  45.53  2307000  45.53
2014-02-25  45.41  45.53  44.82  45.34  3280300  45.34
2014-02-24  45.41  45.67  45.25  45.27  2224400  45.27
2014-02-21  45.25  45.48  45.03  45.26  1404400  45.26
2014-02-20  44.93  45.25  44.6  45.2  2356500  45.2
2014-02-19  44.74  45.36  44.65  44.9  1728700  44.9
2014-02-18  45.0  45.24  44.85  45.15  1663400  45.15
2014-02-14  45.4  45.57  45.18  45.4  1370300  45.4
2014-02-13  44.97  45.49  44.85  45.45  1434100  45.45
2014-02-12  46.62  46.62  44.51  45.19  1850500  45.19
2014-02-11  44.11  44.58  43.83  44.5  1878800  44.5
2014-02-10  44.26  44.53  44.09  44.41  1269300  44.41
2014-02-07  43.69  44.12  43.46  44.09  7034300  44.09
2014-02-06  43.42  43.73  43.21  43.37  6459900  43.37
2014-02-05  43.14  43.53  42.8  43.36  1405700  43.36
2014-02-04  43.38  43.45  42.84  43.27  6545100  43.27
2014-02-03  44.6  44.64  43.08  43.28  6134500  43.28
2014-01-31  44.52  44.92  43.74  44.51  2880000  44.51
2014-01-30  44.68  45.29  44.41  45.01  2927000  45.01
2014-01-29  44.32  45.01  44.16  44.26  2010100  44.26
2014-01-28  43.82  44.71  43.68  44.7  2297600  44.7
2014-01-27  43.84  44.13  43.53  43.72  1340200  43.72
2014-01-24  44.42  44.55  43.7  43.74  2037800  43.74
2014-01-23  45.62  45.75  44.56  44.64  3572300  44.64
2014-01-22  45.94  46.14  45.66  45.7  2314400  45.7
2014-01-21  46.24  46.27  45.64  45.89  1415200  45.89
2014-01-17  45.64  46.37  45.59  45.84  2411300  45.84
2014-01-16  45.95  46.0  45.64  45.91  5882300  45.91
2014-01-15  45.74  46.04  45.61  45.98  1222800  45.98
2014-01-14  45.06  45.77  44.91  45.75  1888900  45.75
2014-01-13  44.62  45.48  44.6  44.8  2230500  44.8
2014-01-10  45.03  45.12  44.54  44.72  1569900  44.72
2014-01-09  44.93  45.15  44.52  44.87  1431700  44.87
2014-01-08  44.4  45.02  44.2  44.94  1950900  44.94
2014-01-07  44.35  44.71  44.11  44.35  1518100  44.35
2014-01-06  44.16  44.34  43.98  44.1  1362700  44.1
2014-01-03  43.98  44.3  43.84  44.19  1133100  44.19
