Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  174.75  178.36  174.17  177.05  1683400  177.05
2014-02-27  174.78  175.11  173.47  174.43  1587500  174.43
2014-02-26  176.44  177.04  174.06  174.54  1013800  174.54
2014-02-25  176.22  177.73  176.07  176.49  1234400  176.49
2014-02-24  176.21  177.87  176.05  176.08  2109300  176.08
2014-02-21  177.39  178.09  175.93  176.11  2244200  176.11
2014-02-20  177.2  178.37  175.76  177.34  1225900  177.34
2014-02-19  177.76  179.16  176.11  177.42  1671600  177.42
2014-02-18  176.47  178.76  175.49  177.24  1649700  177.24
2014-02-14  175.42  176.09  174.77  175.36  1013900  175.36
2014-02-13  174.26  175.61  173.83  175.43  1094300  175.43
2014-02-12  174.37  176.13  173.5  174.71  1073200  174.71
2014-02-11  172.25  175.02  171.32  174.81  1617900  174.81
2014-02-10  174.28  174.75  171.64  172.53  1775900  172.53
2014-02-07  172.01  174.76  171.62  174.75  1435800  174.75
2014-02-06  168.81  172.84  167.79  172.16  2078200  172.16
2014-02-05  168.36  168.97  166.79  168.39  1320200  168.39
2014-02-04  170.77  171.02  168.58  169.21  1633100  169.21
2014-02-03  174.46  174.64  169.68  170.77  2129000  170.77
2014-01-31  175.76  176.76  173.41  174.17  2700000  174.17
2014-01-30  175.39  177.24  174.82  176.99  2401300  176.99
2014-01-29  173.38  174.76  172.45  173.04  1672400  173.04
2014-01-28  172.29  175.41  172.26  175.02  1689400  175.02
2014-01-27  173.14  175.0  171.53  172.74  2539500  172.74
2014-01-24  175.93  177.25  172.29  173.48  4559200  173.48
2014-01-23  173.9  174.06  170.66  172.13  3465300  172.13
2014-01-22  168.37  170.16  167.06  169.45  1263000  169.45
2014-01-21  168.48  169.77  167.37  168.32  1488900  168.32
2014-01-17  168.64  168.85  167.02  167.89  1683900  167.89
2014-01-16  167.22  168.85  167.02  168.33  1392200  168.33
2014-01-15  167.38  167.9  165.58  167.09  3290400  167.09
2014-01-14  167.27  168.77  164.13  167.24  4454600  167.24
2014-01-13  174.79  175.13  159.99  166.91  6215100  166.91
2014-01-10  175.39  175.62  174.08  175.2  1180800  175.2
2014-01-09  175.2  176.76  173.96  175.09  3846400  175.09
2014-01-08  165.78  172.85  165.38  169.58  5450100  169.58
2014-01-07  160.52  163.12  159.85  161.61  2215400  161.61
2014-01-06  165.88  166.31  159.69  160.04  2017900  160.04
2014-01-03  160.03  161.88  159.89  160.49  2156200  160.49
2014-01-02  160.63  160.77  159.23  159.94  847000  159.94
2013-12-31  161.12  161.81  160.37  161.18  685800  161.18
2013-12-30  160.73  161.06  159.76  160.47  536700  160.47
2013-12-27  161.49  161.77  159.93  160.76  440600  160.76
2013-12-26  160.29  161.4  159.91  161.15  549900  161.15
2013-12-24  160.62  160.62  159.04  160.05  355100  160.05
2013-12-23  161.3  161.72  158.09  160.18  937800  160.18
2013-12-20  160.6  162.43  160.42  161.28  1489200  161.28
2013-12-19  159.86  160.46  158.28  160.37  1302700  160.37
2013-12-18  159.36  160.84  156.6  160.81  1107600  160.81
2013-12-17  157.41  158.54  156.6  158.2  1507200  158.2
2013-12-16  157.71  158.24  156.89  157.24  725300  157.24
2013-12-13  157.34  157.74  155.81  157.17  1210600  157.17
2013-12-12  157.42  158.24  155.78  156.53  1539200  156.53
2013-12-11  157.1  160.47  157.1  158.12  2154200  158.12
2013-12-10  159.64  161.45  156.78  159.72  4266900  159.72
2013-12-09  163.21  164.41  162.63  162.81  1175000  162.81
2013-12-06  161.42  162.86  160.5  162.59  1599400  162.59
2013-12-05  162.34  162.98  159.56  159.76  1866200  159.76
2013-12-04  163.3  164.96  161.75  162.52  1200300  162.52
2013-12-03  162.87  164.55  162.34  163.64  1361100  163.64
2013-12-02  165.66  166.02  163.95  164.44  978100  164.44
2013-11-29  165.5  166.34  165.02  165.66  703200  165.66
2013-11-27  164.87  165.36  163.54  165.27  908900  165.27
2013-11-26  164.5  164.92  163.11  163.88  1581500  163.88
2013-11-25  163.48  165.58  163.14  164.67  1916700  164.67
2013-11-22  160.45  163.54  159.98  163.15  1703300  163.15
2013-11-21  158.75  160.71  157.94  160.44  1007700  160.44
2013-11-20  159.22  159.48  157.38  157.94  978400  157.94
2013-11-19  158.55  159.23  156.94  158.76  916900  158.76
2013-11-18  160.88  161.14  158.13  158.33  1192900  158.33
2013-11-15  159.2  160.16  158.58  159.7  1105500  159.7
2013-11-14  157.42  159.32  155.48  159.01  2013400  159.01
2013-11-13  156.86  157.45  156.01  157.44  1331700  157.44
2013-11-12  158.0  159.21  156.4  157.44  1469100  157.44
2013-11-11  158.35  159.05  157.33  158.45  983300  158.45
2013-11-08  155.61  158.18  155.47  158.11  1331900  158.11
2013-11-07  157.04  157.56  155.36  155.85  1374200  155.85
2013-11-06  158.52  158.54  153.59  156.02  2556300  156.02
2013-11-05  159.16  159.26  157.97  158.47  1223900  158.47
2013-11-04  158.97  159.34  158.05  159.27  1239400  159.27
2013-11-01  155.85  159.12  155.56  158.99  2274100  158.99
2013-10-31  155.72  157.93  154.87  155.9  2297700  155.9
2013-10-30  155.82  156.91  154.89  155.6  2142900  155.6
2013-10-29  153.02  155.51  152.86  155.43  1941900  155.43
2013-10-28  152.45  153.47  151.63  152.85  3006300  152.85
2013-10-25  151.38  155.83  150.62  154.55  4271000  154.55
2013-10-24  154.17  154.57  147.2  149.58  6964700  149.58
