Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  50.5  51.39  50.3  50.67  9911600  50.67
2014-02-27  49.9  50.53  49.31  50.53  7669400  50.53
2014-02-26  49.34  50.53  49.34  49.97  6605500  49.97
2014-02-25  50.82  50.84  50.28  50.53  4211400  50.53
2014-02-24  50.52  51.15  50.47  50.87  5561300  50.87
2014-02-21  50.71  51.01  50.51  50.52  4559600  50.52
2014-02-20  50.84  50.99  50.08  50.71  5504000  50.71
2014-02-19  51.02  51.76  50.61  50.76  7386400  50.76
2014-02-18  50.38  51.18  50.32  51.07  7237700  51.07
2014-02-14  49.87  50.55  49.64  50.39  4435400  50.39
2014-02-13  49.88  50.05  48.85  50.01  6625300  50.01
2014-02-12  49.94  50.65  49.5  49.88  6567200  49.88
2014-02-11  48.52  49.93  48.51  49.76  7974800  49.76
2014-02-10  49.08  49.13  48.28  48.56  4560100  48.56
2014-02-07  48.91  49.16  48.36  49.11  5634200  49.11
2014-02-06  47.88  48.6  47.41  48.59  6688600  48.59
2014-02-05  47.66  47.85  47.06  47.68  5686300  47.68
2014-02-04  47.25  48.11  47.12  47.78  6260800  47.78
2014-02-03  48.78  48.89  46.71  46.79  9609800  46.79
2014-01-31  48.52  49.4  48.25  48.76  6094700  48.76
2014-01-30  49.01  49.69  48.93  49.49  3928600  49.49
2014-01-29  48.76  49.34  48.45  48.56  4644600  48.56
2014-01-28  49.05  49.65  49.0  49.34  5046000  49.34
2014-01-27  49.22  49.46  48.05  48.63  11092200  48.63
2014-01-24  50.68  50.73  49.17  49.22  9341800  49.22
2014-01-23  51.82  51.82  50.85  51.13  5816300  51.13
2014-01-22  52.42  52.67  52.02  52.18  3500900  52.18
2014-01-21  53.12  53.15  52.27  52.36  6464600  52.36
2014-01-17  53.17  53.25  52.49  52.65  4832300  52.65
2014-01-16  53.91  53.91  53.04  53.15  3905600  53.15
2014-01-15  53.41  54.08  53.37  54.0  5015300  54.0
2014-01-14  53.22  53.44  52.57  53.28  4152300  53.28
2014-01-13  53.58  54.07  52.58  52.66  5989000  52.66
2014-01-10  54.23  54.38  53.29  53.78  4679800  53.78
2014-01-09  53.92  54.35  53.79  54.23  5320300  54.23
2014-01-08  53.51  54.17  53.2  53.87  5091800  53.87
2014-01-07  53.73  53.92  52.9  53.06  4130400  53.06
2014-01-06  53.18  53.71  52.94  53.27  5739200  53.27
