Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  81.89  82.4  81.17  81.55  1278400  81.55
2014-02-27  80.6  81.83  80.6  81.62  1928900  81.62
2014-02-26  81.79  81.9  80.35  80.73  2577600  80.73
2014-02-25  81.0  81.79  81.0  81.48  1571500  81.48
2014-02-24  81.3  81.8  80.85  80.96  1924200  80.96
2014-02-21  80.77  81.71  80.36  80.9  2575400  80.9
2014-02-20  79.19  81.69  78.9  80.73  4389800  80.73
2014-02-19  75.45  79.22  74.68  78.63  4295100  78.63
2014-02-18  77.89  78.1  76.82  77.25  2285600  77.25
2014-02-14  78.31  78.32  77.27  77.67  1854700  77.67
2014-02-13  77.83  78.74  77.51  78.23  2019500  78.23
2014-02-12  78.39  78.89  77.66  77.89  1540900  77.89
2014-02-11  77.37  78.24  76.29  78.12  1720300  78.12
2014-02-10  76.59  79.19  76.19  77.66  3226800  77.66
2014-02-07  76.27  77.28  75.6  75.95  2340000  75.95
2014-02-06  73.64  76.12  73.51  75.95  4534200  75.95
2014-02-05  74.79  74.79  73.23  73.66  5457500  73.66
2014-02-04  76.13  76.13  74.58  74.83  2614300  74.83
2014-02-03  76.78  77.28  74.99  75.45  2938700  75.45
2014-01-31  74.97  79.0  74.86  76.89  5428800  76.89
2014-01-30  78.0  79.82  77.67  79.37  3324800  79.37
2014-01-29  79.3  79.6  77.59  77.8  2357800  77.8
2014-01-28  78.43  80.29  78.33  79.87  2821300  79.87
2014-01-27  78.61  78.61  77.41  77.82  2771800  77.82
2014-01-24  79.57  80.4  78.02  78.29  2902300  78.29
2014-01-23  82.27  82.29  80.0  80.59  2330500  80.59
2014-01-22  82.33  83.32  82.03  82.89  1283500  82.89
2014-01-21  83.04  83.28  81.78  82.28  1174900  82.28
2014-01-17  83.19  83.47  82.2  82.28  1259800  82.28
2014-01-16  83.45  84.18  83.01  83.35  872600  83.35
2014-01-15  83.93  83.95  82.82  83.49  1174900  83.49
2014-01-14  83.03  84.07  82.81  83.95  1239700  83.95
2014-01-13  83.52  84.18  82.83  82.9  626800  82.9
2014-01-10  84.63  84.85  83.28  83.83  1082200  83.83
2014-01-09  84.27  85.0  83.9  84.23  1303100  84.23
2014-01-08  83.9  84.44  83.65  84.26  1345100  84.26
2014-01-07  83.04  84.27  83.04  84.0  1240300  84.0
2014-01-06  83.62  83.89  82.91  83.0  1184500  83.0
2014-01-03  83.12  84.1  82.42  83.44  1649100  83.44
2014-01-02  82.78  84.48  82.21  83.17  1480500  83.17
2013-12-31  83.36  84.29  82.33  83.76  956500  83.76
