Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  65.92  66.53  65.85  66.4  614300  66.4
2014-02-27  65.58  65.95  65.13  65.94  663100  65.94
2014-02-26  66.34  66.6  65.6  65.62  593300  65.62
2014-02-25  66.35  66.49  65.85  66.2  644000  66.2
2014-02-24  66.15  66.66  66.08  66.25  533500  66.25
2014-02-21  66.09  66.4  65.87  65.97  445200  65.97
2014-02-20  65.29  66.2  65.29  66.13  537200  66.13
2014-02-19  65.87  66.12  65.38  65.45  737100  65.45
2014-02-18  65.5  66.32  65.46  66.14  893300  66.14
2014-02-14  64.76  65.72  64.6  65.5  1004800  65.5
2014-02-13  64.1  65.01  64.08  64.98  730200  64.98
2014-02-12  64.54  64.97  64.2  64.29  658500  64.29
2014-02-11  63.85  64.67  63.58  64.59  911400  64.59
2014-02-10  63.05  63.96  62.89  63.92  980400  63.92
2014-02-07  63.31  63.85  62.75  63.04  1208400  63.04
2014-02-06  63.62  63.75  62.83  63.07  1617000  63.07
2014-02-05  63.19  63.7  63.08  63.44  1346500  63.44
2014-02-04  63.16  63.71  63.04  63.52  1071200  63.52
2014-02-03  64.05  64.33  62.88  63.03  1369200  63.03
2014-01-31  64.01  64.46  63.45  64.18  1281400  64.18
2014-01-30  65.04  65.05  63.8  64.73  2092300  64.73
2014-01-29  66.69  67.1  64.46  65.3  3413700  65.3
2014-01-28  69.06  69.77  69.06  69.62  1078100  69.62
2014-01-27  69.03  69.71  68.94  69.13  986200  69.13
2014-01-24  69.14  70.09  68.93  68.99  859000  68.99
2014-01-23  69.6  69.84  69.08  69.43  722500  69.43
2014-01-22  70.14  70.42  69.84  70.02  574100  70.02
2014-01-21  69.3  70.06  69.05  69.94  1190200  69.94
2014-01-17  69.54  69.54  68.64  68.95  938900  68.95
2014-01-16  67.95  69.65  67.95  69.58  904600  69.58
2014-01-15  69.83  70.01  69.41  69.75  1094900  69.75
2014-01-14  69.23  69.99  69.07  69.95  688900  69.95
2014-01-13  69.09  69.8  69.01  69.23  611400  69.23
2014-01-10  69.05  69.54  68.83  69.45  506700  69.45
2014-01-09  68.17  68.97  67.99  68.88  624500  68.88
2014-01-08  68.77  68.92  67.67  68.14  1036800  68.14
2014-01-07  68.33  69.1  68.33  68.88  605500  68.88
2014-01-06  68.77  68.94  68.04  68.27  412200  68.27
2014-01-03  68.5  68.82  68.33  68.55  348100  68.55
2014-01-02  68.87  68.96  68.09  68.34  470700  68.34
2013-12-31  69.3  69.34  68.68  68.92  322000  68.92
2013-12-30  68.83  69.35  68.81  69.14  347600  69.14
