Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  47.86  48.48  47.81  48.16  2612700  48.16
2014-02-27  47.51  48.11  47.5  48.01  2530200  48.01
2014-02-26  47.85  48.0  47.56  47.59  2028600  47.59
2014-02-25  48.02  48.15  47.74  47.82  1504500  47.82
2014-02-24  47.99  48.48  47.84  48.07  2176700  48.07
2014-02-21  48.13  48.19  47.81  47.96  1976600  47.96
2014-02-20  47.61  48.15  47.58  48.1  2041200  48.1
2014-02-19  47.68  48.11  47.54  47.57  1917200  47.57
2014-02-18  47.41  47.98  47.3  47.8  2027700  47.8
2014-02-14  47.3  47.69  47.27  47.67  1731200  47.67
2014-02-13  46.41  47.33  46.41  47.29  1364900  47.29
2014-02-12  46.7  47.06  46.56  46.86  2226800  46.86
2014-02-11  45.81  46.88  45.42  46.72  2016600  46.72
2014-02-10  45.81  45.91  45.39  45.88  2181300  45.88
2014-02-07  44.71  45.9  44.63  45.88  3970900  45.88
2014-02-06  44.72  44.86  44.25  44.4  4096000  44.4
2014-02-05  44.54  44.7  44.29  44.56  3327100  44.56
2014-02-04  44.88  44.88  44.36  44.57  2741200  44.57
2014-02-03  45.72  45.75  44.47  44.53  2320600  44.53
2014-01-31  45.64  46.13  45.45  45.71  3318400  45.71
2014-01-30  46.11  46.41  45.79  46.31  2717400  46.31
2014-01-29  45.62  46.09  45.46  45.71  1923500  45.71
2014-01-28  45.89  46.18  45.69  45.92  2588000  45.92
2014-01-27  46.04  46.23  45.67  45.67  3316300  45.67
2014-01-24  47.07  47.29  46.12  46.12  2707500  46.12
2014-01-23  47.93  48.2  47.32  47.45  1867100  47.45
2014-01-22  48.45  48.49  48.07  48.38  2277000  48.38
2014-01-21  48.37  48.57  47.84  48.26  2495100  48.26
2014-01-17  48.32  48.47  48.15  48.24  1624500  48.24
2014-01-16  48.04  48.31  47.96  48.28  1517600  48.28
2014-01-15  48.0  48.08  47.8  48.07  2050400  48.07
2014-01-14  47.22  47.93  47.14  47.91  1799600  47.91
2014-01-13  47.2  47.91  47.04  47.13  2586600  47.13
2014-01-10  48.29  48.45  47.58  47.93  1698200  47.93
2014-01-09  47.96  48.32  47.94  48.29  1479400  48.29
2014-01-08  47.57  47.92  47.41  47.89  1938300  47.89
2014-01-07  47.36  47.81  47.36  47.68  1547200  47.68
2014-01-06  47.8  47.87  47.26  47.34  1254800  47.34
2014-01-03  47.44  47.8  47.35  47.59  1598400  47.59
2014-01-02  47.75  47.89  47.35  47.46  1383400  47.46
2013-12-31  47.94  48.3  47.92  48.1  972400  48.1
2013-12-30  48.09  48.21  47.8  47.95  1408600  47.95
2013-12-27  48.17  48.25  47.96  48.03  1055500  48.03
2013-12-26  48.12  48.25  47.89  48.07  1322300  48.07
2013-12-24  47.8  48.22  47.6  48.03  739100  48.03
2013-12-23  48.13  48.14  47.67  47.83  1971100  47.83
2013-12-20  47.81  48.15  47.8  47.87  2653900  47.87
2013-12-19  47.71  47.94  47.45  47.81  1372300  47.81
2013-12-18  46.95  47.89  46.6  47.81  2806500  47.81
2013-12-17  47.04  47.25  46.79  46.96  1549300  46.96
2013-12-16  47.19  47.44  46.95  47.12  1194800  47.12
2013-12-13  47.19  47.31  46.92  47.0  1896600  47.0
2013-12-12  47.13  47.28  46.98  47.06  1708100  47.06
2013-12-11  47.6  47.87  47.02  47.11  1782000  47.11
2013-12-10  47.83  48.08  47.46  47.56  2044700  47.56
2013-12-09  47.82  48.1  47.76  48.05  1412000  48.05
2013-12-06  47.32  47.78  47.26  47.77  2188500  47.77
2013-12-05  46.84  47.25  46.78  46.95  2084000  46.95
2013-12-04  46.93  47.37  46.44  46.97  1832500  46.97
2013-12-03  47.0  47.46  46.95  47.14  1788600  47.14
2013-12-02  47.2  47.5  47.03  47.26  1477700  47.26
2013-11-29  47.57  47.57  47.15  47.19  938800  47.19
2013-11-27  47.22  47.44  47.09  47.32  930400  47.32
2013-11-26  47.41  47.63  47.18  47.24  2465900  47.24
2013-11-25  47.66  47.71  47.32  47.42  1549800  47.42
2013-11-22  47.53  47.69  47.25  47.68  1279100  47.68
2013-11-21  47.0  47.55  46.91  47.53  2043600  47.53
2013-11-20  46.98  47.13  46.74  46.85  1663600  46.85
2013-11-19  46.93  47.06  46.82  46.9  1922200  46.9
2013-11-18  47.0  47.27  46.82  47.01  1874700  47.01
2013-11-15  46.73  47.06  46.71  47.02  2107900  47.02
2013-11-14  46.3  46.75  46.26  46.71  1491200  46.71
2013-11-13  45.88  46.17  45.76  46.15  1813400  46.15
2013-11-12  46.31  46.45  45.78  46.0  1707500  46.0
2013-11-11  45.96  46.66  45.92  46.55  2079400  46.55
2013-11-08  45.42  45.97  45.29  45.89  3046900  45.89
2013-11-07  45.94  46.19  45.39  45.41  1910900  45.41
2013-11-06  45.47  46.35  45.29  45.91  2231800  45.91
2013-11-05  45.5  45.6  45.23  45.4  2437200  45.4
2013-11-04  45.8  45.87  45.51  45.56  1309500  45.56
2013-11-01  45.69  45.79  45.4  45.68  1855500  45.68
2013-10-31  46.0  46.03  45.55  45.55  2131800  45.55
2013-10-30  46.08  46.17  45.81  45.96  1875700  45.96
2013-10-29  46.15  46.21  45.86  46.11  2064200  46.11
2013-10-28  46.32  46.5  45.97  46.08  2170400  46.08
2013-10-25  45.05  46.53  45.05  46.31  2506300  46.31
2013-10-24  45.75  46.06  45.61  45.78  2491800  45.78
2013-10-23  45.67  45.75  45.37  45.56  1550000  45.56
2013-10-22  45.44  45.95  45.44  45.79  2681000  45.79
2013-10-21  45.25  45.41  45.15  45.28  2298000  45.28
2013-10-18  45.35  45.35  44.97  45.28  2054300  45.28
2013-10-17  44.41  45.13  44.39  45.06  3013900  45.06
2013-10-16  44.4  44.69  43.99  44.68  3013000  44.68
2013-10-15  43.41  43.84  43.36  43.61  3734800  43.61
2013-10-14  42.86  43.5  42.75  43.44  1586500  43.44
2013-10-11  42.9  43.07  42.81  43.03  1709200  43.03
2013-10-10  42.49  42.98  42.49  42.9  2981300  42.9
2013-10-09  42.26  42.31  41.75  42.14  2291500  42.14
2013-10-08  42.42  42.48  42.05  42.15  2772100  42.15
2013-10-07  42.53  42.78  42.29  42.49  2525100  42.49
2013-10-04  42.36  43.11  42.3  43.05  1996500  43.05
2013-10-03  43.08  43.12  42.4  42.74  2358100  42.74
2013-10-02  42.84  43.25  42.64  43.22  2008500  43.22
2013-10-01  43.15  43.37  42.93  43.11  2826500  43.11
2013-09-30  42.97  43.26  42.64  43.06  2278300  43.06
2013-09-27  43.27  43.42  43.06  43.27  2264500  43.27
2013-09-26  43.51  43.85  43.3  43.48  2166400  43.48
2013-09-25  43.85  43.93  43.39  43.55  4278000  43.55
2013-09-24  43.83  44.03  43.58  43.74  3761300  43.74
2013-09-23  43.66  44.13  43.6  43.89  3452700  43.89
2013-09-20  43.65  43.96  43.53  43.73  3076000  43.73
2013-09-19  43.39  43.82  43.26  43.63  2978700  43.63
2013-09-18  42.36  43.37  42.35  43.31  3933200  43.31
2013-09-17  42.34  42.58  42.15  42.26  2420600  42.26
2013-09-16  42.21  42.47  42.14  42.23  1652900  42.23
2013-09-13  42.01  42.1  41.85  41.93  1655000  41.93
2013-09-12  41.82  42.06  41.68  41.97  2617600  41.97
2013-09-11  41.68  41.85  41.51  41.84  2287100  41.84
2013-09-10  41.71  41.84  41.5  41.71  1947600  41.71
2013-09-09  40.9  41.46  40.89  41.46  1410800  41.46
2013-09-06  40.93  41.13  40.49  40.85  1802600  40.85
2013-09-05  41.03  41.18  40.8  40.9  1920800  40.9
2013-09-04  41.06  41.17  40.81  41.07  1640800  41.07
2013-09-03  41.29  41.46  40.73  41.07  1894600  41.07
2013-08-30  41.05  41.1  40.55  40.77  2094700  40.77
2013-08-29  40.62  41.34  40.59  41.05  2016000  41.05
2013-08-28  40.6  40.94  40.48  40.69  2422400  40.69
2013-08-27  41.22  41.33  40.65  40.66  2171600  40.66
2013-08-26  42.04  42.15  41.62  41.62  1482800  41.62
2013-08-23  42.24  42.24  41.76  42.03  2186500  42.03
2013-08-22  41.53  42.34  41.46  42.24  2272200  42.24
2013-08-21  41.65  41.84  41.22  41.48  2468100  41.48
2013-08-20  41.22  42.09  41.11  41.77  4973300  41.77
2013-08-19  41.23  41.34  41.05  41.18  1680000  41.18
2013-08-16  41.01  41.36  41.01  41.25  1614700  41.25
2013-08-15  41.33  41.53  40.99  41.1  2005900  41.1
2013-08-14  41.56  41.83  41.45  41.64  1387800  41.64
2013-08-13  41.34  41.62  41.2  41.5  1173600  41.5
2013-08-12  41.28  41.72  41.11  41.33  1495100  41.33
2013-08-09  41.44  41.58  41.21  41.43  1151600  41.43
2013-08-08  41.28  41.5  41.02  41.47  1763100  41.47
2013-08-07  41.52  41.53  40.81  41.2  1565800  41.2
2013-08-06  41.67  41.77  41.46  41.54  1249100  41.54
2013-08-05  41.91  41.99  41.6  41.74  1402500  41.74
2013-08-02  41.9  42.04  41.64  42.01  1376000  42.01
2013-08-01  41.67  42.16  41.66  42.03  1434500  42.03
2013-07-31  41.45  41.76  41.33  41.4  2003200  41.4
2013-07-30  41.46  41.69  41.16  41.28  1699400  41.28
2013-07-29  41.44  41.44  41.12  41.23  1131700  41.23
2013-07-26  41.13  41.53  40.93  41.52  1524400  41.52
2013-07-25  41.02  41.43  40.96  41.37  1971000  41.37
2013-07-24  41.3  41.42  40.98  41.06  1944600  41.06
2013-07-23  41.39  41.45  41.21  41.26  1353500  41.26
2013-07-22  41.29  41.42  41.23  41.42  1049400  41.42
2013-07-19  41.36  41.42  41.15  41.33  1177300  41.33
2013-07-18  41.04  41.51  41.0  41.36  1474100  41.36
2013-07-17  41.25  41.38  40.97  40.98  1343300  40.98
2013-07-16  41.21  41.35  40.92  41.16  2064800  41.16
2013-07-15  41.23  41.37  40.94  41.1  1540600  41.1
2013-07-12  41.31  41.36  40.91  41.18  1257900  41.18
2013-07-11  40.8  41.41  40.78  41.35  2668200  41.35
2013-07-10  40.27  40.47  40.14  40.4  1634700  40.4
2013-07-09  39.87  40.58  39.87  40.38  2743600  40.38
2013-07-08  40.35  40.51  40.0  40.08  2060100  40.08
2013-07-05  39.76  40.26  39.67  40.24  1414100  40.24
2013-07-03  39.33  39.79  39.27  39.58  922600  39.58
2013-07-02  39.69  39.93  39.4  39.6  2572900  39.6
2013-07-01  39.38  39.86  39.34  39.73  2443000  39.73
2013-06-28  39.51  39.58  38.96  39.23  3156300  39.23
2013-06-27  39.39  39.63  39.18  39.59  2262600  39.59
2013-06-26  38.94  39.3  38.79  39.21  2646800  39.21
2013-06-25  38.53  38.79  38.34  38.61  2050500  38.61
