Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  74.68  75.49  72.8  74.0  4245700  74.0
2014-02-27  72.04  72.07  70.69  71.16  2103800  71.16
2014-02-26  71.59  71.89  70.92  71.0  1369400  71.0
2014-02-25  73.53  73.75  71.16  71.39  2522000  71.39
2014-02-24  75.0  75.63  74.44  74.52  1917900  74.52
2014-02-21  75.16  75.41  74.25  74.79  1714700  74.79
2014-02-20  73.18  75.04  73.18  74.7  1985400  74.7
2014-02-19  71.83  73.19  71.44  73.15  1301500  73.15
2014-02-18  71.99  72.22  71.03  72.01  1120600  72.01
2014-02-14  71.0  71.87  70.8  71.59  931500  71.59
2014-02-13  71.29  71.51  70.33  71.33  1481100  71.33
2014-02-12  73.3  73.3  71.55  71.8  1824300  71.8
2014-02-11  70.94  73.24  70.87  72.98  2513100  72.98
2014-02-10  67.82  70.77  67.16  70.69  1393800  70.69
2014-02-07  68.1  69.4  66.98  68.47  1645400  68.47
2014-02-06  66.99  68.46  66.6  68.02  1588600  68.02
2014-02-05  66.87  67.39  66.52  66.65  1820800  66.65
2014-02-04  67.27  67.59  66.54  67.39  1406700  67.39
2014-02-03  68.11  68.43  66.44  66.94  1832800  66.94
2014-01-31  66.98  68.49  66.31  67.9  1319900  67.9
2014-01-30  68.09  69.16  67.9  68.67  1215600  68.67
2014-01-29  68.57  68.62  67.61  67.77  1204800  67.77
2014-01-28  67.84  69.25  67.57  68.95  1570300  68.95
2014-01-27  67.74  68.1  67.17  67.72  1504600  67.72
2014-01-24  68.72  68.72  66.98  67.55  1128500  67.55
2014-01-23  69.29  69.75  68.4  69.04  914200  69.04
2014-01-22  69.76  70.11  69.41  69.91  793500  69.91
2014-01-21  69.53  70.3  69.25  69.78  1251700  69.78
2014-01-17  68.72  69.5  68.72  69.12  836400  69.12
2014-01-16  69.33  69.81  68.97  69.54  643300  69.54
2014-01-15  69.13  69.35  68.27  69.09  871200  69.09
2014-01-14  69.84  69.84  68.75  69.22  1300200  69.22
2014-01-13  70.45  70.49  69.1  69.72  2702100  69.72
2014-01-10  67.65  70.41  67.31  69.82  3289400  69.82
2014-01-09  68.66  68.77  67.08  67.55  1372600  67.55
2014-01-08  68.17  69.52  68.13  68.39  2614100  68.39
2014-01-07  67.27  68.61  67.11  67.74  1869900  67.74
2014-01-06  67.47  67.75  66.45  66.46  2186400  66.46
2014-01-03  68.3  68.3  67.25  67.52  1618200  67.52
2014-01-02  67.88  67.99  66.65  66.78  1530100  66.78
2013-12-31  67.94  68.01  67.29  67.77  584800  67.77
2013-12-30  67.56  68.22  67.43  67.8  627600  67.8
2013-12-27  67.73  68.33  67.02  67.42  518600  67.42
2013-12-26  67.23  67.72  66.95  67.46  597700  67.46
2013-12-24  67.35  67.43  66.6  67.36  295700  67.36
2013-12-23  66.43  67.36  66.36  67.11  1379700  67.11
2013-12-20  66.62  67.42  66.19  66.24  2139900  66.24
2013-12-19  65.41  66.55  64.63  66.24  1896000  66.24
2013-12-18  63.5  65.25  63.04  65.16  1869900  65.16
2013-12-17  61.7  64.02  61.66  63.39  1535400  63.39
2013-12-16  63.68  64.21  62.93  63.6  2013100  63.6
2013-12-13  61.93  62.28  61.29  61.46  858500  61.46
2013-12-12  62.37  62.74  61.34  61.59  1165700  61.59
2013-12-11  63.54  63.57  62.62  62.69  988000  62.69
2013-12-10  63.12  63.45  62.97  63.27  1078100  63.27
2013-12-09  63.04  63.3  62.69  63.11  798500  63.11
2013-12-06  62.9  63.37  62.18  63.05  1051500  63.05
2013-12-05  62.19  62.53  61.18  62.29  1453900  62.29
2013-12-04  61.04  62.56  60.57  62.49  2264800  62.49
2013-12-03  59.16  61.38  59.16  61.27  2351800  61.27
2013-12-02  61.64  61.65  59.29  59.51  2121400  59.51
2013-11-29  60.0  60.25  59.08  59.18  505500  59.18
2013-11-27  59.19  59.99  58.77  59.85  1183500  59.85
2013-11-26  57.71  59.0  57.57  58.8  2634800  58.8
2013-11-25  57.67  58.54  57.07  57.22  1737100  57.22
2013-11-22  57.07  57.48  56.92  57.32  1685900  57.32
2013-11-21  56.9  57.55  56.76  57.14  1388700  57.14
2013-11-20  57.09  57.44  56.74  56.85  1343200  56.85
2013-11-19  56.96  57.61  56.78  57.06  1275500  57.06
2013-11-18  57.64  57.95  56.98  57.03  1239900  57.03
2013-11-15  58.49  58.49  56.66  57.46  1200200  57.46
2013-11-14  57.27  58.15  57.09  57.72  1065600  57.72
2013-11-13  55.9  57.15  55.64  57.09  1247400  57.09
2013-11-12  55.55  56.54  55.44  55.99  1651600  55.99
2013-11-11  55.18  56.02  55.06  55.8  1501800  55.8
2013-11-08  55.91  57.68  54.41  55.16  3332600  55.16
2013-11-07  57.75  57.85  57.03  57.11  1883200  57.11
2013-11-06  57.51  58.0  56.86  57.83  1190500  57.83
2013-11-05  56.81  58.18  56.5  57.52  1075700  57.52
2013-11-04  56.76  57.33  56.59  56.7  1119300  56.7
2013-11-01  57.55  57.7  56.45  56.69  1036500  56.69
2013-10-31  57.96  58.2  57.15  57.23  979300  57.23
2013-10-30  58.32  58.92  57.5  58.0  708100  58.0
2013-10-29  58.72  58.98  58.03  58.53  1044300  58.53
2013-10-28  58.94  59.0  58.14  58.5  1056600  58.5
2013-10-25  57.63  58.37  57.44  58.15  815900  58.15
2013-10-24  56.84  57.61  56.43  57.36  1675200  57.36
2013-10-23  57.09  57.72  56.71  56.74  982600  56.74
2013-10-22  57.48  58.08  57.37  57.58  798300  57.58
2013-10-21  57.96  58.14  57.06  57.43  1411600  57.43
2013-10-18  57.95  58.59  57.2  57.72  1703900  57.72
2013-10-17  56.78  58.65  56.52  57.45  2303600  57.45
2013-10-16  55.84  56.84  55.68  56.47  1583900  56.47
2013-10-15  54.96  55.75  54.78  55.56  1755300  55.56
2013-10-14  53.35  55.4  53.27  55.13  1373700  55.13
2013-10-11  53.59  53.94  53.12  53.75  954900  53.75
2013-10-10  53.62  53.89  52.93  53.85  964100  53.85
2013-10-09  53.52  54.49  52.93  53.26  2814400  53.26
2013-10-08  51.52  54.65  51.26  53.59  3873600  53.59
2013-10-07  51.41  52.02  51.15  51.65  1460100  51.65
2013-10-04  51.81  52.44  51.51  51.87  1876200  51.87
2013-10-03  52.09  52.15  51.62  51.75  1811300  51.75
2013-10-02  51.97  52.25  51.71  52.22  2051200  52.22
2013-10-01  52.43  52.64  52.01  52.6  1670000  52.6
2013-09-30  52.9  52.98  51.85  52.25  1690900  52.25
2013-09-27  53.41  53.61  52.77  53.07  1038000  53.07
2013-09-26  54.4  54.9  53.06  53.57  1263700  53.57
2013-09-25  54.6  55.22  53.95  54.34  822800  54.34
2013-09-24  55.28  55.58  54.58  54.74  944600  54.74
2013-09-23  54.87  55.82  54.34  54.86  1511400  54.86
2013-09-20  55.64  56.02  53.85  55.9  5678600  55.9
2013-09-19  58.25  58.74  56.11  56.17  1885300  56.17
2013-09-18  57.04  58.17  56.49  58.03  1228900  58.03
2013-09-17  55.98  57.82  55.81  57.03  1136100  57.03
2013-09-16  55.81  56.59  55.49  55.75  738100  55.75
2013-09-13  55.15  55.35  54.34  55.05  996200  55.05
2013-09-12  55.34  55.43  54.89  55.1  952600  55.1
2013-09-11  55.77  56.24  55.26  55.52  1474300  55.52
2013-09-10  56.54  56.54  55.79  56.03  1063400  56.03
2013-09-09  55.1  56.33  54.89  56.22  1229500  56.22
2013-09-06  56.47  56.47  55.12  55.25  1102000  55.25
2013-09-05  56.23  56.49  55.77  56.14  994600  56.14
2013-09-04  53.75  56.67  53.53  56.05  2688200  56.05
2013-09-03  58.16  58.19  53.94  54.02  4556100  54.02
2013-08-30  57.26  57.5  56.78  57.39  940200  57.39
2013-08-29  57.43  57.89  56.93  56.98  946800  56.98
2013-08-28  57.99  58.43  57.54  57.66  797800  57.66
2013-08-27  58.29  58.57  57.91  57.98  873400  57.98
2013-08-26  59.53  59.97  58.66  58.99  916100  58.99
2013-08-23  60.33  61.16  59.3  59.6  1589700  59.6
2013-08-22  58.92  60.16  58.87  60.09  527800  60.09
2013-08-21  59.17  59.78  58.85  58.99  1094000  58.99
2013-08-20  59.07  59.59  58.65  59.24  1067300  59.24
2013-08-19  58.24  59.33  57.99  59.11  1170100  59.11
2013-08-16  58.38  58.79  57.63  58.24  1138200  58.24
2013-08-15  60.03  60.18  58.53  58.58  1438100  58.58
2013-08-14  61.64  61.79  60.39  60.57  1367300  60.57
2013-08-13  63.15  63.54  61.62  61.8  1268700  61.8
2013-08-12  63.26  63.27  61.1  62.76  2023000  62.76
2013-08-09  64.0  66.12  63.64  63.7  4625800  63.7
2013-08-08  62.8  63.65  62.43  63.47  2351800  63.47
2013-08-07  62.79  63.37  62.43  62.46  1579400  62.46
2013-08-06  63.37  63.63  62.43  62.98  1043700  62.98
2013-08-05  63.44  63.61  62.44  63.44  645300  63.44
2013-08-02  62.65  63.47  62.54  63.37  786000  63.37
2013-08-01  61.42  62.96  61.42  62.52  1223300  62.52
2013-07-31  60.72  61.69  60.44  60.99  2445900  60.99
2013-07-30  60.94  61.6  60.15  60.27  2091100  60.27
2013-07-29  63.23  63.61  60.4  60.61  1869900  60.61
2013-07-26  62.68  63.18  61.99  62.88  546500  62.88
2013-07-25  62.96  63.45  62.56  63.3  699100  63.3
2013-07-24  64.65  64.84  62.39  63.23  1295800  63.23
2013-07-23  64.61  64.88  63.89  64.65  961400  64.65
2013-07-22  63.96  64.83  63.78  64.63  1595100  64.63
2013-07-19  63.4  63.66  62.4  63.39  1075100  63.39
2013-07-18  63.76  63.76  62.3  63.26  1185400  63.26
2013-07-17  60.89  63.75  60.89  62.72  2193600  62.72
2013-07-16  60.9  61.04  60.37  60.63  1155800  60.63
2013-07-15  60.9  61.15  60.44  60.8  1565800  60.8
2013-07-12  60.55  60.99  59.43  59.86  1165500  59.86
2013-07-11  60.3  60.97  59.95  60.45  1066200  60.45
2013-07-10  59.62  60.12  59.15  59.6  1069700  59.6
2013-07-09  60.82  61.37  59.71  59.78  935200  59.78
2013-07-08  61.13  61.32  60.29  60.62  787800  60.62
2013-07-05  60.79  60.98  59.86  60.59  476500  60.59
2013-07-03  60.13  60.58  59.56  60.25  533500  60.25
2013-07-02  60.29  60.76  59.86  60.4  1109600  60.4
2013-07-01  61.1  61.84  60.6  60.82  1331800  60.82
2013-06-28  60.09  61.82  59.84  60.83  2971600  60.83
2013-06-27  58.01  59.71  58.0  59.65  1225800  59.65
2013-06-26  57.52  58.33  57.39  57.75  844500  57.75
2013-06-25  57.2  57.77  56.83  57.2  1055500  57.2
2013-06-24  56.06  57.2  55.52  56.82  1670600  56.82
2013-06-21  56.12  56.87  54.59  56.22  2955600  56.22
2013-06-20  57.76  57.93  55.9  56.04  1374900  56.04
