Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  48.46  49.15  48.02  48.86  3291400  48.86
2014-02-27  48.12  48.53  47.77  48.38  2725800  48.38
2014-02-26  48.07  48.37  47.75  48.13  1762400  48.13
2014-02-25  48.08  48.37  47.84  48.01  2159400  48.01
2014-02-24  48.07  48.88  48.0  48.0  2761700  48.0
2014-02-21  48.36  48.99  47.98  48.03  4085600  48.03
2014-02-20  47.63  48.43  47.61  48.37  2514400  48.37
2014-02-19  47.85  48.33  47.37  47.45  2931800  47.45
2014-02-18  47.97  48.23  47.52  47.91  2311500  47.91
2014-02-14  47.55  47.98  47.31  47.78  2057100  47.78
2014-02-13  47.85  48.22  47.43  47.63  3254400  47.63
2014-02-12  47.97  48.85  47.8  47.98  4377000  47.98
2014-02-11  47.8  48.35  47.4  47.96  4441800  47.96
2014-02-10  46.41  47.16  46.27  46.82  4071800  46.82
2014-02-07  46.74  46.86  46.14  46.45  4221400  46.45
2014-02-06  45.41  46.32  45.3  46.21  4440100  46.21
2014-02-05  45.06  45.13  44.31  44.86  3461500  44.86
2014-02-04  44.72  45.43  44.69  45.12  3414000  45.12
2014-02-03  44.83  45.64  44.54  44.65  4349400  44.65
2014-01-31  44.17  45.02  44.1  44.66  4095500  44.66
2014-01-30  44.65  44.99  43.58  44.93  5196400  44.93
2014-01-29  44.85  45.61  44.48  44.68  3605000  44.68
2014-01-28  44.75  45.31  44.52  45.15  2181500  45.15
2014-01-27  45.13  45.35  44.48  44.7  3980100  44.7
2014-01-24  46.74  46.8  45.19  45.38  4918700  45.38
2014-01-23  47.32  47.53  46.51  47.02  3881800  47.02
2014-01-22  47.27  47.81  46.8  47.77  4189500  47.77
2014-01-21  48.64  48.78  48.05  48.32  2580600  48.32
2014-01-17  49.23  49.27  48.34  48.54  4044500  48.54
2014-01-16  49.32  49.6  49.05  49.32  3573600  49.32
2014-01-15  48.85  49.67  48.59  49.31  8269900  49.31
2014-01-14  46.26  48.17  46.24  48.03  5179300  48.03
2014-01-13  46.51  46.81  46.11  46.15  1506500  46.15
2014-01-10  46.25  46.74  45.9  46.55  2904300  46.55
2014-01-09  47.28  47.31  46.03  46.13  3352700  46.13
2014-01-08  46.36  47.59  46.36  46.94  4079200  46.94
2014-01-07  46.62  46.68  46.0  46.35  2489700  46.35
2014-01-06  47.1  47.18  46.47  46.58  2203800  46.58
2014-01-03  47.13  47.21  46.79  46.83  1689500  46.83
2014-01-02  47.25  47.65  46.96  47.0  1648800  47.0
2013-12-31  47.0  47.3  46.92  47.27  1624900  47.27
2013-12-30  47.11  47.34  46.94  47.01  1305200  47.01
2013-12-27  47.01  47.21  46.78  47.02  1603900  47.02
2013-12-26  46.75  47.1  46.7  46.94  1471900  46.94
2013-12-24  46.49  46.81  46.45  46.69  888800  46.69
2013-12-23  45.86  46.53  45.58  46.5  3826900  46.5
2013-12-20  44.57  45.9  44.5  45.72  5053500  45.72
2013-12-19  44.51  44.74  44.38  44.68  2370300  44.68
2013-12-18  44.48  44.8  43.89  44.78  2390600  44.78
2013-12-17  44.38  44.74  44.2  44.52  3077400  44.52
2013-12-16  44.14  44.38  43.71  44.08  2895600  44.08
2013-12-13  43.82  44.32  43.72  43.97  3058900  43.97
2013-12-12  44.23  44.32  43.72  43.79  3954600  43.79
2013-12-11  45.37  45.41  44.33  44.34  3919500  44.34
2013-12-10  45.89  45.95  45.1  45.35  3526200  45.35
2013-12-09  47.22  47.26  45.67  46.0  6299300  46.0
2013-12-06  47.26  47.91  46.64  46.79  3533300  46.79
2013-12-05  47.84  47.84  46.91  46.97  2835200  46.97
2013-12-04  46.64  48.13  46.5  47.93  5096900  47.93
2013-12-03  46.98  47.21  46.19  46.4  3723800  46.4
2013-12-02  47.75  48.0  47.13  47.22  2612900  47.22
2013-11-29  46.98  47.98  46.91  47.65  2161800  47.65
2013-11-27  46.65  46.8  46.45  46.63  2163100  46.63
2013-11-26  46.95  47.28  46.68  46.69  2436200  46.69
2013-11-25  47.26  47.62  46.76  46.91  2650100  46.91
2013-11-22  46.34  47.4  46.02  47.26  4519900  47.26
2013-11-21  47.25  47.47  46.01  46.18  3887300  46.18
2013-11-20  47.31  47.39  46.34  47.06  3771300  47.06
2013-11-19  48.07  48.42  46.87  47.53  3372900  47.53
2013-11-18  49.54  49.54  48.06  48.17  3827200  48.17
2013-11-15  47.93  48.95  47.85  48.79  4763600  48.79
2013-11-14  48.0  48.0  47.49  47.91  3346900  47.91
2013-11-13  47.5  48.05  47.36  47.95  2588200  47.95
2013-11-12  47.74  47.85  47.33  47.77  3638200  47.77
2013-11-11  47.75  48.19  47.46  47.88  5170900  47.88
2013-11-08  46.52  47.84  46.38  47.76  5744500  47.76
2013-11-07  46.16  47.0  46.08  46.71  5230600  46.71
2013-11-06  45.84  46.15  45.61  46.11  2869700  46.11
2013-11-05  46.3  46.9  45.25  45.81  5418000  45.81
2013-11-04  46.15  46.65  46.01  46.48  3654400  46.48
2013-11-01  45.7  46.15  45.41  45.86  2837300  45.86
2013-10-31  46.42  46.73  45.57  45.61  3091400  45.61
2013-10-30  46.75  46.97  46.06  46.43  2239500  46.43
2013-10-29  46.62  46.78  46.31  46.68  2316100  46.68
2013-10-28  46.6  47.13  45.71  46.42  4485200  46.42
2013-10-25  45.38  45.75  45.0  45.7  3099400  45.7
2013-10-24  45.81  45.9  44.64  45.4  4414600  45.4
2013-10-23  46.17  46.66  46.0  46.38  2457000  46.38
2013-10-22  46.65  46.69  46.08  46.3  2743300  46.3
2013-10-21  46.51  46.75  46.2  46.48  3541800  46.48
2013-10-18  46.32  46.45  45.89  46.36  2913200  46.36
2013-10-17  45.68  46.53  45.59  46.27  3107600  46.27
2013-10-16  45.55  46.09  45.11  45.69  3207800  45.69
2013-10-15  45.14  45.44  44.75  45.13  3079600  45.13
2013-10-14  44.84  45.28  44.54  45.17  2792000  45.17
