Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  83.99  85.17  83.53  84.0  3242900  84.0
2014-02-27  88.0  88.0  83.36  84.15  7183800  84.15
2014-02-26  89.73  90.92  87.55  88.04  3285200  88.04
2014-02-25  88.13  91.08  87.72  89.89  4709500  89.89
2014-02-24  88.01  89.54  88.01  88.12  2917900  88.12
2014-02-21  87.92  88.49  87.17  87.31  2469800  87.31
2014-02-20  87.38  88.74  86.39  87.95  2710400  87.95
2014-02-19  87.49  89.09  86.82  87.02  3195000  87.02
2014-02-18  87.99  89.14  87.03  87.7  2680000  87.7
2014-02-14  85.57  88.66  84.88  87.71  2999800  87.71
2014-02-13  83.54  85.43  83.49  85.16  3056700  85.16
2014-02-12  84.17  85.2  83.45  83.79  2583100  83.79
2014-02-11  82.1  84.49  81.95  84.05  3501400  84.05
2014-02-10  84.05  84.09  81.63  82.12  3163500  82.12
2014-02-07  83.34  85.1  83.15  84.06  2558400  84.06
2014-02-06  81.92  83.07  81.25  82.92  2628900  82.92
2014-02-05  82.2  82.54  80.29  81.91  5004400  81.91
2014-02-04  84.19  84.25  80.8  82.84  5043600  82.84
2014-02-03  86.66  86.68  83.17  83.93  4581200  83.93
2014-01-31  86.31  88.32  85.77  86.62  4199600  86.62
2014-01-30  87.43  88.5  85.36  87.07  3330900  87.07
2014-01-29  83.97  87.77  81.61  86.1  7762900  86.1
2014-01-28  82.93  83.11  81.6  82.76  2652800  82.76
2014-01-27  82.57  83.58  80.97  83.09  4236300  83.09
2014-01-24  83.92  84.08  81.64  82.57  2723900  82.57
2014-01-23  85.84  86.43  83.36  85.02  4195400  85.02
2014-01-22  86.34  86.48  84.07  85.16  2619500  85.16
2014-01-21  85.86  87.09  85.4  85.91  2578700  85.91
2014-01-17  85.08  86.22  84.61  84.86  3530100  84.86
2014-01-16  85.85  86.37  84.26  85.28  3945800  85.28
2014-01-15  89.15  89.17  84.55  86.22  5818300  86.22
2014-01-14  88.95  89.99  87.96  88.66  3051000  88.66
2014-01-13  90.53  91.11  87.22  87.73  3451500  87.73
2014-01-10  90.55  91.41  88.8  90.52  2648900  90.52
2014-01-09  88.59  91.41  88.27  90.59  5327000  90.59
2014-01-08  88.8  88.8  86.69  88.24  4200200  88.24
2014-01-07  88.3  89.01  86.08  88.56  3776800  88.56
2014-01-06  88.12  89.56  87.69  88.27  2095800  88.27
2014-01-03  89.35  89.81  87.35  87.83  2178700  87.83
2014-01-02  91.04  91.37  88.39  89.04  3031400  89.04
2013-12-31  88.74  91.5  88.69  91.28  3208700  91.28
2013-12-30  88.65  89.04  87.06  88.07  1622600  88.07
2013-12-27  89.44  89.44  87.34  88.69  1564400  88.69
2013-12-26  88.7  89.37  88.49  89.1  1309200  89.1
2013-12-24  88.28  88.94  87.63  88.91  896700  88.91
2013-12-23  87.75  89.5  87.4  88.33  2453300  88.33
2013-12-20  85.08  87.64  85.03  86.83  5753700  86.83
2013-12-19  86.71  87.37  85.09  85.29  3496500  85.29
2013-12-18  86.04  87.82  85.01  86.99  3986000  86.99
2013-12-17  85.91  86.56  84.96  85.67  2806100  85.67
2013-12-16  85.02  86.93  85.02  85.93  4594600  85.93
2013-12-13  85.38  85.59  83.11  84.79  3740300  84.79
2013-12-12  85.69  86.41  84.04  85.28  3435500  85.28
2013-12-11  86.77  87.06  84.74  85.56  3449700  85.56
2013-12-10  84.91  87.63  82.83  87.08  5409500  87.08
2013-12-09  87.34  88.37  85.0  85.13  6057200  85.13
2013-12-06  84.28  88.42  84.24  86.77  6246300  86.77
2013-12-05  84.06  84.98  82.42  83.44  5126800  83.44
2013-12-04  83.68  85.42  81.84  82.85  7329100  82.85
2013-12-03  86.49  87.85  85.96  86.56  4824600  86.56
2013-12-02  83.43  87.81  83.01  86.98  6011600  86.98
2013-11-29  84.22  84.22  82.21  82.33  1946900  82.33
2013-11-27  81.15  85.23  81.15  83.93  5964600  83.93
2013-11-26  81.79  82.91  81.13  81.15  4713300  81.15
2013-11-25  80.16  81.7  79.35  81.38  4589200  81.38
2013-11-22  78.91  80.04  78.89  79.86  3370600  79.86
2013-11-21  76.84  78.58  76.44  78.39  2680200  78.39
2013-11-20  78.62  78.77  76.47  77.02  2874000  77.02
2013-11-19  77.1  79.36  76.35  78.44  5406400  78.44
2013-11-18  78.35  78.87  76.81  77.05  3341600  77.05
2013-11-15  78.11  78.69  76.95  78.04  4705400  78.04
2013-11-14  74.61  78.58  74.61  78.05  6926500  78.05
2013-11-13  72.99  74.4  72.49  74.33  2863600  74.33
2013-11-12  71.56  73.66  71.31  73.25  3382600  73.25
2013-11-11  70.93  71.51  70.07  71.46  1908100  71.46
2013-11-08  69.68  71.15  69.08  70.92  2525700  70.92
2013-11-07  69.34  70.35  68.67  69.71  4092400  69.71
2013-11-06  70.46  71.22  69.4  69.68  2631500  69.68
2013-11-05  70.48  70.76  69.71  70.0  2535800  70.0
2013-11-04  70.25  71.03  69.47  70.96  2421900  70.96
2013-11-01  71.11  71.32  69.44  70.14  3515800  70.14
2013-10-31  71.62  74.24  70.85  70.93  4835700  70.93
2013-10-30  70.26  71.84  69.3  71.77  3898100  71.77
2013-10-29  70.55  71.72  69.87  70.1  1884000  70.1
2013-10-28  69.66  71.85  69.58  70.47  2986200  70.47
2013-10-25  68.71  69.56  67.72  69.18  3136400  69.18
2013-10-24  71.26  71.26  68.32  68.5  5298900  68.5
2013-10-23  71.56  74.38  71.24  71.35  5051200  71.35
2013-10-22  70.66  72.45  70.66  71.76  3653600  71.76
2013-10-21  70.27  70.82  69.72  70.21  2109600  70.21
2013-10-18  69.96  70.02  69.18  70.02  2526600  70.02
2013-10-17  68.04  69.67  67.82  69.46  3189300  69.46
2013-10-16  68.66  68.66  67.52  68.25  3037600  68.25
2013-10-15  67.02  68.42  66.83  67.74  4619600  67.74
2013-10-14  65.84  66.69  65.21  66.5  2240900  66.5
2013-10-11  64.63  67.19  64.36  66.56  4488600  66.56
2013-10-10  62.73  65.23  62.36  64.64  4214200  64.64
2013-10-09  61.9  61.9  60.7  61.47  3711000  61.47
2013-10-08  63.23  63.32  61.86  61.86  3350300  61.86
2013-10-07  64.2  64.46  62.52  63.27  2512700  63.27
2013-10-04  64.17  65.06  63.52  64.56  2569100  64.56
2013-10-03  64.33  64.94  63.94  64.56  2549100  64.56
2013-10-02  63.3  65.26  63.3  64.67  4014700  64.67
2013-10-01  63.49  64.09  62.73  63.63  3324400  63.63
2013-09-30  63.1  63.91  62.39  63.66  4573900  63.66
2013-09-27  63.84  64.95  63.66  64.28  3552700  64.28
2013-09-26  63.8  64.28  63.01  63.49  3085400  63.49
2013-09-25  63.88  64.69  62.97  63.81  4322800  63.81
2013-09-24  62.36  64.03  61.87  63.65  4520500  63.65
2013-09-23  63.8  63.93  62.29  62.35  3663900  62.35
2013-09-20  64.74  65.13  63.72  63.85  5208000  63.85
2013-09-19  66.13  66.86  64.47  64.74  4892000  64.74
2013-09-18  65.55  65.95  64.69  65.58  4109000  65.58
2013-09-17  66.19  66.79  64.89  65.53  3329000  65.53
2013-09-16  67.64  67.85  66.22  66.27  2188300  66.27
2013-09-13  66.64  67.88  66.44  67.2  2898700  67.2
2013-09-12  66.94  67.12  65.95  66.25  2681100  66.25
2013-09-11  67.49  67.68  65.97  67.02  3773400  67.02
2013-09-10  68.76  68.84  67.21  67.4  4427000  67.4
2013-09-09  70.14  70.28  68.63  68.9  3887400  68.9
2013-09-06  71.54  71.98  69.75  70.13  3006800  70.13
2013-09-05  73.01  73.59  71.31  71.36  2446000  71.36
2013-09-04  72.39  73.22  71.95  72.91  1818600  72.91
2013-09-03  72.87  73.79  72.4  72.69  2238700  72.69
2013-08-30  73.18  73.9  71.47  71.77  2407800  71.77
2013-08-29  73.07  74.0  72.45  72.88  1915700  72.88
2013-08-28  72.57  73.78  72.34  73.28  2166700  73.28
2013-08-27  73.12  73.72  71.95  72.35  3214500  72.35
2013-08-26  74.49  75.34  73.94  74.05  2937500  74.05
2013-08-23  74.3  75.79  73.91  74.29  3930700  74.29
2013-08-22  71.55  74.97  71.23  74.1  3511400  74.1
2013-08-21  70.04  72.24  69.53  71.12  2530300  71.12
2013-08-20  68.35  70.94  67.84  70.27  3324700  70.27
2013-08-19  68.84  70.19  68.33  68.35  3140500  68.35
2013-08-16  69.51  69.51  67.72  68.87  3689700  68.87
2013-08-15  72.09  72.1  69.44  69.53  4007500  69.53
2013-08-14  73.56  74.27  72.47  72.5  3359900  72.5
2013-08-13  72.21  73.86  71.83  73.73  2088300  73.73
2013-08-12  71.75  72.54  71.28  71.87  2384400  71.87
2013-08-09  71.56  72.24  71.33  72.06  2369700  72.06
2013-08-08  70.73  72.71  70.61  71.32  2713600  71.32
2013-08-07  69.95  71.13  69.65  70.56  2811600  70.56
2013-08-06  70.53  72.01  69.36  69.97  3691800  69.97
2013-08-05  70.6  70.79  69.68  70.53  1987500  70.53
2013-08-02  72.69  72.97  70.4  70.77  3611600  70.77
2013-08-01  72.67  74.8  72.67  73.88  3414500  73.88
2013-07-31  71.87  73.55  71.22  72.15  2922700  72.15
2013-07-30  71.33  72.39  71.07  71.83  2531400  71.83
2013-07-29  70.82  71.32  70.19  71.06  1872500  71.06
2013-07-26  70.82  71.58  70.24  70.75  1663600  70.75
2013-07-25  68.95  71.01  68.69  70.89  2535400  70.89
2013-07-24  70.68  70.73  68.75  69.25  2580900  69.25
2013-07-23  68.92  71.19  68.8  70.61  2698200  70.61
2013-07-22  68.52  69.09  67.88  68.71  2415300  68.71
2013-07-19  67.75  68.53  66.8  68.48  3333300  68.48
2013-07-18  68.84  68.97  66.9  67.19  4174300  67.19
2013-07-17  68.78  69.7  68.6  68.62  2225000  68.62
2013-07-16  70.33  71.28  67.94  68.8  5113300  68.8
2013-07-15  72.03  72.72  71.16  71.92  2592700  71.92
2013-07-12  69.29  73.0  69.07  72.06  4493400  72.06
2013-07-11  68.38  70.53  67.67  70.36  3788700  70.36
2013-07-10  69.28  69.32  66.86  67.2  3564600  67.2
2013-07-09  68.8  69.25  68.25  68.99  2409600  68.99
2013-07-08  68.07  69.34  68.07  68.32  3401400  68.32
2013-07-05  67.81  69.52  66.51  67.88  3080700  67.88
2013-07-03  68.01  69.71  66.49  69.59  2757300  69.59
2013-07-02  69.45  69.74  67.24  68.17  4250400  68.17
2013-07-01  69.68  71.47  68.92  69.24  2778000  69.24
2013-06-28  69.69  69.96  69.16  69.91  7538800  69.91
2013-06-27  71.94  72.52  69.57  69.9  3674800  69.9
2013-06-26  71.66  72.67  70.97  71.26  3029800  71.26
2013-06-25  70.39  71.26  70.29  70.92  3682200  70.92
2013-06-24  70.76  70.79  68.19  69.24  3873200  69.24
2013-06-21  73.27  73.29  69.57  71.63  5781700  71.63
2013-06-20  75.94  75.96  71.68  72.6  5277600  72.6
2013-06-19  77.99  79.14  77.04  77.05  2459800  77.05
2013-06-18  77.46  78.53  77.2  77.65  3628500  77.65
2013-06-17  78.8  79.2  77.42  77.72  2327400  77.72
2013-06-14  78.8  79.71  78.21  78.32  1559600  78.32
2013-06-13  77.86  79.72  77.76  79.49  2228600  79.49
2013-06-12  79.49  79.64  77.74  78.0  2557900  78.0
2013-06-11  79.61  80.46  78.56  78.57  2304800  78.57
2013-06-10  82.27  82.79  80.92  81.08  2253300  81.08
2013-06-07  81.49  82.42  80.65  82.28  2138200  82.28
2013-06-06  78.61  81.41  78.36  81.41  2691500  81.41
2013-06-05  79.12  80.76  78.28  78.64  2821900  78.64
2013-06-04  80.25  81.18  78.55  79.33  2409600  79.33
