Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  33.4  33.8  33.23  33.5  8611300  33.5
2014-02-27  33.23  33.8  33.05  33.32  6219500  33.32
2014-02-26  33.95  34.04  33.66  33.77  4772900  33.77
2014-02-25  33.93  34.17  33.75  34.03  5386100  34.03
2014-02-24  33.49  34.33  33.48  33.89  6829800  33.89
2014-02-21  33.58  33.58  33.24  33.26  7255100  33.26
2014-02-20  33.34  33.7  33.27  33.48  4224700  33.48
2014-02-19  33.38  34.05  33.3  33.34  6136800  33.34
2014-02-18  33.28  33.6  33.11  33.54  7382400  33.54
2014-02-14  33.03  33.43  32.87  33.22  6096300  33.22
2014-02-13  32.83  33.23  32.53  33.08  6755900  33.08
2014-02-12  32.76  33.16  32.66  33.1  5202500  33.1
2014-02-11  32.16  32.71  32.11  32.51  6140400  32.51
2014-02-10  32.31  32.31  31.87  32.09  5862600  32.09
2014-02-07  31.71  32.64  31.5  32.41  8184400  32.41
2014-02-06  31.5  32.76  31.39  31.63  9408400  31.63
2014-02-05  32.17  32.24  31.41  31.92  6534500  31.92
2014-02-04  32.05  32.23  31.7  32.16  10932900  32.16
2014-02-03  32.6  32.67  31.79  31.88  8983000  31.88
2014-01-31  32.49  32.69  32.21  32.6  6707400  32.6
2014-01-30  32.99  33.17  32.73  32.85  2969400  32.85
2014-01-29  32.97  33.2  32.74  32.85  4636100  32.85
2014-01-28  32.78  33.25  32.75  33.17  3856900  33.17
2014-01-27  32.81  32.97  32.46  32.73  3429200  32.73
2014-01-24  33.32  33.34  32.78  32.81  4768300  32.81
2014-01-23  33.87  34.17  33.46  33.52  4603600  33.52
2014-01-22  34.16  34.29  33.94  34.2  4198800  34.2
2014-01-21  34.13  34.2  33.72  34.08  3846600  34.08
2014-01-17  34.15  34.21  33.76  33.77  3687400  33.77
2014-01-16  33.81  34.1  33.78  33.97  3725200  33.97
2014-01-15  34.37  34.51  33.81  33.82  6921000  33.82
2014-01-14  33.99  34.4  33.8  34.36  5981600  34.36
2014-01-13  34.48  34.55  33.83  33.92  4569800  33.92
2014-01-10  34.34  34.48  34.07  34.44  5967000  34.44
2014-01-09  34.19  34.73  33.98  34.3  4373200  34.3
2014-01-08  34.52  34.55  33.88  34.2  5510000  34.2
2014-01-07  34.25  34.69  34.07  34.68  3868600  34.68
2014-01-06  34.42  34.58  34.2  34.23  4318400  34.23
2014-01-03  34.65  34.84  34.23  34.32  3491800  34.32
2014-01-02  35.05  35.13  34.52  34.71  3675600  34.71
2013-12-31  35.08  35.27  34.84  35.1  3072000  35.1
2013-12-30  35.5  35.57  34.78  35.0  3403700  35.0
2013-12-27  35.16  35.46  34.97  35.43  2558700  35.43
2013-12-26  35.14  35.16  34.97  35.08  1974000  35.08
2013-12-24  34.95  35.09  34.9  35.05  1806400  35.05
2013-12-23  35.16  35.39  34.95  34.98  3503100  34.98
2013-12-20  34.82  35.28  34.7  34.96  9070400  34.96
2013-12-19  34.27  34.8  34.22  34.71  8160900  34.71
2013-12-18  34.81  34.81  33.97  34.52  10090300  34.52
2013-12-17  35.32  35.37  34.63  34.65  6098200  34.65
2013-12-16  35.64  35.87  35.26  35.39  5292100  35.39
2013-12-13  35.95  36.04  35.54  35.6  5182500  35.6
2013-12-12  35.44  36.16  35.4  35.97  6731300  35.97
2013-12-11  36.27  36.27  35.28  35.49  9421400  35.49
2013-12-10  36.19  36.27  35.65  35.89  5759400  35.89
2013-12-09  36.34  36.56  35.78  36.2  5827100  36.2
2013-12-06  36.44  36.61  36.09  36.35  6198500  36.35
2013-12-05  36.47  36.52  35.8  36.1  6858800  36.1
2013-12-04  36.03  36.74  35.87  36.53  5978900  36.53
2013-12-03  36.2  36.32  35.89  36.01  5150500  36.01
2013-12-02  35.81  36.79  35.66  36.25  4867700  36.25
2013-11-29  36.04  36.48  35.81  35.83  2570000  35.83
2013-11-27  36.48  36.71  35.91  36.02  5136100  36.02
2013-11-26  36.81  37.02  36.57  36.57  4725300  36.57
2013-11-25  37.34  37.34  36.35  36.74  4905800  36.74
2013-11-22  37.84  37.88  37.21  37.4  4534900  37.4
2013-11-21  36.99  37.96  36.98  37.71  5761600  37.71
2013-11-20  36.98  37.33  36.87  37.05  5608500  37.05
2013-11-19  36.32  36.93  36.06  36.72  6106500  36.72
2013-11-18  35.95  36.94  35.95  36.3  6730800  36.3
2013-11-15  36.12  36.35  35.9  36.33  3929600  36.33
2013-11-14  35.79  36.13  35.65  36.03  4325200  36.03
2013-11-13  35.2  35.77  35.15  35.76  4378100  35.76
2013-11-12  35.67  35.92  35.31  35.43  5102200  35.43
2013-11-11  36.06  36.18  35.77  35.9  3278400  35.9
2013-11-08  35.37  36.03  35.37  36.0  5570400  36.0
2013-11-07  36.12  36.26  35.13  35.34  8826400  35.34
2013-11-06  35.56  36.14  35.56  36.05  7714000  36.05
2013-11-05  35.17  35.94  35.0  35.28  7771900  35.28
2013-11-04  34.97  35.17  34.58  35.11  6889600  35.11
2013-11-01  34.96  35.07  34.52  34.89  6002000  34.89
2013-10-31  35.41  35.41  34.73  34.88  4233000  34.88
2013-10-30  35.61  35.85  34.95  35.37  3656500  35.37
2013-10-29  35.75  35.98  35.39  35.6  4356400  35.6
2013-10-28  35.24  35.83  35.08  35.68  5993900  35.68
2013-10-25  35.27  35.35  34.86  35.2  4074800  35.2
2013-10-24  34.46  35.3  34.32  35.21  4363200  35.21
2013-10-23  34.74  34.76  34.09  34.47  4512700  34.47
2013-10-22  34.75  35.27  34.65  34.95  7375700  34.95
2013-10-21  34.71  35.02  34.36  34.63  4596000  34.63
2013-10-18  34.85  34.98  34.58  34.9  5680700  34.9
2013-10-17  34.36  34.54  34.07  34.52  5141700  34.52
2013-10-16  34.67  34.98  34.27  34.49  4653600  34.49
2013-10-15  34.4  34.64  34.11  34.33  3728800  34.33
2013-10-14  34.2  34.61  34.03  34.45  4712300  34.45
2013-10-11  34.5  34.87  34.32  34.48  4119900  34.48
2013-10-10  34.17  34.71  34.08  34.68  3585500  34.68
2013-10-09  33.75  34.01  33.45  33.84  3705100  33.84
2013-10-08  34.24  34.39  33.79  33.79  3562200  33.79
2013-10-07  33.99  34.8  33.84  34.34  5566400  34.34
2013-10-04  33.63  34.55  33.56  34.41  6948400  34.41
2013-10-03  34.07  34.15  33.62  33.69  5904400  33.69
2013-10-02  34.45  34.51  33.88  34.22  6529400  34.22
2013-10-01  34.57  34.91  34.44  34.66  5352500  34.66
2013-09-30  34.39  34.81  34.09  34.5  5396400  34.5
2013-09-27  34.45  34.78  34.26  34.52  3614000  34.52
2013-09-26  35.39  35.4  34.54  34.9  4004900  34.9
2013-09-25  35.27  35.36  35.05  35.08  5683300  35.08
2013-09-24  35.22  35.41  34.95  35.18  5140700  35.18
2013-09-23  35.26  35.41  35.05  35.16  4038500  35.16
2013-09-20  36.11  36.13  35.38  35.51  7792200  35.51
2013-09-19  36.04  36.1  35.64  36.02  5611400  36.02
2013-09-18  35.52  36.02  35.19  36.0  7006600  36.0
2013-09-17  35.07  35.66  35.03  35.54  4702000  35.54
2013-09-16  35.5  35.57  34.96  35.08  5071000  35.08
2013-09-13  35.77  35.95  35.1  35.18  5156200  35.18
2013-09-12  36.04  36.27  35.53  35.59  6046900  35.59
2013-09-11  35.38  36.23  35.37  36.09  6645800  36.09
2013-09-10  36.07  36.07  35.1  35.38  10855900  35.38
2013-09-09  35.47  36.01  35.45  35.85  6572200  35.85
2013-09-06  35.59  35.75  34.99  35.3  8676600  35.3
2013-09-05  35.21  35.73  35.14  35.5  6788400  35.5
2013-09-04  34.81  35.43  34.76  35.11  7033500  35.11
2013-09-03  34.48  34.87  34.39  34.79  5976000  34.79
