Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  37.98  38.46  37.82  38.31  41215000  38.31
2014-02-27  37.45  37.89  37.23  37.86  33903400  37.86
2014-02-26  37.58  37.74  37.19  37.47  41041800  37.47
2014-02-25  37.61  37.85  37.35  37.54  30736500  37.54
2014-02-24  37.69  37.98  37.54  37.69  32085100  37.69
2014-02-21  37.94  38.35  37.86  37.98  38021300  37.98
2014-02-20  37.57  37.87  37.4  37.75  27526100  37.75
2014-02-19  37.22  37.75  37.21  37.51  29750400  37.51
2014-02-18  37.63  37.78  37.41  37.42  32834000  37.42
2014-02-14  37.11  37.5  37.05  37.34  31407500  37.34
2014-02-13  37.05  37.58  37.05  37.33  37635500  37.33
2014-02-12  37.07  37.32  37.02  37.19  27051800  37.19
2014-02-11  36.6  36.98  36.58  36.89  32141400  36.89
2014-02-10  36.36  36.53  36.02  36.53  26767000  36.53
2014-02-07  36.05  36.32  35.74  36.29  33260500  36.29
2014-02-06  35.53  35.98  35.42  35.91  35351800  35.91
2014-02-05  36.02  36.2  35.53  35.55  55814400  35.55
2014-02-04  36.7  36.91  35.98  36.08  54697900  36.08
2014-02-03  37.46  37.71  36.16  36.21  64063100  36.21
2014-01-31  36.68  37.61  36.29  37.56  93162300  37.56
2014-01-30  36.52  36.61  35.96  36.59  35036300  36.59
2014-01-29  35.72  36.61  35.64  36.39  52745900  36.39
2014-01-28  35.85  36.12  35.48  36.0  36205500  36.0
2014-01-27  36.59  36.61  35.71  35.76  44420800  35.76
2014-01-24  37.18  37.27  36.26  36.54  76395500  36.54
2014-01-23  35.82  35.86  35.25  35.79  43954000  35.79
2014-01-22  35.99  36.05  35.48  35.66  21904300  35.66
2014-01-21  36.55  36.55  35.79  35.9  31567300  35.9
2014-01-17  36.56  36.56  35.88  36.11  46267500  36.11
2014-01-16  36.42  36.73  36.04  36.62  38018700  36.62
2014-01-15  35.64  36.52  35.59  36.49  44812600  36.49
2014-01-14  34.47  35.61  34.37  35.51  41623300  35.51
2014-01-13  35.72  35.75  34.57  34.72  45901900  34.72
2014-01-10  35.63  35.88  35.48  35.77  40548800  35.77
2014-01-09  35.62  35.65  35.14  35.27  36516300  35.27
2014-01-08  35.73  35.87  35.31  35.49  59971700  35.49
2014-01-07  36.06  36.22  35.94  36.14  35802800  36.14
2014-01-06  36.57  36.61  35.84  35.86  43603700  35.86
2014-01-03  36.93  36.95  36.33  36.64  31134800  36.64
2014-01-02  37.07  37.12  36.82  36.88  30632200  36.88
2013-12-31  37.12  37.3  36.94  37.13  17503500  37.13
2013-12-30  36.94  37.1  36.62  37.01  16290500  37.01
2013-12-27  37.3  37.34  36.89  37.01  14563000  37.01
2013-12-26  36.92  37.21  36.89  37.16  17612800  37.16
2013-12-24  36.44  36.89  36.36  36.8  14243000  36.8
2013-12-23  36.54  36.62  36.28  36.35  25128700  36.35
2013-12-20  35.93  36.66  35.92  36.53  62649100  36.53
2013-12-19  36.24  36.28  35.81  35.98  34160100  35.98
2013-12-18  36.09  36.33  35.27  36.31  63192100  36.31
2013-12-17  36.67  36.84  36.06  36.25  45687700  36.25
2013-12-16  36.46  36.73  36.27  36.62  31734200  36.62
2013-12-13  37.14  37.17  36.35  36.42  40066100  36.42
2013-12-12  37.36  37.36  36.9  36.94  36012800  36.94
2013-12-11  37.78  38.01  37.11  37.33  39853400  37.33
2013-12-10  38.33  38.61  37.74  37.83  37828600  37.83
2013-12-09  38.27  38.58  38.08  38.42  30286000  38.42
2013-12-06  38.13  38.26  37.7  38.07  36457300  38.07
2013-12-05  38.56  38.59  36.91  37.72  116305000  37.72
2013-12-04  37.93  38.69  37.84  38.65  51923600  38.65
2013-12-03  37.85  38.2  37.79  38.02  52109800  38.02
2013-12-02  37.8  38.49  37.77  38.16  42950400  38.16
2013-11-29  37.54  38.01  37.54  37.85  22090400  37.85
2013-11-27  37.29  37.48  37.21  37.32  26002100  37.32
2013-11-26  37.29  37.37  37.07  37.07  34465300  37.07
2013-11-25  37.65  37.67  37.29  37.36  30646800  37.36
2013-11-22  37.25  37.4  37.05  37.29  27982000  37.29
2013-11-21  36.99  37.25  36.98  37.12  23064700  37.12
2013-11-20  36.64  37.13  36.58  36.8  32229900  36.8
2013-11-19  36.58  36.96  36.4  36.47  44275000  36.47
2013-11-18  36.8  37.02  36.52  36.65  53277500  36.65
2013-11-15  37.39  37.46  37.16  37.28  50601300  37.28
2013-11-14  37.3  37.56  37.15  37.45  46183700  37.45
2013-11-13  36.43  37.59  36.35  37.59  44957600  37.59
2013-11-12  36.82  37.04  36.64  36.8  31651600  36.8
2013-11-11  37.13  37.22  36.79  37.03  26872500  37.03
2013-11-08  37.11  37.22  36.79  37.22  36737800  37.22
2013-11-07  37.39  37.44  36.87  36.94  60437400  36.94
2013-11-06  36.68  37.65  36.51  37.61  88948800  37.61
2013-11-05  35.25  36.16  35.23  36.09  51681900  36.09
2013-11-04  35.06  35.44  35.02  35.4  28060700  35.4
2013-11-01  35.14  35.16  34.86  35.0  40264600  35.0
2013-10-31  35.13  35.16  34.81  34.88  41682300  34.88
2013-10-30  35.0  35.26  34.9  35.01  36997700  35.01
2013-10-29  35.1  35.19  34.73  34.99  31702200  34.99
2013-10-28  35.08  35.2  34.74  35.04  38383600  35.04
2013-10-25  35.35  35.75  34.94  35.2  113494000  35.2
2013-10-24  33.32  33.59  33.07  33.22  53209700  33.22
2013-10-23  33.84  33.98  33.17  33.26  58600500  33.26
2013-10-22  34.49  34.57  34.0  34.06  40438500  34.06
2013-10-21  34.46  34.68  34.39  34.47  27433500  34.47
2013-10-18  34.3  34.47  33.82  34.44  41811700  34.44
2013-10-17  33.94  34.47  33.86  34.4  31359200  34.4
2013-10-16  34.08  34.38  34.04  34.12  35111600  34.12
2013-10-15  34.16  34.47  33.96  33.98  47097800  33.98
2013-10-14  33.4  33.99  33.28  33.94  27757900  33.94
2013-10-11  33.18  33.63  33.18  33.62  30033300  33.62
2013-10-10  32.82  33.39  32.77  33.26  42875100  33.26
2013-10-09  32.58  32.86  32.47  32.58  35878600  32.58
2013-10-08  32.82  32.84  32.31  32.52  41017600  32.52
2013-10-07  33.1  33.2  32.7  32.8  35069300  32.8
2013-10-04  33.18  33.48  33.11  33.37  33008100  33.37
2013-10-03  33.38  33.5  32.93  33.36  38703800  33.36
2013-10-02  32.86  33.52  32.79  33.41  46946800  33.41
2013-10-01  32.85  33.11  32.8  33.08  36718700  33.08
2013-09-30  32.5  32.81  32.21  32.78  39839500  32.78
2013-09-27  32.39  33.24  32.38  32.77  55348000  32.77
2013-09-26  32.15  32.51  32.1  32.28  28504000  32.28
2013-09-25  32.01  32.32  31.92  32.03  28907500  32.03
2013-09-24  32.38  32.38  31.67  31.97  40685000  31.97
2013-09-23  32.05  32.48  32.01  32.25  39826100  32.25
2013-09-20  32.91  32.98  32.2  32.3  102904900  32.3
2013-09-19  32.98  33.18  32.82  33.14  42026600  33.14
2013-09-18  32.49  32.9  32.34  32.82  64099900  32.82
2013-09-17  32.92  32.97  32.41  32.44  84716500  32.44
2013-09-16  32.88  33.0  32.24  32.31  52839700  32.31
2013-09-13  32.28  32.58  32.03  32.54  40899000  32.54
2013-09-12  32.23  32.29  32.1  32.2  32860200  32.2
2013-09-11  32.08  32.44  32.04  32.25  39087500  32.25
2013-09-10  31.43  31.92  31.32  31.91  56881200  31.91
2013-09-09  30.76  31.32  30.74  31.19  49628500  31.19
2013-09-06  30.85  30.93  30.67  30.69  75434900  30.69
2013-09-05  30.63  30.97  30.48  30.76  71644900  30.76
2013-09-04  30.92  31.0  30.64  30.73  142320600  30.73
2013-09-03  31.27  31.59  30.82  31.4  154507000  31.4
2013-08-30  32.87  32.98  32.59  32.9  42790200  32.9
2013-08-29  32.44  33.1  32.31  33.05  45284700  33.05
2013-08-28  32.89  33.1  32.51  32.53  44257400  32.53
2013-08-27  33.02  33.59  32.65  32.76  58522300  32.76
2013-08-26  33.89  34.15  33.52  33.64  72786800  33.64
2013-08-23  34.64  34.67  33.49  34.23  225493800  34.23
2013-08-22  31.71  32.01  31.62  31.91  31169900  31.91
2013-08-21  31.14  31.53  31.07  31.14  37409100  31.14
2013-08-20  30.97  31.43  30.9  31.15  22979600  31.15
2013-08-19  31.28  31.49  30.91  30.92  27902500  30.92
2013-08-16  31.32  31.52  31.19  31.33  32866300  31.33
2013-08-15  31.53  31.7  30.38  31.32  33338000  31.32
2013-08-14  31.66  32.87  31.23  31.87  48519600  31.87
2013-08-13  32.03  32.07  31.73  31.75  39464100  31.75
2013-08-12  31.75  32.25  31.75  32.15  25493700  32.15
2013-08-09  32.06  32.19  31.76  31.99  26800700  31.99
2013-08-08  31.53  32.35  31.35  32.17  59034400  32.17
2013-08-07  30.85  31.4  30.57  31.36  38078600  31.36
2013-08-06  30.86  30.98  30.69  30.89  36331500  30.89
2013-08-05  31.21  31.3  30.95  31.01  30984000  31.01
2013-08-02  30.99  31.2  30.88  31.19  29199900  31.19
2013-08-01  31.36  31.39  30.91  30.98  42557900  30.98
2013-07-31  31.28  31.36  31.02  31.15  43898400  31.15
2013-07-30  31.09  31.42  30.87  31.16  45799500  31.16
2013-07-29  30.78  30.91  30.71  30.85  28870700  30.85
2013-07-26  30.58  30.93  30.53  30.93  38633600  30.93
2013-07-25  30.94  30.96  30.57  30.71  63213000  30.71
2013-07-24  31.34  31.48  31.19  31.26  52803100  31.26
2013-07-23  31.22  31.35  31.02  31.13  65810400  31.13
2013-07-22  31.01  31.31  30.91  31.31  79040700  31.31
2013-07-19  31.7  31.96  30.35  30.72  248428500  30.72
2013-07-18  34.94  35.11  34.45  34.67  49547100  34.67
2013-07-17  35.55  35.6  34.72  34.96  37285100  34.96
2013-07-16  35.23  35.64  35.18  35.48  36378500  35.48
2013-07-15  34.88  35.43  34.8  35.38  34142600  35.38
2013-07-12  34.8  34.95  34.51  34.89  35501200  34.89
2013-07-11  34.24  34.99  34.14  34.91  53638300  34.91
2013-07-10  33.59  34.05  33.57  33.94  29658800  33.94
2013-07-09  33.82  33.84  33.39  33.6  25318500  33.6
2013-07-08  33.6  33.83  33.24  33.58  32396900  33.58
2013-07-05  33.34  33.49  32.84  33.46  26085900  33.46
2013-07-03  32.93  33.62  32.87  33.27  15994400  33.27
2013-07-02  33.66  33.69  32.9  33.2  37630000  33.2
2013-07-01  33.99  34.23  33.58  33.61  31055400  33.61
2013-06-28  33.63  34.03  33.59  33.79  65545500  33.79
2013-06-27  33.77  34.03  33.75  33.87  28993100  33.87
2013-06-26  33.38  33.73  33.15  33.6  48665900  33.6
2013-06-25  33.34  33.63  32.73  32.94  44073400  32.94
2013-06-24  32.22  33.45  31.86  32.98  56109000  32.98
2013-06-21  32.92  32.99  32.32  32.54  85338500  32.54
2013-06-20  33.51  33.58  32.64  32.76  54493700  32.76
2013-06-19  34.2  34.33  33.84  33.84  30816200  33.84
2013-06-18  34.21  34.41  34.14  34.22  28616500  34.22
2013-06-17  33.94  34.4  33.88  34.24  49670100  34.24
2013-06-14  33.8  33.93  33.5  33.65  53192600  33.65
2013-06-13  34.22  34.25  33.83  33.96  45654900  33.96
2013-06-12  34.38  34.5  34.09  34.24  37372700  34.24
2013-06-11  34.29  34.41  33.92  34.08  39435900  34.08
2013-06-10  34.74  34.88  34.38  34.7  35994500  34.7
2013-06-07  34.48  35.0  34.29  34.89  40757300  34.89
2013-06-06  34.08  34.35  33.74  34.2  37618500  34.2
2013-06-05  33.84  34.13  33.68  34.02  46025100  34.02
2013-06-04  34.85  34.96  34.01  34.23  65529500  34.23
2013-06-03  34.15  34.85  34.07  34.81  51252600  34.81
2013-05-31  34.06  34.51  34.03  34.14  56165700  34.14
2013-05-30  34.09  34.49  34.05  34.27  51131000  34.27
2013-05-29  33.98  34.26  33.82  34.12  38412200  34.12
2013-05-28  33.67  34.42  33.66  34.26  48212100  34.26
2013-05-24  33.18  33.53  33.16  33.52  33174400  33.52
2013-05-23  33.49  33.8  33.17  33.41  51102700  33.41
2013-05-22  34.04  34.09  33.62  33.86  66047500  33.86
2013-05-21  34.33  34.5  33.96  34.09  48702400  34.09
2013-05-20  33.98  34.34  33.93  34.32  54020800  34.32
2013-05-17  33.39  34.11  33.36  34.11  60666700  34.11
2013-05-16  32.91  33.41  32.82  33.34  59382900  33.34
2013-05-15  32.72  33.16  32.7  33.11  46303900  33.11
2013-05-14  32.14  32.8  32.09  32.8  56870100  32.8
2013-05-13  31.67  32.12  31.61  32.08  36027600  32.08
2013-05-10  31.73  31.78  31.39  31.75  36394900  31.75
2013-05-09  31.91  32.06  31.66  31.73  46417800  31.73
2013-05-08  32.13  32.29  31.72  32.05  51595700  32.05
2013-05-07  32.69  32.83  32.29  32.36  43078300  32.36
2013-05-06  32.46  32.94  32.29  32.78  40978300  32.78
2013-05-03  32.28  32.56  32.13  32.53  46784600  32.53
2013-05-02  31.7  32.22  31.46  32.21  46059500  32.21
2013-05-01  31.98  32.13  31.66  31.78  54330900  31.78
2013-04-30  31.63  32.16  31.35  32.15  75165200  32.15
2013-04-29  30.89  31.75  30.86  31.68  59116400  31.68
2013-04-26  30.99  31.06  30.55  30.88  47799300  30.88
2013-04-25  30.81  31.9  30.64  31.03  110700200  31.03
2013-04-24  29.74  31.01  29.72  30.85  90946600  30.85
2013-04-23  29.82  30.01  29.51  29.72  59126900  29.72
2013-04-22  29.44  30.29  29.41  29.95  137904000  29.95
2013-04-19  28.77  29.38  28.76  28.92  99790700  28.92
2013-04-18  28.13  28.15  27.69  27.97  56906600  27.97
2013-04-17  28.02  28.2  27.78  28.0  52840700  28.0
2013-04-16  28.07  28.31  27.88  28.14  52797300  28.14
2013-04-15  27.83  28.15  27.7  27.87  56332900  27.87
2013-04-12  28.03  28.19  27.84  27.97  62886300  27.97
2013-04-11  28.27  28.36  27.91  28.11  130923200  28.11
2013-04-10  28.72  29.45  28.67  29.41  71116700  29.41
2013-04-09  27.91  28.96  27.86  28.76  77733800  28.76
2013-04-08  27.91  27.91  27.65  27.77  34759500  27.77
2013-04-05  27.41  27.96  27.31  27.88  50927300  27.88
2013-04-04  27.58  27.79  27.46  27.78  45263200  27.78
2013-04-03  27.92  28.12  27.72  27.74  35062800  27.74
2013-04-02  27.78  28.03  27.71  27.98  28456500  27.98
2013-04-01  27.82  27.84  27.55  27.79  29201100  27.79
2013-03-28  27.51  27.84  27.45  27.79  55453800  27.79
2013-03-27  27.34  27.64  27.28  27.56  36047400  27.56
2013-03-26  27.43  27.52  27.3  27.35  27824300  27.35
2013-03-25  27.49  27.53  27.16  27.35  44154000  27.35
2013-03-22  27.38  27.53  27.29  27.44  28720900  27.44
2013-03-21  27.31  27.55  27.25  27.31  34233200  27.31
2013-03-20  27.53  27.68  27.37  27.51  35447800  27.51
2013-03-19  27.31  27.41  27.22  27.37  51901600  27.37
2013-03-18  27.09  27.47  27.02  27.3  44809400  27.3
2013-03-15  27.23  27.36  27.18  27.24  92710300  27.24
2013-03-14  27.19  27.35  27.13  27.33  55914800  27.33
2013-03-13  27.07  27.22  26.95  27.12  29093400  27.12
2013-03-12  27.04  27.15  26.85  27.11  39255200  27.11
2013-03-11  27.14  27.17  26.88  27.07  36627500  27.07
2013-03-08  27.44  27.52  27.16  27.2  37667800  27.2
2013-03-07  27.3  27.47  27.2  27.33  29196700  27.33
2013-03-06  27.41  27.43  26.99  27.29  51448500  27.29
2013-03-05  27.48  27.72  27.36  27.54  41432200  27.54
2013-03-04  27.05  27.34  26.9  27.34  38157500  27.34
2013-03-01  26.93  27.18  26.73  27.15  34849700  27.15
2013-02-28  27.08  27.17  26.94  27.0  35840200  27.0
2013-02-27  26.63  27.19  26.54  27.01  36394700  27.01
2013-02-26  26.6  26.81  26.56  26.59  49923300  26.59
2013-02-25  27.17  27.25  26.59  26.59  48011800  26.59
2013-02-22  26.89  26.97  26.7  26.97  31425900  26.97
2013-02-21  26.94  26.94  26.45  26.7  49078500  26.7
2013-02-20  27.32  27.39  27.03  27.07  44110200  27.07
2013-02-19  27.08  27.29  27.01  27.25  38781400  27.25
2013-02-15  27.01  27.12  26.85  26.98  49650900  26.98
2013-02-14  26.89  27.03  26.85  27.01  32663200  27.01
2013-02-13  26.9  27.08  26.86  27.0  41715600  27.0
2013-02-12  26.86  26.98  26.73  26.86  35990900  26.86
2013-02-11  26.64  26.9  26.49  26.84  32247700  26.84
2013-02-08  26.35  26.69  26.31  26.54  33318500  26.54
2013-02-07  26.35  26.39  26.11  26.28  38028300  26.28
2013-02-06  26.38  26.53  26.25  26.34  41889600  26.34
2013-02-05  26.61  26.64  26.36  26.49  35410400  26.49
2013-02-04  26.85  27.0  26.42  26.44  50540000  26.44
2013-02-01  26.66  27.03  26.54  26.91  55565900  26.91
2013-01-31  26.78  26.95  26.4  26.45  50530000  26.45
2013-01-30  26.98  27.16  26.74  26.83  43580500  26.83
2013-01-29  26.8  27.1  26.59  26.98  49242600  26.98
2013-01-28  26.99  27.2  26.75  26.89  56056500  26.89
2013-01-25  26.57  27.2  26.39  26.86  81847700  26.86
2013-01-24  26.69  27.04  26.47  26.62  101739300  26.62
2013-01-23  26.2  26.63  26.2  26.6  50387700  26.6
2013-01-22  26.3  26.45  26.02  26.16  58650600  26.16
