Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  115.74  117.72  115.62  116.59  813700  116.59
2014-02-27  115.01  115.68  113.99  115.68  791600  115.68
2014-02-26  114.0  115.57  113.12  115.02  658800  115.02
2014-02-25  114.0  114.35  113.3  113.8  750800  113.8
2014-02-24  112.7  114.85  112.36  114.2  724000  114.2
2014-02-21  111.71  113.06  111.55  112.82  770200  112.82
2014-02-20  111.77  112.42  110.63  111.75  710100  111.75
2014-02-19  113.23  113.55  111.45  111.56  942100  111.56
2014-02-18  113.62  114.0  112.83  113.04  384300  113.04
2014-02-14  112.75  113.44  112.75  113.37  343600  113.37
2014-02-13  111.9  112.85  111.02  112.67  822800  112.67
2014-02-12  113.2  114.1  112.19  112.51  942200  112.51
2014-02-11  112.23  113.57  111.72  113.3  565500  113.3
2014-02-10  112.18  112.67  111.51  112.26  537100  112.26
2014-02-07  112.13  113.15  111.73  112.32  764900  112.32
2014-02-06  110.83  111.81  110.68  111.74  567100  111.74
2014-02-05  109.92  111.23  109.8  110.68  683200  110.68
2014-02-04  109.43  110.4  108.8  110.17  1261300  110.17
2014-02-03  110.69  111.15  108.5  108.64  1396700  108.64
2014-01-31  110.57  111.61  110.56  110.84  840300  110.84
2014-01-30  111.51  112.35  111.09  112.12  692100  112.12
2014-01-29  109.76  111.98  109.61  111.01  1452100  111.01
2014-01-28  110.31  110.68  109.59  110.58  986100  110.58
2014-01-27  110.49  111.55  109.94  109.99  1885800  109.99
2014-01-24  110.49  111.35  110.2  110.6  1298500  110.6
2014-01-23  111.43  111.7  110.63  111.17  1290900  111.17
2014-01-22  111.15  111.99  110.98  111.92  939900  111.92
2014-01-21  109.66  111.89  109.33  111.09  2490900  111.09
2014-01-17  113.3  114.06  109.59  111.31  2671900  111.31
2014-01-16  114.25  114.59  113.11  113.98  1090800  113.98
2014-01-15  114.4  115.11  114.27  114.32  1001800  114.32
2014-01-14  113.32  114.31  113.17  114.11  834200  114.11
2014-01-13  114.98  115.45  113.2  113.66  1118500  113.66
2014-01-10  115.68  115.76  114.96  115.3  837300  115.3
2014-01-09  115.68  116.15  115.29  115.82  1795800  115.82
2014-01-08  114.77  115.43  114.64  115.1  2240700  115.1
2014-01-07  114.43  115.12  113.96  114.78  941700  114.78
2014-01-06  114.8  115.6  114.12  114.16  877700  114.16
2014-01-03  114.54  114.95  114.34  114.51  741600  114.51
2014-01-02  115.67  115.69  114.16  114.36  1069000  114.36
2013-12-31  115.61  116.58  115.59  115.72  549200  115.72
2013-12-30  115.42  115.72  114.97  115.63  562600  115.63
2013-12-27  115.7  115.75  114.92  115.37  379100  115.37
2013-12-26  115.19  115.81  114.24  115.22  740800  115.22
2013-12-24  114.62  115.29  114.46  115.04  167300  115.04
2013-12-23  114.61  115.08  113.78  114.63  586300  114.63
2013-12-20  113.5  114.07  112.66  113.65  947300  113.65
2013-12-19  113.36  113.38  112.37  113.04  1590300  113.04
2013-12-18  113.34  113.76  110.9  113.45  2252600  113.45
2013-12-17  114.7  114.8  111.97  113.04  3079100  113.04
2013-12-16  113.25  114.9  113.14  114.46  986200  114.46
2013-12-13  113.43  114.03  112.74  113.06  1084700  113.06
2013-12-12  113.09  113.85  112.63  113.31  759200  113.31
2013-12-11  113.79  114.11  112.79  113.12  1057200  113.12
2013-12-10  113.73  114.1  112.88  113.56  926200  113.56
2013-12-09  114.09  114.71  113.56  114.13  1026500  114.13
2013-12-06  113.2  113.89  112.83  113.61  994700  113.61
2013-12-05  112.55  113.02  111.93  112.05  925200  112.05
2013-12-04  112.6  114.07  112.15  112.72  553700  112.72
2013-12-03  113.89  114.94  112.67  113.43  805700  113.43
2013-12-02  114.38  115.55  113.83  113.98  738300  113.98
2013-11-29  115.29  115.64  114.59  114.66  228200  114.66
2013-11-27  115.16  115.62  114.73  115.25  535300  115.25
2013-11-26  115.14  115.59  114.69  114.76  695600  114.76
2013-11-25  114.75  115.69  114.43  115.07  493800  115.07
2013-11-22  113.99  114.76  113.23  114.72  493700  114.72
2013-11-21  113.01  114.51  112.91  113.98  602700  113.98
2013-11-20  112.6  113.04  111.73  112.6  550600  112.6
2013-11-19  112.46  112.77  111.54  112.16  538500  112.16
2013-11-18  111.89  113.21  111.64  112.38  743700  112.38
2013-11-15  111.45  112.05  110.92  111.87  1469700  111.87
2013-11-14  110.66  111.39  110.18  111.16  658900  111.16
2013-11-13  109.86  110.41  109.07  110.33  827300  110.33
2013-11-12  111.77  112.38  109.78  110.05  851300  110.05
2013-11-11  112.14  112.57  111.77  112.14  478400  112.14
2013-11-08  109.97  113.01  109.97  112.5  1039100  112.5
2013-11-07  111.03  111.59  109.73  109.8  374400  109.8
2013-11-06  110.65  111.09  109.97  110.78  665300  110.78
2013-11-05  109.85  110.41  109.57  110.09  731900  110.09
2013-11-04  110.73  111.12  109.78  110.3  629700  110.3
2013-11-01  111.22  112.23  109.94  110.55  927300  110.55
2013-10-31  112.89  112.92  111.18  111.18  953400  111.18
2013-10-30  111.33  113.6  111.15  112.93  1340800  112.93
2013-10-29  111.18  111.37  110.58  111.33  1129000  111.33
2013-10-28  111.06  111.27  110.52  110.69  1157300  110.69
2013-10-25  111.2  111.49  110.35  111.2  1026300  111.2
2013-10-24  112.23  112.66  110.71  110.99  1184600  110.99
2013-10-23  111.34  111.55  110.57  111.51  1347400  111.51
2013-10-22  112.6  112.63  111.68  111.85  782700  111.85
2013-10-21  113.54  114.07  112.39  112.63  1289600  112.63
2013-10-18  111.11  113.51  109.03  113.42  1972500  113.42
2013-10-17  113.64  113.95  110.4  111.26  2118200  111.26
2013-10-16  113.35  114.77  113.03  114.66  858100  114.66
2013-10-15  113.01  113.47  112.07  112.36  532000  112.36
2013-10-14  112.28  113.56  112.28  113.5  598900  113.5
2013-10-11  111.42  113.47  110.54  113.07  975800  113.07
2013-10-10  110.32  111.77  110.28  111.66  877900  111.66
2013-10-09  109.04  109.63  107.92  109.3  931400  109.3
2013-10-08  109.5  109.98  108.54  108.59  1054800  108.59
2013-10-07  110.5  110.65  109.2  109.27  538500  109.27
2013-10-04  109.81  111.61  109.55  111.47  501600  111.47
2013-10-03  109.8  110.4  109.12  109.77  644200  109.77
2013-10-02  110.4  110.46  109.68  110.09  571600  110.09
2013-10-01  110.61  111.09  110.22  110.87  656400  110.87
2013-09-30  109.86  110.79  109.2  110.57  854000  110.57
2013-09-27  110.01  111.16  109.85  110.73  836300  110.73
2013-09-26  109.76  110.74  109.64  110.69  813700  110.69
2013-09-25  109.48  110.01  108.54  109.71  638600  109.71
2013-09-24  109.4  109.83  108.7  109.16  796200  109.16
2013-09-23  110.19  110.37  108.16  109.4  921600  109.4
2013-09-20  111.23  111.87  110.1  110.19  1792200  110.19
2013-09-19  112.25  112.68  110.04  111.24  1005300  111.24
2013-09-18  112.16  113.31  111.44  112.1  969500  112.1
2013-09-17  111.2  112.21  110.34  112.17  583700  112.17
2013-09-16  111.26  111.93  110.57  110.94  829000  110.94
2013-09-13  110.36  111.16  110.13  110.58  454200  110.58
2013-09-12  111.56  111.63  110.22  110.37  634600  110.37
2013-09-11  111.81  112.12  110.68  111.29  768500  111.29
2013-09-10  112.38  112.67  111.43  111.79  1139400  111.79
2013-09-09  113.63  113.88  111.57  111.78  1461400  111.78
2013-09-06  113.95  114.51  111.75  113.6  559900  113.6
2013-09-05  114.06  115.08  113.96  114.51  489800  114.51
2013-09-04  112.74  114.4  112.74  114.13  759000  114.13
2013-09-03  112.99  114.24  111.59  112.8  996800  112.8
2013-08-30  112.94  112.95  111.09  111.98  511100  111.98
2013-08-29  112.07  113.04  111.64  112.44  396800  112.44
2013-08-28  112.22  113.08  111.95  112.42  593700  112.42
2013-08-27  115.21  115.38  112.29  112.34  1078200  112.34
2013-08-26  116.01  116.78  115.67  116.4  804600  116.4
2013-08-23  117.25  117.26  115.55  116.12  562600  116.12
2013-08-22  114.31  117.03  114.29  116.6  658700  116.6
2013-08-21  114.12  114.9  113.23  114.13  650200  114.13
2013-08-20  114.03  115.16  113.83  114.6  398700  114.6
2013-08-19  114.72  114.82  113.79  113.96  570900  113.96
2013-08-16  114.39  115.49  114.34  114.66  614800  114.66
2013-08-15  114.72  115.22  114.31  114.63  623600  114.63
2013-08-14  115.31  115.65  114.81  115.3  550400  115.3
2013-08-13  115.8  115.8  114.8  115.26  512300  115.26
2013-08-12  115.14  115.94  114.7  115.69  532300  115.69
2013-08-09  115.62  116.09  114.98  115.54  587500  115.54
2013-08-08  115.71  116.59  114.92  115.87  433800  115.87
2013-08-07  115.7  116.04  114.69  115.25  1192900  115.25
2013-08-06  116.64  116.64  115.75  116.12  551300  116.12
2013-08-05  116.49  117.28  115.95  116.7  515500  116.7
2013-08-02  116.66  117.24  116.27  116.97  815000  116.97
2013-08-01  115.96  117.02  115.74  116.97  645900  116.97
2013-07-31  114.89  116.5  114.58  114.75  886900  114.75
2013-07-30  114.67  115.22  114.33  114.68  536100  114.68
2013-07-29  115.26  115.26  113.72  114.05  504700  114.05
2013-07-26  115.35  115.35  114.25  115.13  434700  115.13
2013-07-25  116.06  116.49  115.1  115.59  670300  115.59
2013-07-24  116.6  117.19  116.07  116.29  702400  116.29
2013-07-23  117.09  117.13  116.28  116.55  625300  116.55
2013-07-22  116.23  117.34  116.05  117.09  760300  117.09
2013-07-19  116.82  116.94  115.68  116.09  1373500  116.09
2013-07-18  115.26  117.38  112.95  117.14  1500900  117.14
2013-07-17  116.13  116.59  114.55  115.81  867800  115.81
2013-07-16  115.78  115.94  113.85  115.46  874600  115.46
2013-07-15  116.02  116.28  115.32  115.9  496600  115.9
2013-07-12  114.94  115.8  114.29  115.65  752700  115.65
2013-07-11  116.4  116.4  113.99  114.74  725900  114.74
2013-07-10  115.32  115.86  114.41  115.4  876200  115.4
2013-07-09  115.18  116.22  114.44  115.44  1076600  115.44
2013-07-08  114.1  115.01  113.81  114.77  859400  114.77
2013-07-05  112.38  114.3  112.3  114.3  634300  114.3
2013-07-03  111.14  111.8  110.46  111.5  456300  111.5
2013-07-02  110.74  111.99  110.64  111.67  947100  111.67
2013-07-01  109.98  111.79  109.77  110.86  861500  110.86
2013-06-28  109.31  109.99  108.68  109.73  1063000  109.73
2013-06-27  108.21  109.75  108.19  109.48  974300  109.48
2013-06-26  106.63  108.14  106.53  107.73  1109900  107.73
2013-06-25  103.8  105.56  103.31  105.29  953300  105.29
2013-06-24  103.33  104.07  102.49  103.27  784500  103.27
2013-06-21  103.61  104.73  102.6  104.33  1407100  104.33
2013-06-20  101.04  103.02  100.52  102.41  1070900  102.41
2013-06-19  102.24  102.53  101.45  101.64  634300  101.64
2013-06-18  101.17  102.81  100.51  102.25  1459200  102.25
2013-06-17  101.48  101.54  100.69  101.18  531800  101.18
2013-06-14  102.61  102.61  100.47  100.66  544900  100.66
2013-06-13  100.24  101.78  99.74  101.69  552300  101.69
2013-06-12  101.52  101.86  100.21  100.21  666100  100.21
2013-06-11  101.3  101.81  100.61  101.04  892100  101.04
2013-06-10  102.16  102.53  101.74  102.11  635600  102.11
2013-06-07  101.28  101.95  100.87  101.86  405500  101.86
2013-06-06  100.45  100.92  98.85  100.82  1030700  100.82
2013-06-05  101.95  102.49  100.8  100.93  691100  100.93
2013-06-04  103.67  104.33  102.12  102.4  1270800  102.4
2013-06-03  103.26  103.81  102.54  103.69  818100  103.69
2013-05-31  103.88  104.36  103.0  103.0  664700  103.0
2013-05-30  103.88  104.54  103.21  104.09  439000  104.09
2013-05-29  103.07  103.92  102.92  103.39  741400  103.39
