Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  68.07  69.1  67.93  68.76  2200300  68.76
2014-02-27  68.31  68.58  67.61  67.94  2285700  67.94
2014-02-26  68.72  69.58  68.22  68.49  2398600  68.49
2014-02-25  69.15  69.38  68.25  68.78  2326800  68.78
2014-02-24  67.18  70.5  67.18  69.33  3729500  69.33
2014-02-21  67.53  67.57  66.79  66.86  2117900  66.86
2014-02-20  66.2  67.42  66.09  67.12  2835600  67.12
2014-02-19  66.08  67.42  66.08  66.6  3994200  66.6
2014-02-18  66.34  66.91  66.15  66.55  2646500  66.55
2014-02-14  66.41  66.75  65.76  66.36  2069500  66.36
2014-02-13  65.77  66.97  65.6  66.45  2303100  66.45
2014-02-12  66.68  66.9  66.07  66.54  2005600  66.54
2014-02-11  66.75  66.78  66.12  66.33  3814300  66.33
2014-02-10  66.08  66.76  65.02  66.65  4255900  66.65
2014-02-07  63.42  66.44  63.42  66.2  5992300  66.2
2014-02-06  60.75  62.81  60.14  62.61  7679400  62.61
2014-02-05  62.24  62.36  60.96  61.05  2700700  61.05
2014-02-04  62.03  62.91  61.71  62.2  2753900  62.2
2014-02-03  62.28  63.2  61.56  61.65  2684300  61.65
2014-01-31  61.83  62.87  61.65  62.19  2496100  62.19
2014-01-30  63.4  63.56  62.72  62.84  1645200  62.84
2014-01-29  62.48  63.78  62.05  63.11  2592100  63.11
2014-01-28  62.71  63.52  62.24  63.17  2001800  63.17
2014-01-27  62.74  62.92  61.61  62.0  2238200  62.0
2014-01-24  64.53  64.56  62.66  62.83  3256500  62.83
2014-01-23  65.05  65.29  64.65  64.96  3224000  64.96
2014-01-22  64.59  65.74  64.28  65.53  2383900  65.53
2014-01-21  64.03  64.35  62.97  63.92  2342400  63.92
2014-01-17  64.51  64.83  63.71  63.75  1874300  63.75
2014-01-16  64.1  64.84  63.9  64.51  1506400  64.51
2014-01-15  64.11  64.65  64.03  64.3  1556400  64.3
2014-01-14  63.24  64.64  63.17  64.21  2240500  64.21
