Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  22.58  23.18  22.32  23.02  5461100  23.02
2014-02-27  22.33  22.54  21.96  22.53  3775600  22.53
2014-02-26  22.68  22.85  22.15  22.32  6248600  22.32
2014-02-25  22.18  22.7  21.83  22.66  6815100  22.66
2014-02-24  22.12  22.96  22.11  22.18  7889800  22.18
2014-02-21  22.01  22.15  21.63  22.0  6787300  22.0
2014-02-20  21.59  22.77  21.53  21.96  18203200  21.96
2014-02-19  19.23  21.27  19.11  21.15  17241300  21.15
2014-02-18  18.2  18.72  18.05  18.66  7487000  18.66
2014-02-14  18.28  18.36  17.98  18.09  4093400  18.09
2014-02-13  17.81  18.34  17.68  18.14  4054000  18.14
2014-02-12  18.36  18.36  17.93  17.98  4095300  17.98
2014-02-11  17.56  18.42  17.56  18.3  4838000  18.3
2014-02-10  17.43  17.75  17.21  17.56  4796700  17.56
2014-02-07  17.61  17.7  17.14  17.39  7072100  17.39
2014-02-06  16.62  17.55  16.59  17.49  7376200  17.49
2014-02-05  16.78  16.86  16.53  16.59  2696500  16.59
2014-02-04  16.64  16.88  16.54  16.84  2962900  16.84
2014-02-03  17.11  17.17  16.54  16.59  3269400  16.59
2014-01-31  16.92  17.31  16.82  17.08  3112800  17.08
2014-01-30  17.16  17.26  16.93  17.14  5441000  17.14
2014-01-29  16.9  17.27  16.68  16.99  4798300  16.99
2014-01-28  17.01  17.21  16.94  17.13  2561400  17.13
2014-01-27  17.1  17.15  16.6  17.03  3192200  17.03
2014-01-24  17.35  17.36  16.82  17.04  3939600  17.04
2014-01-23  17.33  17.45  17.14  17.44  4274700  17.44
2014-01-22  17.47  17.54  17.2  17.42  2024400  17.42
2014-01-21  17.46  17.69  17.24  17.39  3008500  17.39
2014-01-17  17.23  17.41  17.05  17.28  4195300  17.28
2014-01-16  17.04  17.21  16.86  17.19  2735800  17.19
2014-01-15  16.71  17.11  16.67  17.05  3455200  17.05
2014-01-14  16.59  16.85  16.59  16.72  4203700  16.72
2014-01-13  16.99  17.08  16.5  16.53  3252900  16.53
2014-01-10  16.66  17.18  16.64  17.07  4366500  17.07
2014-01-09  16.68  16.74  16.43  16.64  4388400  16.64
2014-01-08  16.74  16.88  16.63  16.69  3756400  16.69
2014-01-07  16.51  16.78  16.44  16.64  5663400  16.64
2014-01-06  16.88  16.99  16.69  16.95  3861200  16.95
2014-01-03  16.89  17.07  16.76  16.81  3076400  16.81
2014-01-02  16.92  17.13  16.8  16.91  4536900  16.91
2013-12-31  16.85  17.05  16.78  16.99  2647600  16.99
2013-12-30  16.83  16.96  16.78  16.87  3287100  16.87
2013-12-27  16.45  16.92  16.41  16.84  3459300  16.84
2013-12-26  16.38  16.47  16.3  16.39  1525300  16.39
2013-12-24  16.23  16.5  16.21  16.48  918000  16.48
2013-12-23  16.35  16.48  16.23  16.24  2390800  16.24
2013-12-20  16.21  16.41  16.15  16.26  4827700  16.26
2013-12-19  15.84  16.17  15.73  16.15  3697500  16.15
