Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  31.31  31.38  30.82  31.05  3937900  31.05
2014-02-27  31.21  31.3  30.7  31.19  2976300  31.19
2014-02-26  31.25  31.33  30.96  31.08  2383600  31.08
2014-02-25  31.5  31.51  30.89  31.3  3923800  31.3
2014-02-24  31.33  31.92  31.32  31.65  2986100  31.65
2014-02-21  31.34  31.54  31.14  31.16  2770900  31.16
2014-02-20  31.19  31.44  31.06  31.28  2103200  31.28
2014-02-19  30.96  31.63  30.96  31.2  3035900  31.2
2014-02-18  31.21  31.38  30.17  31.05  3748700  31.05
2014-02-14  31.49  31.55  31.13  31.16  1914100  31.16
2014-02-13  31.15  31.44  30.93  31.4  2412200  31.4
2014-02-12  31.58  31.83  31.25  31.26  3827000  31.26
2014-02-11  30.59  31.6  30.56  31.44  3346900  31.44
2014-02-10  30.71  31.09  30.43  30.62  3864600  30.62
2014-02-07  30.69  30.77  30.23  30.7  3799600  30.7
2014-02-06  30.17  30.68  30.04  30.56  4855600  30.56
2014-02-05  30.57  30.66  30.06  30.11  4222500  30.11
2014-02-04  30.66  30.87  30.43  30.73  3455100  30.73
2014-02-03  30.5  30.7  29.94  30.54  5570200  30.54
2014-01-31  31.09  31.11  30.61  30.65  6636700  30.65
2014-01-30  31.65  31.76  30.98  31.25  6443200  31.25
2014-01-29  31.6  31.69  31.26  31.27  6017400  31.27
2014-01-28  32.07  32.27  31.63  31.85  5704800  31.85
2014-01-27  32.47  32.75  31.95  32.2  4504900  32.2
2014-01-24  32.34  32.7  32.04  32.53  6430400  32.53
2014-01-23  34.53  34.92  32.2  32.72  17228300  32.72
2014-01-22  35.51  35.85  35.02  35.8  4604600  35.8
2014-01-21  34.82  35.31  34.8  35.03  4120300  35.03
2014-01-17  34.84  35.34  34.76  34.95  2653500  34.95
2014-01-16  35.05  35.12  34.43  34.82  6025600  34.82
2014-01-15  35.57  35.67  35.13  35.2  2747300  35.2
2014-01-14  34.88  35.61  34.85  35.58  2727900  35.58
2014-01-13  35.31  35.7  34.71  34.74  5411600  34.74
2014-01-10  36.14  36.51  35.87  36.06  2753600  36.06
2014-01-09  35.82  36.12  35.58  36.06  3477100  36.06
2014-01-08  35.99  36.18  35.47  35.78  3408500  35.78
2014-01-07  36.46  36.61  36.02  36.48  2196600  36.48
2014-01-06  36.45  36.59  36.16  36.49  2932900  36.49
2014-01-03  36.33  36.57  36.12  36.27  1724600  36.27
2014-01-02  36.65  37.11  36.12  36.18  2649900  36.18
2013-12-31  36.22  37.03  36.12  37.01  2024400  37.01
2013-12-30  36.47  36.81  35.96  36.05  1974600  36.05
2013-12-27  36.15  36.6  36.07  36.52  1742800  36.52
2013-12-26  36.44  36.54  36.02  36.09  1465000  36.09
2013-12-24  35.77  36.48  35.67  36.25  1919400  36.25
2013-12-23  36.07  36.24  35.64  35.67  2448200  35.67
2013-12-20  35.75  36.35  35.7  35.87  5517700  35.87
2013-12-19  36.31  36.41  35.78  36.05  3353500  36.05
2013-12-18  36.32  36.44  35.43  36.24  6185600  36.24
2013-12-17  36.56  36.69  36.02  36.45  2801000  36.45
2013-12-16  36.24  36.7  36.12  36.62  3676700  36.62
2013-12-13  36.57  36.77  35.83  36.1  3399000  36.1
2013-12-12  36.31  36.71  36.07  36.58  3434200  36.58
2013-12-11  37.42  37.5  36.36  36.46  3910600  36.46
2013-12-10  37.66  37.8  37.38  37.48  1841700  37.48
2013-12-09  37.38  37.92  37.28  37.74  1869900  37.74
2013-12-06  37.54  37.64  37.12  37.38  2263400  37.38
2013-12-05  37.69  37.75  37.19  37.23  2917900  37.23
2013-12-04  37.95  38.2  37.49  37.89  2307000  37.89
2013-12-03  37.48  38.09  37.46  38.01  2241200  38.01
2013-12-02  37.69  38.23  37.62  37.74  2567300  37.74
2013-11-29  37.74  38.04  37.58  37.65  735100  37.65
2013-11-27  37.92  38.02  37.46  37.78  2217600  37.78
2013-11-26  37.37  38.08  37.18  38.06  4368400  38.06
2013-11-25  38.9  39.02  37.38  37.47  4620200  37.47
2013-11-22  38.91  39.18  38.39  39.07  3216800  39.07
2013-11-21  38.8  38.95  38.53  38.92  3631200  38.92
2013-11-20  38.61  38.96  38.44  38.7  2624300  38.7
2013-11-19  38.21  38.54  37.76  38.48  3119500  38.48
2013-11-18  39.0  39.11  38.11  38.21  3149500  38.21
2013-11-15  39.85  39.9  38.95  39.0  3865400  39.0
2013-11-14  39.34  39.66  39.11  39.66  2298400  39.66
2013-11-13  38.92  39.49  38.65  39.49  3380700  39.49
2013-11-12  39.41  39.44  38.78  38.97  5725200  38.97
2013-11-11  38.91  39.56  38.76  39.44  4196500  39.44
2013-11-08  37.39  38.85  37.36  38.83  4934000  38.83
2013-11-07  37.17  37.7  36.58  37.38  5754200  37.38
2013-11-06  36.74  37.4  36.66  36.92  3161700  36.92
2013-11-05  36.8  36.9  36.31  36.37  2472600  36.37
2013-11-04  36.65  36.87  36.47  36.85  2773200  36.85
2013-11-01  37.03  37.06  36.38  36.46  4943700  36.46
2013-10-31  37.33  37.42  36.89  37.0  2677200  37.0
2013-10-30  37.64  37.84  37.09  37.34  2220500  37.34
2013-10-29  37.95  38.04  37.52  37.62  3283200  37.62
2013-10-28  37.4  38.13  37.06  37.93  3583100  37.93
2013-10-25  37.59  37.59  37.14  37.37  2526800  37.37
2013-10-24  37.11  37.39  36.67  37.18  2296400  37.18
2013-10-23  37.46  37.51  36.65  37.18  3132300  37.18
2013-10-22  37.37  37.8  37.25  37.63  4250600  37.63
2013-10-21  37.28  37.46  37.01  37.2  3692800  37.2
2013-10-18  37.06  37.53  37.06  37.28  4623800  37.28
2013-10-17  37.58  37.67  36.53  36.78  5593300  36.78
2013-10-16  36.44  37.01  36.38  36.88  4557300  36.88
2013-10-15  37.03  37.06  36.57  36.67  2672800  36.67
2013-10-14  36.64  37.32  36.56  37.16  2221500  37.16
2013-10-11  36.8  37.32  36.07  37.0  5817900  37.0
