Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  90.49  91.7  90.35  91.39  2174300  91.39
2014-02-27  90.45  90.84  90.0  90.58  2071000  90.58
2014-02-26  91.22  91.45  90.3  90.46  2270900  90.46
2014-02-25  91.29  91.99  90.66  90.92  2210900  90.92
2014-02-24  91.97  92.03  91.02  91.05  2626100  91.05
2014-02-21  91.78  92.72  91.65  91.83  1624600  91.83
2014-02-20  91.83  92.31  91.32  91.72  2207100  91.72
2014-02-19  92.66  92.98  91.56  91.71  1711400  91.71
2014-02-18  92.6  93.29  92.43  92.61  1826500  92.61
2014-02-14  91.81  92.62  91.71  92.53  1350800  92.53
2014-02-13  91.05  92.38  90.96  92.12  1272900  92.12
2014-02-12  91.23  92.02  90.84  91.47  1886400  91.47
2014-02-11  90.41  91.92  90.29  91.25  2421800  91.25
2014-02-10  89.64  90.7  89.23  90.62  1518600  90.62
2014-02-07  89.91  90.75  89.12  89.89  2582900  89.89
2014-02-06  88.62  89.14  88.31  89.07  2282200  89.07
2014-02-05  89.19  89.48  88.53  88.65  2333300  88.65
2014-02-04  90.71  90.76  89.09  89.43  2432500  89.43
2014-02-03  91.32  92.02  90.36  90.5  3234500  90.5
2014-01-31  89.75  91.52  89.63  91.2  3427500  91.2
2014-01-30  88.45  90.52  88.36  90.24  2898900  90.24
2014-01-29  87.76  88.57  87.33  88.07  2347200  88.07
2014-01-28  86.3  89.29  86.04  88.08  3692200  88.08
2014-01-27  86.5  86.97  85.44  86.2  2605800  86.2
2014-01-24  87.36  87.75  86.36  86.37  3671700  86.37
2014-01-23  87.85  88.45  87.52  88.1  1458800  88.1
2014-01-22  88.3  89.01  87.94  88.16  2267100  88.16
2014-01-21  87.07  88.36  87.07  88.35  1916200  88.35
2014-01-17  87.12  87.16  86.55  86.97  1629700  86.97
2014-01-16  86.31  86.87  86.14  86.86  1021500  86.86
2014-01-15  85.9  86.4  85.86  86.11  1640600  86.11
2014-01-14  85.79  86.31  85.41  86.03  1254300  86.03
2014-01-13  86.16  86.87  85.64  85.99  1465800  85.99
2014-01-10  85.82  87.11  85.71  86.56  2274200  86.56
2014-01-09  84.89  85.53  84.25  85.34  2067300  85.34
2014-01-08  84.39  85.08  83.82  84.62  3086300  84.62
2014-01-07  83.93  84.66  83.83  84.35  1842200  84.35
2014-01-06  83.76  83.97  83.33  83.73  1690900  83.73
2014-01-03  83.59  84.07  83.3  83.69  1651600  83.69
2014-01-02  84.71  84.8  83.55  83.58  2426600  83.58
