Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  34.89  35.15  34.72  34.82  2161300  34.82
2014-02-27  34.8  35.27  34.76  34.8  2951200  34.8
2014-02-26  35.47  35.57  34.88  34.93  1752900  34.93
2014-02-25  35.49  35.71  35.31  35.39  1320900  35.39
2014-02-24  35.48  35.67  35.36  35.44  1918400  35.44
2014-02-21  35.39  35.53  35.24  35.4  2377800  35.4
2014-02-20  35.4  35.61  35.23  35.31  2614100  35.31
2014-02-19  35.33  35.88  35.26  35.4  2258900  35.4
2014-02-18  35.96  36.82  35.29  35.3  3321600  35.3
2014-02-14  34.74  35.17  34.48  35.17  2738700  35.17
2014-02-13  34.47  34.93  34.4  34.77  2397300  34.77
2014-02-12  34.54  34.79  34.47  34.65  1682600  34.65
2014-02-11  34.49  34.81  34.35  34.67  1524100  34.67
2014-02-10  33.95  34.56  33.69  34.53  1864200  34.53
2014-02-07  33.84  34.15  33.83  34.01  1673400  34.01
2014-02-06  33.49  33.84  33.4  33.76  1657300  33.76
2014-02-05  33.36  33.58  33.0  33.5  1927800  33.5
2014-02-04  33.82  33.92  33.32  33.49  2241600  33.49
2014-02-03  34.1  34.48  33.52  33.7  2741000  33.7
2014-01-31  33.64  34.35  33.59  34.12  2814700  34.12
2014-01-30  33.77  34.19  33.77  34.01  1921700  34.01
2014-01-29  33.81  33.95  33.49  33.64  1868700  33.64
2014-01-28  33.45  33.94  33.37  33.93  1333000  33.93
2014-01-27  33.34  33.53  33.2  33.42  1812400  33.42
2014-01-24  33.81  33.85  33.33  33.34  2723000  33.34
2014-01-23  33.91  34.11  33.72  33.98  1703700  33.98
2014-01-22  34.1  34.43  34.04  34.07  2064700  34.07
2014-01-21  33.93  34.14  33.82  34.07  1490500  34.07
2014-01-17  33.58  33.86  33.42  33.64  2172700  33.64
2014-01-16  33.1  33.56  33.05  33.56  1911200  33.56
2014-01-15  33.19  33.31  32.84  33.1  1908800  33.1
2014-01-14  33.03  33.19  32.84  33.07  1329900  33.07
2014-01-13  33.27  33.4  32.91  32.99  2525400  32.99
2014-01-10  33.02  33.75  33.02  33.42  3042700  33.42
2014-01-09  32.7  32.92  32.56  32.84  1874400  32.84
2014-01-08  32.73  32.87  32.51  32.66  2622500  32.66
2014-01-07  32.76  33.06  32.69  32.82  4301800  32.82
2014-01-06  32.25  33.07  32.15  32.71  3988200  32.71
2014-01-03  32.11  32.33  31.93  32.22  1745600  32.22
2014-01-02  32.6  32.67  31.87  32.05  2244800  32.05
2013-12-31  32.48  32.71  32.44  32.64  1363600  32.64
2013-12-30  32.44  32.7  32.29  32.4  1678900  32.4
2013-12-27  32.35  32.79  32.29  32.4  1853300  32.4
2013-12-26  32.53  32.59  32.19  32.23  1706100  32.23
2013-12-24  32.35  32.54  32.08  32.52  896500  32.52
2013-12-23  32.95  32.95  32.15  32.33  3037100  32.33
2013-12-20  31.79  33.24  31.61  32.62  10840900  32.62
2013-12-19  31.24  31.33  30.87  31.27  2123700  31.27
2013-12-18  30.96  31.46  30.49  31.38  2129700  31.38
2013-12-17  30.84  30.96  30.68  30.83  1972400  30.83
2013-12-16  30.79  31.04  30.73  30.85  1483600  30.85
2013-12-13  30.77  30.85  30.6  30.71  1444200  30.71
2013-12-12  30.56  31.0  30.47  30.75  1959200  30.75
2013-12-11  30.98  30.98  30.5  30.57  1525300  30.57
2013-12-10  31.21  31.24  30.79  30.86  1676600  30.86
2013-12-09  31.37  31.47  31.15  31.23  1868900  31.23
2013-12-06  31.22  31.46  31.11  31.33  1871300  31.33
2013-12-05  31.46  31.65  31.06  31.08  3226400  31.08
2013-12-04  31.32  31.56  31.07  31.53  3161400  31.53
2013-12-03  31.23  31.59  31.17  31.43  2319100  31.43
2013-12-02  31.37  31.5  31.09  31.35  1626700  31.35
2013-11-29  31.42  31.55  31.35  31.39  791400  31.39
2013-11-27  31.53  31.67  31.32  31.44  2782400  31.44
2013-11-26  31.62  31.73  31.35  31.52  2678900  31.52
2013-11-25  31.64  31.84  31.49  31.64  2262300  31.64
2013-11-22  31.24  31.83  31.16  31.62  2118100  31.62
2013-11-21  31.42  31.43  31.14  31.25  2164000  31.25
2013-11-20  31.79  31.95  31.3  31.35  1612600  31.35
2013-11-19  31.93  32.06  31.66  31.79  883200  31.79
2013-11-18  32.17  32.36  31.86  31.99  1356200  31.99
2013-11-15  32.02  32.23  31.86  32.21  2332900  32.21
2013-11-14  31.39  31.97  31.39  31.92  2445600  31.92
2013-11-13  30.59  31.3  30.43  31.27  4067100  31.27
2013-11-12  30.95  31.04  30.56  30.73  1628000  30.73
2013-11-11  31.16  31.2  30.86  31.08  1611300  31.08
2013-11-08  31.08  31.14  30.49  31.09  2097300  31.09
2013-11-07  31.64  31.83  31.1  31.19  1876800  31.19
2013-11-06  31.42  31.65  31.33  31.64  1778000  31.64
2013-11-05  31.37  31.68  31.23  31.35  2623600  31.35
2013-11-04  31.57  31.59  31.16  31.46  1334100  31.46
2013-11-01  31.31  31.63  31.25  31.49  1738800  31.49
2013-10-31  31.42  31.69  30.88  31.29  2527400  31.29
2013-10-30  31.72  31.98  31.44  31.47  2571500  31.47
2013-10-29  31.79  31.86  31.47  31.71  2622800  31.71
2013-10-28  31.86  31.97  31.46  31.54  2767600  31.54
2013-10-25  31.61  31.84  31.38  31.83  1750300  31.83
2013-10-24  31.71  31.77  31.42  31.64  1658300  31.64
2013-10-23  31.66  32.02  31.46  31.67  2412900  31.67
2013-10-22  31.19  31.9  31.13  31.73  2738200  31.73
2013-10-21  31.14  31.24  30.94  31.08  1771900  31.08
2013-10-18  30.94  31.36  30.87  31.2  1731200  31.2
2013-10-17  30.33  30.89  30.24  30.84  1610400  30.84
2013-10-16  30.05  30.43  30.03  30.41  2315200  30.41
2013-10-15  30.24  30.42  29.82  29.91  1294700  29.91
2013-10-14  30.23  30.35  29.73  30.35  1548600  30.35
2013-10-11  30.16  30.38  30.14  30.32  1549000  30.32
