Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  119.68  121.83  119.51  121.03  1394700  121.03
2014-02-27  118.51  120.07  118.1  120.02  1374400  120.02
2014-02-26  119.43  120.07  118.06  118.11  1574200  118.11
2014-02-25  121.38  122.05  118.84  119.07  1588800  119.07
2014-02-24  120.14  122.66  120.14  121.49  1343800  121.49
2014-02-21  120.82  120.82  118.53  119.85  1027200  119.85
2014-02-20  120.34  120.57  118.36  119.99  992800  119.99
2014-02-19  119.38  120.75  118.3  118.44  1100300  118.44
2014-02-18  119.92  120.24  119.0  119.44  1088100  119.44
2014-02-14  118.07  120.17  117.37  119.66  1233600  119.66
2014-02-13  116.44  118.69  116.4  118.25  979500  118.25
2014-02-12  116.46  117.71  116.22  117.46  1499500  117.46
2014-02-11  113.75  116.8  113.72  116.3  1682700  116.3
2014-02-10  114.13  114.38  112.54  113.73  1726200  113.73
2014-02-07  112.5  115.39  112.36  114.38  1674500  114.38
2014-02-06  111.14  112.21  110.88  111.7  1150000  111.7
2014-02-05  109.57  111.48  109.14  110.83  1657600  110.83
2014-02-04  110.44  111.41  108.61  110.23  2732400  110.23
2014-02-03  115.5  116.61  111.6  112.67  2657300  112.67
2014-01-31  111.7  115.95  111.45  114.96  2079600  114.96
2014-01-30  123.02  123.02  111.47  112.67  2070100  112.67
2014-01-29  110.51  112.2  109.93  111.55  1682000  111.55
2014-01-28  112.85  113.0  111.08  111.43  2168900  111.43
2014-01-27  112.87  113.33  110.9  112.12  1687300  112.12
2014-01-24  116.08  116.11  112.85  112.87  2166900  112.87
2014-01-23  118.79  120.06  116.85  116.9  1427800  116.9
2014-01-22  119.18  119.81  118.25  119.7  1215800  119.7
2014-01-21  118.45  119.82  117.9  118.58  990900  118.58
2014-01-17  117.66  118.05  117.21  117.63  889200  117.63
2014-01-16  117.32  117.94  116.85  117.68  871600  117.68
2014-01-15  116.53  117.85  116.4  117.27  1094700  117.27
2014-01-14  115.71  116.56  114.59  116.51  1378700  116.51
2014-01-13  115.85  116.93  114.69  115.04  1201700  115.04
2014-01-10  115.39  115.97  114.43  115.77  1502400  115.77
2014-01-09  114.91  115.68  114.66  115.04  1931200  115.04
2014-01-08  113.64  114.74  113.07  114.6  1282400  114.6
2014-01-07  113.22  114.33  112.57  113.92  1666600  113.92
2014-01-06  113.43  114.5  112.85  113.22  1277200  113.22
2014-01-03  112.65  113.88  112.65  113.0  1278900  113.0
2014-01-02  113.6  113.9  112.18  112.65  1083600  112.65
2013-12-31  113.66  114.19  113.26  114.02  965800  114.02
2013-12-30  114.13  114.47  112.93  113.34  725900  113.34
2013-12-27  114.93  115.59  113.53  114.11  905300  114.11
2013-12-26  113.86  115.29  113.78  114.73  981100  114.73
2013-12-24  111.98  113.71  111.98  113.63  570600  113.63
2013-12-23  112.42  112.68  111.46  111.95  1140500  111.95
2013-12-20  110.09  112.47  109.74  111.68  3552100  111.68
2013-12-19  110.88  111.27  109.6  109.98  1374500  109.98
2013-12-18  109.37  110.95  107.92  110.91  2067500  110.91
2013-12-17  109.26  109.58  108.78  109.01  1194000  109.01
2013-12-16  108.4  109.44  107.87  109.1  1333000  109.1
2013-12-13  107.6  108.68  107.24  108.36  899400  108.36
2013-12-12  107.09  107.76  106.65  107.47  1881600  107.47
2013-12-11  109.73  109.93  106.67  106.97  2031100  106.97
2013-12-10  109.28  109.97  108.99  109.56  1074800  109.56
2013-12-09  109.62  109.79  108.6  109.38  1312100  109.38
2013-12-06  109.5  109.78  108.68  109.69  1916900  109.69
2013-12-05  109.52  110.6  108.87  108.98  1239500  108.98
2013-12-04  111.41  112.18  109.09  109.92  1799800  109.92
2013-12-03  111.39  112.66  110.94  111.94  1697600  111.94
2013-12-02  112.03  112.57  111.04  111.25  906700  111.25
2013-11-29  113.39  113.89  111.92  112.1  724900  112.1
2013-11-27  111.28  113.74  111.08  113.36  1634400  113.36
2013-11-26  110.47  111.22  110.47  110.79  2032900  110.79
2013-11-25  110.94  111.34  109.8  110.47  1998400  110.47
2013-11-22  109.23  111.07  109.18  110.83  1228100  110.83
2013-11-21  109.18  109.88  109.05  109.6  1584500  109.6
2013-11-20  109.0  109.49  108.32  108.62  890000  108.62
2013-11-19  109.59  109.97  108.7  109.09  1078700  109.09
2013-11-18  109.31  110.16  108.92  109.41  1334900  109.41
2013-11-15  108.47  108.55  107.19  108.37  1085400  108.37
2013-11-14  108.82  109.01  107.99  108.94  1028500  108.94
2013-11-13  107.86  108.17  105.55  108.16  1581000  108.16
2013-11-12  108.84  108.85  107.85  108.2  919500  108.2
2013-11-11  109.07  109.13  108.46  109.01  895600  109.01
2013-11-08  107.58  109.59  107.46  109.56  829200  109.56
2013-11-07  108.52  109.3  107.43  107.52  1088800  107.52
2013-11-06  108.17  108.73  107.46  108.46  773000  108.46
2013-11-05  107.35  108.49  107.07  107.97  788200  107.97
2013-11-04  107.3  108.09  107.21  107.5  1126100  107.5
2013-11-01  106.44  108.26  106.4  106.98  1947400  106.98
2013-10-31  106.6  107.54  106.14  106.37  1857900  106.37
2013-10-30  107.4  107.71  106.06  106.46  1074000  106.46
2013-10-29  106.75  107.26  105.8  107.17  1201200  107.17
2013-10-28  106.95  107.19  106.49  106.72  1049800  106.72
2013-10-25  106.15  107.64  105.76  107.23  1503600  107.23
2013-10-24  104.85  106.87  104.58  106.35  1769700  106.35
2013-10-23  101.42  104.6  101.17  104.45  1957200  104.45
2013-10-22  99.6  100.83  99.57  100.39  1017500  100.39
2013-10-21  100.66  100.72  98.83  99.14  1098300  99.14
2013-10-18  99.82  100.53  99.39  100.52  1123800  100.52
2013-10-17  97.47  99.67  97.1  99.67  1246700  99.67
2013-10-16  96.99  97.68  96.8  97.64  1007800  97.64
2013-10-15  97.78  97.86  96.12  96.32  1128400  96.32
2013-10-14  96.67  97.99  96.14  97.77  764500  97.77
2013-10-11  96.12  97.37  96.03  97.32  963700  97.32
2013-10-10  93.84  96.08  93.81  96.07  1169600  96.07
2013-10-09  93.11  93.64  92.35  93.11  1290200  93.11
2013-10-08  93.8  94.0  92.7  93.1  1450300  93.1
2013-10-07  91.94  94.55  91.84  93.98  1828200  93.98
2013-10-04  92.1  92.54  91.53  92.33  1218700  92.33
2013-10-03  94.09  94.09  91.63  92.1  1579200  92.1
2013-10-02  94.83  94.89  93.39  94.18  1436700  94.18
2013-10-01  94.18  95.17  93.99  95.12  890000  95.12
2013-09-30  94.44  94.74  94.14  94.25  1159700  94.25
2013-09-27  95.09  95.47  94.63  95.23  770000  95.23
2013-09-26  94.68  95.43  94.55  95.35  827300  95.35
2013-09-25  95.03  95.11  94.46  94.72  1052800  94.72
2013-09-24  95.03  95.44  94.75  94.94  1249100  94.94
2013-09-23  95.29  95.71  94.39  94.85  1470700  94.85
2013-09-20  97.25  97.26  95.07  95.28  2412400  95.28
2013-09-19  97.56  98.05  96.98  97.01  910500  97.01
2013-09-18  97.68  98.01  96.41  97.55  1303700  97.55
2013-09-17  96.69  97.79  96.57  97.71  874200  97.71
2013-09-16  96.02  96.97  95.6  96.76  957800  96.76
2013-09-13  95.03  95.25  94.24  95.17  889200  95.17
2013-09-12  94.04  95.07  94.04  94.73  1059900  94.73
2013-09-11  93.57  94.11  93.51  94.11  1425200  94.11
2013-09-10  92.48  93.72  92.25  93.45  1378500  93.45
2013-09-09  92.36  92.84  92.36  92.52  1009400  92.52
2013-09-06  92.72  92.84  91.35  92.14  1033600  92.14
2013-09-05  92.62  92.74  92.27  92.57  1111500  92.57
2013-09-04  91.97  93.29  91.97  92.57  1307100  92.57
2013-09-03  92.45  92.96  91.91  92.16  1229000  92.16
2013-08-30  92.19  92.37  91.0  91.3  1011000  91.3
2013-08-29  91.5  92.51  91.02  92.08  891100  92.08
2013-08-28  91.49  91.95  91.03  91.37  1327900  91.37
2013-08-27  92.8  93.4  91.25  91.35  1274800  91.35
2013-08-26  93.2  93.53  92.65  92.94  1038100  92.94
2013-08-23  92.42  93.08  92.25  92.96  1608500  92.96
2013-08-22  92.7  93.25  92.3  92.43  1021800  92.43
2013-08-21  91.98  93.06  91.93  92.4  1282000  92.4
2013-08-20  92.19  92.86  92.09  92.14  1668500  92.14
2013-08-19  92.28  93.36  92.12  92.14  1476400  92.14
2013-08-16  91.98  93.03  91.86  92.42  1587900  92.42
2013-08-15  92.38  93.22  91.86  92.19  1595100  92.19
2013-08-14  93.58  93.79  93.07  93.25  1333400  93.25
2013-08-13  93.67  93.95  92.82  93.64  1685600  93.64
2013-08-12  93.78  94.04  93.27  93.31  1148600  93.31
2013-08-09  93.97  94.26  93.42  93.86  1509700  93.86
2013-08-08  94.45  94.78  93.92  93.98  1539000  93.98
2013-08-07  92.76  94.25  92.76  94.2  1380000  94.2
2013-08-06  93.67  94.21  93.17  93.26  1520600  93.26
2013-08-05  93.27  93.99  92.89  93.79  1742800  93.79
2013-08-02  92.85  94.62  91.7  93.27  5320900  93.27
2013-08-01  90.87  91.89  90.87  91.5  2324700  91.5
2013-07-31  89.35  91.24  89.25  90.49  2936900  90.49
2013-07-30  90.21  90.94  88.88  89.39  2086800  89.39
2013-07-29  88.68  89.98  88.67  89.83  1610300  89.83
2013-07-26  88.51  89.02  88.2  89.02  1609500  89.02
2013-07-25  88.77  89.03  88.2  88.87  1388800  88.87
2013-07-24  89.31  91.4  87.85  88.76  3091400  88.76
2013-07-23  87.5  87.78  86.73  87.25  1718200  87.25
2013-07-22  87.16  87.29  86.78  86.93  936400  86.93
2013-07-19  86.3  86.9  86.3  86.85  1400800  86.85
2013-07-18  85.27  86.85  85.27  86.62  1528600  86.62
2013-07-17  85.91  86.39  85.78  86.11  1164800  86.11
2013-07-16  86.96  87.05  85.68  85.72  1293500  85.72
2013-07-15  86.75  87.12  86.51  86.76  1051400  86.76
2013-07-12  86.33  86.62  85.65  86.52  1741600  86.52
2013-07-11  86.21  86.39  85.88  86.25  1336500  86.25
2013-07-10  84.07  85.71  84.04  85.42  1710000  85.42
2013-07-09  84.05  84.53  83.55  84.07  1056300  84.07
2013-07-08  83.0  83.75  82.64  83.64  1516100  83.64
2013-07-05  81.76  82.54  81.62  82.52  663800  82.52
2013-07-03  80.6  81.79  80.35  81.52  711900  81.52
2013-07-02  81.66  81.82  80.41  80.77  1168500  80.77
2013-07-01  81.37  82.57  81.1  81.93  909000  81.93
2013-06-28  81.59  82.15  81.15  81.39  1135200  81.39
2013-06-27  81.04  82.03  80.96  81.79  951900  81.79
2013-06-26  80.11  80.72  79.95  80.44  1519400  80.44
2013-06-25  80.27  80.33  79.26  79.33  1563800  79.33
2013-06-24  80.03  80.41  79.31  79.69  1488400  79.69
2013-06-21  81.15  81.35  80.44  80.45  2789600  80.45
2013-06-20  80.89  81.74  80.55  80.57  1455400  80.57
2013-06-19  82.44  82.89  81.56  81.57  1171200  81.57
2013-06-18  82.36  82.9  81.85  82.5  1229000  82.5
2013-06-17  81.86  82.86  81.84  82.24  1000500  82.24
2013-06-14  81.32  82.26  81.19  81.47  1006000  81.47
2013-06-13  81.26  82.71  81.1  81.45  1793400  81.45
2013-06-12  82.08  82.14  81.09  81.2  969200  81.2
2013-06-11  81.67  82.31  81.44  81.56  1340000  81.56
2013-06-10  82.73  82.86  82.05  82.32  1498400  82.32
2013-06-07  81.14  82.57  81.14  82.45  1417500  82.45
2013-06-06  80.09  81.01  79.54  80.85  1802200  80.85
2013-06-05  80.73  81.64  79.97  80.06  1198800  80.06
2013-06-04  81.44  81.85  80.74  81.01  1300800  81.01
