Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  74.96  77.4  74.87  77.04  6419300  77.04
2014-02-27  74.5  75.01  74.27  74.7  5339400  74.7
2014-02-26  74.53  74.79  73.86  74.34  3670100  74.34
2014-02-25  75.51  75.55  73.85  74.83  5625500  74.83
2014-02-24  74.98  76.81  74.98  75.94  6323600  75.94
2014-02-21  76.07  76.1  74.65  74.8  5264100  74.8
2014-02-20  76.46  76.67  75.91  76.38  3726900  76.38
2014-02-19  76.25  77.25  76.03  76.46  3837700  76.46
2014-02-18  76.52  76.55  75.25  76.4  3126300  76.4
2014-02-14  76.05  76.78  75.66  76.42  5064600  76.42
2014-02-13  75.64  76.13  75.33  75.94  5197900  75.94
2014-02-12  76.1  76.19  75.69  76.02  3043100  76.02
2014-02-11  74.93  75.76  74.85  75.6  4399000  75.6
2014-02-10  74.96  75.02  74.19  75.0  3568300  75.0
2014-02-07  74.53  75.17  74.1  75.07  4245600  75.07
2014-02-06  73.64  74.5  73.34  74.06  4148600  74.06
2014-02-05  74.2  74.35  73.1  73.3  5167400  73.3
2014-02-04  74.17  74.73  74.01  74.51  3740300  74.51
2014-02-03  75.19  75.19  73.33  73.75  7473100  73.75
2014-01-31  74.8  75.66  73.14  75.01  9562700  75.01
2014-01-30  73.24  74.09  73.11  73.65  4830900  73.65
2014-01-29  73.03  73.73  72.67  73.03  3854100  73.03
2014-01-28  73.46  73.61  72.94  73.31  4257900  73.31
2014-01-27  73.92  74.2  73.19  73.31  5360000  73.31
2014-01-24  75.43  75.53  73.98  74.0  8054200  74.0
2014-01-23  77.15  77.15  75.81  76.12  7956000  76.12
2014-01-22  77.3  77.72  77.09  77.58  2182900  77.58
2014-01-21  77.54  77.98  76.37  77.15  3661700  77.15
2014-01-17  77.6  77.6  76.79  76.97  2827700  76.97
2014-01-16  77.33  77.46  76.83  77.16  1865600  77.16
2014-01-15  77.7  77.9  76.89  77.18  3396300  77.18
2014-01-14  76.79  77.64  76.57  77.53  3127300  77.53
2014-01-13  77.9  78.17  76.55  76.74  4021500  76.74
2014-01-10  77.81  78.39  77.41  78.05  2614200  78.05
2014-01-09  78.27  78.27  77.01  77.77  3380300  77.77
2014-01-08  79.41  79.43  77.8  78.17  4266200  78.17
2014-01-07  79.55  79.88  79.15  79.81  2809900  79.81
2014-01-06  80.31  80.32  79.0  79.49  3604700  79.49
2014-01-03  79.05  79.84  78.74  78.75  1916400  78.75
2014-01-02  79.4  80.26  78.73  79.02  2505400  79.02
2013-12-31  78.75  79.61  78.4  79.53  1848900  79.53
2013-12-30  79.66  79.73  78.6  78.68  1870600  78.68
2013-12-27  79.0  79.66  78.9  79.44  2173100  79.44
2013-12-26  78.85  78.99  78.62  78.77  1533600  78.77
2013-12-24  77.92  78.63  77.77  78.53  1166400  78.53
2013-12-23  78.71  78.74  77.67  77.77  2524300  77.77
2013-12-20  78.04  78.7  77.76  78.37  3456100  78.37
2013-12-19  77.54  77.95  77.17  77.78  2459900  77.78
2013-12-18  77.79  77.96  76.6  77.91  5006300  77.91
2013-12-17  79.16  79.16  78.07  78.14  2712900  78.14
2013-12-16  79.02  79.1  78.02  78.92  3990700  78.92
2013-12-13  78.68  79.26  78.3  78.74  2795500  78.74
2013-12-12  78.41  79.13  78.1  78.54  3501600  78.54
2013-12-11  79.36  79.46  78.25  78.37  2796200  78.37
2013-12-10  79.7  79.7  78.8  79.14  4072600  79.14
2013-12-09  81.25  81.35  80.03  80.19  4401000  80.19
2013-12-06  82.45  82.55  81.41  81.59  1885500  81.59
2013-12-05  81.55  81.86  81.12  81.61  1962600  81.61
2013-12-04  82.17  82.65  81.05  81.85  1959700  81.85
2013-12-03  81.11  82.4  80.75  82.36  2827300  82.36
2013-12-02  81.48  82.27  80.76  81.43  2520500  81.43
2013-11-29  81.49  81.98  81.14  81.24  1296600  81.24
2013-11-27  81.25  81.89  80.63  81.2  2062600  81.2
2013-11-26  82.34  82.49  80.56  81.49  2972700  81.49
2013-11-25  82.86  83.24  81.92  82.35  2667600  82.35
2013-11-22  83.68  83.76  82.8  83.4  2274800  83.4
2013-11-21  83.56  83.92  82.92  83.6  2815400  83.6
2013-11-20  83.03  83.74  82.8  83.1  2075500  83.1
2013-11-19  83.24  83.42  82.46  82.9  2777500  82.9
2013-11-18  84.12  84.33  82.81  83.19  3401400  83.19
2013-11-15  83.71  84.44  83.57  84.03  3317500  84.03
2013-11-14  82.14  83.34  81.32  83.3  3130600  83.3
2013-11-13  82.24  82.36  81.51  82.16  2264900  82.16
2013-11-12  82.1  82.93  81.82  82.29  2186100  82.29
2013-11-11  82.33  82.93  81.69  82.71  2612500  82.71
2013-11-08  80.07  81.99  80.07  81.94  2899200  81.94
2013-11-07  81.5  81.53  79.86  80.16  2827000  80.16
2013-11-06  80.41  81.18  79.89  81.14  2518500  81.14
2013-11-05  80.32  80.9  79.56  80.07  2347900  80.07
2013-11-04  80.9  81.03  80.17  80.66  1645300  80.66
2013-11-01  80.95  81.2  79.55  80.58  2981800  80.58
2013-10-31  81.41  81.84  80.6  80.92  2821100  80.92
2013-10-30  81.74  82.07  81.0  81.52  2360100  81.52
2013-10-29  82.34  82.37  81.12  81.54  3604500  81.54
2013-10-28  82.39  82.81  81.85  82.65  3741500  82.65
2013-10-25  81.77  82.49  80.87  82.46  6260200  82.46
2013-10-24  78.23  79.12  78.0  78.88  4889600  78.88
2013-10-23  80.58  80.58  78.26  78.56  4636600  78.56
2013-10-22  81.84  82.08  80.93  81.14  2611700  81.14
2013-10-21  81.72  82.14  81.34  81.61  2265700  81.61
