Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  28.65  29.33  28.57  29.07  3843500  29.07
2014-02-27  28.64  28.79  28.54  28.65  2466200  28.65
2014-02-26  28.88  28.9  28.57  28.71  2883600  28.71
2014-02-25  28.9  29.01  28.65  28.81  2861100  28.81
2014-02-24  28.66  29.1  28.55  28.88  4171200  28.88
2014-02-21  28.67  28.85  28.43  28.56  2665300  28.56
2014-02-20  28.5  28.79  28.22  28.72  3336500  28.72
2014-02-19  28.71  28.92  28.47  28.53  3529100  28.53
2014-02-18  28.43  28.79  28.43  28.72  2460100  28.72
2014-02-14  28.3  28.66  28.25  28.43  3180900  28.43
2014-02-13  27.41  28.28  27.4  28.28  4295500  28.28
2014-02-12  27.78  27.84  27.43  27.48  3176500  27.48
2014-02-11  27.54  27.82  27.5  27.75  5459100  27.75
2014-02-10  27.69  27.73  27.43  27.58  2892700  27.58
2014-02-07  27.82  28.03  27.57  27.61  3849600  27.61
2014-02-06  27.44  27.68  27.36  27.65  2636100  27.65
2014-02-05  27.18  27.5  27.08  27.36  4630600  27.36
2014-02-04  27.47  27.58  27.17  27.39  3882400  27.39
2014-02-03  27.9  27.98  27.33  27.43  4992600  27.43
2014-01-31  27.36  28.05  27.32  27.85  3629000  27.85
2014-01-30  27.16  27.68  27.16  27.63  2798500  27.63
2014-01-29  26.92  27.35  26.78  27.07  3479800  27.07
2014-01-28  26.67  27.09  26.61  27.08  3093100  27.08
2014-01-27  26.74  26.85  26.45  26.63  4162700  26.63
2014-01-24  26.92  27.36  26.65  26.7  7038300  26.7
2014-01-23  27.58  27.62  27.02  27.22  6312100  27.22
2014-01-22  28.0  28.27  27.74  27.77  4933900  27.77
2014-01-21  27.94  28.13  27.74  27.95  2432700  27.95
2014-01-17  28.02  28.02  27.59  27.95  5668000  27.95
2014-01-16  27.92  28.0  27.74  27.96  4884700  27.96
2014-01-15  27.66  28.02  27.59  27.91  3042900  27.91
2014-01-14  27.3  27.68  27.28  27.67  3154900  27.67
2014-01-13  27.82  27.96  27.25  27.34  4146200  27.34
2014-01-10  28.14  28.29  27.81  27.94  4682300  27.94
2014-01-09  28.37  28.46  27.7  27.95  4994700  27.95
2014-01-08  28.51  28.71  28.28  28.32  6504300  28.32
2014-01-07  28.62  28.92  28.39  28.52  5670500  28.52
2014-01-06  28.66  29.17  28.53  28.58  3808000  28.58
2014-01-03  28.45  28.72  28.45  28.53  2473400  28.53
2014-01-02  28.61  28.65  28.37  28.45  3896400  28.45
2013-12-31  28.57  28.69  28.44  28.59  2519800  28.59
2013-12-30  28.43  28.62  28.37  28.5  1997900  28.5
2013-12-27  28.4  28.57  28.28  28.46  1946000  28.46
2013-12-26  28.33  28.41  28.23  28.35  1917600  28.35
2013-12-24  28.34  28.42  28.12  28.25  953000  28.25
2013-12-23  28.44  28.47  28.19  28.24  2064000  28.24
2013-12-20  28.31  28.62  28.23  28.27  5398800  28.27
2013-12-19  27.94  28.33  27.68  28.29  2219700  28.29
2013-12-18  27.81  28.02  27.16  27.98  3591100  27.98
2013-12-17  27.72  27.99  27.67  27.75  2542500  27.75
2013-12-16  27.93  28.13  27.62  27.74  3658300  27.74
2013-12-13  27.93  27.97  27.76  27.83  2194300  27.83
2013-12-12  27.84  28.16  27.79  27.86  2618100  27.86
2013-12-11  28.2  28.24  27.7  27.83  3438200  27.83
2013-12-10  28.6  28.64  28.19  28.24  3087100  28.24
