Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  40.65  40.89  40.17  40.41  2850800  40.41
2014-02-27  40.17  40.7  40.06  40.62  3018600  40.62
2014-02-26  40.35  40.43  39.73  40.28  3863500  40.28
2014-02-25  40.16  40.31  39.65  39.85  3228300  39.85
2014-02-24  39.89  40.27  39.73  40.09  3237000  40.09
2014-02-21  40.03  40.17  39.65  39.89  4414800  39.89
2014-02-20  40.52  40.67  39.8  40.18  5200300  40.18
2014-02-19  40.47  40.9  40.46  40.53  3191900  40.53
2014-02-18  40.68  40.9  40.58  40.62  3773300  40.62
2014-02-14  41.05  41.34  40.68  40.72  5220100  40.72
2014-02-13  40.39  41.25  39.85  41.1  11233900  41.1
2014-02-12  43.66  44.28  42.46  42.59  9308900  42.59
2014-02-11  43.5  43.93  43.11  43.69  6736400  43.69
2014-02-10  42.72  43.56  42.59  43.27  4455900  43.27
2014-02-07  41.94  42.99  41.55  42.82  3793800  42.82
2014-02-06  41.57  42.09  41.45  41.71  4737000  41.71
2014-02-05  41.65  41.95  40.69  41.57  4507800  41.57
2014-02-04  42.23  42.48  41.41  42.1  2692800  42.1
2014-02-03  43.32  43.64  41.7  41.94  5791300  41.94
2014-01-31  42.61  42.84  41.92  42.34  3323500  42.34
2014-01-30  43.24  43.28  42.63  43.14  2223300  43.14
2014-01-29  43.38  43.61  42.7  42.76  3969000  42.76
2014-01-28  43.88  43.99  43.39  43.74  4573100  43.74
2014-01-27  44.09  44.44  43.67  43.71  2941100  43.71
2014-01-24  45.72  45.72  43.92  43.96  5372400  43.96
2014-01-23  44.92  45.96  44.92  45.85  4338100  45.85
2014-01-22  44.96  45.7  44.8  45.45  6430500  45.45
2014-01-21  44.68  45.52  44.51  44.89  5726300  44.89
2014-01-17  43.04  44.72  42.79  44.49  6670700  44.49
2014-01-16  43.23  43.84  43.18  43.28  5181800  43.28
2014-01-15  40.63  43.51  40.33  43.51  11070400  43.51
2014-01-14  39.68  40.38  39.6  40.19  4945500  40.19
2014-01-13  40.27  40.49  39.61  39.7  3915600  39.7
2014-01-10  40.71  40.8  40.27  40.37  2041500  40.37
2014-01-09  40.98  41.14  40.51  40.65  3477300  40.65
2014-01-08  40.88  41.06  40.69  41.05  2940000  41.05
2014-01-07  40.2  40.83  40.09  40.82  2745300  40.82
2014-01-06  40.37  40.46  39.91  40.0  2703200  40.0
2014-01-03  40.23  40.47  40.07  40.18  1475600  40.18
2014-01-02  40.86  40.86  40.27  40.27  2427100  40.27
2013-12-31  41.01  41.29  40.85  40.99  1548000  40.99
2013-12-30  40.58  40.94  40.56  40.83  1918500  40.83
2013-12-27  40.18  40.66  40.17  40.55  1943600  40.55
2013-12-26  40.07  40.51  40.07  40.16  1862500  40.16
2013-12-24  40.17  40.39  40.13  40.23  1799900  40.23
2013-12-23  40.46  40.53  40.08  40.23  3208900  40.23
2013-12-20  40.56  40.78  40.26  40.34  4969700  40.34
2013-12-19  39.85  40.5  39.8  40.49  2866600  40.49
2013-12-18  39.87  39.91  38.85  39.89  3567100  39.89
2013-12-17  39.69  39.97  39.43  39.8  3202200  39.8
2013-12-16  39.85  40.04  39.64  39.88  2930400  39.88
2013-12-13  39.66  39.77  39.15  39.62  3780500  39.62
2013-12-12  39.84  39.96  39.19  39.45  5612400  39.45
2013-12-11  41.24  41.3  39.84  39.91  3861600  39.91
2013-12-10  41.15  41.65  40.99  41.31  3455400  41.31
2013-12-09  41.24  41.69  41.09  41.11  3260200  41.11
2013-12-06  41.79  41.79  41.27  41.41  2883200  41.41
2013-12-05  40.42  41.31  40.42  41.3  5517700  41.3
2013-12-04  39.58  40.74  39.58  40.52  4046900  40.52
2013-12-03  40.62  41.01  40.45  40.59  2346100  40.59
2013-12-02  40.35  41.09  40.35  40.85  3235300  40.85
2013-11-29  40.97  41.19  40.75  41.1  1731100  41.1
2013-11-27  40.75  41.12  40.64  41.09  1931500  41.09
2013-11-26  40.75  40.88  40.63  40.74  2867400  40.74
2013-11-25  40.63  40.77  40.4  40.62  1791600  40.62
2013-11-22  40.25  40.53  39.93  40.49  3599900  40.49
2013-11-21  39.8  40.52  39.8  40.24  2970900  40.24
2013-11-20  40.46  40.64  40.17  40.21  2162100  40.21
2013-11-19  40.35  40.76  40.15  40.44  2851600  40.44
2013-11-18  40.62  41.43  40.35  40.42  4254900  40.42
2013-11-15  40.97  41.35  40.5  41.27  5476400  41.27
2013-11-14  40.98  42.53  40.57  40.92  10528500  40.92
2013-11-13  40.06  41.15  39.61  41.14  7005700  41.14
2013-11-12  39.79  40.29  39.55  40.05  5935500  40.05
2013-11-11  39.6  39.82  39.38  39.72  2856900  39.72
2013-11-08  39.48  39.78  39.17  39.76  4985200  39.76
2013-11-07  38.31  39.47  38.3  39.3  7631900  39.3
2013-11-06  38.41  38.75  38.2  38.63  4010900  38.63
2013-11-05  38.41  38.61  38.36  38.37  3781000  38.37
2013-11-04  38.34  38.89  38.34  38.61  4356700  38.61
2013-11-01  38.83  39.13  38.68  38.99  4165600  38.99
2013-10-31  38.6  39.11  38.54  38.67  6122700  38.67
2013-10-30  39.79  39.83  38.7  38.78  5010900  38.78
2013-10-29  39.8  40.07  39.51  39.62  4635200  39.62
2013-10-28  39.34  39.78  38.88  39.54  4959300  39.54
2013-10-25  39.42  39.45  39.08  39.24  3713200  39.24
2013-10-24  39.07  39.29  38.92  39.14  2930100  39.14
2013-10-23  40.29  40.29  38.78  38.91  8841000  38.91
2013-10-22  40.84  41.0  40.3  40.56  7289100  40.56
2013-10-21  41.25  41.56  41.22  41.49  3279400  41.49
2013-10-18  40.56  41.39  40.35  41.22  4780100  41.22
2013-10-17  39.85  40.55  39.64  40.49  5787200  40.49
2013-10-16  40.51  40.58  39.95  40.14  6683200  40.14
2013-10-15  40.96  41.13  40.04  40.4  12023700  40.4
2013-10-14  40.96  41.63  40.87  41.42  4145600  41.42
2013-10-11  41.15  41.35  40.82  41.26  5854900  41.26
2013-10-10  41.19  41.48  41.09  41.29  4726900  41.29
2013-10-09  41.33  41.45  40.91  41.1  5269900  41.1
2013-10-08  41.8  41.94  41.2  41.34  4784500  41.34
2013-10-07  41.73  41.91  41.43  41.61  5508700  41.61
2013-10-04  41.79  42.06  41.79  41.96  4490700  41.96
2013-10-03  42.4  42.54  41.69  41.79  6358500  41.79
2013-10-02  42.5  42.83  42.19  42.52  3656900  42.52
2013-10-01  42.35  42.81  42.16  42.73  3880300  42.73
2013-09-30  41.74  42.47  41.74  42.3  4608400  42.3
2013-09-27  42.56  42.72  42.15  42.26  4011100  42.26
2013-09-26  42.67  43.06  42.52  42.81  4970700  42.81
2013-09-25  42.66  42.88  42.29  42.41  6168900  42.41
2013-09-24  42.15  43.13  42.13  42.56  6590900  42.56
2013-09-23  42.65  43.3  42.65  42.94  3934800  42.94
2013-09-20  43.79  43.79  42.85  42.88  8750600  42.88
2013-09-19  43.77  44.32  43.71  43.99  3741800  43.99
2013-09-18  43.52  43.92  43.35  43.66  3464300  43.66
2013-09-17  43.15  43.65  43.13  43.49  3129700  43.49
2013-09-16  43.67  43.69  42.92  43.23  4725700  43.23
2013-09-13  43.46  43.5  43.0  43.44  4092100  43.44
2013-09-12  42.98  43.5  42.93  43.33  4545800  43.33
2013-09-11  42.7  43.37  42.7  43.11  4457300  43.11
2013-09-10  42.54  42.99  42.53  42.77  4123300  42.77
2013-09-09  42.56  42.66  42.05  42.44  5917100  42.44
2013-09-06  41.84  42.06  41.36  41.93  8196700  41.93
2013-09-05  41.65  42.01  41.54  41.8  3360900  41.8
2013-09-04  41.69  42.12  41.39  41.76  5427900  41.76
2013-09-03  41.31  41.82  41.31  41.51  5744600  41.51
2013-08-30  41.29  41.51  41.07  41.23  2748200  41.23
2013-08-29  41.0  41.49  40.99  41.29  3238900  41.29
2013-08-28  41.2  41.38  40.97  41.12  3218100  41.12
2013-08-27  41.04  41.37  40.98  41.16  5792800  41.16
2013-08-26  40.5  41.92  40.5  41.54  4880300  41.54
2013-08-23  41.69  41.75  41.31  41.64  3728500  41.64
2013-08-22  41.35  41.63  41.16  41.51  3370000  41.51
2013-08-21  41.06  41.62  41.0  41.23  4250600  41.23
2013-08-20  41.53  41.57  41.16  41.44  6069800  41.44
2013-08-19  41.57  42.1  41.54  41.58  4687100  41.58
2013-08-16  41.74  42.1  41.67  41.89  5902100  41.89
2013-08-15  40.09  41.84  39.9  41.72  13996900  41.72
2013-08-14  42.11  42.18  41.67  42.02  9192000  42.02
2013-08-13  42.21  42.45  41.73  41.98  7211000  41.98
2013-08-12  42.73  42.73  42.18  42.21  6014300  42.21
2013-08-09  42.22  42.81  42.05  42.2  7842500  42.2
2013-08-08  41.68  42.21  41.68  42.13  11208800  42.13
2013-08-07  41.27  41.67  41.16  41.39  5418600  41.39
2013-08-06  41.41  41.59  40.92  41.19  3466900  41.19
2013-08-05  40.9  41.46  40.89  41.37  4382800  41.37
2013-08-02  41.24  41.28  40.84  40.93  3290500  40.93
2013-08-01  40.91  41.4  40.9  41.17  3554700  41.17
2013-07-31  40.99  41.28  40.77  40.81  4572900  40.81
2013-07-30  40.8  41.02  40.57  40.76  4258100  40.76
2013-07-29  41.0  41.0  40.4  40.56  3981800  40.56
2013-07-26  40.84  41.11  40.57  41.04  3109600  41.04
2013-07-25  40.93  41.36  40.88  41.23  4596100  41.23
2013-07-24  40.89  41.79  40.7  40.96  7273900  40.96
2013-07-23  40.9  41.29  40.55  40.61  5716100  40.61
2013-07-22  41.24  41.24  40.49  40.97  6220700  40.97
2013-07-19  40.83  41.16  40.65  41.02  6954700  41.02
2013-07-18  40.5  41.09  40.14  40.68  6849100  40.68
2013-07-17  39.78  40.42  39.7  40.22  6027700  40.22
2013-07-16  39.72  39.9  39.54  39.77  4431300  39.77
2013-07-15  39.76  40.18  39.55  39.8  9424700  39.8
2013-07-12  38.89  39.12  38.88  39.01  4426800  39.01
2013-07-11  38.84  38.99  38.56  38.74  3553200  38.74
2013-07-10  38.39  38.68  38.18  38.46  3686400  38.46
2013-07-09  38.4  38.54  38.07  38.38  3425500  38.38
2013-07-08  38.53  38.54  38.04  38.09  5083600  38.09
2013-07-05  37.95  38.52  37.89  38.33  2119800  38.33
2013-07-03  37.74  38.16  37.66  37.88  1926700  37.88
2013-07-02  37.52  38.04  37.4  37.86  4741900  37.86
2013-07-01  37.31  37.9  37.29  37.41  3729300  37.41
2013-06-28  37.25  37.69  37.07  37.35  6723800  37.35
2013-06-27  37.57  37.84  37.45  37.53  3139600  37.53
2013-06-26  37.35  37.64  37.13  37.4  3703600  37.4
2013-06-25  37.2  37.33  36.65  37.03  5311700  37.03
2013-06-24  37.23  37.44  36.87  36.97  6916400  36.97
2013-06-21  37.96  38.05  37.1  37.54  9182700  37.54
2013-06-20  38.02  38.41  37.59  37.88  5380700  37.88
2013-06-19  38.91  39.02  38.33  38.54  5457700  38.54
2013-06-18  38.3  39.07  38.27  38.95  7066600  38.95
2013-06-17  37.7  38.48  37.67  38.17  5754500  38.17
2013-06-14  38.02  38.12  37.46  37.47  3954100  37.47
2013-06-13  37.8  38.11  37.28  38.02  5715300  38.02
2013-06-12  38.22  38.36  37.78  37.91  7442200  37.91
2013-06-11  37.26  38.14  37.24  37.74  6162100  37.74
2013-06-10  37.51  37.79  37.27  37.71  6266100  37.71
2013-06-07  37.25  37.73  37.12  37.54  5136200  37.54
2013-06-06  37.16  37.22  36.67  37.19  6830900  37.19
2013-06-05  36.85  37.35  36.6  36.89  8407600  36.89
2013-06-04  36.95  37.31  36.68  36.87  3385900  36.87
2013-06-03  37.08  37.34  36.6  37.21  6683200  37.21
2013-05-31  37.41  37.68  37.1  37.11  5029700  37.11
2013-05-30  37.44  37.69  37.14  37.58  5409900  37.58
2013-05-29  37.13  37.57  36.86  37.29  8478600  37.29
2013-05-28  36.33  37.81  36.33  37.28  16258500  37.28
2013-05-24  36.35  36.43  35.87  36.04  8857300  36.04
2013-05-23  37.07  37.07  36.43  36.47  11277400  36.47
2013-05-22  38.44  38.5  36.46  36.86  36125900  36.86
2013-05-21  36.73  36.75  35.81  36.22  23442400  36.22
2013-05-20  36.95  37.15  36.63  36.77  12979300  36.77
2013-05-17  38.49  38.64  37.37  37.41  18518800  37.41
2013-05-16  36.14  38.71  36.05  38.03  25043200  38.03
2013-05-15  35.21  36.09  35.1  35.81  6717700  35.81
2013-05-14  35.67  35.9  35.11  35.38  8922400  35.38
2013-05-13  35.76  36.56  35.2  35.68  10732600  35.68
2013-05-10  35.43  35.83  35.18  35.74  7012700  35.74
2013-05-09  35.42  35.67  35.11  35.33  6500000  35.33
2013-05-08  35.14  35.86  34.98  35.42  7364800  35.42
2013-05-07  35.1  35.35  34.79  35.16  6011900  35.16
2013-05-06  34.48  35.43  34.37  35.09  7077500  35.09
2013-05-03  33.91  34.68  33.86  34.51  17404900  34.51
2013-05-02  33.82  33.92  33.23  33.49  8258700  33.49
2013-05-01  34.41  34.46  33.27  33.76  10225200  33.76
2013-04-30  33.87  34.52  33.71  34.5  7600600  34.5
2013-04-29  34.6  34.72  34.12  34.14  5291300  34.14
2013-04-26  34.44  34.71  34.2  34.48  5778300  34.48
2013-04-25  34.71  35.19  34.34  34.42  6834100  34.42
2013-04-24  34.42  34.86  34.34  34.47  6846100  34.47
2013-04-23  34.07  34.99  33.77  34.56  8393700  34.56
2013-04-22  32.89  33.78  32.74  33.73  6999200  33.73
2013-04-19  32.8  33.06  32.38  32.62  9945600  32.62
2013-04-18  34.47  34.57  33.3  33.4  5893100  33.4
2013-04-17  35.1  35.12  34.22  34.33  6196700  34.33
2013-04-16  34.43  35.57  34.25  35.41  8142100  35.41
2013-04-15  34.85  35.43  34.23  34.34  8646200  34.34
2013-04-12  33.1  35.75  32.86  35.06  20926200  35.06
2013-04-11  33.21  33.23  32.73  33.09  8647600  33.09
2013-04-10  33.31  33.83  33.13  33.24  11516900  33.24
2013-04-09  33.71  34.15  33.62  33.78  8866100  33.78
2013-04-08  33.53  33.67  33.39  33.55  5871800  33.55
2013-04-05  33.75  33.77  32.82  33.62  10886500  33.62
2013-04-04  33.93  34.22  33.73  34.18  4060500  34.18
2013-04-03  34.22  34.5  33.97  34.05  5836300  34.05
2013-04-02  33.95  34.56  33.73  34.31  8198600  34.31
2013-04-01  33.69  34.02  33.32  33.68  4954000  33.68
2013-03-28  33.21  33.83  32.95  33.77  7173000  33.77
2013-03-27  32.65  33.57  32.6  33.32  3964400  33.32
2013-03-26  33.08  33.16  32.66  32.93  3213300  32.93
2013-03-25  33.18  33.35  32.73  32.82  4830500  32.82
2013-03-22  33.4  33.53  33.06  33.16  6883400  33.16
2013-03-21  33.48  33.59  33.04  33.39  4854300  33.39
2013-03-20  33.81  34.04  33.59  33.76  4914500  33.76
2013-03-19  33.75  33.87  33.14  33.57  5887900  33.57
2013-03-18  33.89  33.91  33.47  33.72  6574600  33.72
2013-03-15  33.95  34.44  33.88  34.17  5607500  34.17
2013-03-14  33.79  34.17  33.79  34.12  4566700  34.12
2013-03-13  33.7  33.88  33.28  33.8  3900400  33.8
2013-03-12  33.91  34.05  33.33  33.62  5155500  33.62
2013-03-11  33.67  34.3  33.64  34.29  4996000  34.29
2013-03-08  34.11  34.27  33.68  33.82  4961300  33.82
2013-03-07  34.14  34.55  33.57  33.89  4677900  33.89
2013-03-06  33.96  34.38  33.79  34.16  3583200  34.16
2013-03-05  33.37  34.16  33.34  33.75  4101600  33.75
2013-03-04  33.56  33.57  32.91  33.21  4540900  33.21
2013-03-01  33.43  33.86  32.93  33.57  6253200  33.57
2013-02-28  33.94  34.11  33.44  33.46  4348800  33.46
2013-02-27  33.51  34.26  33.23  34.04  4173700  34.04
2013-02-26  33.37  33.78  33.13  33.41  5498900  33.41
2013-02-25  34.17  34.6  33.19  33.2  7452700  33.2
2013-02-22  34.33  34.52  33.77  33.99  6796900  33.99
2013-02-21  34.98  35.39  33.74  34.15  7483400  34.15
2013-02-20  36.15  36.16  35.06  35.14  5152100  35.14
2013-02-19  36.09  36.2  35.84  36.07  4709300  36.07
2013-02-15  35.29  36.2  35.16  36.14  8517500  36.14
2013-02-14  34.59  35.51  33.61  35.45  10459800  35.45
2013-02-13  35.01  35.79  34.31  35.42  10308300  35.42
2013-02-12  35.59  35.69  34.86  35.01  5145100  35.01
2013-02-11  35.44  35.44  34.76  34.96  5580200  34.96
2013-02-08  35.19  35.78  35.15  35.35  5143800  35.35
2013-02-07  35.6  35.6  34.7  35.16  5522800  35.16
2013-02-06  35.43  35.9  35.34  35.7  3061200  35.7
2013-02-05  35.57  35.87  35.06  35.57  6207600  35.57
2013-02-04  35.7  36.11  35.25  35.28  3798600  35.28
2013-02-01  36.03  36.26  35.67  35.84  4843000  35.84
2013-01-31  35.95  36.36  35.59  35.59  4036700  35.59
2013-01-30  35.37  36.3  35.37  36.13  7828600  36.13
2013-01-29  35.3  36.53  35.15  35.52  6127500  35.52
2013-01-28  36.47  36.6  35.94  35.97  6478000  35.97
