Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  62.05  62.49  61.55  61.85  1547700  61.85
2014-02-27  61.48  62.19  61.47  62.18  839800  62.18
2014-02-26  62.01  62.16  61.27  61.72  869800  61.72
2014-02-25  62.53  62.53  61.76  61.86  676100  61.86
2014-02-24  61.83  62.84  61.83  62.45  947800  62.45
2014-02-21  61.67  62.29  61.12  61.9  860200  61.9
2014-02-20  61.54  61.97  60.98  61.54  926900  61.54
2014-02-19  61.86  62.34  61.4  61.43  1066200  61.43
2014-02-18  62.0  62.46  61.58  62.22  787800  62.22
2014-02-14  61.89  62.39  61.75  62.25  769300  62.25
2014-02-13  61.53  62.11  61.36  62.04  895600  62.04
2014-02-12  61.81  62.39  61.61  61.87  1155500  61.87
2014-02-11  60.8  61.99  60.42  61.77  838900  61.77
2014-02-10  60.72  60.89  60.38  60.85  555800  60.85
2014-02-07  60.0  60.93  59.8  60.73  960200  60.73
2014-02-06  59.22  59.95  58.98  59.75  794800  59.75
2014-02-05  59.65  59.98  59.13  59.16  937600  59.16
2014-02-04  58.6  59.93  58.31  59.78  1509900  59.78
2014-02-03  60.3  60.4  58.31  58.4  1452200  58.4
2014-01-31  60.28  60.78  59.83  60.22  1259900  60.22
2014-01-30  61.09  61.34  60.42  61.12  955200  61.12
2014-01-29  60.32  61.17  60.24  60.7  1561500  60.7
2014-01-28  60.39  61.08  60.32  60.76  1447800  60.76
2014-01-27  61.24  61.49  60.51  60.55  1435600  60.55
2014-01-24  61.16  62.18  61.09  61.13  1936000  61.13
2014-01-23  62.76  62.95  61.75  62.6  1983600  62.6
2014-01-22  61.78  63.0  60.76  62.61  4200500  62.61
2014-01-21  61.16  61.59  60.4  60.61  1524900  60.61
2014-01-17  61.19  61.33  60.33  60.71  1569000  60.71
2014-01-16  61.04  61.35  60.73  61.05  1080100  61.05
2014-01-15  60.94  61.39  60.81  61.2  1330400  61.2
2014-01-14  60.65  60.97  60.42  60.6  1118500  60.6
2014-01-13  61.04  61.23  60.26  60.43  1025700  60.43
2014-01-10  61.06  61.49  60.85  61.12  862100  61.12
