Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  44.09  44.57  43.97  44.45  1917800  44.45
2014-02-27  43.9  44.19  43.82  44.03  2020300  44.03
2014-02-26  44.25  44.29  43.8  43.84  1510500  43.84
2014-02-25  44.13  44.45  43.92  44.03  1858000  44.03
2014-02-24  44.4  44.55  44.01  44.02  2038500  44.02
2014-02-21  44.32  44.64  44.22  44.25  1739900  44.25
2014-02-20  44.07  44.4  43.94  44.27  1576000  44.27
2014-02-19  44.36  44.74  43.97  44.05  1889100  44.05
2014-02-18  44.68  44.91  44.45  44.51  1721100  44.51
2014-02-14  44.3  44.65  44.14  44.57  1288300  44.57
2014-02-13  43.79  44.37  43.78  44.29  1949300  44.29
2014-02-12  43.81  44.06  43.63  44.0  1308600  44.0
2014-02-11  43.33  44.19  43.31  43.87  1909500  43.87
2014-02-10  42.83  43.43  42.56  43.4  1668200  43.4
2014-02-07  42.59  42.94  42.29  42.92  1796100  42.92
2014-02-06  42.72  42.72  42.14  42.49  2846000  42.49
2014-02-05  42.87  42.95  42.5  42.73  1843200  42.73
2014-02-04  43.19  43.19  42.71  43.09  1775100  43.09
2014-02-03  43.47  44.12  42.97  43.06  2139200  43.06
2014-01-31  42.74  43.59  42.67  43.41  2091500  43.41
2014-01-30  42.57  43.18  42.5  43.1  1428100  43.1
2014-01-29  42.39  42.66  42.18  42.43  1577800  42.43
2014-01-28  42.46  42.66  42.28  42.58  1557700  42.58
2014-01-27  42.05  42.6  41.97  42.43  1726300  42.43
2014-01-24  42.62  42.77  42.05  42.05  2365000  42.05
2014-01-23  42.84  42.99  42.62  42.75  1383600  42.75
2014-01-22  42.63  43.14  42.6  42.95  2064200  42.95
2014-01-21  42.46  42.73  42.27  42.67  2437400  42.67
2014-01-17  41.97  42.23  41.8  42.21  1928400  42.21
2014-01-16  41.68  41.86  41.51  41.85  1056900  41.85
2014-01-15  41.94  42.0  41.48  41.67  1599000  41.67
2014-01-14  41.95  42.14  41.82  41.91  1686700  41.91
2014-01-13  42.17  42.27  41.85  41.95  2004000  41.95
2014-01-10  41.76  42.46  41.76  42.27  1657400  42.27
2014-01-09  41.38  41.61  41.07  41.55  2354100  41.55
2014-01-08  41.4  41.49  41.09  41.37  2225300  41.37
2014-01-07  41.27  41.57  41.27  41.55  1143200  41.55
2014-01-06  41.27  41.27  40.91  41.18  2159200  41.18
2014-01-03  41.38  41.48  40.94  41.15  2252000  41.15
2014-01-02  41.97  42.04  41.33  41.35  2915300  41.35
2013-12-31  42.07  42.14  41.87  42.01  1553000  42.01
2013-12-30  41.74  42.1  41.71  42.0  1146400  42.0
2013-12-27  41.76  42.04  41.64  41.83  1051200  41.83
2013-12-26  41.89  41.99  41.71  41.86  938800  41.86
2013-12-24  41.7  42.09  41.53  41.87  551700  41.87
2013-12-23  41.95  42.16  41.74  41.79  1093300  41.79
2013-12-20  41.61  41.98  41.54  41.74  2711400  41.74
2013-12-19  41.45  41.56  40.9  41.51  1665800  41.51
2013-12-18  41.09  41.66  40.57  41.64  1844400  41.64
2013-12-17  41.35  41.46  41.01  41.14  1376400  41.14
2013-12-16  41.39  41.72  41.26  41.37  2203300  41.37
2013-12-13  41.25  41.4  40.96  41.22  3603500  41.22
2013-12-12  40.49  41.16  40.49  41.0  3132500  41.0
2013-12-11  40.46  40.92  40.28  40.6  4933300  40.6
2013-12-10  40.56  40.58  40.27  40.32  3054900  40.32
2013-12-09  40.9  40.98  40.4  40.61  1305500  40.61
2013-12-06  40.47  40.85  40.38  40.84  1409700  40.84
2013-12-05  40.32  40.47  40.06  40.18  1691200  40.18
