Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  50.31  50.6  49.85  50.24  1181000  50.24
2014-02-27  49.64  50.44  49.64  50.36  1184300  50.36
2014-02-26  49.36  49.85  49.21  49.56  1250400  49.56
2014-02-25  49.54  49.67  48.66  49.24  2132900  49.24
2014-02-24  50.52  50.52  49.69  49.7  1852800  49.7
2014-02-21  51.18  51.23  50.38  50.42  1933200  50.42
2014-02-20  50.64  51.15  50.46  51.09  1425800  51.09
2014-02-19  51.05  51.49  50.63  50.67  2038100  50.67
2014-02-18  51.3  51.55  51.04  51.33  1828300  51.33
2014-02-14  50.54  51.4  50.45  51.33  1592600  51.33
2014-02-13  49.76  50.58  49.73  50.55  1619400  50.55
2014-02-12  49.12  50.5  49.12  50.23  3051600  50.23
2014-02-11  48.29  49.07  48.18  48.9  4272200  48.9
2014-02-10  48.46  48.5  48.03  48.21  1848100  48.21
2014-02-07  48.59  48.77  47.83  48.45  2212200  48.45
2014-02-06  47.21  48.42  47.16  48.32  3527700  48.32
2014-02-05  46.83  47.32  46.65  47.19  2135100  47.19
2014-02-04  46.95  47.07  46.39  46.78  2315100  46.78
2014-02-03  48.25  48.46  46.55  46.62  2358200  46.62
2014-01-31  48.18  48.84  47.77  48.35  1873300  48.35
2014-01-30  48.67  48.8  47.84  48.59  1976600  48.59
2014-01-29  48.36  48.86  47.82  48.43  3126400  48.43
2014-01-28  49.0  50.96  48.25  48.99  3535900  48.99
2014-01-27  48.78  49.08  48.03  48.42  2667100  48.42
2014-01-24  49.79  49.81  48.62  48.76  3209600  48.76
2014-01-23  50.54  50.61  49.93  50.16  1848000  50.16
2014-01-22  50.9  51.08  50.39  50.7  2034300  50.7
2014-01-21  51.57  51.58  50.42  50.75  2351700  50.75
2014-01-17  51.92  52.1  51.3  51.38  3290300  51.38
2014-01-16  51.63  51.95  51.49  51.82  1501500  51.82
2014-01-15  51.53  51.88  51.29  51.54  1576800  51.54
2014-01-14  51.46  51.72  50.82  51.57  2686400  51.57
2014-01-13  52.78  53.05  51.43  51.54  2298700  51.54
2014-01-10  52.88  52.99  52.38  52.95  1410700  52.95
2014-01-09  53.32  53.36  52.52  52.74  1684200  52.74
2014-01-08  52.77  53.4  52.44  53.07  2121300  53.07
2014-01-07  52.62  53.12  52.59  52.79  1725500  52.79
