Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  31.97  32.23  31.83  32.11  1885500  32.11
2014-02-27  31.45  31.96  31.39  31.93  1210700  31.93
2014-02-26  31.61  31.9  31.35  31.49  1510400  31.49
2014-02-25  31.93  31.97  31.3  31.43  2758900  31.43
2014-02-24  31.64  32.16  31.64  31.92  1255500  31.92
2014-02-21  31.7  32.06  31.62  31.64  1845800  31.64
2014-02-20  31.48  31.7  31.3  31.66  1343400  31.66
2014-02-19  31.27  31.74  31.18  31.3  1925300  31.3
2014-02-18  31.21  31.46  30.96  31.36  1857100  31.36
2014-02-14  31.06  31.41  31.06  31.21  1781900  31.21
2014-02-13  30.56  31.11  30.5  31.09  1806800  31.09
2014-02-12  30.43  30.85  30.36  30.67  1920000  30.67
2014-02-11  30.59  30.83  30.39  30.42  2609100  30.42
2014-02-10  30.6  30.68  30.35  30.6  2055100  30.6
2014-02-07  30.6  30.8  30.34  30.67  2303400  30.67
2014-02-06  30.28  30.56  30.25  30.38  2429500  30.38
2014-02-05  30.28  30.43  30.01  30.23  1839600  30.23
2014-02-04  30.07  30.55  29.92  30.47  3737800  30.47
2014-02-03  30.71  30.84  29.93  29.97  4854500  29.97
2014-01-31  29.78  30.98  29.45  30.75  6183700  30.75
2014-01-30  30.53  30.62  30.08  30.13  4523200  30.13
2014-01-29  30.57  30.62  30.15  30.2  4907100  30.2
2014-01-28  30.65  31.05  30.58  30.82  2479500  30.82
2014-01-27  30.83  31.03  30.5  30.61  2236600  30.61
2014-01-24  31.25  31.31  30.8  30.8  3169000  30.8
2014-01-23  31.48  31.64  31.31  31.42  1705700  31.42
2014-01-22  31.77  31.85  31.47  31.74  1276100  31.74
2014-01-21  31.86  32.04  31.32  31.63  1387500  31.63
2014-01-17  32.05  32.08  31.59  31.62  2162700  31.62
2014-01-16  31.9  32.08  31.79  31.96  1367900  31.96
2014-01-15  31.76  31.94  31.69  31.92  1432700  31.92
2014-01-14  31.63  31.77  31.2  31.69  2630800  31.69
2014-01-13  31.76  31.88  31.4  31.53  1658800  31.53
2014-01-10  31.88  32.02  31.65  31.88  1645100  31.88
2014-01-09  31.99  32.03  31.6  31.77  1502000  31.77
2014-01-08  31.9  32.23  31.74  31.86  1572900  31.86
2014-01-07  31.96  32.1  31.73  31.97  2518500  31.97
2014-01-06  32.39  32.39  31.62  31.95  2833100  31.95
2014-01-03  32.03  32.38  32.0  32.25  1786600  32.25
2014-01-02  32.25  32.25  31.84  32.03  1563700  32.03
2013-12-31  32.27  32.39  32.12  32.26  1033500  32.26
2013-12-30  32.09  32.21  31.98  32.2  846100  32.2
2013-12-27  32.12  32.23  31.98  32.05  633300  32.05
2013-12-26  32.11  32.22  31.99  32.1  688500  32.1
2013-12-24  31.75  32.05  31.75  31.96  535600  31.96
2013-12-23  31.71  31.8  31.47  31.72  1165500  31.72
2013-12-20  32.03  32.1  31.48  31.49  4303000  31.49
2013-12-19  31.63  32.03  31.63  31.95  2625700  31.95
2013-12-18  31.1  31.78  30.88  31.75  1924500  31.75
2013-12-17  31.05  31.15  30.82  30.96  1944200  30.96
2013-12-16  30.56  31.1  30.5  30.93  1978100  30.93
