Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  59.23  59.55  58.76  59.14  1483600  59.14
2014-02-27  59.11  59.31  58.68  58.98  1116200  58.98
2014-02-26  59.54  59.62  58.25  59.04  3251500  59.04
2014-02-25  59.2  59.97  57.97  58.81  2862200  58.81
2014-02-24  61.11  61.78  60.29  61.23  1679300  61.23
2014-02-21  61.14  61.24  60.61  60.71  1299700  60.71
2014-02-20  60.84  61.36  60.66  60.98  1211600  60.98
2014-02-19  60.49  61.74  60.47  60.85  1646200  60.85
2014-02-18  60.2  60.77  60.05  60.67  1311500  60.67
2014-02-14  59.98  60.19  59.58  59.96  956400  59.96
2014-02-13  59.45  60.28  59.33  60.05  1050700  60.05
2014-02-12  59.38  59.9  59.34  59.86  1127100  59.86
2014-02-11  58.8  59.4  58.42  59.29  1338700  59.29
2014-02-10  59.02  59.3  58.26  58.85  1140900  58.85
2014-02-07  59.37  59.55  58.94  59.08  1896700  59.08
2014-02-06  59.08  59.39  58.58  59.0  1595200  59.0
2014-02-05  59.21  60.14  58.36  58.97  1831700  58.97
2014-02-04  57.74  60.54  57.59  60.26  3235300  60.26
2014-02-03  60.3  60.33  57.52  57.53  4195000  57.53
2014-01-31  57.58  59.61  57.58  59.56  8217100  59.56
2014-01-30  58.4  58.93  57.99  58.38  1401900  58.38
2014-01-29  57.32  58.71  57.06  58.06  2438300  58.06
2014-01-28  57.05  57.63  56.92  57.53  1946500  57.53
2014-01-27  56.8  57.24  56.38  56.93  1695900  56.93
2014-01-24  58.34  58.41  56.83  56.84  2278500  56.84
2014-01-23  59.31  59.31  58.07  58.55  1669400  58.55
2014-01-22  59.21  59.59  58.58  59.16  1768800  59.16
2014-01-21  58.56  59.27  58.12  59.24  2904700  59.24
2014-01-17  57.72  58.87  57.56  58.38  3529900  58.38
2014-01-16  56.67  57.92  56.09  57.89  2747300  57.89
2014-01-15  55.98  56.51  55.7  56.4  1439300  56.4
2014-01-14  55.16  56.14  54.78  56.07  1210500  56.07
2014-01-13  55.85  55.93  54.81  55.05  1081200  55.05
2014-01-10  55.22  56.53  55.2  55.97  1635100  55.97
2014-01-09  55.01  55.34  54.79  55.12  1431300  55.12
2014-01-08  54.2  54.94  53.76  54.84  1438800  54.84
2014-01-07  53.74  54.49  53.5  54.33  1363000  54.33
2014-01-06  53.52  54.04  53.49  53.74  1605900  53.74
2014-01-03  53.2  53.53  53.04  53.32  811000  53.32
2014-01-02  54.04  54.04  53.1  53.2  1252000  53.2
2013-12-31  53.35  54.11  53.35  54.07  912800  54.07
2013-12-30  52.83  53.47  52.58  53.3  895800  53.3
2013-12-27  52.22  53.25  52.11  52.94  1249100  52.94
2013-12-26  52.17  52.41  51.98  52.26  1081000  52.26
2013-12-24  52.0  52.41  51.64  52.18  861300  52.18
2013-12-23  52.18  52.5  51.76  51.85  1280100  51.85
2013-12-20  51.56  52.03  50.9  51.96  1934900  51.96
2013-12-19  51.53  51.72  51.01  51.39  1381100  51.39
2013-12-18  51.44  51.75  50.62  51.72  1952400  51.72
2013-12-17  50.95  51.35  50.95  51.3  1733500  51.3
2013-12-16  51.3  51.41  50.89  51.04  1041500  51.04
2013-12-13  51.07  51.09  50.48  51.0  989800  51.0
2013-12-12  50.82  51.24  50.45  50.99  995300  50.99
2013-12-11  50.99  51.01  50.61  50.71  904400  50.71
2013-12-10  51.13  51.36  50.77  51.06  902600  51.06
2013-12-09  52.07  52.16  51.14  51.27  1249900  51.27
2013-12-06  51.93  52.13  51.35  51.9  1288900  51.9
2013-12-05  51.55  51.86  51.27  51.58  2143600  51.58
2013-12-04  51.74  52.35  51.24  52.28  2310900  52.28
2013-12-03  50.45  52.42  50.0  51.75  2956600  51.75
2013-12-02  50.57  50.75  49.59  49.8  2207900  49.8
2013-11-29  51.13  51.29  50.4  50.5  855100  50.5
2013-11-27  51.04  51.42  50.53  50.94  1223800  50.94
2013-11-26  51.73  51.73  51.06  51.12  1490000  51.12
2013-11-25  51.27  51.75  51.22  51.54  1992300  51.54
2013-11-22  50.04  51.33  49.79  51.26  1539700  51.26
2013-11-21  49.79  50.22  49.79  50.03  1242600  50.03
2013-11-20  49.7  50.66  49.41  49.69  1259400  49.69
2013-11-19  50.14  50.34  49.41  49.64  960500  49.64
2013-11-18  50.25  50.25  49.68  50.06  1320700  50.06
2013-11-15  49.85  50.26  49.79  50.26  887800  50.26
2013-11-14  50.0  50.58  49.63  49.87  1136700  49.87
2013-11-13  49.25  49.83  48.75  49.79  1251300  49.79
2013-11-12  50.25  50.53  49.42  49.6  1120800  49.6
2013-11-11  50.39  50.58  50.05  50.28  1190700  50.28
2013-11-08  49.42  50.36  48.77  50.35  1294900  50.35
2013-11-07  50.29  50.6  49.41  49.58  1634000  49.58
2013-11-06  48.66  50.32  48.39  50.28  1842900  50.28
2013-11-05  49.37  49.55  48.69  48.75  1764000  48.75
2013-11-04  49.07  49.72  48.8  49.66  1634400  49.66
2013-11-01  49.14  49.59  48.75  49.05  1306100  49.05
2013-10-31  48.89  49.54  48.7  49.13  1293400  49.13
2013-10-30  49.59  49.72  48.9  49.09  1351500  49.09
2013-10-29  49.02  49.57  48.84  49.56  1228200  49.56
2013-10-28  48.72  49.06  48.38  49.05  1134400  49.05
2013-10-25  48.67  48.83  48.24  48.71  1121100  48.71
2013-10-24  48.6  48.71  48.07  48.67  813400  48.67
2013-10-23  48.23  49.27  48.13  48.42  1183200  48.42
2013-10-22  47.5  48.39  47.44  48.17  1160200  48.17
2013-10-21  47.41  47.6  47.06  47.44  925400  47.44
2013-10-18  47.52  47.69  47.13  47.47  1250100  47.47
2013-10-17  46.74  47.51  46.31  47.4  1046700  47.4
2013-10-16  47.12  47.38  46.45  46.85  1537500  46.85
2013-10-15  47.37  47.55  46.56  46.8  1430300  46.8
2013-10-14  47.01  47.55  46.23  47.55  1709800  47.55
2013-10-11  46.58  47.54  46.38  47.46  1544000  47.46
2013-10-10  46.08  47.56  45.91  46.95  4864700  46.95
2013-10-09  45.59  45.78  45.16  45.38  1225100  45.38
2013-10-08  45.91  46.41  45.55  45.55  1462700  45.55
2013-10-07  46.15  46.58  45.79  45.97  2553400  45.97
2013-10-04  46.0  46.89  45.86  46.54  1220700  46.54
2013-10-03  46.05  46.14  45.5  46.04  1328800  46.04
2013-10-02  46.22  46.63  45.93  46.26  1456600  46.26
2013-10-01  46.04  46.27  45.78  46.27  2135900  46.27
2013-09-30  45.52  46.27  45.52  46.06  1856800  46.06
2013-09-27  46.04  46.25  45.77  45.82  1075500  45.82
2013-09-26  46.22  46.34  46.09  46.26  1020300  46.26
2013-09-25  46.02  46.32  45.96  46.06  990400  46.06
2013-09-24  46.2  46.4  46.02  46.07  1038500  46.07
2013-09-23  45.78  46.55  45.7  46.26  976900  46.26
2013-09-20  46.55  46.63  45.73  45.88  1436100  45.88
2013-09-19  46.74  47.69  46.19  46.58  1955400  46.58
2013-09-18  44.95  47.11  44.83  46.77  2394100  46.77
2013-09-17  44.55  45.41  44.55  45.09  1369300  45.09
2013-09-16  44.79  45.17  44.3  44.49  1119600  44.49
2013-09-13  44.36  44.56  43.84  44.16  1061300  44.16
2013-09-12  44.37  44.65  44.2  44.29  1030900  44.29
2013-09-11  45.29  45.29  44.14  44.42  1284600  44.42
2013-09-10  44.89  45.32  44.54  45.32  1190400  45.32
2013-09-09  44.35  44.87  44.28  44.85  1018700  44.85
2013-09-06  44.41  44.49  44.0  44.3  1170000  44.3
2013-09-05  44.39  44.58  44.05  44.2  1657800  44.2
2013-09-04  43.71  44.9  43.67  44.49  2419400  44.49
2013-09-03  44.82  44.88  43.79  44.15  1080500  44.15
2013-08-30  44.95  45.11  44.25  44.43  1627900  44.43
2013-08-29  44.61  45.21  44.53  44.99  1011600  44.99
2013-08-28  44.79  45.16  44.45  44.81  1286500  44.81
2013-08-27  44.42  44.96  44.26  44.74  1215100  44.74
2013-08-26  44.89  45.22  44.72  44.9  2259800  44.9
2013-08-23  44.73  44.92  43.91  44.86  2019500  44.86
2013-08-22  43.95  44.9  43.67  44.65  1123100  44.65
2013-08-21  43.84  44.36  43.36  43.92  1165600  43.92
2013-08-20  43.35  44.4  43.2  44.0  1666200  44.0
2013-08-19  43.23  43.61  43.04  43.43  1390300  43.43
2013-08-16  43.22  43.78  43.08  43.31  1691500  43.31
2013-08-15  44.08  44.26  43.34  43.41  1876500  43.41
2013-08-14  44.55  44.7  43.62  44.27  2008300  44.27
2013-08-13  44.85  44.91  44.32  44.5  1584600  44.5
2013-08-12  45.08  45.53  44.89  44.92  1760400  44.92
2013-08-09  45.5  45.82  45.24  45.29  2674300  45.29
2013-08-08  45.34  45.87  45.31  45.66  2061800  45.66
2013-08-07  45.44  45.64  45.13  45.55  2750600  45.55
2013-08-06  44.96  45.75  44.94  45.46  1967400  45.46
2013-08-05  45.14  45.65  45.09  45.17  1391500  45.17
2013-08-02  45.66  45.77  45.0  45.41  1809100  45.41
2013-08-01  45.98  46.23  45.36  45.8  2966100  45.8
