Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  75.87  76.69  75.54  75.68  1786800  75.68
2014-02-27  74.46  75.15  74.37  74.88  1123500  74.88
2014-02-26  75.83  75.86  74.87  74.92  992400  74.92
2014-02-25  76.12  76.46  75.84  75.99  1244800  75.99
2014-02-24  74.93  76.39  74.89  75.45  1219800  75.45
2014-02-21  74.6  75.11  74.14  74.16  1319500  74.16
2014-02-20  75.1  75.21  74.49  74.52  1401900  74.52
2014-02-19  75.59  76.28  75.0  75.05  812900  75.05
2014-02-18  75.7  75.96  75.29  75.76  967500  75.76
2014-02-14  74.27  75.9  73.82  75.54  1561600  75.54
2014-02-13  73.0  74.04  72.69  73.99  1830000  73.99
2014-02-12  72.42  72.6  71.43  72.48  3509500  72.48
2014-02-11  75.65  75.65  72.54  72.61  5707100  72.61
2014-02-10  73.6  74.01  73.3  73.78  1579000  73.78
2014-02-07  73.61  74.08  73.3  73.81  2077400  73.81
2014-02-06  72.88  73.49  72.79  72.98  1621700  72.98
2014-02-05  71.33  72.76  71.33  71.71  1833700  71.71
2014-02-04  70.57  72.06  70.43  71.78  1262200  71.78
2014-02-03  72.32  72.39  70.21  70.36  1847300  70.36
2014-01-31  72.02  72.94  71.45  72.19  2284700  72.19
2014-01-30  72.41  73.78  72.41  73.59  925500  73.59
2014-01-29  72.51  72.87  71.6  72.07  1274900  72.07
2014-01-28  72.93  73.36  72.28  72.79  1367600  72.79
2014-01-27  71.88  72.17  71.23  71.58  1568400  71.58
2014-01-24  72.3  72.74  71.83  72.12  1588800  72.12
2014-01-23  72.74  73.43  72.53  72.92  1583000  72.92
2014-01-22  73.65  73.75  73.08  73.24  910400  73.24
2014-01-21  74.38  74.77  73.34  73.67  1096700  73.67
2014-01-17  74.14  74.45  73.78  73.81  1132200  73.81
2014-01-16  74.18  74.33  73.65  73.95  1036500  73.95
2014-01-15  74.57  74.96  73.9  74.1  2001100  74.1
2014-01-14  72.33  73.7  72.17  73.52  1561900  73.52
2014-01-13  72.16  72.5  70.94  71.13  1470900  71.13
2014-01-10  73.54  73.82  72.75  72.83  2736500  72.83
2014-01-09  72.26  72.89  71.82  71.86  1635700  71.86
2014-01-08  71.66  71.82  71.09  71.13  1212200  71.13
2014-01-07  72.1  72.58  71.82  72.36  1705800  72.36
2014-01-06  72.22  72.52  71.38  71.62  1646300  71.62
2014-01-03  73.39  73.81  72.89  73.39  1079400  73.39
2014-01-02  74.13  74.39  73.44  73.61  1079000  73.61
2013-12-31  73.6  74.1  73.56  73.97  890700  73.97
2013-12-30  72.8  73.65  72.44  73.6  880700  73.6
2013-12-27  73.02  73.4  72.71  73.03  757900  73.03
2013-12-26  71.44  72.37  71.27  72.35  481400  72.35
2013-12-24  70.97  71.73  70.97  71.45  373600  71.45
2013-12-23  71.62  71.66  70.71  70.83  1437800  70.83
2013-12-20  71.99  72.11  71.0  71.1  2411000  71.1
2013-12-19  71.41  72.8  71.41  72.21  2242200  72.21
2013-12-18  69.47  70.18  68.43  70.18  1182400  70.18
2013-12-17  68.73  69.66  68.73  69.07  1654500  69.07
2013-12-16  68.24  69.05  68.24  68.86  1053900  68.86
2013-12-13  68.19  68.9  68.03  68.06  875200  68.06
2013-12-12  68.69  69.03  68.04  68.14  1384300  68.14
2013-12-11  70.48  70.76  68.76  69.04  1504000  69.04
2013-12-10  70.01  70.57  69.85  69.87  751600  69.87
2013-12-09  70.52  70.99  70.17  70.33  824800  70.33
2013-12-06  70.01  70.77  69.93  70.51  1149700  70.51
2013-12-05  70.14  70.37  69.27  69.64  1777700  69.64
2013-12-04  69.51  69.93  68.56  68.67  1937700  68.67
2013-12-03  69.92  70.33  69.57  69.9  2126200  69.9
2013-12-02  70.59  71.5  70.38  71.19  1297000  71.19
2013-11-29  71.41  71.69  70.29  70.66  706000  70.66
2013-11-27  71.02  71.18  70.49  70.73  551600  70.73
2013-11-26  70.71  71.59  70.3  70.97  1081300  70.97
2013-11-25  70.62  70.72  70.02  70.13  726800  70.13
2013-11-22  70.83  71.37  70.74  70.95  992200  70.95
2013-11-21  70.15  70.38  69.92  69.96  1674800  69.96
2013-11-20  69.39  69.82  69.18  69.58  949700  69.58
2013-11-19  68.92  69.54  68.74  69.39  815100  69.39
2013-11-18  69.43  69.96  68.83  69.16  1321500  69.16
2013-11-15  69.52  69.95  69.04  69.18  2230200  69.18
2013-11-14  68.8  68.93  68.31  68.32  1071200  68.32
2013-11-13  68.23  69.28  67.85  69.0  1449000  69.0
2013-11-12  69.34  69.91  69.0  69.22  664400  69.22
2013-11-11  69.77  70.17  69.64  69.78  692400  69.78
2013-11-08  69.36  69.84  69.08  69.62  1000600  69.62
2013-11-07  70.06  70.22  69.45  69.61  1066000  69.61
2013-11-06  70.63  71.04  69.47  69.73  1784700  69.73
2013-11-05  69.11  69.76  68.89  69.51  1053700  69.51
2013-11-04  68.52  69.34  67.99  69.14  1126000  69.14
2013-11-01  67.44  68.35  67.39  68.22  1546000  68.22
2013-10-31  67.25  68.02  66.97  67.36  1410000  67.36
2013-10-30  68.2  68.2  67.13  67.24  1233500  67.24
2013-10-29  67.26  68.12  67.26  68.12  1346500  68.12
2013-10-28  66.7  68.04  66.67  67.62  1590700  67.62
2013-10-25  66.41  67.17  66.41  66.72  1535500  66.72
2013-10-24  66.07  66.4  65.75  65.76  2180900  65.76
2013-10-23  66.61  67.07  65.14  65.27  1695700  65.27
2013-10-22  65.86  67.31  65.84  67.09  1641200  67.09
2013-10-21  65.28  65.49  64.84  65.43  810900  65.43
2013-10-18  64.81  65.57  64.81  64.94  1912900  64.94
2013-10-17  63.86  64.53  63.74  64.44  1388100  64.44
2013-10-16  62.8  64.3  62.71  63.9  2165000  63.9
2013-10-15  64.04  64.96  63.65  64.24  1586200  64.24
2013-10-14  62.64  63.51  62.46  63.25  1270600  63.25
2013-10-11  63.01  63.14  62.63  63.0  1269400  63.0
2013-10-10  61.48  62.71  61.36  62.7  1301500  62.7
2013-10-09  61.23  61.41  60.67  61.08  1078800  61.08
