Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  41.45  41.98  41.16  41.76  2444200  41.76
2014-02-27  41.68  41.73  41.21  41.55  3266100  41.55
2014-02-26  41.43  41.89  41.18  41.64  3272200  41.64
2014-02-25  41.64  41.86  41.24  41.27  2882400  41.27
2014-02-24  41.33  41.92  41.27  41.53  1619400  41.53
2014-02-21  41.59  41.77  40.9  41.35  2906700  41.35
2014-02-20  41.33  41.51  41.01  41.27  2308000  41.27
2014-02-19  41.55  41.97  41.4  41.51  2372300  41.51
2014-02-18  41.59  41.62  41.31  41.52  2731800  41.52
2014-02-14  41.36  41.79  41.26  41.59  2081100  41.59
2014-02-13  41.01  41.65  41.0  41.54  1707000  41.54
2014-02-12  41.37  41.68  41.12  41.47  2148800  41.47
2014-02-11  41.45  41.45  40.7  41.17  2055300  41.17
2014-02-10  40.73  40.85  40.57  40.73  3367300  40.73
2014-02-07  41.88  41.88  40.57  40.9  3722700  40.9
2014-02-06  40.7  41.05  40.65  41.01  1621100  41.01
2014-02-05  40.67  40.83  40.3  40.74  3008200  40.74
2014-02-04  40.4  41.12  39.86  40.83  3767700  40.83
2014-02-03  41.87  41.98  40.35  40.4  3848000  40.4
2014-01-31  41.6  42.04  41.51  41.82  2806700  41.82
2014-01-30  41.82  42.44  41.65  42.28  2158000  42.28
2014-01-29  41.73  41.97  41.53  41.67  2747600  41.67
2014-01-28  41.55  42.03  41.44  41.94  2060300  41.94
2014-01-27  41.12  41.96  41.12  41.53  2235200  41.53
2014-01-24  42.72  42.8  41.72  41.73  3086300  41.73
2014-01-23  43.1  43.34  42.6  42.93  2724800  42.93
2014-01-22  43.49  43.65  43.18  43.35  2269800  43.35
2014-01-21  43.8  43.94  43.37  43.42  2444300  43.42
2014-01-17  43.42  43.94  43.38  43.73  2729800  43.73
2014-01-16  43.27  43.69  43.18  43.58  3093900  43.58
2014-01-15  43.44  43.59  43.15  43.28  4176300  43.28
2014-01-14  43.37  43.76  43.22  43.4  2807300  43.4
2014-01-13  44.03  44.06  43.01  43.22  2777000  43.22
2014-01-10  44.12  44.18  43.77  44.0  2889500  44.0
2014-01-09  44.13  44.44  44.08  44.16  2789700  44.16
2014-01-08  45.04  45.13  44.2  44.39  5596800  44.39
2014-01-07  45.47  45.56  44.59  44.71  1975100  44.71
2014-01-06  44.88  45.28  44.26  44.46  1839900  44.46
2014-01-03  44.85  45.13  44.69  44.84  1808900  44.84
2014-01-02  45.06  45.16  44.57  44.68  1853800  44.68
2013-12-31  45.21  45.36  45.08  45.15  1466100  45.15
2013-12-30  45.25  45.31  45.09  45.29  1181500  45.29
2013-12-27  45.34  45.56  45.12  45.2  951900  45.2
2013-12-26  45.26  45.41  44.96  45.26  1128500  45.26
2013-12-24  45.06  45.15  44.92  45.05  825700  45.05
2013-12-23  45.08  45.11  44.78  45.1  2446800  45.1
2013-12-20  44.46  44.85  44.06  44.77  3982000  44.77
2013-12-19  43.89  45.31  43.64  44.53  7014400  44.53
2013-12-18  42.65  43.04  42.17  42.96  4188500  42.96
2013-12-17  42.83  42.83  42.38  42.54  2042000  42.54
2013-12-16  42.63  42.96  42.47  42.81  1892400  42.81
2013-12-13  42.73  42.74  42.16  42.27  3160700  42.27
2013-12-12  42.56  42.71  42.21  42.65  3086600  42.65
2013-12-11  42.98  43.13  42.58  42.64  2247700  42.64
2013-12-10  43.07  43.26  42.91  43.02  3246900  43.02
2013-12-09  43.11  43.26  42.79  43.13  2142500  43.13
2013-12-06  42.89  43.03  42.58  43.01  2187500  43.01
2013-12-05  43.12  43.12  42.19  42.32  2843200  42.32
2013-12-04  44.26  44.26  42.89  43.12  3862700  43.12
2013-12-03  43.39  44.03  43.21  43.37  4477500  43.37
2013-12-02  43.51  43.56  43.12  43.23  1651500  43.23
2013-11-29  43.33  43.64  43.3  43.37  858000  43.37
2013-11-27  43.48  43.58  43.26  43.39  1305300  43.39
2013-11-26  43.25  43.65  43.07  43.38  3274500  43.38
2013-11-25  43.2  43.4  43.05  43.14  1563300  43.14
2013-11-22  43.57  43.57  42.97  43.14  2892400  43.14
2013-11-21  43.16  43.3  43.0  43.27  1946400  43.27
2013-11-20  43.2  43.63  42.83  42.95  2330900  42.95
2013-11-19  42.38  43.5  41.76  43.23  2767300  43.23
2013-11-18  43.12  43.31  43.0  43.07  1858900  43.07
2013-11-15  42.75  42.99  42.42  42.97  2011200  42.97
2013-11-14  42.48  42.88  42.31  42.76  1572800  42.76
2013-11-13  40.92  42.42  40.92  42.41  1981500  42.41
2013-11-12  41.55  41.86  41.44  41.85  1717700  41.85
2013-11-11  41.75  41.93  41.6  41.68  1409800  41.68
2013-11-08  41.43  41.86  41.37  41.86  1928000  41.86
2013-11-07  41.76  41.9  41.07  41.44  3547700  41.44
2013-11-06  41.56  41.89  41.37  41.56  2117200  41.56
2013-11-05  41.59  41.74  41.34  41.56  1806700  41.56
2013-11-04  41.89  41.89  41.51  41.65  2370600  41.65
2013-11-01  41.87  42.1  41.53  41.64  2284500  41.64
2013-10-31  41.88  42.06  41.75  41.92  3021400  41.92
2013-10-30  40.94  42.55  40.94  41.95  4746800  41.95
2013-10-29  42.56  42.9  42.29  42.56  2742000  42.56
2013-10-28  42.27  42.64  42.11  42.56  1526700  42.56
2013-10-25  42.3  42.3  42.0  42.3  1189800  42.3
2013-10-24  41.99  42.27  41.94  42.15  1563300  42.15
2013-10-23  41.85  41.99  41.75  41.96  1729200  41.96
2013-10-22  41.24  42.15  41.24  42.02  2584700  42.02
2013-10-21  40.83  41.58  40.78  41.57  2291700  41.57
2013-10-18  40.75  40.99  40.57  40.95  1579500  40.95
2013-10-17  40.31  40.73  40.25  40.72  1566100  40.72
2013-10-16  40.18  40.51  40.05  40.5  1990600  40.5
2013-10-15  40.14  40.15  39.9  40.05  2064100  40.05
2013-10-14  40.01  40.29  39.86  40.23  1656000  40.23
2013-10-11  39.39  40.13  39.38  40.07  1775500  40.07
2013-10-10  39.01  39.56  38.96  39.53  2819400  39.53
2013-10-09  38.94  39.09  38.57  38.78  2788800  38.78
2013-10-08  38.91  39.14  38.87  38.91  3388600  38.91
2013-10-07  38.72  39.04  38.57  39.01  2266900  39.01
2013-10-04  38.97  39.04  38.7  38.9  2199800  38.9
2013-10-03  39.31  39.33  38.78  38.87  2268800  38.87
2013-10-02  39.22  39.29  38.89  39.29  2213400  39.29
2013-10-01  39.27  39.49  38.83  39.33  4076600  39.33
2013-09-30  39.36  40.11  39.35  39.98  3255600  39.98
2013-09-27  40.07  40.1  39.56  39.69  2026300  39.69
2013-09-26  40.04  40.32  39.94  40.13  1345600  40.13
2013-09-25  39.97  40.16  39.78  39.93  1363100  39.93
2013-09-24  40.04  40.2  39.85  40.04  1383000  40.04
2013-09-23  40.28  40.33  39.72  40.01  2051700  40.01
2013-09-20  40.51  40.57  40.26  40.32  2562200  40.32
2013-09-19  40.37  40.48  40.22  40.44  1173400  40.44
2013-09-18  39.99  40.49  39.97  40.25  1736300  40.25
2013-09-17  40.05  40.12  39.9  40.05  983200  40.05
2013-09-16  39.94  40.19  39.92  39.99  1104800  39.99
2013-09-13  39.68  39.76  39.43  39.67  925600  39.67
2013-09-12  39.69  40.03  39.6  39.62  1092200  39.62
2013-09-11  39.29  39.84  39.29  39.83  1603100  39.83
2013-09-10  39.05  39.44  39.04  39.34  1344700  39.34
