Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  14.27  14.32  14.08  14.17  3004100  14.17
2014-02-27  14.17  14.27  14.13  14.22  2091300  14.22
2014-02-26  14.1  14.2  14.06  14.14  2787800  14.14
2014-02-25  14.17  14.21  14.06  14.06  2869900  14.06
2014-02-24  14.1  14.37  14.08  14.2  3291300  14.2
2014-02-21  14.0  14.07  13.94  14.06  2733800  14.06
2014-02-20  13.94  14.03  13.78  13.99  2454600  13.99
2014-02-19  14.18  14.18  13.88  13.91  2978000  13.91
2014-02-18  14.21  14.21  14.07  14.17  2410200  14.17
2014-02-14  14.02  14.17  13.94  14.16  3308700  14.16
2014-02-13  13.92  14.01  13.84  14.0  3351800  14.0
2014-02-12  14.02  14.13  13.92  13.98  3585500  13.98
2014-02-11  14.01  14.13  13.98  14.05  3904100  14.05
2014-02-10  13.96  14.05  13.9  14.01  4561500  14.01
2014-02-07  14.35  14.35  13.79  13.96  3986400  13.96
2014-02-06  13.93  13.96  13.82  13.9  8165100  13.9
2014-02-05  13.88  13.89  13.75  13.86  5043200  13.86
2014-02-04  13.85  14.05  13.73  13.88  10527800  13.88
2014-02-03  14.21  14.25  13.8  13.84  4822300  13.84
2014-01-31  14.29  14.38  14.2  14.21  3995500  14.21
2014-01-30  14.4  14.45  14.31  14.42  2606800  14.42
2014-01-29  14.38  14.44  14.3  14.35  4180900  14.35
2014-01-28  14.27  14.48  14.27  14.44  3802700  14.44
2014-01-27  14.44  14.55  14.29  14.31  6587800  14.31
2014-01-24  14.48  14.57  14.38  14.42  4818000  14.42
2014-01-23  14.94  14.99  14.58  14.59  5412000  14.59
2014-01-22  14.86  15.01  14.86  14.94  4054300  14.94
2014-01-21  14.71  14.95  14.69  14.84  10169400  14.84
2014-01-17  14.79  14.84  14.45  14.68  34202800  14.68
2014-01-16  15.2  15.5  15.06  15.2  5798000  15.2
2014-01-15  15.41  15.52  15.28  15.3  4833300  15.3
2014-01-14  15.47  15.51  15.15  15.38  5736500  15.38
2014-01-13  15.27  15.42  15.14  15.24  5031300  15.24
2014-01-10  15.43  15.51  15.17  15.21  5324400  15.21
2014-01-09  15.32  15.53  15.27  15.42  5344100  15.42
2014-01-08  15.0  15.28  14.95  15.25  5247900  15.25
2014-01-07  14.98  15.02  14.88  14.98  2780400  14.98
2014-01-06  14.89  14.98  14.85  14.93  3755200  14.93
2014-01-03  14.87  14.91  14.81  14.89  2271400  14.89
2014-01-02  14.91  15.0  14.79  14.84  2828900  14.84
2013-12-31  14.81  14.97  14.8  14.95  2624900  14.95
2013-12-30  14.8  14.86  14.78  14.83  2355400  14.83
2013-12-27  14.78  14.83  14.73  14.82  1391800  14.82
2013-12-26  14.79  14.88  14.75  14.78  1878400  14.78
2013-12-24  14.74  14.83  14.73  14.81  1092400  14.81
2013-12-23  14.58  14.75  14.53  14.71  2208100  14.71
2013-12-20  14.49  14.5  14.38  14.48  5601300  14.48
2013-12-19  14.48  14.53  14.35  14.39  2631700  14.39
2013-12-18  14.48  14.56  14.36  14.55  2983700  14.55
2013-12-17  14.51  14.55  14.42  14.47  2750300  14.47
2013-12-16  14.47  14.55  14.41  14.51  2332000  14.51
2013-12-13  14.44  14.52  14.38  14.39  2048600  14.39
2013-12-12  14.52  14.62  14.44  14.44  3497100  14.44
2013-12-11  14.65  14.69  14.53  14.54  3056700  14.54
2013-12-10  14.67  14.72  14.58  14.59  2441100  14.59
2013-12-09  14.68  14.73  14.57  14.66  3221800  14.66
2013-12-06  14.68  14.74  14.62  14.67  3502100  14.67
2013-12-05  14.75  14.75  14.53  14.53  3424000  14.53
2013-12-04  14.75  14.81  14.66  14.74  2392000  14.74
