Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  25.04  25.53  24.87  25.45  3438800  25.45
2014-02-27  24.89  25.16  24.86  25.0  2474200  25.0
2014-02-26  25.11  25.44  24.87  25.03  2763100  25.03
2014-02-25  24.67  25.18  24.4  25.0  3655600  25.0
2014-02-24  25.16  25.31  24.67  24.68  3567300  24.68
2014-02-21  25.45  25.53  25.0  25.11  3568200  25.11
2014-02-20  25.25  25.44  24.95  25.34  2380900  25.34
2014-02-19  25.45  25.59  25.2  25.24  2878900  25.24
2014-02-18  25.64  25.7  25.22  25.62  3476500  25.62
2014-02-14  25.35  25.74  25.11  25.64  2598800  25.64
2014-02-13  24.99  25.5  24.81  25.4  2796100  25.4
2014-02-12  25.14  25.14  24.72  25.05  2877000  25.05
2014-02-11  24.86  25.09  24.62  24.99  3573800  24.99
2014-02-10  25.22  25.3  24.72  24.88  3322500  24.88
2014-02-07  24.96  25.39  24.87  25.28  3169200  25.28
2014-02-06  24.59  25.11  24.51  24.91  2277200  24.91
2014-02-05  24.65  24.93  24.23  24.51  3748200  24.51
2014-02-04  24.55  25.03  24.08  24.85  5000700  24.85
2014-02-03  24.97  25.39  23.93  24.27  6790000  24.27
2014-01-31  25.38  25.8  24.96  24.99  7666100  24.99
2014-01-30  22.83  25.7  22.61  25.66  11430300  25.66
2014-01-29  21.38  21.68  21.36  21.57  3618800  21.57
2014-01-28  20.98  21.7  20.97  21.64  3537500  21.64
2014-01-27  21.46  21.76  20.85  20.97  4468900  20.97
2014-01-24  21.96  22.07  21.46  21.48  3188300  21.48
2014-01-23  22.83  22.89  22.03  22.21  3187400  22.21
2014-01-22  23.0  23.27  22.89  23.06  1735700  23.06
2014-01-21  22.98  23.15  22.71  23.03  1484300  23.03
2014-01-17  23.26  23.37  22.9  22.93  1479500  22.93
2014-01-16  23.41  23.6  23.14  23.28  1323300  23.28
2014-01-15  23.19  23.59  23.18  23.49  1650600  23.49
2014-01-14  22.81  23.28  22.78  23.16  2302100  23.16
2014-01-13  23.13  23.39  22.47  22.74  2626400  22.74
2014-01-10  23.3  23.44  23.11  23.3  1998300  23.3
2014-01-09  23.53  23.66  23.02  23.19  2281000  23.19
2014-01-08  23.46  23.63  23.23  23.51  3126700  23.51
2014-01-07  23.61  23.75  23.42  23.49  1697200  23.49
2014-01-06  23.74  24.0  23.39  23.45  3863900  23.45
2014-01-03  23.27  23.77  23.26  23.67  2709000  23.67
2014-01-02  23.13  23.31  23.0  23.26  3752600  23.26
2013-12-31  23.18  23.33  23.06  23.13  2162100  23.13
2013-12-30  23.33  23.42  23.14  23.21  1502400  23.21
2013-12-27  23.52  23.62  23.35  23.38  2287500  23.38
2013-12-26  22.83  23.66  22.8  23.59  3799300  23.59
2013-12-24  22.76  22.93  22.56  22.88  749400  22.88
2013-12-23  22.38  22.88  22.29  22.79  3318700  22.79
2013-12-20  21.88  22.56  21.74  22.23  11535200  22.23
2013-12-19  21.96  22.14  21.85  21.9  3070800  21.9
2013-12-18  21.87  22.06  21.2  21.96  3731200  21.96
2013-12-17  21.99  22.02  21.56  21.9  3146100  21.9
2013-12-16  22.07  22.21  21.88  22.03  3806900  22.03
2013-12-13  21.74  22.13  21.74  22.07  2648500  22.07
2013-12-12  21.9  21.95  21.55  21.81  3303000  21.81
2013-12-11  22.35  22.5  21.8  21.88  3905400  21.88
2013-12-10  21.94  22.4  21.93  22.34  2687000  22.34
2013-12-09  22.04  22.18  21.89  22.06  2495900  22.06
2013-12-06  21.6  22.14  21.37  22.07  4929000  22.07
2013-12-05  22.32  22.32  21.26  21.39  5839900  21.39
2013-12-04  22.15  22.67  21.91  22.35  4965400  22.35
2013-12-03  22.99  23.14  22.12  22.2  5772600  22.2
2013-12-02  23.08  23.57  22.98  23.21  2859200  23.21
2013-11-29  23.21  23.32  22.89  23.0  1593600  23.0
2013-11-27  23.16  23.39  23.03  23.22  2816300  23.22
2013-11-26  23.46  23.58  23.06  23.16  3624600  23.16
2013-11-25  23.85  23.99  23.34  23.45  3263700  23.45
2013-11-22  23.53  23.97  23.47  23.91  3368600  23.91
2013-11-21  23.07  23.62  23.04  23.49  3291300  23.49
2013-11-20  23.23  23.47  23.0  23.04  3298200  23.04
2013-11-19  23.29  23.55  23.18  23.23  3829100  23.23
2013-11-18  23.46  23.63  23.01  23.17  6006600  23.17
2013-11-15  22.65  24.0  22.63  23.64  10742100  23.64
2013-11-14  21.94  22.87  21.94  22.68  5613800  22.68
2013-11-13  21.4  22.14  21.35  21.92  3636100  21.92
2013-11-12  21.4  21.65  21.28  21.54  4477600  21.54
2013-11-11  21.03  21.41  20.99  21.41  9703600  21.41
2013-11-08  20.97  21.27  20.92  21.07  3392800  21.07
2013-11-07  21.42  21.65  20.93  20.98  3665900  20.98
2013-11-06  21.51  21.67  21.3  21.46  4750900  21.46
2013-11-05  21.39  21.58  21.18  21.45  3208900  21.45
2013-11-04  21.18  21.76  21.16  21.53  4140900  21.53
2013-11-01  21.01  21.16  20.83  21.14  3727600  21.14
2013-10-31  20.51  21.11  20.4  21.0  5315600  21.0
2013-10-30  20.49  21.0  20.24  20.51  6537500  20.51
2013-10-29  19.27  21.65  19.1  20.44  16124600  20.44
2013-10-28  19.2  19.24  18.77  18.94  5553900  18.94
2013-10-25  19.42  19.48  19.0  19.14  4184500  19.14
2013-10-24  19.6  19.71  19.34  19.42  3372100  19.42
2013-10-23  19.62  19.69  19.49  19.63  1874000  19.63
2013-10-22  19.73  20.02  19.61  19.78  3451700  19.78
