Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  65.29  66.46  64.81  65.84  2614400  65.84
2014-02-27  65.49  65.5  64.2  64.99  1656300  64.99
2014-02-26  64.94  65.13  64.1  64.45  1647500  64.45
2014-02-25  63.92  64.82  63.46  64.66  2476500  64.66
2014-02-24  62.7  65.36  62.53  64.19  4335300  64.19
2014-02-21  64.94  65.09  61.84  62.37  2058300  62.37
2014-02-20  61.95  62.29  61.65  62.0  1402600  62.0
2014-02-19  62.0  62.59  61.68  61.81  2308800  61.81
2014-02-18  61.75  62.79  61.7  62.29  2677900  62.29
2014-02-14  59.48  61.67  59.47  61.54  3773300  61.54
2014-02-13  58.76  59.9  58.35  59.85  2040400  59.85
2014-02-12  59.29  59.74  58.99  59.23  1650300  59.23
2014-02-11  58.26  59.27  58.17  58.99  1390300  58.99
2014-02-10  58.73  58.88  58.03  58.29  1584800  58.29
2014-02-07  58.58  59.38  58.39  58.95  2271700  58.95
2014-02-06  56.62  58.64  56.53  58.43  3101600  58.43
2014-02-05  55.83  56.78  55.26  56.71  6092200  56.71
2014-02-04  54.28  55.17  53.41  54.87  4730600  54.87
2014-02-03  55.48  57.31  53.67  53.82  2992100  53.82
2014-01-31  55.15  56.81  54.93  55.81  3482100  55.81
2014-01-30  56.87  57.56  56.16  57.26  2129000  57.26
2014-01-29  56.01  57.09  55.69  56.35  1775000  56.35
2014-01-28  56.4  56.94  55.86  56.61  1313700  56.61
2014-01-27  55.88  57.06  55.45  56.36  2091100  56.36
2014-01-24  57.74  57.74  56.02  56.05  2450100  56.05
2014-01-23  58.15  58.62  58.0  58.05  1719200  58.05
2014-01-22  59.18  59.41  58.71  58.78  1100000  58.78
2014-01-21  59.63  59.8  58.78  59.15  1205100  59.15
2014-01-17  58.98  59.53  58.8  59.33  1697400  59.33
2014-01-16  58.8  59.05  58.5  59.05  1130800  59.05
2014-01-15  58.5  59.12  58.17  58.69  1368900  58.69
2014-01-14  58.27  58.54  57.84  58.42  1592800  58.42
2014-01-13  58.66  59.07  57.98  58.2  1429400  58.2
2014-01-10  58.92  59.0  58.29  58.99  1234200  58.99
2014-01-09  58.89  59.04  58.04  58.8  1054500  58.8
2014-01-08  58.92  59.04  58.23  58.77  1780800  58.77
2014-01-07  58.95  59.17  58.6  58.92  1588100  58.92
2014-01-06  59.47  59.97  58.71  58.96  3502100  58.96
2014-01-03  58.41  58.84  58.09  58.43  1076200  58.43
2014-01-02  58.74  58.8  58.02  58.31  1078000  58.31
2013-12-31  58.95  59.15  58.61  58.97  980900  58.97
2013-12-30  58.26  58.79  58.26  58.64  700100  58.64
2013-12-27  58.41  58.61  58.17  58.27  1001800  58.27
2013-12-26  58.06  58.69  57.99  58.52  900600  58.52
2013-12-24  57.87  58.1  57.44  57.94  375200  57.94
2013-12-23  57.48  58.02  57.39  57.63  1129100  57.63
2013-12-20  57.15  57.65  56.91  57.43  1704800  57.43
2013-12-19  57.28  57.54  56.79  57.1  994900  57.1
2013-12-18  56.87  57.55  55.87  57.53  2873900  57.53
2013-12-17  56.22  56.94  56.01  56.76  1524800  56.76
2013-12-16  55.41  56.5  55.41  56.23  1395600  56.23
2013-12-13  55.3  55.5  55.08  55.1  1037700  55.1
2013-12-12  54.93  55.7  54.88  54.98  1469500  54.98
2013-12-11  55.91  56.24  54.95  55.04  1131400  55.04
2013-12-10  55.73  56.18  55.57  56.02  856500  56.02
2013-12-09  56.14  56.3  55.66  55.8  728000  55.8
2013-12-06  55.71  55.93  54.96  55.87  1125100  55.87
2013-12-05  54.53  54.93  54.32  54.55  1079700  54.55
2013-12-04  54.69  55.29  53.97  54.48  1583100  54.48
2013-12-03  55.79  56.1  54.74  55.24  2004000  55.24
2013-12-02  56.12  56.36  55.94  56.05  905600  56.05
2013-11-29  56.35  56.51  56.1  56.23  506200  56.23
2013-11-27  55.96  56.27  55.78  56.2  651400  56.2
2013-11-26  55.84  56.06  55.68  55.87  1097600  55.87
2013-11-25  55.58  55.85  55.4  55.66  1232000  55.66
2013-11-22  55.37  55.58  55.14  55.57  906800  55.57
2013-11-21  54.47  55.34  54.16  55.25  1132600  55.25
2013-11-20  54.8  54.8  53.99  54.21  985500  54.21
2013-11-19  55.01  55.43  54.45  54.51  1467300  54.51
2013-11-18  55.97  56.26  55.24  55.32  1245700  55.32
2013-11-15  55.96  56.13  55.76  55.92  1061400  55.92
2013-11-14  55.72  55.95  55.39  55.92  884400  55.92
2013-11-13  54.98  55.52  54.98  55.52  1338200  55.52
2013-11-12  55.74  56.16  55.16  55.54  1686700  55.54
2013-11-11  55.58  55.82  55.38  55.73  1087800  55.73
2013-11-08  54.76  55.57  54.66  55.57  1239600  55.57
2013-11-07  55.7  55.89  54.68  54.79  1215100  54.79
2013-11-06  56.41  56.41  55.48  55.62  950500  55.62
2013-11-05  54.88  56.54  54.65  55.97  2473100  55.97
2013-11-04  55.15  55.33  54.86  55.31  1297800  55.31
2013-11-01  54.53  55.01  54.14  54.96  2553000  54.96
2013-10-31  54.48  54.67  54.09  54.36  1691200  54.36
2013-10-30  55.12  55.46  54.06  54.33  2353200  54.33
2013-10-29  55.8  56.2  54.21  55.37  4228600  55.37
2013-10-28  57.1  57.46  56.67  56.91  1824400  56.91
2013-10-25  57.33  57.33  56.38  57.24  1532400  57.24
2013-10-24  57.1  57.21  56.56  57.16  944500  57.16
2013-10-23  56.68  57.09  56.49  56.9  1157200  56.9
2013-10-22  56.71  57.3  56.45  57.11  1314300  57.11
2013-10-21  56.15  56.41  55.86  56.37  1080900  56.37
2013-10-18  56.21  56.45  56.0  56.27  1070700  56.27
2013-10-17  55.41  56.22  55.1  56.16  1065700  56.16
2013-10-16  55.34  55.73  54.71  55.68  1192300  55.68
2013-10-15  54.93  55.36  54.56  54.71  1138800  54.71
2013-10-14  54.55  55.47  54.46  55.32  919800  55.32
2013-10-11  54.05  55.01  54.04  54.94  997300  54.94
2013-10-10  53.53  54.56  53.48  54.47  1988300  54.47
2013-10-09  52.95  53.27  52.47  53.03  1496600  53.03
2013-10-08  53.56  53.8  52.82  52.86  1434000  52.86
2013-10-07  53.68  54.21  53.42  53.69  1203400  53.69
2013-10-04  54.29  54.4  53.91  54.28  1541200  54.28
2013-10-03  54.56  54.87  53.88  54.12  1689500  54.12
2013-10-02  54.0  54.49  53.82  54.48  1117200  54.48
2013-10-01  54.37  54.91  54.16  54.49  1424200  54.49
2013-09-30  54.16  54.47  53.65  54.42  1976700  54.42
2013-09-27  54.77  54.78  54.33  54.55  1039500  54.55
